 04/06/2020 14:41:47
   RUN    YR MONTH     CAWT  EFFORT
     1  1990     1 1096.887   0.036
     1  1990     2 1003.825   0.033
     1  1990     3 1120.112   0.038
     1  1990     4  977.051   0.033
     1  1990     5  949.778   0.032
     1  1990     6 1123.328   0.037
     1  1990     7  980.828   0.034
     1  1990     8  955.346   0.033
     1  1990     9 1019.167   0.036
     1  1990    10 1053.035   0.035
     1  1990    11 1016.540   0.035
     1  1990    12 1059.613   0.036
     1  1991     1 1038.790   0.034
     1  1991     2  950.256   0.032
     1  1991     3 1043.052   0.034
     1  1991     4 1028.366   0.034
     1  1991     5  998.124   0.035
     1  1991     6 1088.605   0.036
     1  1991     7 1065.888   0.036
     1  1991     8 1025.699   0.034
     1  1991     9 1061.124   0.034
     1  1991    10 1067.697   0.036
     1  1991    11 1018.939   0.035
     1  1991    12 1001.173   0.035
     1  1992     1  996.694   0.034
     1  1992     2 1044.181   0.034
     1  1992     3 1092.278   0.036
     1  1992     4  986.717   0.035
     1  1992     5 1051.526   0.035
     1  1992     6 1115.166   0.036
     1  1992     7 1091.486   0.035
     1  1992     8 1109.101   0.038
     1  1992     9  999.890   0.033
     1  1992    10  982.108   0.035
     1  1992    11  995.749   0.033
     1  1992    12 1084.427   0.036
     1  1993     1  982.760   0.034
     1  1993     2 1087.199   0.035
     1  1993     3  993.800   0.035
     1  1993     4 1011.006   0.035
     1  1993     5  933.793   0.032
     1  1993     6 1061.206   0.036
     1  1993     7  987.321   0.034
     1  1993     8 1006.259   0.034
     1  1993     9  967.253   0.033
     1  1993    10 1075.089   0.036
     1  1993    11 1048.214   0.035
     1  1993    12 1032.628   0.036
     1  1994     1 1019.648   0.036
     1  1994     2  977.965   0.034
     1  1994     3 1036.599   0.035
     1  1994     4 1042.866   0.035
     1  1994     5  985.759   0.034
     1  1994     6 1082.572   0.037
     1  1994     7 1131.907   0.039
     1  1994     8 1083.663   0.038
     1  1994     9 1108.712   0.039
     1  1994    10 1207.334   0.041
     1  1994    11 1121.972   0.039
     1  1994    12 1066.159   0.037
     1  1995     1 1134.694   0.035
     1  1995     2 1041.190   0.033
     1  1995     3 1126.306   0.036
     1  1995     4 1105.111   0.035
     1  1995     5 1188.648   0.037
     1  1995     6 1187.353   0.036
     1  1995     7 1211.036   0.038
     1  1995     8 1085.370   0.033
     1  1995     9 1153.357   0.036
     1  1995    10 1161.774   0.035
     1  1995    11 1159.828   0.034
     1  1995    12 1097.227   0.033
     1  1996     1 1168.477   0.035
     1  1996     2 1141.468   0.034
     1  1996     3 1060.231   0.032
     1  1996     4 1083.164   0.033
     1  1996     5 1022.278   0.031
     1  1996     6 1062.785   0.031
     1  1996     7 1053.341   0.032
     1  1996     8 1055.996   0.030
     1  1996     9 1107.904   0.031
     1  1996    10 1034.936   0.030
     1  1996    11 1058.576   0.030
     1  1996    12 1057.865   0.029
     1  1997     1 1033.263   0.035
     1  1997     2 1024.819   0.033
     1  1997     3 1050.389   0.033
     1  1997     4 1073.856   0.034
     1  1997     5 1002.180   0.032
     1  1997     6  983.029   0.032
     1  1997     7  937.323   0.031
     1  1997     8 1055.440   0.032
     1  1997     9  984.186   0.032
     1  1997    10  991.629   0.032
     1  1997    11 1011.545   0.031
     1  1997    12  970.190   0.032
     1  1998     1  916.678   0.033
     1  1998     2  928.423   0.033
     1  1998     3 1074.329   0.036
     1  1998     4 1006.745   0.033
     1  1998     5  918.620   0.033
     1  1998     6 1009.924   0.033
     1  1998     7  915.238   0.031
     1  1998     8  975.633   0.032
     1  1998     9  927.958   0.032
     1  1998    10  995.037   0.034
     1  1998    11  886.974   0.032
     1  1998    12  860.671   0.029
     1  1999     1 1032.618   0.039
     1  1999     2  893.292   0.036
     1  1999     3  840.961   0.034
     1  1999     4  877.084   0.033
     1  1999     5  981.554   0.036
     1  1999     6  970.277   0.037
     1  1999     7  834.098   0.032
     1  1999     8  841.349   0.031
     1  1999     9  881.885   0.032
     1  1999    10  882.248   0.033
     1  1999    11  781.324   0.029
     1  1999    12  784.497   0.029
     1  2000     1  804.051   0.034
     1  2000     2  788.651   0.034
     1  2000     3  843.872   0.035
     1  2000     4  813.325   0.034
     1  2000     5  727.580   0.031
     1  2000     6  847.652   0.035
     1  2000     7  827.735   0.035
     1  2000     8  825.433   0.034
     1  2000     9  722.800   0.032
     1  2000    10  716.516   0.032
     1  2000    11  695.933   0.032
     1  2000    12  857.930   0.037
     1  2001     1  751.723   0.035
     1  2001     2  787.662   0.034
     1  2001     3  720.896   0.034
     1  2001     4  836.179   0.037
     1  2001     5  782.032   0.035
     1  2001     6  740.184   0.033
     1  2001     7  739.904   0.035
     1  2001     8  825.148   0.038
     1  2001     9  726.749   0.034
     1  2001    10  739.450   0.035
     1  2001    11  758.231   0.035
     1  2001    12  824.717   0.037
     1  2002     1  665.486   0.032
     1  2002     2  700.553   0.033
     1  2002     3  784.355   0.036
     1  2002     4  869.647   0.039
     1  2002     5  762.799   0.038
     1  2002     6  736.156   0.038
     1  2002     7  816.338   0.039
     1  2002     8  915.566   0.045
     1  2002     9  858.854   0.043
     1  2002    10  794.275   0.041
     1  2002    11  925.197   0.050
     1  2002    12  902.105   0.049
     1  2003     1  884.405   0.036
     1  2003     2  995.653   0.036
     1  2003     3 1010.327   0.040
     1  2003     4  994.986   0.039
     1  2003     5  922.789   0.037
     1  2003     6 1049.646   0.039
     1  2003     7  914.597   0.038
     1  2003     8 1052.967   0.042
     1  2003     9  931.082   0.038
     1  2003    10 1058.504   0.042
     1  2003    11  963.423   0.038
     1  2003    12 1023.812   0.039
     1  2004     1 1016.734   0.035
     1  2004     2  982.565   0.034
     1  2004     3 1019.187   0.034
     1  2004     4 1080.957   0.034
     1  2004     5 1015.334   0.033
     1  2004     6 1056.058   0.033
     1  2004     7 1061.598   0.034
     1  2004     8 1003.952   0.031
     1  2004     9  954.470   0.030
     1  2004    10  936.468   0.029
     1  2004    11 1001.937   0.030
     1  2004    12 1099.938   0.034
     1  2005     1 1028.818   0.036
     1  2005     2 1026.729   0.036
     1  2005     3 1004.631   0.034
     1  2005     4  945.921   0.033
     1  2005     5  949.973   0.032
     1  2005     6  906.128   0.032
     1  2005     7  978.321   0.034
     1  2005     8 1025.267   0.035
     1  2005     9  964.484   0.033
     1  2005    10  980.233   0.033
     1  2005    11 1057.963   0.035
     1  2005    12 1027.388   0.035
     1  2006     1 1027.841   0.036
     1  2006     2 1041.817   0.036
     1  2006     3 1024.857   0.037
     1  2006     4  854.853   0.031
     1  2006     5  930.269   0.034
     1  2006     6  944.300   0.034
     1  2006     7  931.489   0.036
     1  2006     8  943.069   0.035
     1  2006     9  951.718   0.035
     1  2006    10 1017.985   0.038
     1  2006    11  924.896   0.035
     1  2006    12  971.451   0.035
