"K","Linf_mm","L50_mm","L95_mm","R0_thousands"
0.0686316,1159.52,395.224,401.34114,1430.98743650987
0.0718941,1108.9,393.202,400.4477,1453.95106195569
0.0806015,1048.73,397.959,410.5899,1429.27128148501
0.109786,933.236,393.141,398.58503,1436.14827521727
0.10984,911.632,396.918,407.901,1447.32166531173
0.0908874,1021.22,400.213,413.4265,1388.61204710265
0.0799447,1057.32,393.558,398.46877,1458.90290893593
0.101088,951.747,393.519,398.31433,1420.63608857998
0.0763483,1090.79,403.198,415.6438,1433.03521235485
0.0961722,963.192,393.121,398.04655,1455.28931243352
0.0531184,1310.89,394.576,404.2382,1442.19278255317
0.0467937,1425.34,392.297,396.47078,1449.27686902547
0.0872725,1017.22,392.504,397.33925,1445.91844396876
0.0484378,1356.78,399.346,410.7483,1486.67892228279
0.078525,1079.69,392.948,397.3851,1407.11951971616
0.0585108,1241.06,393.897,397.82991,1452.62856831518
0.0756429,1069.15,400.909,414.3012,1489.4318239379
0.0927779,962.236,399.025,413.4508,1515.16557136247
0.0846901,1012.23,399.471,415.9259,1489.25310284251
0.0844053,1034.7,397.826,406.91564,1436.26317167509
