"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100"
0.4146485,0.429053,0.440405,0.419255,0.3880075,0.400143,0.4148115,0.408824,0.413594,0.396595,0.408104,0.384641,0.431345,0.4194045,0.4271675,0.452535,0.415575,0.4249435,0.430622,0.435021,0.428789,0.427131,0.4014115,0.420902,0.393679,0.393806,0.4138705,0.421119,0.4204755,0.427797,0.444745,0.4567755,0.4218925,0.426088,0.42258,0.4206335,0.4404405,0.438186,0.42453,0.4237545,0.3979735,0.431373,0.4010015,0.4433885,0.4203655,0.4039845,0.4155325,0.441962,0.425695,0.4265605,0.44704,0.4102175,0.4376035,0.407438,0.4077615,0.4178115,0.457401,0.422419,0.398332,0.4168795,0.4256155,0.4080665,0.4282995,0.4428005,0.4165485,0.4153625,0.404617,0.410009,0.418508,0.461257,0.426003,0.4313295,0.39642,0.410073,0.4140085,0.412847,0.426715,0.438837,0.4134435,0.4068395,0.4199125,0.4442265,0.437748,0.431464,0.4180985,0.4371625,0.410768,0.416843,0.4101325,0.4467085,0.3993945,0.413114,0.4409415,0.4228085,0.424226,0.3978985,0.4179895,0.4336605,0.4170635,0.436789
0.426801,0.437063,0.4213205,0.4164835,0.3807355,0.4091025,0.420718,0.4157425,0.4128635,0.382291,0.428974,0.389286,0.4192545,0.4305575,0.426488,0.439829,0.411813,0.4103615,0.4252945,0.4312205,0.439642,0.427528,0.402362,0.443375,0.402796,0.4032645,0.41884,0.446578,0.4067405,0.440288,0.4462085,0.443616,0.440758,0.413741,0.4213015,0.4003575,0.4162285,0.4261835,0.428623,0.437351,0.410292,0.4349035,0.408574,0.430583,0.4302105,0.4084065,0.423892,0.467207,0.402877,0.437737,0.4619755,0.4136225,0.429966,0.4052555,0.4117825,0.4201165,0.4460245,0.399538,0.405842,0.4086225,0.431541,0.4103655,0.4280425,0.4372955,0.4302575,0.433377,0.4030025,0.403792,0.4101565,0.4518265,0.44099,0.4347205,0.4142495,0.3931495,0.427786,0.414387,0.4190725,0.443995,0.4180395,0.422746,0.4268735,0.4087265,0.4340105,0.4245945,0.409498,0.43651,0.4332835,0.429516,0.417899,0.4397785,0.400177,0.4128485,0.4233985,0.4330085,0.424408,0.397064,0.430522,0.4348555,0.423938,0.43805
0.443861,0.433629,0.43928,0.412513,0.3868745,0.425871,0.41419,0.3978205,0.3996875,0.382914,0.4281825,0.40873,0.437471,0.434613,0.4042755,0.4341715,0.4194355,0.4156955,0.4329235,0.424004,0.427828,0.4224625,0.4243535,0.45032,0.3981455,0.39777,0.418729,0.44095,0.424824,0.437128,0.4475415,0.443253,0.4444275,0.416665,0.4315425,0.411876,0.436385,0.426873,0.4240095,0.439416,0.410076,0.4281215,0.3981205,0.4407335,0.4436985,0.418617,0.4158045,0.4446895,0.399796,0.45035,0.443627,0.404112,0.4353065,0.401262,0.412909,0.431396,0.4576165,0.403019,0.398653,0.409351,0.4175395,0.40749,0.438843,0.42448,0.4055195,0.447977,0.3932845,0.424322,0.407206,0.441622,0.4249245,0.452819,0.403392,0.410499,0.4535065,0.4288145,0.418289,0.4104065,0.4242385,0.424653,0.412228,0.41487,0.4239435,0.418572,0.412659,0.433457,0.4132605,0.4334885,0.4121345,0.4099805,0.398837,0.412465,0.427275,0.426217,0.415218,0.41852,0.4073775,0.4362435,0.4177645,0.4386695
0.440429,0.434643,0.4346295,0.4205415,0.394489,0.4098485,0.402893,0.4246745,0.3978705,0.378816,0.4421975,0.40564,0.4406435,0.4172705,0.4195555,0.436831,0.4257715,0.427845,0.426483,0.4222595,0.428086,0.4001265,0.41712,0.4103425,0.4120115,0.4005655,0.4165905,0.4428785,0.4251635,0.4404675,0.445933,0.437361,0.435387,0.419909,0.4106855,0.400569,0.433262,0.412857,0.4297015,0.4349275,0.429445,0.4237705,0.42351,0.416896,0.427933,0.416298,0.41333,0.453347,0.4061985,0.4389355,0.453842,0.4032925,0.433501,0.40087,0.401756,0.4337675,0.4598135,0.427728,0.412609,0.424881,0.41113,0.4117265,0.440951,0.431819,0.426304,0.42292,0.4047595,0.4322185,0.424371,0.4460685,0.4186085,0.439236,0.423142,0.40513,0.440911,0.404468,0.4121025,0.411301,0.426437,0.4301555,0.407367,0.4134105,0.4137375,0.408064,0.415531,0.439039,0.4180475,0.419855,0.4292795,0.4257225,0.403957,0.40569,0.434618,0.418984,0.4128125,0.408979,0.411298,0.4312665,0.4221055,0.442778
0.432139,0.4385575,0.4314775,0.4222115,0.388284,0.408093,0.4001655,0.393723,0.4019465,0.3932175,0.4158875,0.4039605,0.4216065,0.4193585,0.4266765,0.4231775,0.4209815,0.4220555,0.4417505,0.4213095,0.4310775,0.399142,0.3979315,0.4144485,0.410841,0.4056565,0.416947,0.423243,0.4265205,0.425964,0.4333305,0.431627,0.428624,0.4224055,0.4171305,0.395271,0.4370285,0.41788,0.4355725,0.4194135,0.427929,0.4127675,0.4297495,0.3955225,0.413187,0.4077555,0.418861,0.4360145,0.4093595,0.430612,0.4493435,0.4013,0.434263,0.3955615,0.421881,0.426629,0.472377,0.4167425,0.4145965,0.4072945,0.420156,0.416749,0.438178,0.433868,0.4317825,0.414047,0.414484,0.4086765,0.4189295,0.432213,0.4265515,0.4437345,0.4196915,0.426766,0.414322,0.4077275,0.402525,0.401945,0.424156,0.416918,0.407675,0.4185775,0.4248525,0.4269545,0.423204,0.4306245,0.4159885,0.4400875,0.4184545,0.4292575,0.4092885,0.3996845,0.44684,0.4127225,0.4059735,0.4162665,0.409534,0.4359405,0.413336,0.416268
0.4479955,0.445582,0.43767,0.419615,0.4000735,0.3970245,0.4033045,0.406009,0.407363,0.406608,0.4303915,0.41059,0.4334055,0.4285595,0.4307095,0.428662,0.4251515,0.4143725,0.4485485,0.430249,0.434668,0.410518,0.4208015,0.418546,0.4121585,0.3904985,0.416068,0.422178,0.418401,0.4298235,0.4404345,0.4375125,0.432787,0.4377,0.4188045,0.426603,0.418086,0.4191005,0.432519,0.4378045,0.4530825,0.415797,0.421956,0.410528,0.412078,0.4342755,0.416001,0.449105,0.4120745,0.4171085,0.450027,0.4149505,0.442144,0.4233545,0.425254,0.417335,0.4725685,0.421698,0.41608,0.4008455,0.431851,0.41876,0.429196,0.4388595,0.4347035,0.4226695,0.4268245,0.412437,0.428051,0.441383,0.4241725,0.4320115,0.420783,0.408311,0.420691,0.4376915,0.421435,0.417276,0.426211,0.412989,0.406355,0.438896,0.433157,0.4218455,0.413033,0.4241355,0.430714,0.421563,0.4083955,0.438836,0.416592,0.415242,0.443666,0.419929,0.4092285,0.4140305,0.4259965,0.439452,0.429524,0.432666
0.434151,0.449793,0.431265,0.412699,0.38205,0.3892155,0.4063215,0.408611,0.4054225,0.404024,0.42534,0.3931835,0.4481965,0.420961,0.4326445,0.420861,0.414776,0.398622,0.430265,0.421807,0.4304185,0.415868,0.418371,0.415114,0.4115855,0.3894965,0.405599,0.417026,0.4214605,0.4122425,0.4320275,0.428863,0.4397595,0.426267,0.41224,0.404743,0.424104,0.415639,0.418635,0.4390345,0.4246135,0.426368,0.4099365,0.4107375,0.4091115,0.4243015,0.4299335,0.441602,0.412183,0.4290635,0.43401,0.402635,0.441723,0.4009885,0.4110385,0.4158135,0.4605335,0.428005,0.4215915,0.4055945,0.4316695,0.4259345,0.426918,0.4429635,0.424432,0.4190455,0.4231475,0.4158675,0.4120395,0.4287395,0.4201645,0.437361,0.4245985,0.4100785,0.4171645,0.4119135,0.416577,0.423161,0.420526,0.4231415,0.4194085,0.425488,0.425561,0.4224035,0.422206,0.4108895,0.4282145,0.4240245,0.4180555,0.435896,0.413575,0.42323,0.4420095,0.430539,0.3964375,0.408419,0.4502,0.4320615,0.4258315,0.4190005
0.4291375,0.446262,0.434085,0.4120785,0.3825115,0.4086895,0.4016935,0.3974025,0.4174585,0.40679,0.4254265,0.402209,0.418543,0.421978,0.433927,0.415824,0.4123195,0.4119335,0.4258185,0.4087185,0.4387005,0.420182,0.411952,0.402436,0.408525,0.3843875,0.398633,0.427436,0.422859,0.4298715,0.414111,0.436355,0.4269765,0.4183475,0.391219,0.4269255,0.4244445,0.428577,0.4290875,0.4546965,0.43564,0.4361975,0.4032715,0.4299805,0.39932,0.420351,0.4245745,0.430474,0.398611,0.4124175,0.440959,0.4091895,0.439765,0.4126245,0.408804,0.408404,0.436417,0.423956,0.417356,0.409844,0.4274335,0.4207525,0.438042,0.4369905,0.409336,0.416437,0.416834,0.4045185,0.3972715,0.439871,0.4190805,0.4326345,0.4172825,0.3969465,0.402638,0.4192,0.4140105,0.4130835,0.411564,0.39891,0.4090575,0.423641,0.430598,0.4174835,0.404632,0.4222645,0.4390925,0.4403155,0.41092,0.44189,0.403457,0.4148405,0.44492,0.4162085,0.412229,0.4035595,0.422841,0.4367005,0.427643,0.427094
0.4437915,0.418176,0.4302255,0.4268525,0.3960925,0.4149655,0.415702,0.396401,0.416128,0.421153,0.4237255,0.3937995,0.426199,0.4277685,0.444933,0.4304505,0.408708,0.396473,0.439308,0.4168105,0.4180995,0.411428,0.4116875,0.429948,0.420364,0.4009425,0.4023635,0.416463,0.415885,0.44075,0.4122295,0.4252835,0.433433,0.435519,0.3911265,0.4352045,0.4351685,0.434224,0.42249,0.436184,0.436986,0.4120675,0.404809,0.4283745,0.425827,0.412267,0.4226295,0.437527,0.4054005,0.4386475,0.444734,0.4196865,0.4450165,0.412664,0.409377,0.411455,0.4486115,0.425716,0.418142,0.4159895,0.4272515,0.4232905,0.4287245,0.418439,0.43354,0.421881,0.4273335,0.3993025,0.395788,0.4499715,0.4293995,0.4079715,0.4041705,0.41737,0.4191445,0.417761,0.4183575,0.41891,0.4263115,0.4214375,0.4132,0.424849,0.4396305,0.4202855,0.395582,0.42666,0.4319245,0.434859,0.423298,0.440665,0.4044705,0.4331205,0.423626,0.4183005,0.426562,0.39627,0.43223,0.431278,0.4166825,0.4342275
0.4460095,0.4333795,0.448441,0.418125,0.388299,0.4235725,0.4250945,0.392179,0.407897,0.4093395,0.4190355,0.394287,0.4210165,0.41428,0.4360105,0.4539045,0.406697,0.4091115,0.4320685,0.4475065,0.41641,0.4193645,0.410982,0.4063285,0.418755,0.4141005,0.407254,0.4328165,0.415461,0.440613,0.417701,0.431845,0.4460985,0.4103925,0.40926,0.434321,0.4525185,0.4322695,0.4167755,0.4300205,0.429624,0.422098,0.3936065,0.435644,0.425504,0.4176615,0.4295685,0.430211,0.404439,0.4279885,0.4329435,0.4210045,0.4375515,0.4252005,0.42158,0.411283,0.440112,0.433831,0.4186205,0.4194405,0.3920295,0.4236335,0.439478,0.424211,0.405369,0.429105,0.4081025,0.4077985,0.382959,0.4641285,0.435117,0.4460815,0.4151245,0.409948,0.424115,0.4222625,0.4016895,0.4258935,0.429797,0.420128,0.409899,0.4171935,0.428659,0.420968,0.3874565,0.437755,0.420358,0.4252145,0.4227385,0.431166,0.4072075,0.437427,0.430706,0.429679,0.4113515,0.4132285,0.4103375,0.425817,0.415366,0.43508
