"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
20451.1298681265,20818.3718559226,20522.3521355973,20993.9556105994,21362.2049732939,20614.0016177566,20919.4761295544,20095.2343914756,21094.61145984,22160.9930696544,19994.3783633304,20918.6372293535,20289.555295325,20031.1507379965,20401.307369442,20846.0780409635,20637.2930600165,21959.8038275815,21376.1996562778,20713.801933019,20378.9669527698,20576.1984050753,21220.2766146458,20096.5768627362,20383.7299966442,20853.8093037359,20896.3731144571,20442.6436804915,19782.2343753926,20130.1056469477,19985.3731433857,20361.393711279,20399.9147319783,20485.0732525279,20513.1804170566,21009.0128099981,20557.9784741267,20302.6237494778,20145.7820926258,20627.7903958103,20718.7983229193,19896.2926787006,20682.1231310357,20886.5422563685,20203.3885003079,20417.249718155,20266.593971053,19395.8571077959,21165.0556810018,20410.2127383915,20282.806218213,20498.9149124847,20354.1572673054,21157.4704916613,21502.8903638783,20532.5924880876,20261.8786448254,21310.0525721168,22491.1987834205,21251.9243143161,20294.6435088555,21189.7240253744,20439.7798976832,21016.0330690721,20871.9324878853,20154.8295172222,21370.4465767435,21109.9694475569,21110.6773739966,20455.874143426,20502.9751273275,20826.9191437508,21448.8068833142,21790.3103950079,20280.8517864735,20786.5439524289,20284.3905758579,20539.8844621458,21384.7828726404,19967.1790488892,20467.6449621196,22010.7652854535,20662.9266002598,21172.9840284354,20418.0816771194,19684.6028195358,20048.1184892798,19736.8582283911,21222.4441340084,20710.1101911286,21796.7232842905,20728.3036073813,21319.0013026123,20530.6781353699,20980.0204374616,21596.9607557477,20546.4032817803,20386.9238650434,20281.3436400869,20651.8955168522,1990
20404.544825168,21067.256638542,20340.8199678153,21312.0951519169,21507.2207315884,20736.1216312539,21145.9930348922,20161.1325760726,21288.0667497176,22187.0632395654,20147.8047160671,20991.1885707992,20309.3517007093,20567.0115311207,20533.5971859859,21096.8788715886,20928.2929597395,21628.3423834102,21356.5529388588,21006.5573725905,20924.0110503963,20962.2444385939,21024.9715327903,20277.1499322083,20428.5304428001,20911.5468925543,20778.6717726817,20798.9214562885,19702.0641313362,20183.3756667216,20330.9345024203,20135.9416642057,20396.0052507922,20309.6269513582,20223.7569973319,20990.1498506348,20746.1126097004,20382.779277294,20520.9053138648,20675.5960691488,20886.8965389231,20383.8773576193,20750.6128586212,21009.6017148568,20311.62616186,20547.4013708411,20375.3896720276,19588.4529282062,20898.2704216861,20424.7129495789,20240.0557081413,20830.2172516911,20582.1904403378,20764.6482695737,21445.1140120378,20546.7963301286,20560.2673286255,21688.7959140024,22292.3040876366,21316.3763184989,20514.5280159028,20819.1421414535,20340.4969629044,21519.8577562864,21181.3423262299,20349.9124014472,21556.1531285531,20903.1618597717,21301.5059991923,20545.5135877696,20690.8977043057,20763.8125332923,21563.5937406838,21866.7913698108,20173.5282933392,21090.273646278,20539.318088445,20994.8837347883,21248.0786892102,20258.9340529219,20903.4966272704,21861.1190152754,21431.9313778685,21198.8403084475,20703.2348113383,19872.3472411438,20559.4278529497,19721.5950418548,21313.5744445305,21032.4581654678,21942.6706323152,21156.605741479,20994.5184271759,20880.6685506186,21217.2082427327,21298.2650264629,21036.0414991728,20897.6089957705,20261.035801781,20900.9865094999,1990.5
20091.751423287,21006.4468014524,20079.2021835666,21230.5257703011,21378.1952675116,20653.87165286,21295.3951960288,20271.9371970242,21236.8717044937,21861.8691126294,20181.5379639478,20932.2698073936,20126.5902912971,20937.3532332666,20575.4375413934,21168.7687876843,20878.0676992792,21063.8598364896,20876.6485723114,21144.2692677592,21020.904959776,21238.2665489097,20838.6420631162,20317.3727947377,20346.7064687988,20760.4199845808,20578.5035218756,20846.41101763,19681.0285560958,20114.4544905242,20514.56463312,19984.1992728854,20316.9640392289,20338.9616192963,19943.1930869242,20994.2636615065,20686.8597391455,20374.7875878466,20699.5839677993,20493.6881444719,20831.3025238477,20633.2683399043,20514.8363889741,20994.0343439325,20423.6834249541,20323.3134462643,20478.9736913927,19829.8167073598,20693.9748825921,20344.7355354684,20152.4325274369,20867.3814833046,20519.8405529323,20536.6532437366,20962.6179545114,20316.1810683939,20544.4191018966,21670.9570789624,21828.3815203478,21237.7239744265,20577.3246917843,20334.7453723897,19935.7868722491,21540.1542376518,21198.3764012623,20361.4897256452,21623.5345648224,20580.6309587827,21168.1793764253,20300.7703500808,20812.5979134197,20491.1197715767,21340.8360724186,21515.6949662079,19954.3594617633,21050.3370941314,20646.3138809739,21274.7989578672,21031.0650296585,20359.8240410242,20943.6081254765,21614.9479874131,21803.6796942174,21053.662263549,20826.4724778833,20106.075117599,21017.2490542607,19711.5971244855,21108.6251024753,21101.2481817622,21816.5212135465,21267.9173868649,20520.2864037187,21002.6424189356,21338.3741193217,20910.7542725101,21206.8363264813,21021.8815852124,20242.7983792664,20821.2266897753,1991
19622.8059035619,20861.1075799555,20428.5786933456,20740.217050424,21186.4110473941,21037.9032083481,21531.2584277819,20541.0200426816,21474.433210989,21755.8494609279,20406.288392465,21168.6068012575,20228.5729209017,21226.6949252167,20447.8662511134,21478.5912274023,20696.6374704715,20830.560177527,20467.5717298576,21307.8594881062,20978.7732275674,21558.3613070251,21243.9692072593,20622.7958431579,20204.1203806567,20726.6365959873,20623.6974545701,20800.7009870045,19933.8006669239,20159.7162428679,20695.4984115175,20662.7259605133,20425.6806227103,20852.9453104308,20088.380556845,21140.0347813297,20890.2868539061,20856.2353946014,20816.1968852081,20439.0950054753,20655.6417764662,20941.2753398532,20514.0289026306,21221.2034187248,20946.6479139958,20262.5752355295,20764.4550264841,20228.4462172418,21112.4240370521,20372.0327757629,19915.5003396937,21138.1925872675,20823.2368790618,20850.3001559989,20786.9160075492,20559.3870200175,20342.559087032,21472.3684106408,21124.8465715977,21338.2563659179,20759.1410713831,20307.4733083333,19695.2540719445,21296.8437229538,20986.1334894506,20500.1690955453,21389.9543271568,20693.3568576286,21124.2909560074,20262.3926030418,21099.6127906099,20543.8298420796,21049.3155104882,21119.1268582918,20074.7635257682,20846.1740056659,21296.2748390762,21706.5164693457,21007.1854399415,20561.1851088,21293.4103364059,21542.6103221996,21979.2968877525,21112.938100404,20905.9940958934,20494.0777912561,21221.6015454315,19905.6211006797,21041.1704770464,21100.7212229611,21572.6630368878,21294.5712286654,20207.3315600407,21143.2000540772,21446.2813365935,20836.8737133475,21419.8681573766,21262.0577235741,20614.355949872,20709.2764601181,1991.5
19211.366879895,20501.8832926725,20505.7601227841,20032.6234870472,20907.4603847577,21188.2434653864,21456.2816037844,20534.1447978501,21503.2163654942,21436.4015700738,20403.5854776079,21244.0200951083,20299.1851479299,21202.7331575453,20188.7486778186,21559.5574570915,20427.2767922138,20481.1448370462,20114.5831919136,21145.4349741172,20460.9680830044,21448.7826268962,21451.6872257859,20800.5838725879,19950.5601940987,20423.0789228541,20629.0761654855,20544.5544977645,20041.733447882,20209.1876412757,20525.5369225465,20949.8258344412,20348.2706740457,21094.0228265706,20260.3961006602,21304.8259413873,20877.0667982471,21184.7508781669,20687.1539507019,20374.2062860858,20200.40534369,20921.3346949353,20300.785342285,21384.1659241321,21239.1762515554,20099.0842508858,20847.2321294379,20258.8505895673,21345.7798313985,20394.0430084789,19717.984426635,20956.1296206054,20793.7656590793,21071.1606594182,20581.0665843433,20674.791631422,19838.672648921,21147.9180698179,20419.2347121609,21128.2778908048,20734.8302231467,20434.8332919428,19532.5833964084,20967.6509045948,20554.4919103202,20555.2287818704,20939.3639347601,20595.8260283224,20916.3625386689,20107.0376890287,20959.8961256863,20491.295618324,20591.1349206698,20522.5803527569,20148.6332007158,20603.8796111696,21471.5172509584,21625.5818761637,20803.7801197242,20614.6625675898,21288.931290701,21311.6931682352,21704.9584276581,21107.8681846644,20732.0930631175,20633.9540254237,21193.5938700481,19974.3079409817,20689.7597585664,20768.568789588,21164.5924705807,21268.5702295993,19905.7334079324,20995.1500801517,21427.7184115337,20730.6481018248,21348.310959843,21208.4497410944,20732.645614955,20579.9715607026,1992
19461.1927711663,20206.9506830764,20633.259646467,19818.6785404725,21112.3603588498,21624.1465161594,21622.3908015701,20652.1574865644,21441.0269804696,21365.7743569135,20492.3649228693,21443.1717010413,20704.60356848,21266.959882926,20244.0620607511,21635.8411850195,20470.8557498936,20301.1689304959,20117.4771963362,20977.5112369069,20357.7444962489,21171.9546948928,21593.9668996292,20913.1384788485,20336.9145359103,20407.3837090347,21053.9889020372,20682.2023036372,20220.4777570071,20607.981084515,20438.9876112746,21119.3768590215,20632.8449971021,21115.9445881402,20785.1627228755,21341.3298953944,21083.3419744689,21500.542707451,20770.6190352424,20700.3358800922,19799.6505834367,21094.9148363969,20309.2040672664,21550.0909634743,21679.6426356141,20335.6049557209,20959.0935922462,20655.2142711597,21611.3767022508,20762.6149949165,19907.2250782587,20882.8379649272,20569.8599474557,21202.2749118178,20800.3998534917,20979.1654802889,19715.433367163,21052.0696603404,20344.2855989407,21020.6560896282,20918.6392284961,20795.1668342488,19975.0907140785,20997.3617874704,20298.5869787916,20633.1009501486,20642.4832814986,20962.7915613857,20881.4912662174,20207.2729658341,20781.541941633,20854.3569176096,20372.0460756913,20125.1212759181,20806.7475817389,20592.7719197652,21466.4087365589,21666.859743129,20963.7084335004,21103.0268049357,21777.9797469915,21364.0164705671,21434.2257006671,21135.2754720045,20500.7410158583,20947.3352087192,21333.3270925687,20395.6749320648,20544.5452005563,20748.5952785332,21195.316781826,21463.520567095,19948.2620243545,21056.8132620037,21486.5962523343,20611.0953444664,21576.1380904744,21196.6093187807,20972.8874967777,20910.266507685,1992.5
20244.868297376,20617.6799631561,21298.1756115582,20348.1988559701,22029.3656877683,22416.6474148973,22205.4844566197,21351.0458633687,21721.8550103445,21772.648110665,21157.7926345708,22128.360657649,21393.1419713666,21663.6344041674,20823.7311951503,22299.0845454217,21286.6644629607,20891.1332200801,20763.9602104211,21225.1267527014,20903.1864756161,21480.8203023402,21988.6060858775,21428.5794034274,21369.3152829687,21255.7201007389,21947.5996244611,21257.6597362874,20976.9631652544,21421.5568683771,21024.7617222949,21662.0485353663,21284.1430787021,21578.9141155513,21724.782145149,21876.650793825,21648.2332014458,21957.1708084121,21318.032500201,21484.4123066057,20014.3657925566,21657.3393355987,20734.9279199278,22198.56177566,22399.1206272227,20981.4142257948,21290.84681775,21396.0477867014,22304.6862007929,21535.3574639452,20687.5353290718,21264.023799655,20841.1244916721,21577.6944198333,21436.9763574961,21512.106621958,20280.9968224427,21589.507850729,21010.5567926253,21559.6829999379,21424.0638174967,21504.8326959528,21232.2381172472,21681.0277860285,20706.1694625656,21257.7398581052,20919.2253960467,21971.0512658542,21364.1250546175,20872.6271963974,21321.6882997196,21673.6511354586,20905.8606032911,20548.4425759466,21862.2623779789,21055.3290870751,21642.6899373352,21998.0210107834,21791.9488160959,22036.4824180542,22374.2923498231,21801.0458452486,21602.4247615439,21712.9568709595,20895.1024927796,21572.3975892208,21838.0686203307,21156.3820684184,20977.8224438187,21060.2108892045,21716.0695867126,22117.556631803,20694.1993869046,21733.618154987,21980.4631750408,21129.1096636363,22089.6771889079,21680.4623161314,21631.8671676808,21574.3016860433,1993
22434.3745689768,22633.4273578164,23421.0855596458,22756.7224707349,24058.0252352819,24872.6282226105,24203.5457913212,23506.4545693502,23173.0217937191,23878.0113135645,23108.6821034646,24075.8961434226,23057.3093952069,23457.1442478248,22646.6279363609,24266.8130892545,23482.2499014035,23248.0331395261,22916.7848540903,23047.9716976171,23341.2879376257,23450.7999232248,23948.6975029573,23423.6838071959,23426.0666278075,23770.2973521382,24224.4744746665,23665.2444937153,23181.5176701054,23546.5223854767,23218.3415029048,23274.7466371939,23661.230768372,23398.2077864369,24139.2612247094,23486.6903113182,23611.7493388225,23473.9571498389,23414.89323213,23370.195291299,22144.3076642941,23533.0487734841,23475.6812885571,23908.053539145,24532.8960873677,23128.5425217079,22983.6725572287,23429.7385888653,24351.3614914182,23706.458495516,22859.0510114667,23586.1378733876,22721.1833442618,23232.4631790689,23577.6736621937,23567.9788149014,22253.8171124604,23217.489079106,23196.7010635144,23652.1590985907,23103.184698884,23378.3220525702,23825.769966994,23463.6289764795,22815.1385919807,23359.9153673911,22895.5757511424,24241.2254061236,23120.2508381201,22996.0885653548,23521.7842749453,23859.9667193512,23341.3883424866,22880.016547726,24077.9696202378,23054.240396895,23207.5708889139,23592.3643737598,23931.9462947707,24222.0993806111,24632.6877363801,23617.0585878737,23170.9526512635,23720.9067532901,23415.5985948365,23533.5837347344,23458.1538720233,23314.7041414202,23573.194026802,22795.3497943192,23707.3487540179,23983.3864559032,22954.1279130457,23701.4656223546,23634.453554869,23308.5189510407,23659.9542728451,23586.4682176345,23786.5127907649,23617.8378575639,1993.5
23920.0990865421,24029.4633652037,24664.4173867224,24410.6463274854,25129.6996924312,25881.4723335411,25213.2332227589,24595.3921529211,24118.6634826338,24923.0207310746,24377.4592610086,25196.1306794063,23867.2968541112,24327.7300478263,23875.3354442441,25339.4320730874,24841.1724298996,24684.262980085,24359.1325723598,24113.9234201218,24818.0804586647,24426.3165523459,24927.4177336463,24501.8590913878,24428.9802628739,25460.9679643556,25487.1543614925,24939.4147524768,24457.8956539882,24694.7178405963,24505.7963448711,24154.9536348085,24844.7181682122,24657.3159054839,25550.0695124753,24430.6670725284,24518.8871915442,24412.0905519818,24693.5795553874,24239.8346612741,23756.8455471111,24647.8305710134,25048.8189290689,24764.67776572,25503.4118936821,24476.5793048279,23950.12937411,24616.850251598,25401.4875696469,24900.4863170433,24237.8737932525,25077.9715004097,24007.0670088249,24333.6901956746,24804.2320637478,24668.616256647,23672.0153315296,24039.8555120846,24565.0685972797,24965.450689826,24039.2112235865,24402.2267813751,25267.8678285171,24316.6527407931,24306.3005681799,24374.0230907084,24101.9946521039,25391.03160955,24324.3484296022,24212.432829455,24794.3061350345,25069.6938633011,24848.3829689013,24424.4498502917,25137.3510991032,24339.3836249087,24205.1192335877,24364.8038402747,24981.2607989516,25465.4399746528,25633.5713043399,24586.5891809888,24191.8610949381,25018.5459280696,24899.3904708496,24833.5151770417,24223.5199763873,24438.5134036744,25099.5282248562,23894.602092954,24853.7278043489,24861.620813373,24422.8920205642,24971.9100263454,24610.6358906558,24545.4355744293,24147.8029536364,24419.8271365611,24990.5699851996,24781.7956574178,1994
23654.4277985958,23952.8037915095,23968.553834138,24136.3190272472,24551.8679519943,24747.7787419086,24499.2277596164,24164.3880422417,23607.117775787,24152.1784013489,24007.0290493825,24720.237326317,23357.7440229439,23734.3505403156,23437.4914907875,24753.8714084742,24560.4001611452,24347.5705189339,23849.4624616098,23756.9041713997,24320.8007380395,23733.2931344076,24518.8085330685,23647.5016080153,23783.3055518309,25109.4011573864,24982.7033235915,24312.7556251859,24042.8899424508,24227.4248623908,24080.3540035178,23545.9847184457,24194.6677190942,24203.0943132246,24870.1534754038,23897.9707412464,23691.1133961148,23756.6359727353,24022.7485583663,23578.7825298453,23622.0860759286,24144.9148990852,24566.5350454718,23944.3992503087,24715.0968201615,24167.4553089949,23367.935367252,24006.4958333683,24674.7060008543,24305.5572749707,23827.3533823004,24729.1587085794,23672.1729175488,23938.7274185381,24253.4956953874,24039.3309543353,23515.4201835783,23311.2517436413,24152.6473000488,24712.3209356678,23438.5883137533,24064.7317145164,24722.7001980916,23770.2407497376,23894.0235350918,23743.0928928014,23683.995063317,24786.9437919352,23924.282461509,23744.0581575571,24244.5549058586,24437.3652561265,24379.1627817764,23988.7081683556,24577.8714903286,23988.5782215278,23858.9940134109,23502.8147274587,24234.3185152922,24746.6300489357,24613.5280457829,24020.8622691094,23770.110951123,24345.8192934529,24329.632858515,24316.4593434621,23494.3234047065,23613.8068049348,24607.8289169661,23450.1597478895,24226.9228151355,24236.1839005312,23988.5150680453,24385.7867639239,24040.2486124197,24168.0355233859,23161.9620928936,23542.817674479,24431.9652212928,24394.6440834157,1994.5
