"run","max_gradient","converged","K","Linf_mm","CV_old","L50_mm","L95_mm","R0_thousands"
1,0.000283358,TRUE,0.0930341,1014.34,0.0583626,395,405,11237.8182642179
2,0.000419904,TRUE,0.101115,959.204,0.0563113,395,405,11168.2476531218
3,0.00228312,TRUE,0.100803,964.459,0.0593937,395,405,9227.56057962077
4,1.51033e-05,TRUE,0.099514,971.583,0.0702178,395,405,10219.2655787858
5,0.00010062,TRUE,0.10415,944.823,0.0633438,395,405,10457.9737007977
6,2.48456e-05,TRUE,0.10571,938.452,0.0842799,395,405,9797.67116309717
7,0.000314171,TRUE,0.103293,947.919,0.066848,395,405,9662.61891812728
8,9.33759e-06,TRUE,0.101374,962.252,0.0666498,395,405,11518.6184402912
9,8.04172e-05,TRUE,0.098881,976.398,0.0530654,395,405,10690.3848039616
10,7.58824e-05,TRUE,0.108175,922.38,0.0829107,395,405,10083.6441589826
11,0.00320103,TRUE,0.0982604,979.073,0.0717069,395,405,8849.97576871569
12,0.000107041,TRUE,0.105287,933.538,0.0742367,395,405,11516.1997843865
13,0.000735537,TRUE,0.0987643,976.673,0.0683343,395,405,11021.575061119
14,0.00307639,TRUE,0.105017,932.699,0.0741383,395,405,10165.1450956108
15,0.000507347,TRUE,0.0955231,994.132,0.0537959,395,405,8851.21485205712
16,1.22173e-05,TRUE,0.105539,931.919,0.0791041,395,405,10121.8324643298
17,0.00353419,TRUE,0.103622,945.148,0.0572533,395,405,11434.8386938033
18,0.000281888,TRUE,0.103727,947.076,0.0679632,395,405,10966.4950606733
19,5.13964e-05,TRUE,0.100843,961.123,0.0646023,395,405,8866.98404491183
20,0.000547929,TRUE,0.100206,969.455,0.0633307,395,405,10068.93278043
21,0.000549079,TRUE,0.104677,940.054,0.085458,395,405,8955.56136629354
22,0.000438521,TRUE,0.104472,943.739,0.0755151,395,405,12089.8314229444
23,0.000790503,TRUE,0.107402,923.739,0.0748906,395,405,9802.17912858477
24,1.87358e-05,TRUE,0.100487,966.974,0.0709371,395,405,9636.2759430028
25,0.00234695,TRUE,0.100183,968.229,0.0604233,395,405,11092.0065804899
26,0.000517486,TRUE,0.102397,955.929,0.0619604,395,405,9473.08595957106
27,2.44451e-05,TRUE,0.105197,934.76,0.0764979,395,405,9285.50628969241
28,0.000631821,TRUE,0.105448,934.565,0.0721486,395,405,11188.0329562957
