"replist1","replist2","replist3","replist4","replist5","replist6","replist7","replist8","replist9","replist10","replist11","replist12","replist13","replist14","replist15","replist16","replist17","replist18","replist19","replist20","replist21","replist22","replist23","replist24","replist25","replist26","replist27","replist28","replist29","replist30","replist31","replist32","replist33","replist34","replist35","replist36","replist37","replist38","replist39","replist40","replist41","replist42","replist43","replist44","replist45","replist46","replist47","replist48","replist49","replist50","replist51","replist52","replist53","replist54","replist55","replist56","replist57","replist58","replist59","replist60","replist61","replist62","replist63","replist64","replist65","replist66","replist67","replist68","replist69","replist70","replist71","replist72","replist73","replist74","replist75","replist76","replist77","replist78","replist79","replist80","replist81","replist82","replist83","replist84","replist85","replist86","replist87","replist88","replist89","replist90","replist91","replist92","replist93","replist94","replist95","replist96","replist97","replist98","replist99","replist100","Label","Yr"
11237.8,11168.2,9227.53,10219.3,10458,9797.72,9662.66,11518.6,10690.4,10083.6,8849.99,11516.2,11021.5,10165.2,8851.2,10121.9,11434.8,10966.5,8866.97,10068.9,8955.53,12089.8,9802.21,9636.28,11092,9473.11,9285.53,11188.1,9202.13,9700.31,9626.95,11673.5,10552.7,11899.8,10074.5,9499.5,10713.4,10819,10051.1,9779.7,10364.1,8563.31,9051.15,9302.59,10453.9,9346,9891.67,10249,9723.57,10186.8,9281.94,9172.2,9422,11081.6,10038.6,10636.9,8573.64,9842.58,13631.1,9948.94,9981.32,8934.57,9740.71,10764.2,9680.22,10638.6,10109.4,11185.2,9077.37,10907.9,8522.44,10491.2,9616.33,10268.6,9271.07,9310.04,10046.1,10302.7,9751.6,7941.53,9114.93,12677.8,9181.32,8390.98,9119.1,10919.8,10790.3,8969.38,10115.4,10380.1,11464.2,9422.47,11072.8,10028,9639.18,12671.6,9400.13,10414.1,8529.91,9626.4,"Recr_Virgin",1988
11237.8,11168.2,9227.53,10219.3,10458,9797.72,9662.66,11518.6,10690.4,10083.6,8849.99,11516.2,11021.5,10165.2,8851.2,10121.9,11434.8,10966.5,8866.97,10068.9,8955.53,12089.8,9802.21,9636.28,11092,9473.11,9285.53,11188.1,9202.13,9700.31,9626.95,11673.5,10552.7,11899.8,10074.5,9499.5,10713.4,10819,10051.1,9779.7,10364.1,8563.31,9051.15,9302.59,10453.9,9346,9891.67,10249,9723.57,10186.8,9281.94,9172.2,9422,11081.6,10038.6,10636.9,8573.64,9842.58,13631.1,9948.94,9981.32,8934.57,9740.71,10764.2,9680.22,10638.6,10109.4,11185.2,9077.37,10907.9,8522.44,10491.2,9616.33,10268.6,9271.07,9310.04,10046.1,10302.7,9751.6,7941.53,9114.93,12677.8,9181.32,8390.98,9119.1,10919.8,10790.3,8969.38,10115.4,10380.1,11464.2,9422.47,11072.8,10028,9639.18,12671.6,9400.13,10414.1,8529.91,9626.4,"Recr_Initial",1989
18753,19207.5,19412,20304.3,18162.7,18786.5,18628.5,19304.9,17545.2,17862.2,19260.9,18005.3,16636.4,17636.3,18610.1,19153.9,19551.9,20483.6,19225.1,18153.8,19445.6,18285.4,17980,18104.2,17853.1,20630.1,18901,19612.2,19193.6,19193,20067,17715,19269.9,19193,19561.8,17942.6,17713.5,17193.8,19175.5,17786,19915.7,18393.4,21057.7,17381.3,19060.4,18396.4,17459.1,18726.6,18661.9,18553.3,19600.6,19860.7,18830.9,18104.8,18335.7,18289.4,19046.8,17999.1,19124.8,19868.6,17451.7,17552.7,19872.1,17644.2,19972,19016.3,18910.8,19330.4,18569,19223.8,19910.5,18765.4,20954.4,20308,18255.9,18217.1,17503,17788.3,18484.5,19067,18249.9,17727.1,17727.9,19133.5,20326.1,19174.2,17175,18150.1,21194.4,17845.9,18147.1,17594.8,19717.8,19130.1,18142.4,19205.3,16391.4,17625.5,19502.8,18503.2,"Recr_1990",1990
4077.75,5859.28,3786.89,4336.89,4502.34,3086.46,3807,4098.55,4566.63,4440.9,4077.49,4988.4,4897.33,4503.05,3864.97,4428.79,5393.13,4493.82,4529.98,5451.5,5003.82,4069.53,5163.46,3744.08,3964.92,4699.83,5187.95,3964.43,4432.09,3974.21,3948.39,4628.49,3990.59,4473.39,4124.99,4433.57,4375.49,4362.03,3769.25,3740.08,4703.01,4452.47,4101.4,3131.55,4100.34,4984.2,4649.87,4138.6,4584.66,4539.08,4177.76,4693,5085.84,4502.68,4652.27,4465.59,5695.05,3290.31,4704.48,4914.57,4474.45,5556.54,4779.34,4817.1,4066.86,3076.74,4122.55,4244.8,4791.39,4407.94,4384.8,4765.51,3816.02,3726.53,4849.4,4583.99,5170.36,3114.65,4508.87,3948.13,3700.74,4711.05,5403.14,4108.12,4280.96,4138.01,4489.38,4371.67,3630.88,4674.34,4385.68,4266.42,4054.48,3858.48,4101.06,4778.71,3665.33,4315.59,3723.42,5025.89,"Recr_1991",1991
7744.86,7897.74,6914.95,6804.34,7277.48,7489.52,6611.43,7684.48,7312.25,6901.66,6772.87,7274.62,7332.87,7887.08,7033.34,6954.11,6865.03,7302.28,7702.21,7243.73,7367.21,8049.24,7925.08,8048.91,7935.06,6315.14,7334.63,7852.98,6955.79,7394.56,8420.6,7158.56,7882.63,8559.01,7312.93,5697.83,8020,6515.28,7279.67,7802.79,7231.92,7739.69,8115.98,7375.15,7443.65,6921.49,7858.89,8064.7,7754.31,7446.84,7176.52,6022.06,6777.9,7088.61,7743.89,8134.2,8300.8,8661.79,7404,6885.09,8006.53,6474.91,7826.22,8550.64,7818.25,8249.21,6455.87,8276.87,7869.83,7926.91,6308.28,7305.5,7385.71,7588.86,6922.84,7336.91,7147.63,8272.08,8788.6,7228.44,7403.8,7180.14,7390.42,7399.62,8407.28,6442.75,7695.65,8398.32,7468.1,7798.52,7874.31,7112.06,7938.31,7134.42,7181.84,6939.42,8323.72,8467,7226.57,8085.94,"Recr_1992",1992
7099.54,6950.24,8120.94,7684.97,6203.3,5631.81,6339.4,5964.22,7161.03,7865.2,7129.74,7401.67,7315.16,7991.2,6779.06,6857.33,7526.33,6137.62,7787.19,6268.09,8215.54,7264.65,7020.43,7089.17,7464.59,6346.23,7394.09,7628,7270.43,5689.29,7437.49,7594.9,7392.93,6116.73,6545.11,6928.44,6918.01,7554.03,7701.25,7980.29,8298.81,7562.28,8101.78,5816.46,6587.31,6812.9,6743.65,7037.6,7164.37,7431.49,7350.08,6548.96,8415.69,7331.72,7142.55,6881.17,7506.21,7032.12,6412.63,7318.9,7662.78,7842.69,6590.44,7541.05,6873.63,7318.46,7623.73,6498.03,7633.54,7039.59,7194.36,9113.27,7326.8,6957.9,6874.88,8618.11,8917.41,7783.63,6117.41,6951.06,7227.83,7925.91,7552.53,8077.72,7326.79,7273.58,7274.48,6344.42,6945.43,8206.18,7444.67,6819.85,8292.44,7522.71,5867.26,8118.24,8413.41,6810.4,8070.06,6511.23,"Recr_1993",1993
5485.89,6736.79,6243.01,5760.95,6573.4,6654.51,6558.82,6208.7,6007.35,5873.01,5981.46,6060.12,7008.28,5388.04,6727.33,5862.24,6546.16,6795.37,5694.97,5425.06,5172.01,6612.24,6723.35,5832.58,4791.14,6089.26,5582.34,6308.17,6588.45,6950.08,5655.82,6343.67,5943.22,5907.29,5885.59,6692.08,5349.04,6197.19,6430.04,6484.72,5085.53,5779.24,6101.1,6257.45,6197.59,6793.4,7121.87,5990.77,6014.93,6452.06,6332.91,7082.96,6234.28,6121.41,4905.93,5519.48,5921.52,6174.94,5769.47,5134.41,5850.91,6427.88,5715.91,6150.47,5975.91,5455.19,6143.62,6133.7,5807.14,6185.34,6352.84,4657.9,5843.17,6691.99,6294.73,4994.47,4745.22,5382.04,5642.62,6149.95,6280.9,5986.05,5619.28,6076.1,5515.08,5273.88,6132.41,6385.39,5916.34,5751.65,6652.05,6267.7,5931.49,5771.43,7068.35,5559.27,6534.65,7581.61,6064.03,5818.92,"Recr_1994",1994
4051.22,4104.42,4794.34,4092.87,3652.12,4330.89,4158.93,4596.41,4527.24,4714.71,4560.98,4098.7,3977.39,4326.95,4478.41,4206.1,3645.61,3859,3432.79,4788.37,4644.88,3551.9,4532.55,4713.23,3857.75,4163,4262.04,3341.7,3857.43,3711.8,4146.27,4410.78,5364.75,5390.96,4338.78,4772.48,4451.54,4537.43,4426.51,4873.24,4561.22,3785.29,3742.22,4651.3,4645.38,4603.7,4279.75,4140.66,3651.73,4644.52,3780.48,4737.55,4688.57,3581.44,3874.43,3977.81,4454.34,4334.83,4612.4,4167.73,5037.88,3970.64,5034.64,4144.02,4145.16,4159.71,5412.55,4752.52,3505.78,4283.72,4570.67,4075.46,4379.22,3905.29,4210.42,4141.54,3785.68,4034.85,4496.36,5177.62,4056.73,4614.85,4964.61,3665.16,4080.64,4116.64,5241.31,5199.67,3943.32,4231.68,3706.55,4835.04,3448.71,4716.32,4784.65,3279.54,4714.61,4253.47,4195.13,4434.06,"Recr_1995",1995
10812.7,9487.27,8332.45,9326.41,8368.59,9037.99,9237.24,8467.98,8196.77,8633.4,8996.26,8385.08,7564.29,9210.04,8873.96,9854.56,7587.91,8271.02,9779.64,10661.8,9105.66,9260.41,7292.57,8912.03,9481.14,8818.91,8227.39,10105.8,7996.72,9504.69,9192.34,8065.47,7729,8740.58,7494.6,9160.9,10051,10371.4,8271.1,8922.48,8896.3,8390.99,7946.12,8727.73,9522.92,7881.1,9917.08,8307.69,10046.4,8019.48,9112.55,7586.76,8637.72,8450.33,9505.96,8875.08,9289.64,8783.12,8766.83,9390.03,8600.6,9373.21,7949.54,8483.96,8584.44,9706.62,8795.89,8320.32,7452.9,8404.06,10001.6,8712.36,8449.07,8987.39,8613.12,8575.3,9164.57,9183.37,8699.52,8919.46,7729.21,8590.77,8960.98,7277.01,8042.11,9871.94,7987.01,9024.67,10152.8,9446.53,9920.76,7366.25,9351.99,8936.72,7938.6,9265.67,8256.8,8822.34,8423.51,10425.5,"Recr_1996",1996
5173.52,6286.36,6454.22,4820.04,5947.64,5838.56,5903.94,5963.66,5527.51,5797.71,5153.97,6404.19,6373.85,6267.67,6318.71,6411.63,6484.27,6906.71,6558.33,6452,5630.18,7146.16,7333.57,5894.26,6240.16,5760.37,6350.28,4904.16,5982.42,6991.2,5660.24,6214.46,6089.46,5982.72,5884.7,5804.91,6398.42,6092.04,5686.73,5853.24,5374.16,6130.01,6752.06,6030.87,5835.15,5955.08,4919.61,6889.6,5992.2,5604.18,5489.4,5364.89,6617.62,5566.34,7053.35,6958.79,5173.7,6125,6381.72,6356.18,5328.91,5300.19,6049.39,6574.18,5638.25,6406.98,6013.24,5317.76,5801.1,6668.74,4656.69,6106.49,6927.22,6905.43,6449.33,5901.79,5949.85,5110.55,5869.73,5335.61,6792.49,6142.79,4889.24,6879.43,6017.75,6916.75,6296.03,5884.89,6145.97,5886.56,6545.03,6889.42,6014.13,5381.34,6010.49,6012.28,6589.13,5623.97,6909.06,6643.81,"Recr_1997",1997
