"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
9341.9000841,9472.3355178,9184.5670952,9382.9601919,9082.7574463,9633.15213085,8943.6390295,10022.1349518,9121.8996928,8651.9273765,9884.52327069,8074.9133891,9200.7177744,9483.64735045,9554.4673549,9017.6818959,9442.1211514,8427.27112521,9117.75021857,9056.1639607,9444.9196091,8662.2404253,9015.8181887,8887.7510263,9268.4867066,9158.7413255,9943.7344918,9316.8144849,9982.67793297,9582.5973875,9334.44525014,8996.0097017,8985.9759348,9179.0724006,9702.5622256,9077.01543983,9203.3080788,9910.2920295,9824.7418088,9367.8026577,9579.3413767,9172.3250022,9665.3473713,8950.3537102,9537.2885495,9229.0258484,9683.61547125,9381.8991504,9237.7720864,9328.5659794,9891.4016971,8636.2628638,10222.1510724,9406.08706892,9936.1602804,9671.163212,9576.41184554,8734.2543816,9785.01572363,8793.5056554,9738.1511794,9661.1622358,9490.5653278,8650.819887,9709.4664523,9488.6900238,9473.10865,9635.2359976,8502.3171169,9226.3015303,9798.9889033,9719.9106135,9347.79612426,8658.0631899,9396.3727756,8974.85584625,8705.3929841,9124.1768125,9927.7084281,8740.7469643,9452.595921,8798.5997469,9427.9446086,9770.17802324,9087.2108013,9226.828711,9581.44992777,9745.0443775,8959.5294841,8976.1770068,8701.9495437,8596.9012634,9536.7674297,8794.5949137,9434.9954248,9410.75992685,9280.61312078,9729.71357724,8780.6664778,9799.23935259,1990
9281.3285074,9467.4820858,9205.8136169,9425.69046889,9066.9552405,9683.17521115,8871.3406061,9937.1992787,9052.0359845,8686.6414826,9818.21390241,8088.1395396,9160.131266,9461.7162769,9612.8231831,8910.4944897,9353.259052,8452.5062871,9112.29706623,9015.5065602,9421.2301599,8671.1417787,8962.8983908,8888.4338023,9279.6336826,9040.1945526,9953.8669766,9361.348434,10009.33589326,9656.5961721,9321.83635321,9008.7109558,8863.4116284,9156.6458233,9648.3539566,9100.57428773,9222.2826151,9978.0968948,9814.4818323,9375.5439371,9506.0621593,9196.0014555,9627.3216791,8983.3027901,9510.4497464,9234.569955,9719.72475481,9315.7649662,9251.2844513,9324.1777799,9811.2681998,8616.0544694,10152.8469028,9402.85073912,9901.5652183,9740.8080742,9570.9227011,8693.2176831,9690.0941181,8806.1365534,9813.3280027,9759.94079898,9517.3920913,8599.2454299,9737.3609871,9538.9420515,9310.1219297,9571.2604244,8537.2102627,9353.2172773,9677.8022678,9775.6251543,9173.20731652,8601.9512286,9445.0711081,8919.15029996,8766.8230395,9262.4518232,10029.6034344,8750.7962391,9434.6033263,8731.969609,9449.2844285,9693.81407698,9068.6698567,9164.7532313,9464.69581103,9758.1255379,9008.2770047,8937.774501,8769.9920291,8622.2703691,9533.9263751,8801.4146654,9310.6440064,9466.30103298,9280.6809941,9732.13763323,8714.1020304,9733.50419619,1990.5
9283.3513814,9437.2782982,9196.434126,9509.35183394,8974.8887668,9719.10375322,8892.8931587,9939.6080255,8970.1540061,8720.8495289,9757.91506314,8168.2102502,9170.2663058,9430.11801745,9673.3136518,8817.3371148,9232.7621989,8436.7891612,9179.57803084,8983.6476518,9497.3558027,8624.9604238,8903.9710874,8868.6640267,9266.9718833,9004.9911415,9947.2608437,9356.8626596,10129.54578092,9643.1287193,9310.91755241,9057.1743699,8823.3902968,9099.1586124,9520.767899,9112.893882,9314.2386256,10046.8069671,9775.8106747,9399.4060595,9507.7564756,9313.325245,9565.5641053,8943.0090594,9514.1565381,9195.6235438,9694.0523415,9355.8477149,9278.2334164,9302.5561041,9777.1583588,8685.9003738,10108.7751588,9432.195728,9875.7848644,9812.9342859,9551.87408709,8639.1031923,9536.9173768,8867.5279351,9781.3173573,9870.24651001,9513.6002633,8499.9768187,9762.023681,9606.3027345,9171.2473238,9499.9545413,8580.7032529,9458.7888977,9654.0453345,9859.4756429,9080.15650331,8565.9031976,9526.4814084,8932.60022956,8844.0199355,9337.4713386,10047.2005554,8730.5869225,9394.4837696,8692.9639554,9517.7636699,9691.12177318,8999.6089168,9227.9585928,9359.63984288,9758.2820773,9063.2976316,8881.8626695,8785.116327,8714.4492522,9557.7031252,8799.1241718,9302.2305246,9518.27762098,9313.60999944,9770.61816018,8635.3235458,9712.2098041,1991
9282.9880957,9466.3538211,9156.387136,9483.56669999,8984.9636016,9699.64222369,8870.7385959,9863.1596201,8952.1724101,8811.7643467,9648.641213,8231.4764195,9236.9425224,9373.47780807,9698.1180627,8791.5721061,9143.1964969,8467.8065473,9248.86135942,8984.4771142,9589.8166917,8602.2849266,8955.4132832,8872.1198558,9231.8511153,8998.9064506,9929.5736561,9271.9465501,10305.04825481,9563.2208832,9215.69191245,9016.456371,8784.0585726,9105.7557978,9383.4655474,9144.39781138,9430.9133664,10011.0255889,9676.5617254,9408.5413611,9463.4178421,9378.2613831,9524.2383067,8894.2262004,9503.1247875,9277.1437445,9646.906489,9440.4532829,9281.3932339,9240.8320896,9678.7188936,8682.4180633,10057.1666686,9400.0332248,9882.8054495,9852.6463398,9571.51590382,8606.6876283,9425.4647226,8912.9147735,9756.2802159,10007.83740494,9554.975005,8416.9237528,9727.2302998,9634.4150673,9117.3003624,9401.3541677,8642.3506223,9491.8492787,9614.1537499,9847.009601,9055.91515995,8596.9675593,9554.5504869,8926.18883195,8875.8417849,9332.5158987,10018.0379501,8743.4374593,9406.7039255,8634.0340377,9562.8188002,9663.08387648,8968.5076683,9266.7027158,9297.03030531,9719.5967171,9135.2240995,8778.8830771,8787.6949043,8819.1903568,9571.3486093,8796.1484387,9250.1620116,9610.62491222,9322.43892755,9702.44208278,8616.6613385,9706.09547248,1991.5
9282.5743425,9584.5808597,9125.6535352,9445.08861695,9015.1541074,9589.91815452,8797.2677666,9864.5399212,8976.1334998,8943.130711,9516.23168413,8284.3147716,9342.072213,9332.61134485,9656.8089674,8762.7782502,9048.4516327,8562.5458189,9316.9753035,9077.7208462,9629.9906615,8605.1580127,8991.5342099,8825.4161083,9241.64412686,9057.9804194,10030.8395033,9230.4504206,10367.60633562,9426.7119563,9200.9971107,9024.6889009,8775.9443936,9069.0579377,9265.7584783,9078.16882272,9493.4602106,9930.7475696,9675.2613073,9440.0254451,9474.6830365,9450.1978961,9554.2250399,8819.4979184,9392.0767102,9311.1966861,9530.3879901,9635.5776802,9350.7329924,9166.3768375,9617.2735643,8644.5705338,10017.983859,9365.23827568,9845.4964315,9839.6115763,9624.91048216,8597.9988155,9327.8518841,8926.4954345,9656.7380817,10082.22373658,9610.1505636,8422.8524439,9652.3823721,9590.9522748,9104.0660633,9342.730696,8678.1464124,9473.9906735,9653.0999698,9749.0280666,9102.54839455,8641.3801475,9623.9374702,8891.47207278,8956.4202556,9329.2773363,9978.8445991,8690.3001948,9478.3412723,8577.9600491,9555.3103322,9573.68847704,8971.0313571,9340.9402877,9293.56608426,9682.3354221,9201.3972805,8682.6431373,8760.8929033,8901.9792131,9667.2266915,8776.5983496,9133.654691,9649.19023938,9329.09232516,9660.97709435,8609.9439683,9639.46548974,1992
9138.1699514,9797.4269137,9064.0134817,9322.88025421,9036.6969748,9555.68277594,8773.8415507,9869.9957409,9059.2049155,8970.8033915,9450.54975663,8303.7609648,9365.1646024,9311.5980041,9625.0309042,8732.9045832,9003.1298354,8622.4755128,9476.07486802,9090.3070709,9752.4626517,8661.473651,9082.0188963,8822.1795389,9254.18629504,9146.2483694,10075.2555258,9138.0734373,10375.63366093,9412.7776349,9163.16760759,9019.2248898,8818.3165234,8993.397263,9181.975464,8994.0056847,9482.6719825,9815.4477844,9622.5104633,9447.9757148,9397.807099,9499.9181279,9547.9012175,8839.6671123,9343.3575452,9292.970212,9429.7123662,9737.6706652,9365.4877999,9129.693763,9593.2559975,8618.6884581,10008.5713851,9373.91897739,9821.2324291,9844.8200198,9597.50607579,8592.6941658,9313.8176239,8894.4847348,9630.7858327,10166.67294815,9622.7360128,8447.3894798,9661.9399719,9606.0413235,9141.7792066,9328.1662236,8670.4136823,9394.9019751,9643.6925736,9687.9088998,9163.92811046,8613.3358325,9695.0203259,8872.40105699,9002.5388563,9323.0378929,9944.5364616,8731.3079075,9514.4708034,8543.6672687,9580.5355517,9468.15365451,9031.0492726,9360.0765161,9317.26355547,9636.7736207,9321.0041806,8613.6377973,8736.2345913,8955.8936248,9740.744577,8763.8231184,9171.8857864,9648.58398389,9395.49843209,9604.11160161,8613.1681926,9626.05630474,1992.5
9073.8130606,9922.2605265,9048.4851705,9304.45793095,9099.6784138,9543.60498401,8817.3817911,9958.618807,9173.5787288,8982.0645986,9481.17815936,8389.9624534,9429.580914,9334.08423963,9714.2922938,8775.2399495,9001.8922525,8751.7802719,9609.12084481,9171.1151775,9861.558673,8733.5557512,9247.0068987,8806.320301,9295.55166142,9211.6834444,10133.2674721,9153.1019819,10450.3303078,9454.6804506,9314.71270778,9054.7615317,8902.8434874,9069.8371639,9137.0231279,8908.72184265,9460.2919156,9777.2823793,9635.7724002,9562.6558711,9381.2832698,9535.4147928,9623.1685907,8894.741176,9308.9643778,9332.8041372,9395.3590331,9855.1571932,9463.4526165,9133.3604786,9586.4045705,8669.5460009,10021.1728178,9427.52400789,9841.5882139,9868.8583766,9613.47723257,8609.9334357,9392.7348817,8846.417737,9616.1918331,10184.32394871,9758.7237551,8510.5626225,9685.203431,9692.365872,9267.0137326,9376.1335599,8742.9980938,9346.8652522,9652.6928326,9691.2450885,9300.15774223,8696.6170722,9657.4569891,8852.38160251,9123.01626049,9299.7824302,9976.3588409,8728.8490102,9572.7547134,8504.2686646,9576.1150994,9444.04240654,9203.9451112,9497.7888698,9393.65948799,9712.4370219,9352.3962293,8665.7799475,8765.8121145,9100.2826354,9853.6671321,8750.1225181,9247.4519192,9752.89823098,9424.9177951,9578.12271739,8664.6335329,9660.16377125,1993
9203.6610989,10142.5377451,9202.7999926,9392.46429208,9353.771338,9711.59917854,9010.2758327,10221.5100261,9420.9361819,9149.1413354,9719.63568822,8523.386622,9708.0368476,9485.404685,9923.384297,8994.2181013,9149.1645894,8964.8177598,9876.76628135,9403.2842601,10042.2309313,8945.618231,9499.3317869,8977.9318967,9510.16971512,9420.2582184,10311.3362129,9434.1986143,10648.9045347,9521.0798124,9603.11999053,9259.5481195,9139.3950533,9353.1021327,9366.1036452,9036.50169027,9583.107149,9904.4039076,9940.7185099,9789.2155027,9571.5704356,9786.6373516,9846.0584689,9050.8241501,9500.7951244,9563.7468705,9532.3918456,10049.5912161,9737.7911246,9298.9032516,9698.8739331,8765.9976977,10148.5209311,9620.20255966,10094.604854,9992.5289207,9818.16412172,8863.0629489,9662.59639,8953.9100784,9809.2834985,10295.10449592,9937.1402527,8722.8977714,9868.9246977,9863.7007653,9659.863536,9573.4607949,9010.8642551,9460.4865361,9819.2657848,9817.9386622,9550.41312462,8957.8628536,9813.1543072,8943.744513,9294.94496611,9443.1606017,10142.5055294,8887.2239463,9804.0116005,8635.93849596,9694.6745969,9550.79383553,9463.376695,9688.8460632,9686.23748368,9844.1062574,9533.9442727,8810.8872101,8924.9712785,9304.7884995,10087.2873678,8917.511643,9474.9847368,9991.04345214,9632.0396354,9701.1097117,8855.0034677,9926.98900372,1993.5
9604.0969925,10425.6306097,9501.2489662,9699.02093465,9703.3472034,9978.37974231,9348.5204059,10655.6035008,9763.9859429,9402.5092358,10141.25910291,8726.5903573,10077.3513435,9831.25610568,10384.0712459,9389.6312593,9369.3881652,9275.7628085,10300.08072001,9719.8200347,10301.6021242,9304.3312209,9891.7271358,9202.8357448,9855.71564688,9655.582346,10658.5975845,9868.7605853,11039.2323047,9794.4427941,10054.34051021,9650.7820956,9574.8913926,9649.4478706,9806.0725163,9384.81723964,9940.6754643,10259.7391233,10449.7837138,10071.8104832,9891.9175188,10130.5578322,10202.9567623,9331.7227488,9907.1644168,9957.0920953,9826.3936168,10453.5132795,10074.8294598,9608.7613649,9915.0978757,9076.7901644,10472.3764048,9969.16329916,10513.4105065,10251.2068604,10257.02842069,9301.2545832,10031.9407364,9226.7036995,10119.6829432,10582.54379924,10293.2398776,9040.7092065,10110.8595815,10161.3141234,10118.5524789,9954.2220876,9330.8082167,9823.3070098,10217.7559749,10142.6045148,9918.98497706,9354.3686723,10188.7990323,9200.09392613,9493.93774327,9710.5188439,10457.8467139,9193.6348809,10132.0759584,8948.9358133,9940.3631433,9829.12190902,9814.9294714,10045.114172,10102.43094447,10173.2736896,9869.9010012,9069.3088346,9293.337821,9608.5065468,10470.2987537,9239.2007388,9839.5160135,10338.35097813,9865.5921362,10030.66751325,9162.7421941,10286.94486495,1994
10007.7159836,10641.6149399,9859.8073876,10040.20725527,10031.4562093,10218.16129509,9655.7392177,10973.5893706,10042.6193671,9658.4459411,10594.97656185,8928.0270666,10421.0597799,10091.67804401,10702.7953454,9742.3111947,9583.568144,9452.8086113,10652.14197522,9979.3707566,10558.9407309,9622.503796,10223.9632674,9350.3521599,10131.84052304,9921.616861,11083.5685638,10290.1649808,11321.9817,10057.9029096,10374.3420242,9994.3871652,9982.084785,9974.7793644,10158.8888674,9723.68708366,10283.437614,10615.9605179,10957.8581455,10232.052282,10202.3930003,10431.2376988,10475.8963701,9594.9730465,10319.0898388,10274.8627667,10044.5518497,10760.2938187,10409.9542341,9903.0863607,10133.284111,9301.5302474,10681.4275871,10226.44346641,10842.0670348,10511.2804517,10611.16133447,9694.6037027,10366.9420833,9440.0766989,10443.1299404,10818.93002445,10621.7657428,9304.4746082,10351.2608011,10373.7541574,10508.5550015,10359.4688094,9640.8949648,10025.0160911,10621.5505628,10410.3045149,10134.08193775,9752.6721271,10563.2769,9417.10388109,9651.26798884,9946.5003216,10680.5630645,9486.3545283,10424.6508618,9285.56597101,10205.7643729,10034.52686498,10139.5665704,10359.562789,10442.95142584,10596.8937738,10130.8001694,9299.93262,9558.8879038,9888.9117406,10796.3878952,9560.1792385,10158.7891183,10608.99336042,10071.7111616,10309.40121387,9572.3760952,10673.92223412,1994.5
