"run","max_gradient","converged","K","Linf_mm","CV_old","L50_mm","L95_mm","R0_thousands"
1,0.00569689,TRUE,0.0968861,1008.45,0.0837877,395,405,9934.41231259741
2,2.9926e-06,TRUE,0.0942267,1024.19,0.0801675,395,405,9798.94494314229
3,8.31772e-05,TRUE,0.0971741,1006.57,0.0886613,395,405,9930.24073551863
4,2.74967e-05,TRUE,0.0958657,1013.83,0.0875739,395,405,9726.01953990639
5,0.000372999,TRUE,0.0955422,1016.32,0.0860178,395,405,9895.94147451335
6,0.000773646,TRUE,0.0944849,1021.27,0.0850493,395,405,9470.81269174382
7,0.000143972,TRUE,0.0949125,1018.96,0.0850306,395,405,9833.00634444877
8,0.000445523,TRUE,0.0955123,1017.33,0.0878498,395,405,9837.13707450603
9,0.00141565,TRUE,0.0972869,1000.61,0.0884244,395,405,9847.07760207267
10,0.000310023,TRUE,0.095424,1014.85,0.0866164,395,405,9793.06733963378
11,0.000286183,TRUE,0.0935044,1029.05,0.080123,395,405,9472.51759146471
12,2.45027e-05,TRUE,0.0953589,1014.29,0.0817278,395,405,9248.90088312075
13,2.81627e-05,TRUE,0.0958102,1012.26,0.0882747,395,405,9698.33984651642
14,0.00125419,TRUE,0.0959896,1008.54,0.0843483,395,405,9919.12509181727
15,0.00085204,TRUE,0.0945513,1020.72,0.0828718,395,405,9403.14982599028
16,6.68409e-05,TRUE,0.0956957,1010.91,0.0819915,395,405,9773.89172588832
17,0.000245635,TRUE,0.0959393,1009.8,0.0848178,395,405,9653.34725507621
18,9.66056e-06,TRUE,0.0957453,1014.74,0.0804157,395,405,9974.03006062337
19,6.52648e-05,TRUE,0.09534,1016.85,0.0845852,395,405,9632.61485379547
20,3.16912e-06,TRUE,0.0954408,1013.49,0.0846684,395,405,9653.92647328789
21,0.00387883,TRUE,0.0959303,1014.85,0.0852985,395,405,9750.9500473627
22,0.000303075,TRUE,0.0950552,1016.16,0.0811729,395,405,9579.68510133174
23,0.000994566,TRUE,0.0962584,1007.24,0.0890156,395,405,9726.11680058808
24,5.79889e-06,TRUE,0.0956068,1014.74,0.0871843,395,405,10112.8280409993
25,0.000101402,TRUE,0.0948521,1013.74,0.0871897,395,405,9823.57118795783
26,9.03681e-05,TRUE,0.0958105,1009.98,0.0799114,395,405,9556.05247743698
27,0.000260308,TRUE,0.094849,1018.89,0.078859,395,405,9754.65611248847
28,0.00121474,TRUE,0.0950801,1020.2,0.0895869,395,405,9768.61524913329
29,0.00131625,TRUE,0.0961641,1010.21,0.0884106,395,405,9523.90278324945
