"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
279468.86272388,278994.14218984,272742.00611108,277618.10665193,272861.6332889,259547.84990355,272515.44290649,281580.59864292,282192.09220776,279412.10103543,284206.86867235,281468.3341077,258226.36396379,289112.84265718,275030.06576244,276136.41367135,263926.42040277,274354.68692943,267640.3844652,261393.52369253,277350.43534243,283182.80003889,276275.22151138,275165.5449937,271471.98432918,275598.45041671,273575.48795238,277561.69364571,283132.31254208,279188.24546066,271901.08246819,277992.40888457,265523.24103331,269067.45402947,269902.93187171,273650.78294471,274191.27044886,261011.90355456,288258.30248598,277066.62672374,273971.36623748,271755.20366634,282003.05053128,272898.60539442,269451.88018496,282366.93943655,267409.05228551,265466.38644985,266153.84830445,265323.12195125,275742.67706213,280262.02049203,266386.95661776,274805.91745273,271343.47746512,275097.88565418,269308.23514544,276635.13147874,279189.9165205,259541.12243672,285433.10211876,283163.91217072,268729.06270925,278393.63687142,271562.4487096,283550.02867891,269555.49172542,276190.08292968,273706.9987326,283818.39615909,273837.46422139,270705.03855121,286144.06161907,274130.01442368,272253.5912275,268849.48685284,269400.8908374,271906.05689389,271715.84614886,276907.6688583,272493.91935605,262829.83778372,258156.28380271,283687.80009246,272575.02841458,274493.97865371,275958.61607614,270550.7964764,269642.91822081,271739.7975073,264065.96712845,274430.64507208,275747.57622959,276393.67543111,275505.74670749,271609.24636788,271358.09042968,276516.02471288,265638.96694523,277412.18214088,1990
277179.76710323,276365.1272314,269846.16244183,274996.32236824,270554.16069611,257426.62682795,270208.92779463,278930.93149366,279485.56973966,276592.65992927,281899.24950964,279602.88389682,256278.7123968,286374.66211899,272559.38407491,273454.24416317,261575.79878573,272079.32457398,265195.61021711,259055.69470133,274528.21940437,280620.51921534,273613.86597775,272630.64114783,268408.14854941,273199.16687671,270799.13711085,274755.10657264,280370.81660536,276251.25833429,269342.71982237,275111.98238613,263204.25207612,267080.359932,267954.56655803,271419.73441259,271601.94608624,258769.75312527,285377.46888456,274076.29342346,271692.74975546,269101.64129432,279617.36290494,270358.04883696,266694.24995965,279794.3732006,264668.07205893,263360.26360477,263651.69589339,262590.82185548,273369.70605475,278386.99875245,264030.38464566,272278.63061819,268535.26116633,272444.30321445,266666.39200258,273681.88323025,276509.43100294,256865.47294645,282459.099386,280638.01175819,266668.49522603,276078.54427573,268927.69648309,281009.62716157,267252.92571306,273575.95695125,271353.98044794,281189.00717569,271422.85065555,268215.75131517,283500.94797385,272097.9898982,269855.05889157,266268.15286121,266843.63487894,269209.02915402,269392.46318371,274374.58316528,269848.67235725,260517.13394277,255844.72602873,280635.77212828,269795.42205477,272103.34599429,273012.3490331,268250.99594335,267435.67964044,269532.58167492,261642.00528091,271577.17125911,273508.8225113,273721.55502351,273201.78075506,269386.20118512,268955.44074212,273517.47841611,263494.94653939,274642.55995704,1990.5
273254.69634466,272450.28808138,265834.52449939,270709.61911387,266895.29106839,253475.5292412,266537.56618054,274334.15761458,275313.14596071,272445.66002955,277785.05596595,276185.65393577,252996.29000246,282182.78718809,268709.53926254,269312.66619251,258016.42659408,268134.03592068,261695.28176819,255181.30896515,270465.30117277,276169.17712732,269546.66653533,268172.35954798,264239.8975181,269862.85022343,266475.75593812,270668.23438717,275824.06509523,271775.04513314,265629.25858362,271525.49174705,259350.93590337,263371.67325702,264312.37448493,267678.27596094,267503.91559796,254969.42340074,281148.31212083,269951.02474807,268171.36448579,265225.02761818,275325.40589081,266286.91989454,262934.64917935,275560.06186532,260704.50310578,259570.71631718,260098.19759673,258609.07343369,269541.94488243,274752.23705503,260241.50644384,268282.24868277,264632.79056168,268721.89401489,262550.93985659,268855.14290881,272483.25192497,252997.83212299,278454.31626192,276227.39142177,262736.14162137,272249.97996188,264519.67634214,277289.01342333,263561.25773471,269331.12998332,267455.35676809,277093.97641235,267468.3331584,264704.55342265,279571.29192088,268330.34663676,266099.37052641,262404.102047,263127.00686791,265608.02031637,265711.97794012,270335.84814184,265491.67489237,256823.64593088,252141.34393894,276450.01371056,265607.68242059,268178.69958156,268820.71417432,264557.25956852,263446.32726618,265839.55081545,257716.83021352,267291.89654147,269506.49391911,269882.5978346,269192.77382527,265948.98364429,264871.67177927,268989.4978714,259969.68473436,270349.20863059,1991
267177.70314188,266880.84890578,259932.65689475,265108.65205679,261314.28250005,248199.82206276,261108.82180856,268372.49725037,269658.62110392,266786.13926056,271882.54726757,270402.7140844,248153.34381707,276309.80666853,262813.23075014,263392.46813552,252206.49146872,262774.80489544,256078.69074101,249266.55245422,264598.15261236,269915.59087007,263741.00068766,262072.97964854,258053.44187596,264489.45476197,260610.61021588,264522.86342225,269654.76485404,265625.55575059,259844.34392078,265608.57579959,253666.69428134,258274.96981596,258770.38677613,262198.69375727,261872.31914891,249187.97924406,274800.90764151,264088.82804074,262766.17081981,259438.01395957,269372.84997825,260237.51519961,257473.70273898,269477.79964907,255289.71502943,254166.66475657,254981.32831537,253359.5766645,263510.12124956,269242.54736135,254536.57964187,262506.14654179,258852.29023277,263228.43109722,256742.52916381,262560.76109342,267272.67098764,247520.1319048,272425.42356593,270322.59422285,257343.83266157,266302.92571386,258628.30959703,272208.17585052,257743.94808224,263305.24544797,262261.31271577,271037.02884986,261878.57243569,258826.14429497,273893.94533528,262973.66508884,260683.0575787,256830.78887055,257731.92712222,260356.59491032,260023.53466333,264699.45342496,259706.05891463,251570.79926582,246693.56391951,270518.90066224,259814.63317634,262291.75263704,262670.4146324,259110.87044526,257852.1240168,260574.58884595,252073.02366742,261122.5122233,263758.19063478,264602.4181007,263664.3642972,260408.07475221,259504.7841906,262938.65953299,254683.45197442,264291.05272753,1991.5
260442.31207302,259525.68253325,253244.46257412,257911.48679156,254464.87224171,241798.70584723,254494.74595272,261232.73888206,262961.7525739,259452.7410461,264773.14309428,263762.82436136,241572.47702424,268904.07556663,256239.77668926,256474.94380895,245677.83038803,256265.3545881,249386.41820391,242810.87759161,257418.1672,262563.24686621,256897.39631607,254641.03243767,250850.46363504,257976.8494516,253811.15169126,257168.62609241,262284.95607475,258071.5377661,253041.78313734,258448.26322042,246871.47474915,251866.65035916,252227.9022095,255449.35176993,254926.29275315,242416.31410885,267439.02345895,256527.63619645,255926.75727416,252734.27354237,262227.54319138,253588.23724239,250618.08025173,261850.03702479,248508.75760418,247243.2547122,248614.52177807,246899.60884469,256337.35114368,262660.6763745,247728.73436291,255471.69070769,252564.57807935,256766.07784261,249475.125522,254817.39810706,260093.07312225,241112.33258788,264730.91891941,262914.46126518,250538.61536559,258953.18821466,251689.23882186,265251.35203432,250663.46766989,255773.41188162,255470.15305435,263673.30856804,254592.75982989,252004.43984648,266406.48647463,256683.62686967,253915.28102994,250454.9702736,250518.35841089,253497.94619353,253132.52137296,257967.04825204,252714.75689616,244935.46836676,240080.36096144,263185.63890006,252563.18447747,254990.64158618,255877.18196254,252205.66971869,251365.00625789,253668.09799395,245415.36436636,253816.25167614,256892.53292538,257865.6818901,256810.91039103,253787.88832835,253097.64194752,255919.953962,248739.94479833,257457.23423195,1992
251599.76014028,251517.44792722,244395.02881919,249518.60702421,246391.58226508,233715.08169087,245814.36381657,252745.99642396,254085.05634368,250457.11073748,256367.15794465,255410.79854712,233739.08822163,260067.77622804,248329.80770662,247896.03167451,237456.54996175,247846.63911424,240969.81017546,235359.97007281,248738.01728723,253816.84340408,248468.48801419,245891.94619367,242274.71689611,249561.1176878,245406.0996819,247995.82267211,253800.8335649,249267.52732777,244879.50809758,250214.85733347,238919.92164825,244117.24463035,244354.79145322,247113.08926512,246541.390959,234568.90557743,259007.79388368,247969.40756181,247721.98627552,244350.9378916,253554.68628005,245772.48377948,242151.66935783,253483.39428765,240388.10980143,239377.42789802,240857.23300942,238530.4435596,248096.45479014,254374.72313103,239308.53516668,247411.2864263,244802.09138144,248387.57588713,241479.40517982,245922.33436583,251374.29205964,233652.9552982,255839.45722096,253913.23119945,242218.41015062,250550.00895687,243529.00680431,256715.31467089,242719.68425839,246853.82642702,247271.32269224,254980.31943913,245770.07905545,243827.98419035,257699.93755224,247955.6294145,245759.08767575,242415.70377752,242887.33769776,245427.97966321,244924.72594289,249618.31711726,244055.10534806,237004.2797812,231739.47387189,254386.28550347,244161.35331556,246884.66758477,247594.80400418,243423.5588216,243647.83162143,246081.95233744,237722.49571358,244648.81555614,248826.34591617,249573.57823797,248413.94214385,245733.90461565,245679.51290897,248061.85981337,240716.01578359,249440.71173197,1992.5
242810.42712205,242194.9576278,235510.37300201,240174.39341722,237208.87911786,225567.00158524,236336.51534048,243857.7405049,244257.25004408,241163.08649723,246888.74447345,246919.40432774,225651.58034621,250669.84519127,239293.19697006,239055.85216572,229055.92143703,239010.1432851,231800.67586802,227492.9563826,240104.94346629,244435.57575328,239841.18610812,237187.61616586,233451.383623,240347.57275058,236476.30137271,238359.07243326,244528.00939199,240541.25900925,236394.11056355,241095.25011823,230331.40473916,235914.67024755,236361.03342493,238312.26597249,237815.60189384,225710.172384,249653.48235362,238582.25056664,238541.60170777,235426.96598577,244387.43066698,236788.24794319,233592.45778182,244167.55426047,230992.58252263,230104.6382086,232299.55983857,230090.26806228,239106.04758964,245147.16453183,230728.07983894,238902.41922267,236685.80174706,240097.93358941,232852.71275419,236695.77715883,243107.97279999,225130.49721962,246605.06377434,244052.08615804,233878.30579646,240948.55926952,235021.3377513,247622.8070763,234622.55057979,237420.71599747,238321.77150013,246017.28090742,237161.78776768,235119.08546534,248289.16935253,238843.59319985,236424.25855026,234180.01524214,234588.64475028,236793.09355882,236047.72481206,240901.95851928,235046.70467233,228731.81257586,223531.84722196,245118.68342488,234562.33406928,237734.42378458,238387.23502793,234878.15584422,235569.60643103,237321.76836388,229451.13655719,235476.19741471,239908.3507929,240654.27361025,239489.17723748,236831.89120752,237360.14880463,238938.75087409,232277.79762449,239822.9919404,1993
232985.62382536,232603.01445571,225782.22036311,230083.53294587,227381.3762972,216389.92136698,226129.51986007,233602.73038397,234040.08843342,230956.57978707,236130.85810619,237177.57648174,216396.37636718,240003.99038698,229699.94813638,228750.8644797,219822.48648715,229513.88029763,222568.6005991,218371.45882781,230026.1916567,234016.19064664,230084.65543707,227304.88001001,223066.14954674,230388.34595945,226402.50447972,227730.10505086,234518.11478364,229784.075442,226526.2893704,230860.94189602,220507.24689448,226083.22185791,226781.75670593,228853.90399829,228185.163957,216474.96333468,239070.81413041,228387.58997279,229054.96319162,225693.4181076,233942.41238819,227188.21975754,223643.71286787,233928.08689529,221232.32682005,220513.74884712,223005.36115112,220747.39716854,229930.91525263,235004.04753424,221046.44325135,229157.51163156,226907.38101188,229988.24082667,222947.66393955,226962.95643522,233402.66293519,215900.9331502,236605.37402974,233548.87429227,223973.36410847,230663.78440376,225041.11727891,237158.51396414,225426.92052277,226768.00070142,229056.25043315,236114.74092408,227448.40969768,225392.33802669,238100.45840524,228804.68429083,226704.0091235,224875.09778262,224789.65588813,227663.64305176,226386.41321645,230996.32466605,225162.65720731,219262.50375077,214434.3432973,234642.37100152,224775.31819304,228618.40938804,228333.4482563,225101.04173746,225924.31978553,227696.73020583,220366.90178742,225697.24472269,230411.72113709,230776.71510727,229840.33609487,226843.15552975,227590.55502959,229519.70891977,223267.57470446,229616.67690744,1993.5
222547.60073329,221909.21145613,215651.31040545,219335.47512151,217260.60379344,207117.67212709,215518.38242709,223253.76822209,222973.19794119,220613.52949058,224814.98339938,226689.73032015,206355.0942064,228861.7959789,219866.75114015,217518.56632876,209685.39002228,219414.00047581,212786.68726945,208638.13526757,220078.97244665,223194.39504706,219462.68842191,216053.9464533,213041.15102864,220584.76518583,216593.99655275,216942.81905719,223652.98079905,219213.94901216,216043.52971113,219613.92712489,210464.6324987,215863.36189098,216590.45513419,218754.16008292,217671.54072381,206580.48219747,228299.5574549,217440.98199418,218976.24582842,216097.82554087,222991.77723343,217203.67407596,213500.25291547,223013.83691117,210333.74147732,210573.87958433,213060.36666432,210753.37796918,219049.95250852,224390.24976641,210720.18303712,218263.00191367,217315.14625303,219336.16653901,213105.27752502,216209.43446252,223014.18487329,206114.3285665,225667.00809597,222528.29976558,214152.67303776,219997.81453616,214350.05709129,226560.70635632,214999.43547605,215694.39839518,218608.63102288,225178.10491287,217269.72063482,214844.64041863,227395.10912014,218396.10182691,215624.839015,214740.58851099,214307.37100856,217932.47956548,215357.87240372,220820.16334418,214252.84792753,209698.90129969,205022.46477441,223809.34173439,214116.80301221,218450.50707835,217505.16206463,214410.19978217,215444.3914784,216975.4547972,210087.30503811,214931.38082094,220310.44296328,220322.8360729,219578.30213183,215993.74451568,217875.09697809,219372.15483645,213218.58814071,219617.38057534,1994
210624.53765687,209514.91661124,204360.70646577,207876.98628034,205992.76001245,195888.90724056,203581.34729146,211113.95571468,211468.12959894,208931.62489357,212877.58665205,215666.04877171,195627.40916136,216873.871452,208056.71505644,206127.94506975,198884.79604539,207617.97653676,201411.83163396,197893.64963859,208508.2976889,211349.02650269,207857.76372538,205181.37711317,202488.39629383,208994.16041851,205443.36069876,205220.4636581,211903.5045905,207393.49476437,204408.88084202,208014.59224331,198833.62655102,204329.69550989,205391.50173173,207116.2868189,206201.89954771,195480.11101851,215811.91391347,205544.15007229,207520.00576141,204717.37824198,211751.5951441,206169.14701534,202777.45606218,210936.88716992,198667.64044802,199793.31047884,201786.0527371,199339.70879448,207023.06162922,212379.25133951,199301.4089139,206543.71071412,205682.16041465,207822.21403044,201073.06321369,204652.87800641,211910.52086981,195734.76843318,213716.16410321,210723.95922715,203532.37449102,209119.3989938,203078.24837149,214351.65263159,203410.17024405,203515.30362312,206966.65113747,212858.81107559,205730.93258056,203427.58841881,215226.37929612,207078.36858383,204015.66091513,204193.62569392,202809.29633859,206680.86684754,203960.67706415,208895.29283947,202353.9341571,199004.19366037,194208.11704704,211614.02850861,202986.96858375,206745.88879946,205101.85590539,203394.25162741,203765.37605999,205485.06217346,199195.98703718,203687.84975061,208743.95798545,208244.62225356,208011.55287039,204243.37772685,206751.39445259,208312.29409253,202895.97034637,207871.49355002,1994.5
