"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
289412.737762983,289303.071824124,291874.317854204,282252.084681629,279482.148824104,277237.61221005,289461.96146305,287315.755362204,289861.989182169,289556.174964856,281151.917845232,292128.228683564,285660.930852817,288257.636759608,285228.483767941,285025.055151111,291824.145734857,289520.874393704,292141.303888373,281777.732527746,283048.241449741,291586.589889905,291744.896997321,281052.574972208,290545.550007541,283553.012084015,295310.10171523,284901.737459071,288188.889369826,282284.362256198,277329.910194368,289218.781132209,276483.34184908,288140.322125505,273696.383992054,280861.858341355,282120.877862517,283998.669915258,287695.659410676,285862.169820233,298078.852690298,294840.432677021,295312.8063413,286902.772271542,286233.308981174,280722.228982001,286320.498599685,282133.176921742,280320.726236811,302645.691442565,288907.795313558,287283.509788554,288727.827509236,282804.158023994,292775.829522687,290360.491368839,283661.802039752,273854.6064037,284683.192203028,289935.276310705,288253.839781206,287299.833812612,280739.660982849,287973.597814148,294264.4876902,283122.621512694,298427.346491704,288115.81274032,287161.970419159,291788.484873406,278853.74712579,286559.304344857,289468.617431503,278651.209707837,277339.785381317,277094.710576412,282285.175483346,284348.60720402,284532.305138015,291004.575064215,281022.677210392,292836.843091307,296949.692675332,287056.194454757,293799.372171195,291703.927960416,285247.876973525,282655.497988138,291727.7329117,296539.138077215,281567.86362118,282805.565759723,294279.863153282,289414.275252356,285271.914738172,291421.243218049,282967.397545115,292671.262497472,294748.783004073,285826.837634868,1990
286754.313435074,286828.215908413,289384.659117084,280134.153154408,276689.943472275,274906.558747091,286712.880298004,284313.090472941,287124.248400406,286784.70897972,278875.825939137,289586.512999334,283255.053547573,285683.31664484,282705.126188417,282491.445628132,289086.116410484,286346.543596864,289219.643789527,279386.203340409,280615.612613707,288533.246552736,289171.892117531,279042.309082196,287597.458368697,280761.919778259,292564.213537791,281654.208828629,285588.843029807,279106.873265733,274793.312630994,286040.623585454,274117.616778923,285492.129692834,271187.394253711,278722.55236301,279814.121227589,281469.348135404,285285.309770139,283386.160092881,294822.696657082,291884.811299806,292682.10101942,284288.960737345,283556.060285216,278318.947400405,283945.259243024,279867.473005244,278149.002781908,299522.648063751,286383.747715113,284765.452115603,286047.116847216,279964.509122739,289633.58247876,287434.173147144,281470.463790184,271603.053100803,282190.64721868,286902.593009982,285578.83806028,284149.98828026,278011.872094957,285442.927128538,291597.26288285,280781.377102084,295749.827037528,285265.619652512,284591.588092413,288636.254537581,277040.366059401,284199.887755622,286843.284301397,276036.696278269,275228.571543965,274498.132646684,279721.04475145,281256.351298229,282265.014449845,288027.057693976,278724.029255306,290272.512150837,294304.351704558,284554.180026317,291671.716966165,288793.573738181,283037.822800006,280440.961378516,288714.794346843,293467.57029593,278879.93156541,280423.146238522,291513.195777172,286717.156175151,282390.00668983,289178.104181136,279998.924187025,289752.216413117,292111.4254824,283205.829027279,1990.5
282378.725510155,282967.418372424,285415.465552905,276455.103197596,272814.67234203,271266.402788224,282651.571710112,280184.456041602,282945.265687213,282330.397544726,274938.27836964,285227.396380205,279381.55664012,281174.917945089,278307.063986842,278585.950361418,284963.873203149,281920.409261651,284709.540731097,275597.270865815,276304.456811811,283869.447605543,284875.229186738,275546.42605735,282956.837387575,276206.314483293,288294.342364689,277321.336424587,281590.671630755,274852.653703528,270987.653314447,281017.809908016,270449.707415619,281327.294179993,267206.255084242,275011.501983404,276027.567892333,277392.786493447,281562.588344893,279162.442405137,290163.775189845,287406.679953558,288285.47495622,280002.748137959,279242.029177245,274230.64634216,279567.998209246,275504.181538834,274401.196747948,294645.423102244,282212.070381645,280388.154851922,281454.114834101,275506.094058886,284799.576355575,283066.482188893,277947.101394557,267951.589879336,278271.686135314,282851.30523581,281360.877849037,279509.275630671,274019.424101487,281407.150937306,286983.55958273,277118.612254959,291524.154296532,280612.417322986,280417.161965083,284183.690868966,273512.411362137,280112.901331728,282661.266218062,272356.149160237,271549.044670118,270573.740548315,275573.272449873,277164.779872092,278615.079676895,283533.020010546,275222.027391079,285791.916950056,290159.174611906,280621.347331324,287797.773495817,284364.425285508,279168.382758028,276465.305235432,284352.45979903,288840.462651242,274376.06131758,276439.439373277,286911.866136738,282217.157880441,278309.149182782,285297.402961753,275859.074352804,285258.563867704,287865.363709282,279203.72424062,1991
275995.162740747,277068.5140398,279897.801909051,270579.659470373,267501.131805693,266284.441218943,276973.249512326,274265.2399385,277060.761130859,276338.552310173,268843.947632087,279371.365656959,274029.30433773,275390.349849776,272365.975126817,272881.110940098,279161.711580466,275560.733998545,278498.196333575,269865.610600768,270569.510978577,277613.511685945,279097.381303461,270323.874201943,276894.922351822,270318.614705329,281872.91392317,271471.902557184,275313.99356692,269289.923068859,265694.70352306,274538.586892443,265259.816766845,275075.062382728,260957.879224128,269674.745975023,270081.679377334,271391.171013011,275626.935568259,273494.572549087,283664.65049685,281516.330166864,282130.66516783,274310.125607319,272820.678884289,268735.830201974,273279.688716399,270102.057540425,269049.703183692,288611.759615301,276218.486869483,274310.457111852,275515.309696368,269404.616723838,278868.267053,277008.026952066,272394.70607031,262755.379285917,272414.474929986,276876.334882536,275325.575632321,273061.080955251,267987.499022293,275533.632263078,280846.25045647,271522.073780094,285155.431493127,274834.759927221,274185.689890251,278135.171333509,268050.45403712,274496.487867871,276772.562580285,267371.602188605,265503.67449212,265035.681259617,269974.238921024,270768.483695729,273445.050818292,277800.196818048,270348.050941363,279679.254696103,284358.633108538,274876.252069507,282239.796237166,277989.790743627,273777.026294237,270807.08357691,278513.597302463,282476.775118651,268517.25121747,270695.193871373,280782.406523541,276533.838035131,272591.166542571,279336.382142025,270064.478782549,278947.103349427,281818.74834877,273492.324626555,1991.5
268666.978472899,269745.439741028,273046.183217689,263226.536924522,261134.038468604,259600.51342014,270178.475209922,266685.041537701,269342.521678006,269243.516575729,261465.304582815,272052.511071477,267004.34018345,268418.169805349,265600.565732031,265844.492681394,272148.662022149,268183.165011199,271218.452408857,263525.942861389,263701.607662165,270429.211315271,271574.357953813,263992.764546089,269381.849857412,263094.483833846,274570.698336043,263960.659846486,267470.976428423,261971.919650779,258707.207432681,266940.651880838,259003.862803858,267683.113025674,253819.290414824,262902.517847243,263086.475477912,263714.140946261,268154.623005536,266692.514252229,276236.428303092,274012.463690248,274329.02467748,267196.971149401,265844.232566236,261729.408133668,266256.986786825,262951.691286424,261769.71305763,280879.580455087,268880.520005912,266651.180837508,267965.9213044,262370.227014263,271460.481324306,270148.872000664,266073.143610505,256453.947072833,265289.546252045,269802.750106436,267798.183053642,265480.529514127,261051.813546257,268680.222477572,273074.57301511,265003.000641793,277478.388946121,267106.632056649,267056.421391944,270606.310685761,260941.128665748,267614.499160867,269376.510513222,260740.106573192,258238.628928111,258165.299825767,263132.973019626,263805.486977908,266838.244348732,270055.832633411,263723.675363655,271646.525000671,276851.255851674,267785.173990375,275380.865665072,270525.126051049,267169.954569828,263629.21600008,270901.343932379,275004.741913074,261193.76963118,263608.20860327,273212.199021642,269546.73219341,265426.540423597,272628.229116401,262995.816312929,271519.238493873,274588.287356062,266516.889605792,1992
259385.407993578,261142.948346652,264920.21320344,254971.266806181,253231.167340456,251708.171478213,261550.226943535,257496.076577669,260756.629684661,260205.950383975,252966.476749559,262195.517492376,258653.739522886,260109.830473148,256969.397286256,257080.000319882,263396.011299873,259693.43431172,262327.042234797,256040.759775233,255990.531485495,261894.777748167,263034.269899944,255928.764714459,260711.291873664,254539.253348859,265806.703165847,255295.586427275,258904.63155648,253342.357096992,250279.685692962,258285.476953432,251109.730374316,259286.402772236,244868.752271117,254589.658832498,254652.245303909,254921.546537289,259370.707858498,258330.06072451,267247.138730679,265480.318210425,265384.0343592,258113.277116585,257111.169870686,253565.719115354,257569.636275696,254560.462326929,253799.028206369,271830.712133841,259518.605359247,258456.118871314,259541.683015898,254198.712564103,262748.522639262,261535.752662954,257600.009978174,248756.402558991,256458.619024648,260837.11776544,259746.753545101,257139.39411524,252358.043610992,259699.425859006,263588.27319296,256716.279876962,268131.782032619,258174.0331877,258679.314591846,262208.842331682,252893.590753728,258735.381633645,260582.973676537,252644.88125715,249476.738999534,249730.878998377,255048.33044352,255043.094467537,258373.669278099,261198.086109855,255778.202723975,262807.525608823,268101.049547116,259108.491485061,266733.908079693,261988.862054577,258767.298474672,254782.435078486,262318.006765013,265666.409165979,252817.40029655,254584.986101073,264302.556493203,261590.98707929,256653.662946782,264179.552205661,254305.834084313,262255.64344662,265993.571609467,257553.795803806,1992.5
250169.162905876,251494.026701477,255071.444003884,246044.468369259,244423.933065726,243266.457856359,252317.942068047,248572.03506946,251444.015513233,250662.822781493,243356.925126284,252336.651060786,249907.243194261,251049.989117722,247710.453595433,248504.111705576,253923.435169388,249944.809584035,252317.33220569,246778.909553389,246830.483688079,252511.063857874,253963.983695903,246740.582237984,250547.64421626,244773.579269372,255892.502329425,245887.628402701,249260.046803734,243820.894368127,241359.605535398,248532.623078542,242449.244971203,249833.144829053,235539.603571219,245453.550555909,244922.866895237,245587.388480413,250032.830866982,249171.907935927,257737.028828046,255603.358021906,255429.34683427,249024.545407274,247548.511954326,244940.011590863,248186.431359203,245756.431613292,244903.852634985,262160.646507293,249669.932833385,248897.613561836,249703.492510813,244874.467436735,252690.250038712,251588.612331955,249096.144672704,239685.068874673,247046.762937013,251188.508716504,250440.362999453,247937.723145405,242870.379924183,250284.435357646,253867.135230219,247813.591437587,258336.648465053,248649.006329723,249556.758874069,252185.648143733,244434.388620801,249813.928808922,250780.865633891,243885.850274163,240313.953392649,240836.153854215,245669.411498964,245810.318043667,249245.170492087,251354.766791108,246707.822689105,253245.491543996,259242.397702999,249317.648761561,257513.363468406,252647.003813867,249796.318044356,245367.714162494,252574.693898315,256331.120704723,243902.79950865,245215.589129823,254642.996945308,252230.198359007,246547.912300979,254990.755658085,245152.644722946,252457.17493878,256769.862086069,248159.852193244,1993
240690.330669399,241879.670331409,244765.737810685,236806.764456754,235123.466585748,234092.269889217,243060.005590891,239059.214384107,241996.869292414,240828.377099565,234023.490113065,242110.738023688,240793.337362559,241066.136780083,237963.214446562,239404.873389966,243418.109472986,239678.316692485,242292.77506331,238030.276121941,237438.900200646,243344.663841553,243699.770334824,237357.085615545,240736.301212144,235136.634291311,245680.962794402,236454.417661487,239869.845014101,234262.021456167,231968.682591503,238372.002282115,233353.722246661,240234.579204074,225422.603178071,236355.148248615,236014.362401136,235672.926020753,240087.695154248,239381.772164291,247299.188782417,245313.170794295,245532.71524466,239430.14674068,237714.808414093,235294.389061403,238412.229492661,236377.049522771,235676.481052722,251670.241389448,240480.544522636,239571.053769046,240270.961057499,235440.225916156,242526.622428433,241750.800397815,239758.521119758,231188.446548706,237136.690481078,241501.896194772,240665.493290503,238563.159769083,233026.23404024,240441.711674354,243385.18105779,237540.148776469,248315.564978371,238320.802112461,239779.656114133,242129.75295388,235259.206403432,239934.910028534,240634.167720225,234194.016630412,231186.021303995,231369.539658647,236573.040054228,236930.05704981,239296.688168805,241106.419208341,237001.532062843,243092.712713769,249289.509375609,239634.899198181,247111.508599066,242651.834631141,240527.557763788,236292.111178312,242582.819650326,247157.31314034,234496.00306794,235750.28790651,244927.423082743,243016.738195931,237334.204416543,245527.961636018,235123.409295166,242627.342967472,246445.847149206,238569.359981114,1993.5
230636.328397567,231622.142124369,234068.814777979,226763.98109824,225566.716713585,224475.14754735,232694.491038129,229401.644056065,231641.870947595,230824.918254634,223941.369009109,231459.449108192,230851.921508225,231035.682541682,228000.395216803,228813.008823662,232944.275596512,229297.335633538,231218.854967485,228419.931763757,227454.570980514,232356.167400943,233345.555742153,227363.901012778,230291.277034987,224543.270942197,234935.923556137,226017.922268333,230124.993318301,224019.286575159,221776.34276653,227513.987188644,223541.940674653,230027.003359005,215672.541847969,226593.555361099,226304.299049389,224836.467309612,229641.818835172,229503.898185781,236661.153413686,234244.544153355,234769.81510845,228808.811463486,227452.933639424,225962.524634524,228442.375378327,226550.565829563,225614.644574692,240746.544188069,229640.278510378,229458.104453781,229461.559237053,225187.19629441,232168.721582316,231313.49422822,229162.849812979,221972.79314178,226633.440214296,230991.352034957,230374.14523633,228816.052810646,222675.160085434,230004.405766283,232761.030770588,227243.169667566,237227.729905434,227749.634125527,229461.34968339,232001.50990611,225924.349565104,230057.113356526,230328.274867884,223919.182891442,222052.766412719,220596.943152307,226338.648856585,226711.049884313,228840.774139963,230893.414306659,227218.101891826,232344.381950906,239012.686742077,229192.607442409,236458.688805691,232084.582353364,230765.324147766,226488.180406031,232052.949751158,236280.09073852,224665.757146437,225713.960584115,234894.307718849,232095.905674667,227322.402361796,235018.38719307,225221.38690229,232395.244671508,236166.094192515,228771.033515515,1994
218686.209615364,220306.57359329,222022.259206193,215230.704482934,214218.508294394,213094.527941209,220983.500839639,217896.339096492,220038.925237571,218806.04385868,212745.866059598,219462.882008056,218640.342635942,219175.243537015,216462.537891357,217311.119987045,220662.18836376,217836.047859564,218891.828726862,216927.993364412,215766.987512003,221005.151291644,222500.46509892,215280.019297178,218893.757688722,212765.495500669,223130.931600266,213921.015255865,218294.414120032,212502.834661015,209967.174296556,215624.493575948,212595.300128699,219031.346767585,204212.057881691,215624.813196001,214945.808409057,213271.84925574,217540.521559268,217827.103648959,224595.581467339,221848.007620769,222623.83186047,216919.94557749,215383.385824938,214847.810302978,216737.842295984,215333.426561913,213682.037634199,228645.961556839,217514.310150772,217596.678003608,217675.552685884,213664.854656699,219970.947171008,219115.72085991,217291.530336496,210986.132817147,215037.126080145,218974.180778028,218471.654633704,217089.539774033,211385.919665055,217482.776092819,220402.868695825,215428.46073239,224705.331116256,215727.961725025,217675.90933088,219650.846216221,215052.524832442,218251.790670431,218617.257373237,212465.85677884,210841.707268585,208693.088106459,214462.339732946,215044.098885037,217103.024977703,219183.546356815,215610.36444575,220851.093762409,226625.807808371,217348.571646658,224232.39818268,219858.338925695,218985.443557782,215172.997463737,220101.419691049,224662.645718404,213696.061394327,214465.366273209,223320.593218966,219560.251126295,215658.567594871,222626.992148197,213749.774286306,220559.636652432,224384.420770315,217084.99158302,1994.5
