"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100"
0.5100675,0.4776625,0.4418585,0.450966,0.4315255,0.4728075,0.4767785,0.495923,0.419884,0.500931,0.4705775,0.445258,0.458363,0.472723,0.458234,0.4794475,0.4666265,0.4587995,0.4351645,0.4858465,0.443521,0.4737625,0.4640485,0.481391,0.434278,0.4385595,0.4901185,0.4878955,0.45484,0.4482875,0.4824575,0.448721,0.430857,0.4166305,0.4331515,0.4588725,0.446907,0.442423,0.484914,0.5178705,0.435714,0.4582655,0.460307,0.483581,0.439626,0.448011,0.464641,0.4463465,0.447365,0.460749,0.467036,0.469948,0.4347355,0.4230735,0.4589105,0.436683,0.441567,0.4587885,0.4278895,0.456262,0.49148,0.450364,0.47006,0.481006,0.4785165,0.4632685,0.435658,0.4516155,0.440404,0.4723145,0.4768925,0.468369,0.4496055,0.464104,0.473697,0.4520535,0.425206,0.476382,0.431705,0.479884,0.476811,0.4634385,0.4625845,0.443282,0.4471655,0.461793,0.443155,0.480951,0.4893105,0.5074605,0.4293345,0.4739535,0.4553555,0.47597,0.466019,0.4709805,0.472716,0.413605,0.4619945,0.4626485
0.516408,0.463402,0.453555,0.4464775,0.442821,0.4752445,0.4705815,0.493817,0.4403375,0.5107945,0.467855,0.4484425,0.457661,0.45359,0.4672015,0.481846,0.478138,0.4653345,0.443092,0.5032465,0.4307485,0.470429,0.44172,0.4668725,0.4488775,0.444572,0.488652,0.4945045,0.452908,0.462314,0.466735,0.4545605,0.4173375,0.418096,0.430902,0.443929,0.4798765,0.446598,0.454734,0.5333655,0.4372755,0.4691655,0.4515165,0.474312,0.4442085,0.457412,0.49181,0.4590305,0.4391975,0.4764555,0.470673,0.4672245,0.4612385,0.450628,0.4681595,0.4674705,0.4456745,0.44687,0.436955,0.4829145,0.4792055,0.4579125,0.458175,0.479071,0.503418,0.4724025,0.438029,0.4381725,0.4448705,0.4681025,0.46528,0.475284,0.465821,0.448641,0.482806,0.4391415,0.41894,0.4826505,0.459467,0.4754675,0.4726575,0.465914,0.448122,0.454257,0.437828,0.4616155,0.453812,0.482542,0.488299,0.506124,0.413906,0.469251,0.463186,0.4687865,0.4746465,0.471875,0.4662855,0.4275405,0.44796,0.453287
0.509993,0.4633505,0.454519,0.4670795,0.455056,0.4802625,0.4741435,0.483913,0.4474015,0.5000205,0.479755,0.4221575,0.4484365,0.457855,0.451348,0.4980495,0.477747,0.470727,0.4521675,0.4997515,0.436106,0.4682885,0.441363,0.4698645,0.43947,0.4468085,0.4808255,0.5021795,0.4401265,0.463673,0.495098,0.463053,0.426067,0.422754,0.421489,0.4515645,0.450498,0.4406615,0.4581485,0.525513,0.4593925,0.478438,0.437199,0.4816135,0.436469,0.4575605,0.506986,0.4681175,0.454305,0.4655055,0.480335,0.470585,0.426426,0.4729035,0.458128,0.463977,0.455,0.4385215,0.45417,0.466825,0.4751055,0.4647575,0.466375,0.476097,0.472727,0.453189,0.4305995,0.440583,0.42565,0.4701985,0.4410905,0.4932355,0.454825,0.455557,0.467781,0.4632345,0.40799,0.4746005,0.4662635,0.47309,0.4413835,0.4661745,0.467516,0.4471235,0.433605,0.4764925,0.4562105,0.5201725,0.4842515,0.512911,0.420025,0.4678425,0.4536345,0.4666015,0.491816,0.478374,0.463357,0.431787,0.4433885,0.468724
0.505057,0.4433185,0.443097,0.4687215,0.447542,0.490023,0.4929375,0.482472,0.451659,0.5028565,0.4620645,0.4310145,0.4420285,0.451565,0.4723915,0.482887,0.476537,0.464188,0.45498,0.5123885,0.43373,0.4731485,0.4558995,0.481332,0.455353,0.442189,0.4742855,0.497093,0.464988,0.4396755,0.4642945,0.459373,0.425902,0.436168,0.4367375,0.4661365,0.4680945,0.461403,0.4582665,0.523494,0.4438115,0.4710525,0.43585,0.484869,0.4403725,0.461306,0.48071,0.463167,0.457396,0.4831765,0.4776515,0.473116,0.449972,0.485132,0.4701305,0.46555,0.441743,0.440437,0.4457335,0.4627195,0.4719085,0.436268,0.489313,0.4735825,0.4830805,0.4480645,0.448135,0.446818,0.441709,0.461314,0.447347,0.5007585,0.4724815,0.461402,0.4899625,0.480933,0.398965,0.4612095,0.473267,0.4741915,0.454157,0.4466505,0.4590905,0.4795115,0.4484415,0.4647755,0.458767,0.5123825,0.4808825,0.492755,0.4342035,0.4702385,0.465132,0.4572375,0.49485,0.490231,0.4588445,0.4312015,0.438363,0.470545
0.5028535,0.465639,0.432424,0.4687915,0.46819,0.4886745,0.472284,0.4769615,0.4382065,0.498312,0.477214,0.4353555,0.436866,0.4385345,0.475688,0.479705,0.4648165,0.4739265,0.461565,0.4902665,0.4436425,0.478713,0.447016,0.4875345,0.456026,0.4455615,0.4803725,0.49116,0.4639885,0.4389005,0.4656275,0.4645655,0.4215325,0.427899,0.4327185,0.4670955,0.48206,0.4416835,0.475958,0.520112,0.423191,0.478986,0.4389955,0.472386,0.434628,0.4649265,0.4875645,0.464069,0.4659465,0.460105,0.4811955,0.4698715,0.4435115,0.483517,0.4848385,0.479106,0.4523025,0.4417955,0.443276,0.478896,0.468753,0.43598,0.471687,0.4989465,0.4760685,0.444519,0.432389,0.4349005,0.444179,0.486568,0.4618255,0.488826,0.465136,0.4484295,0.481744,0.471605,0.413994,0.4639775,0.470629,0.4711885,0.453956,0.471647,0.467451,0.4628765,0.4564965,0.4556525,0.4698415,0.510847,0.4748855,0.492126,0.4283245,0.4446445,0.4724185,0.454161,0.511842,0.486507,0.482026,0.4508955,0.434309,0.486914
0.493522,0.4569525,0.4367775,0.4539465,0.4568485,0.4908735,0.495016,0.4841935,0.4396495,0.518924,0.451156,0.436921,0.4435035,0.4429785,0.462252,0.4774695,0.479061,0.477808,0.473192,0.512388,0.4520035,0.4631915,0.449566,0.4892955,0.4505545,0.4549545,0.486842,0.5003775,0.469095,0.454966,0.4660085,0.4599665,0.4278515,0.4272945,0.447244,0.4712355,0.4784195,0.450441,0.460445,0.5115135,0.424985,0.475373,0.4289555,0.477557,0.452576,0.4595245,0.4744845,0.4705385,0.4764665,0.4654495,0.478982,0.4671775,0.45504,0.4759945,0.475711,0.4778945,0.4730885,0.4389745,0.4384085,0.467391,0.472003,0.4552085,0.4623525,0.478758,0.479436,0.4402175,0.437351,0.4220205,0.4648635,0.4616245,0.450891,0.4821555,0.450088,0.450651,0.481887,0.4724725,0.4223845,0.4724505,0.4745425,0.479239,0.465617,0.4447875,0.4498025,0.4534855,0.4506995,0.4545255,0.458624,0.525614,0.4860025,0.499214,0.440614,0.4804595,0.457135,0.455448,0.4904415,0.47923,0.4639545,0.438218,0.4368255,0.4627275
0.489753,0.44751,0.4265665,0.467553,0.4568195,0.4907635,0.484852,0.459136,0.4472055,0.5019225,0.4545185,0.435688,0.43809,0.4455715,0.461462,0.478015,0.464824,0.493534,0.461294,0.50655,0.4311805,0.4678695,0.454651,0.4731755,0.4395325,0.4464155,0.483971,0.4825595,0.4616785,0.432896,0.454569,0.44904,0.426086,0.4224625,0.4391215,0.4784685,0.45879,0.456117,0.443553,0.5281055,0.427759,0.46931,0.431905,0.4710735,0.440169,0.4586925,0.483235,0.456866,0.4745495,0.4555345,0.455949,0.45551,0.4498735,0.4749015,0.4752365,0.468596,0.465457,0.4491755,0.442313,0.458373,0.4438785,0.440918,0.46194,0.4834085,0.4826125,0.456418,0.439892,0.4232575,0.455515,0.4840035,0.4639265,0.4985265,0.473836,0.4313275,0.4816825,0.476687,0.420959,0.4596115,0.4770515,0.471838,0.463798,0.456552,0.466656,0.45678,0.446059,0.482813,0.4526975,0.519611,0.4773325,0.492941,0.435231,0.455338,0.4558755,0.4560655,0.4723355,0.5141695,0.474814,0.446435,0.4396165,0.450584
0.4908015,0.4576455,0.423881,0.4430265,0.450998,0.4929545,0.5049775,0.4605395,0.4447805,0.509385,0.475977,0.4325555,0.4364065,0.4413065,0.452359,0.4928085,0.4532095,0.4872025,0.462768,0.4981095,0.448436,0.461108,0.449515,0.4888995,0.45853,0.443115,0.482754,0.4847365,0.450732,0.4479985,0.4743285,0.4501755,0.429054,0.4232325,0.4520915,0.462594,0.471702,0.4462235,0.457517,0.5097655,0.425348,0.464247,0.4260565,0.4658005,0.4617055,0.4651635,0.471024,0.4563525,0.4549765,0.454751,0.458622,0.4632435,0.4445655,0.4719575,0.4887655,0.4515165,0.4548135,0.433813,0.4346925,0.4610215,0.4753125,0.4564455,0.439941,0.477966,0.4799165,0.4522945,0.4416725,0.4241285,0.4505105,0.469073,0.43652,0.480047,0.448924,0.456246,0.475779,0.4660875,0.4183415,0.468951,0.467126,0.4745855,0.467493,0.4480655,0.4670675,0.455016,0.4485705,0.4801065,0.4329265,0.528958,0.5052335,0.510083,0.4416455,0.469468,0.4622695,0.458361,0.469778,0.514096,0.4761485,0.4496755,0.441471,0.4580345
0.497153,0.45774,0.444004,0.4645005,0.452114,0.509371,0.482141,0.4598975,0.432932,0.515094,0.465862,0.427165,0.4491295,0.447966,0.466891,0.489903,0.465131,0.482497,0.4716025,0.4948275,0.429059,0.461115,0.4459315,0.461492,0.4317425,0.446151,0.477288,0.4801485,0.4713175,0.455763,0.4709755,0.4577405,0.441325,0.4195705,0.4417345,0.4756215,0.474188,0.463377,0.4528735,0.5108675,0.4333185,0.45773,0.4375715,0.467976,0.46336,0.464792,0.48513,0.462482,0.457365,0.452421,0.4697305,0.445733,0.4573065,0.460999,0.4697565,0.4659165,0.4574755,0.4465965,0.44911,0.4668655,0.4500205,0.47273,0.475505,0.467716,0.4641265,0.4453535,0.432872,0.4210805,0.448965,0.482313,0.4518405,0.5052605,0.456969,0.456626,0.451602,0.46726,0.3983185,0.447296,0.474734,0.4784375,0.458884,0.4428065,0.471943,0.4497375,0.4525295,0.484067,0.4317195,0.5165905,0.4902175,0.4955645,0.4529325,0.47018,0.453213,0.479269,0.479068,0.5053315,0.4623015,0.434475,0.441621,0.460651
0.5061805,0.457463,0.4515345,0.4516,0.4674945,0.4944095,0.479028,0.466265,0.455965,0.487076,0.449595,0.4303285,0.444055,0.4533335,0.481301,0.4849015,0.4770185,0.4839005,0.4765105,0.491986,0.437842,0.4623275,0.439156,0.4835315,0.465661,0.453125,0.4890925,0.482682,0.478969,0.44978,0.4835685,0.435893,0.427658,0.435626,0.4417635,0.4596675,0.4870175,0.474794,0.4522435,0.505748,0.4439025,0.469414,0.4314165,0.466353,0.4593805,0.476832,0.4825595,0.4791135,0.453458,0.4700395,0.4844865,0.451763,0.4602785,0.471433,0.4796745,0.471361,0.45494,0.444953,0.4534795,0.4730065,0.451864,0.475322,0.466593,0.465068,0.474065,0.4309495,0.4438685,0.425156,0.444391,0.4720745,0.4502045,0.470571,0.483509,0.4426775,0.4783775,0.471261,0.4190465,0.4705965,0.4724255,0.4756745,0.4787385,0.4572825,0.4883155,0.4463695,0.4575405,0.4872755,0.4460375,0.5191945,0.489824,0.513696,0.4427655,0.4796075,0.4617945,0.4709525,0.470823,0.517385,0.479424,0.424102,0.4539905,0.4679115
