"run","max_gradient","converged","K","Linf_mm","CV_old","L50_mm","L95_mm","R0_thousands"
1,0.000321654,TRUE,0.153776,640.399,0.283386,395.062,436.4474,8413.30785790761
2,0.000222716,TRUE,0.13215,719.924,0.225516,394.323,438.3917,11171.2634871074
3,3.16296e-05,TRUE,0.143124,695.766,0.247393,394.527,436.8425,9909.01274239856
4,0.000776236,TRUE,0.150136,659.56,0.25972,396.521,443.6153,10596.0863535987
5,0.000326977,TRUE,0.138226,695.184,0.244805,393.047,438.9733,9030.9243002103
6,4.90723e-05,TRUE,0.136864,692.645,0.257825,395.643,440.0768,8923.55777720757
7,6.89446e-06,TRUE,0.149732,648.336,0.31284,393.304,435.3167,9413.49898179103
8,9.61184e-05,TRUE,0.150301,662.691,0.275776,396.038,439.8531,9678.28504691279
9,0.000153672,TRUE,0.149816,670.935,0.242735,395.811,442.0661,8598.47378816401
10,0.000103144,TRUE,0.131553,709.832,0.240822,394.436,435.5732,9224.33149854006
11,0.00233593,TRUE,0.141277,685.306,0.267198,394.567,436.5761,8213.95651095657
12,0.00068264,TRUE,0.146072,681.257,0.243865,394.809,435.7676,10605.3089599783
13,8.6088e-05,TRUE,0.128148,734.908,0.202983,390.259,433.9868,8504.15375352468
14,0.000221215,TRUE,0.159927,641.783,0.294897,394.876,441.6724,10221.5140645375
15,0.000263286,TRUE,0.145585,683.752,0.241919,396.193,441.9919,10630.7922692214
16,4.63869e-05,TRUE,0.154878,646.96,0.278064,398.338,447.4582,10816.6295280935
17,0.000145824,TRUE,0.14651,679.138,0.253433,394.087,436.466,8748.95899260339
18,7.72406e-05,TRUE,0.154711,648.019,0.291357,394.918,440.9695,9798.84695418281
19,4.18231e-05,TRUE,0.15697,652.101,0.26252,395.338,438.4175,9451.88999536427
20,0.000385183,TRUE,0.136399,706.44,0.217923,392.15,438.133,7660.40397810494
21,0.000159475,TRUE,0.157366,652.253,0.268094,392.433,437.5645,10390.0095162752
22,5.06077e-05,TRUE,0.144611,670.066,0.269631,394.456,441.7981,10175.4170786355
23,0.000133421,TRUE,0.151179,665.557,0.26225,395.282,439.4894,9754.07085067976
24,0.000126271,TRUE,0.15115,652.696,0.267992,394.407,438.7896,9446.31502504498
25,6.79281e-05,TRUE,0.139582,693.041,0.238768,393.164,436.2804,9455.00963377477
26,7.8594e-05,TRUE,0.150808,658.783,0.274433,392.877,433.0414,8494.29465455353
27,0.00152471,TRUE,0.153371,649.967,0.266577,396.271,439.7169,9207.28226067538
28,7.69959e-05,TRUE,0.148965,660.927,0.270067,394.406,440.8279,9361.77323769284
29,0.0004593,TRUE,0.154117,652.317,0.303474,391.109,432.6957,9377.42046079454
30,0.000722995,TRUE,0.149055,667.329,0.285756,390.102,430.1398,8808.30230981848
31,6.35822e-05,TRUE,0.143005,680.734,0.271946,391.718,431.449,9534.48018471064
32,9.70815e-06,TRUE,0.167755,628.289,0.257486,394.331,441.3797,10036.8640616614
33,6.89865e-05,TRUE,0.147588,672.036,0.281484,392.121,435.5065,10987.4610824161
34,0.000488938,TRUE,0.146501,689.011,0.240722,393.081,435.8589,8642.09232737037
35,0.000148237,TRUE,0.147027,679.562,0.243182,393.618,435.211,9200.8394183508
36,3.26242e-05,TRUE,0.146198,679.951,0.269339,393.98,438.9687,9288.1994770097
37,0.000227212,TRUE,0.146491,678.953,0.253332,394.378,438.8622,9921.40675296937
38,0.000822887,TRUE,0.145209,683.295,0.257445,392.807,437.0747,10883.4656097736
39,0.000141901,TRUE,0.153328,659.611,0.260871,393.872,439.3005,10095.650838089
40,0.000470901,TRUE,0.136277,678.979,0.249507,394.417,442.53,9973.53137158767
41,0.00145864,TRUE,0.140339,705.133,0.23352,395.47,444.6768,8247.29049057129
42,0.000291722,TRUE,0.15173,651.589,0.285713,396.112,441.6213,10402.2769638751
43,0.000410196,TRUE,0.167456,630.112,0.269581,396.364,445.3148,9262.69201728006
44,0.000101288,TRUE,0.135984,699.725,0.246564,394.303,440.207,9974.1298014227
45,0.000166279,TRUE,0.156016,657.604,0.242252,396.502,443.4201,10640.3642890265
46,0.00217867,TRUE,0.146928,668.123,0.269289,393.69,440.4614,8707.06461637901
47,4.39595e-05,TRUE,0.155477,643.023,0.270767,396.014,444.818,10608.8092894577
48,7.17058e-05,TRUE,0.154219,655.066,0.277607,394.262,439.4271,8060.4930009415
49,0.000228406,TRUE,0.156305,646.354,0.292934,393.321,435.0159,10446.9985913527
50,0.000210624,TRUE,0.150107,666.32,0.251493,395.66,442.0245,9439.98811373017
51,0.000551262,TRUE,0.158193,648.443,0.265175,396.79,443.787,9658.94782049112
52,0.000347102,TRUE,0.149181,664.365,0.267685,394.985,438.6876,10365.3106968803
53,0.000318346,TRUE,0.140642,690.726,0.255464,394.935,441.6792,9586.58495825512
54,4.23678e-05,TRUE,0.150122,662.209,0.268231,393.984,436.7387,9516.57220074282
55,0.00138994,TRUE,0.136814,698.857,0.239192,395.238,440.9208,10143.4149446606
56,5.45353e-05,TRUE,0.164116,628.223,0.275132,394.306,437.5242,9526.66511557542
57,0.000637758,TRUE,0.144121,684.785,0.266466,392.152,434.9536,9668.3215453986
58,0.00124366,TRUE,0.154569,650.963,0.283317,394.26,441.7109,8594.17562590003
59,3.34193e-05,TRUE,0.1533,664.934,0.238048,393.563,436.1784,8172.41714272489
60,9.26707e-05,TRUE,0.137218,692.005,0.243564,395.449,438.9817,8960.30907184851
61,0.000776231,TRUE,0.143883,682.625,0.244195,395.41,443.5585,10186.3106019053
62,0.000621403,TRUE,0.147543,666.363,0.262761,393.087,437.885,10938.8942847044
63,0.000198092,TRUE,0.15854,652.42,0.262773,393.809,437.6488,10037.2655442535
64,3.34951e-05,TRUE,0.155869,646.757,0.28884,394.532,440.5274,8263.22313127074
65,0.00165357,TRUE,0.148759,662.548,0.262468,395.01,439.8169,11020.5831639995
66,0.00106505,TRUE,0.1544,663.651,0.273984,392.864,440.2799,9567.04825914868
67,0.000196765,TRUE,0.139894,699.397,0.243944,390.137,429.7601,9204.42844553876
68,9.15325e-05,TRUE,0.141525,703,0.225631,393.46,433.7306,10676.3895687489
69,0.000158325,TRUE,0.159999,645.641,0.247507,395.158,442.9375,9507.72590276228
70,0.000942559,TRUE,0.136913,694.102,0.248434,396.935,442.3014,8738.11700687294
71,1.60045e-05,TRUE,0.149133,670.367,0.281425,392.712,437.4803,9977.42180740828
72,5.63191e-05,TRUE,0.152761,650.225,0.271564,397.91,446.9438,9389.05567450756
73,5.59063e-05,TRUE,0.159501,645.54,0.277379,393.35,434.3204,9328.13144559606
74,6.07092e-05,TRUE,0.131534,718.347,0.237201,392.085,434.5207,9705.13106105676
75,0.000258485,TRUE,0.145915,673.967,0.254659,394.059,438.7434,9562.64842898801
76,8.96714e-05,TRUE,0.154356,656.863,0.286822,394.193,437.6208,9712.12127159453
77,3.74027e-05,TRUE,0.138376,706.801,0.268692,390.567,432.2808,9042.40086014459
78,1.3268e-05,TRUE,0.143848,682.216,0.236264,395.72,439.6795,8816.23335033021
79,1.31867e-05,TRUE,0.13931,697.212,0.220701,391.822,431.2617,8855.64156606943
80,4.84033e-05,TRUE,0.151306,653.376,0.282059,394.772,441.3035,9794.04669533471
81,0.000439563,TRUE,0.146394,675.407,0.264511,393.283,436.7907,9606.44974207674
82,5.01003e-05,TRUE,0.142835,693.472,0.234448,392.651,435.362,9439.04416211715
83,0.000425831,TRUE,0.144658,682.305,0.229723,393.929,436.3126,10523.4354850473
84,0.00204027,TRUE,0.144454,679.148,0.250917,394.526,438.2868,10595.9803932649
85,0.000521082,TRUE,0.144312,691.838,0.23888,394.635,442.2377,8788.94534520528
86,0.000675648,TRUE,0.161528,636.291,0.256695,397.538,445.345,8075.33796123844
87,1.6563e-05,TRUE,0.153642,651.879,0.247291,393.162,437.3538,9773.40304351919
88,4.28758e-05,TRUE,0.147695,657.292,0.267438,394.936,438.3618,10718.8590815399
89,6.94859e-05,TRUE,0.152217,655.266,0.263233,394.367,435.3573,8332.00997856863
90,0.000338238,TRUE,0.154234,640.735,0.286138,397.8,442.918,9333.54333112959
91,7.57141e-05,TRUE,0.146724,682.676,0.261172,393.306,440.4897,10792.5353192735
92,0.000473768,TRUE,0.149424,664.158,0.26477,395.546,439.248,11280.8288278615
93,0.000565901,TRUE,0.148475,657.469,0.281496,395.154,438.9414,9265.56389692377
94,8.38588e-05,TRUE,0.147586,670.935,0.253613,394.128,438.4574,9318.71478904805
95,7.0679e-05,TRUE,0.142556,678.024,0.257176,395.665,439.3831,9387.83517660395
96,0.000524773,TRUE,0.151949,650.346,0.291577,395.679,441.7219,8315.27945831731
97,5.39509e-05,TRUE,0.154254,653.21,0.283509,392.543,437.2851,10723.3619478899
98,0.000192201,TRUE,0.14203,688.045,0.272955,392.985,437.4426,9071.29217603721
99,8.04086e-05,TRUE,0.147492,669.031,0.255739,389.886,430.7417,10739.4590606281
100,3.23967e-05,TRUE,0.154239,652.367,0.280101,394.214,437.7786,9192.83816910493
