"replist1","replist2","replist3","replist4","replist5","replist6","replist7","replist8","replist9","replist10","replist11","replist12","replist13","replist14","replist15","replist16","replist17","replist18","replist19","replist20","replist21","replist22","replist23","replist24","replist25","replist26","replist27","replist28","replist29","replist30","replist31","replist32","replist33","replist34","replist35","replist36","replist37","replist38","replist39","replist40","replist41","replist42","replist43","replist44","replist45","replist46","replist47","replist48","replist49","replist50","replist51","replist52","replist53","replist54","replist55","replist56","replist57","replist58","replist59","replist60","replist61","replist62","replist63","replist64","replist65","replist66","replist67","replist68","replist69","replist70","replist71","replist72","replist73","replist74","replist75","replist76","replist77","replist78","replist79","replist80","replist81","replist82","replist83","replist84","replist85","replist86","replist87","replist88","replist89","replist90","replist91","replist92","replist93","replist94","replist95","replist96","replist97","replist98","replist99","replist100","Label","Yr"
8413.34,11171.3,9909,10596,9030.93,8923.56,9413.46,9678.33,8598.48,9224.3,8213.98,10605.3,8504.18,10221.6,10630.8,10816.6,8748.96,9798.87,9451.88,7660.37,10390.1,10175.4,9754.09,9446.32,9454.98,8494.32,9207.29,9361.79,9377.42,8808.26,9534.52,10036.9,10987.5,8642.12,9200.88,9288.16,9921.41,10883.4,10095.6,9973.53,8247.32,10402.3,9262.73,9974.1,10640.3,8707.02,10608.9,8060.5,10447,9439.95,9658.97,10365.3,9586.63,9516.6,10143.4,9526.71,9668.33,8594.16,8172.43,8960.34,10186.3,10938.9,10037.3,8263.26,11020.6,9567.02,9204.44,10676.4,9507.7,8738.1,9977.42,9389.02,9328.11,9705.08,9562.69,9712.1,9042.44,8816.22,8855.66,9794.07,9606.41,9439.01,10523.4,10596,8788.98,8075.3,9773.4,10718.8,8332.05,9333.51,10792.6,11280.8,9265.6,9318.67,9387.84,8315.27,10723.4,9071.27,10739.5,9192.88,"Recr_Virgin",1988
8413.34,11171.3,9909,10596,9030.93,8923.56,9413.46,9678.33,8598.48,9224.3,8213.98,10605.3,8504.18,10221.6,10630.8,10816.6,8748.96,9798.87,9451.88,7660.37,10390.1,10175.4,9754.09,9446.32,9454.98,8494.32,9207.29,9361.79,9377.42,8808.26,9534.52,10036.9,10987.5,8642.12,9200.88,9288.16,9921.41,10883.4,10095.6,9973.53,8247.32,10402.3,9262.73,9974.1,10640.3,8707.02,10608.9,8060.5,10447,9439.95,9658.97,10365.3,9586.63,9516.6,10143.4,9526.71,9668.33,8594.16,8172.43,8960.34,10186.3,10938.9,10037.3,8263.26,11020.6,9567.02,9204.44,10676.4,9507.7,8738.1,9977.42,9389.02,9328.11,9705.08,9562.69,9712.1,9042.44,8816.22,8855.66,9794.07,9606.41,9439.01,10523.4,10596,8788.98,8075.3,9773.4,10718.8,8332.05,9333.51,10792.6,11280.8,9265.6,9318.67,9387.84,8315.27,10723.4,9071.27,10739.5,9192.88,"Recr_Initial",1989
18923.8,19176.9,19029.2,19753.9,17813.8,17820.5,17569.9,18014.3,20794.3,17396.6,18062.3,18820.5,18875.7,18085.4,18528,16858.5,18877.3,16908.1,18615.5,17786.9,17282.6,19576.5,18043.5,18080.1,18668.4,19456,16858.8,20149.9,19186.2,18003,18364.6,21308.6,17450.6,18446.5,18654,17456,19684.4,18972.4,18551.4,19154.9,17717.9,18226.9,19134.6,19012.2,18516.3,19069.6,19661.1,19333.1,18539.3,18760.5,20862.5,20554,19678.2,18360.6,15603.3,18064.3,16293.1,18251.7,19473.8,20331.2,18988.7,17544.7,19892.3,18585.4,18642.7,18383.4,17411.6,20429.3,16274.6,17474.5,17578.6,19239.2,17832.3,18289.8,20138.7,19933.2,17289.3,16697.9,19230.2,17134.4,16711.9,16873.4,19354.6,19874.9,18797.4,18293.7,21561.2,19421.3,17405.9,18570.2,19208.3,19409.5,19627.6,17819.5,18996.1,18108.2,18548.6,19956.5,21678.8,18868.6,"Recr_1990",1990
4225.34,3987.83,3789.55,3665.23,3885.19,4416.17,4183.22,5843.18,4667.02,4922.49,3471.94,3755.35,3505.16,3658.13,4729.99,3029.95,3577.61,3596.31,4685.92,3222.02,4360.2,3265.65,3109.97,5359.34,3710.07,4138.11,5104.48,4210.34,4687.16,4998.2,4041.74,4072.74,3273.78,3989.41,5012.15,4632.78,4851.32,4714.99,4890.48,4436.33,3874.12,3752.77,4786.31,4643.1,3868.2,3869.65,4730.2,4386.81,3754.49,3988.08,4867.05,4409.55,3919.69,5401.5,5368.98,5286.81,4661.06,2937.51,5419.52,3802.5,4782.89,4686.78,4021.71,5212.3,4022.24,3593.48,3949.11,3626.65,5465.19,4231.52,4150.8,4249.02,4259.48,3511.61,3524.41,4481.73,4397.77,4461.24,4007.75,4669.51,4604.5,4047.14,3963.64,4306.23,4241.05,3715.57,4504.66,4463.64,3975.2,3525.4,3439.23,3340.43,4117.61,4692.33,4499.53,3726.19,3942.93,3836.94,3913.33,4619.22,"Recr_1991",1991
7491.67,7849.13,6771.07,8452.1,7990.26,7798.99,8521.05,7870.59,6829.6,7517.73,7783.27,9081.21,8422.88,6188.7,8682.02,7594.4,8256.47,8159.44,6858.99,8699.62,6837.3,7309.75,8258.73,7588.3,8742.2,7045.69,7953.29,6936.42,6246.17,7783.79,7185.06,6198.72,7566.32,7114.22,7461.12,7658,7489.49,6285.2,8179.83,7408.72,7389.12,7446.64,7399.65,7123.67,7494.67,7527.67,7992.78,7291.08,8092.8,8519.54,6447.81,6770.24,7705.89,8033.83,7417.46,7739.31,7533.65,7294.55,7381.32,8100.46,6874.44,6716.05,7190.44,7527.73,8531.86,7577.35,7396.18,7795.53,8925.16,6941.04,8321.74,6470.82,7472.13,7555.2,8015.08,6093.35,7322.92,7251.68,8491.59,7651.63,6567.03,6911.95,7175.31,8293.43,7555.7,7188.21,7955.23,8332.22,7665.57,7174.83,6269.97,6706.23,6838.05,7779.1,8071.85,7212.98,7813.72,7780.45,7093.15,8068.34,"Recr_1992",1992
7106.43,6609.78,6841.53,6466.84,7594.28,7778.79,7224.43,6435.68,8017.32,8165.06,7275.56,6645.96,7362.36,8341.46,6486.89,7767.82,7492.34,7802.18,7730.16,6991.31,8597.2,6098.66,7495.42,7591.28,7084.82,6791.25,7521.3,7683.96,6982.43,6263.95,7224.17,7942.34,7283.15,7652.97,7494.82,6604.64,6616.18,6312.12,7525.47,6781.58,7863.11,8522.95,7228.21,7497.27,7666.43,7779.2,6146.58,7050.59,7016.46,8793.35,7345.83,7579.23,5984.41,7718.74,7898.41,8170.14,6206.96,7146.1,6177.72,6291.27,6440.29,7587.97,7700.47,7739.79,7425.99,7433.06,7572.64,6306.82,7555.5,7027.36,7384.24,8331.33,7502.14,7253.42,7615.85,6959.27,6781.92,7444.04,7716.29,7137.62,6653.13,9572.17,6553.6,7073.89,6169.06,7766.51,7408.86,7801.5,8069.86,7033.07,8378.82,7607.51,6381.79,5702.72,7036.82,7104.45,7197.25,7369.81,6957.06,5914.71,"Recr_1993",1993
5785.21,6215.26,6437.14,6658,6315.51,5648.66,5230.7,5737.71,5165.8,5679,5591.87,5611.88,5827.64,5288.07,5946.93,5749.32,7581.2,5909.67,6119.25,7276.07,6961.32,6634.16,5991.23,6604.05,5398.25,5859.98,5579.98,6415.82,5582.8,6079.21,4292.63,6125.06,7100.49,5819.95,6763.72,6014.35,6235.1,5609.68,6111.75,5851.92,4473.58,6200.95,5920.85,6380.37,5700.91,5834.79,5233.72,5631.69,5854.25,5534.04,5454.4,5369.36,5636.68,5293.23,7268.8,5805.1,6770.71,5545.55,6693.4,5172.92,7006.04,6384.27,4775.46,6229.91,7065.93,5870.99,6181.47,6129.85,6078.79,6297.7,6099.18,5403.04,6885.38,5946.61,5858.62,6692.4,5746.01,6406.66,6140.95,5701.13,7378.33,5589.33,6450.43,6223.81,6732.79,5184.04,6645.07,5983.26,6565.1,6224.19,5950.88,6426.04,6648.31,6942.74,5945.86,6370.13,7324.9,6133.48,5420.66,5032.99,"Recr_1994",1994
4551.52,5085.81,3746,4195.99,3979.32,4121.79,4041.1,4428.31,4279.44,3788.71,4697.93,3417.98,4379.24,4409.69,3609.34,4312.77,3910.33,4396.01,4831.79,4511.35,4832.69,4826.44,3947.17,3703.92,4169.55,4669.92,3686.16,4100.84,5049.97,4346.87,4352.96,5382.59,4384.01,3475.59,3970.74,4203.27,3956.96,4009.21,3790.33,4234.32,3737.44,4427.3,4756.92,3882.33,4288.98,4211.95,3804.49,4549.2,3815.9,4171.01,4104.54,3985.9,4210.74,4479.89,4351.37,4639.47,4578.47,4805.32,6068.68,3962.85,4197.18,4138.47,4157.11,3927.86,3381.8,3119.3,5019.42,3809.36,4499.64,5447.73,3644.49,4247.78,4359.35,4850.24,4318.81,5278.48,4620.7,3505.22,4462.52,5310.32,4209.44,2835.24,4899.48,3911.23,4522.45,3375.45,4541.76,3618.82,4012.57,4356.83,4427.47,4150.5,3463.67,3729.61,4711.48,4886.17,4507.74,4717.68,4782.01,4544.26,"Recr_1995",1995
8638.87,8251.79,9925.43,7785.76,9180.46,8249.03,8518.64,8919.25,8246.12,8964.87,9775.44,8204.08,7864.62,9819.47,8624.78,8719.51,7437,9720.24,10596.5,9578.96,8403.57,9818.65,7530.04,9485.99,8356.43,8110.37,8045.25,8924.24,9033.15,9641.57,9302.57,9828.41,8222,10429.8,10243.8,9081.58,8631.9,9595.12,10666.6,8966.56,9938.79,7631.81,8491.51,8838.18,8909.62,9658.08,9395.54,7107.38,9072.5,6675.6,9334.03,8785.58,9051.63,9293.64,6528.69,7430.58,9682.12,7959.41,8371.39,9604.19,7199.36,8930.01,9475.04,7992.95,7295.77,9448.18,9248.26,8860.74,8416.28,7380.11,9216.49,9390.75,8750.02,8003.11,9871.62,7613.58,8970.23,9039.04,8931.17,8616.07,8992.39,9549.06,9639.54,9001.39,9817.41,10815.3,8088.25,9165.44,9527.15,8620.81,8779.37,9906.06,9106.58,9988.15,8766.66,9107.3,8424.65,9709.19,7790.22,10498.2,"Recr_1996",1996
5908.32,5761.1,5528.55,5771.32,4724.13,5637.95,6865,6398.68,6666.26,6997.85,6933.15,6462.11,5233.65,5264.97,8219.67,5729.64,6767.79,5267.34,6301.77,5880.62,5219.21,6099.39,7439.68,6763.97,5252.64,6867.43,6719.29,6098.83,6105.69,5056.46,6841.86,5652.74,5697.64,5778.83,6118.09,5779.05,6586.75,6220.12,6023.1,5243.19,4802.83,6038.4,5623.86,5519.89,5749.46,5105.15,4979.86,7286.21,6007.23,5814.77,6816.09,6200.95,5910.97,7070.58,5953.1,5920.72,5939.69,5667.07,5983.01,6237.6,5651.52,5623.21,5763.56,6391.01,6920.46,6151.19,6378.43,5067.72,7519.91,6056.37,6635.03,6569.6,5093.45,6878.6,5063.07,6307.8,5815.6,5944.93,5987.94,6486.99,5841.77,5594.93,4887.54,6682.55,5320.59,6313.62,4990.49,5777.91,6696.23,5956.54,6271.38,6972.93,6013.32,6720.55,5537.09,5905.32,7271.75,5621.47,6591.62,4908.32,"Recr_1997",1997
