"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100"
0.02459115,0.02475715,0.0255227,0.025211,0.0276364,0.026347,0.02581265,0.0259109,0.0242952,0.02594925,0.02592975,0.02475575,0.02469845,0.0255953,0.0260408,0.02512745,0.02536475,0.02624075,0.0251556,0.02485925,0.0268381,0.02662285,0.02520875,0.02580275,0.02521115,0.0267038,0.02468885,0.0266183,0.02337395,0.0259105,0.02651625,0.02492085,0.02648055,0.02506285,0.02657565,0.0247813,0.02485435,0.0259955,0.0249063,0.02493665,0.0251536,0.02639505,0.022583,0.0250968,0.024759,0.0265622,0.0250405,0.02617715,0.02498505,0.02521105,0.0243179,0.0250523,0.02584285,0.0265918,0.0252567,0.02547905,0.02432605,0.0281482,0.02554415,0.02557265,0.0254006,0.02680015,0.02591295,0.02592355,0.02392605,0.02642515,0.02352065,0.02611965,0.0243951,0.0248686,0.025542,0.02664375,0.02636125,0.02764875,0.02527775,0.0266998,0.02748675,0.0257532,0.0266934,0.02533505,0.0254791,0.02451005,0.0238773,0.02588265,0.0240994,0.0262947,0.02484065,0.0254285,0.0245868,0.02449615,0.0276485,0.0242024,0.0260321,0.0266684,0.02633175,0.02497695,0.0263266,0.02398065,0.0233173,0.02537625
0.05179525,0.05070255,0.04814355,0.0524824,0.05231185,0.05412425,0.0495105,0.05126725,0.05005245,0.04989135,0.05413125,0.04778535,0.0497532,0.0487551,0.0508608,0.0514625,0.05013105,0.0510061,0.04992675,0.0518031,0.0522771,0.0506841,0.0490764,0.0519702,0.0497949,0.0498907,0.05033245,0.05139925,0.0524437,0.0510853,0.05250135,0.04962275,0.05085205,0.0515381,0.0550274,0.0509683,0.05263495,0.0529107,0.0529126,0.0502186,0.0497471,0.05125795,0.0497638,0.04914015,0.0505378,0.0528161,0.05205565,0.0511898,0.05267775,0.04868685,0.0504364,0.052717,0.0504689,0.0531799,0.04994475,0.04966635,0.0498236,0.0542558,0.05230085,0.0508843,0.05224205,0.054641,0.05176015,0.0515573,0.0500089,0.0512189,0.05079515,0.05134935,0.05165635,0.0497402,0.05294625,0.0507099,0.0518891,0.05092225,0.0562392,0.05219495,0.05145115,0.05249195,0.0504186,0.0497891,0.04997235,0.05101585,0.04941795,0.05073165,0.048848,0.05139,0.05061375,0.0520013,0.05030055,0.04980385,0.0512541,0.050638,0.0512849,0.0504865,0.050022,0.0505759,0.05168555,0.0501496,0.04839925,0.04951285
0.07786995,0.07611625,0.07255155,0.0753076,0.0793357,0.07757205,0.0741718,0.0758957,0.0730413,0.0777242,0.07949825,0.07709565,0.0764281,0.07363425,0.07845145,0.0778973,0.07508615,0.0746129,0.07685885,0.07640775,0.07633255,0.0750011,0.07361235,0.0803548,0.07774415,0.08008945,0.07479815,0.0785294,0.07573955,0.0791603,0.07874835,0.07325655,0.0784365,0.07472795,0.0834423,0.0808387,0.08042815,0.07850975,0.07615595,0.07807775,0.0734593,0.07597715,0.07389645,0.07605235,0.07728485,0.07641915,0.0773139,0.0774654,0.0773444,0.0738402,0.0791186,0.07595455,0.0765228,0.07832045,0.07766165,0.07971235,0.0753493,0.0833784,0.07922695,0.07833515,0.074362,0.07801275,0.07934655,0.0792962,0.07744935,0.0770664,0.07520225,0.07887015,0.07610545,0.07523655,0.07714745,0.0778959,0.0773941,0.0779887,0.08383795,0.07978175,0.0792724,0.0784976,0.07889915,0.07779495,0.0775806,0.0756282,0.07237005,0.07900015,0.07543035,0.07334165,0.0773037,0.08024055,0.07615165,0.0758888,0.0768271,0.0789384,0.0766362,0.07396035,0.07863075,0.076028,0.077662,0.07620955,0.07275765,0.08001995
0.1019035,0.0999427,0.1006623,0.10517,0.107268,0.1055475,0.0992823,0.09886345,0.10077325,0.09937535,0.1066615,0.10029005,0.09930235,0.10203175,0.104258,0.105483,0.10083145,0.1014971,0.1024405,0.10030825,0.1066265,0.1004968,0.1026135,0.104233,0.102386,0.1056035,0.1037365,0.104354,0.0982699,0.1048865,0.1064095,0.103045,0.10664,0.1027775,0.112798,0.103088,0.1010015,0.1082785,0.1044255,0.104607,0.0995607,0.104314,0.0987837,0.103145,0.1034245,0.1023257,0.102959,0.1047795,0.103554,0.1007265,0.100808,0.1004201,0.1019474,0.1051215,0.103473,0.100746,0.103192,0.1055635,0.1067525,0.1028215,0.1037525,0.1047,0.105124,0.102246,0.1022325,0.106837,0.0993581,0.1056985,0.102058,0.09863,0.103827,0.103388,0.1040335,0.110521,0.1041415,0.10872,0.104812,0.1016555,0.1035245,0.1050075,0.1049665,0.1040185,0.0964933,0.1041575,0.0994022,0.102546,0.0994222,0.101508,0.1016925,0.0990068,0.10616,0.1045675,0.09992885,0.09917845,0.10013905,0.09829995,0.1037715,0.100971,0.09957275,0.102754
0.1308305,0.122898,0.12279,0.1311075,0.131635,0.1329125,0.12707,0.128217,0.125638,0.127832,0.1329685,0.122771,0.1286155,0.1300365,0.1268545,0.1276525,0.125768,0.1256415,0.129375,0.130249,0.1326095,0.12241,0.119635,0.135966,0.1242165,0.1313665,0.125294,0.133287,0.1277375,0.1298855,0.133661,0.1275735,0.1252835,0.124865,0.1400465,0.126606,0.128082,0.131308,0.1324435,0.129677,0.124565,0.126811,0.1237625,0.127571,0.1311025,0.1280595,0.1311545,0.1299935,0.131427,0.123381,0.129064,0.1284525,0.1287435,0.1304215,0.130626,0.1273865,0.1278535,0.1339245,0.1304065,0.1283075,0.1291875,0.130202,0.1301195,0.1313245,0.1271815,0.1285145,0.1249255,0.132516,0.1275725,0.1236385,0.130615,0.128733,0.127197,0.13602,0.132922,0.135351,0.134336,0.133371,0.1282645,0.131886,0.128047,0.124466,0.122326,0.1276555,0.123463,0.1313845,0.1289785,0.130443,0.127585,0.121892,0.132762,0.1297785,0.125851,0.127824,0.133082,0.1259685,0.128698,0.1257625,0.1238265,0.132436
0.155916,0.1559505,0.1480545,0.157933,0.158465,0.1568295,0.1521185,0.1535725,0.1549835,0.153307,0.1601445,0.1502965,0.1517105,0.152929,0.1535285,0.1527665,0.1495065,0.1501925,0.153657,0.1546885,0.1584795,0.1480925,0.153151,0.161741,0.157626,0.15801,0.1550725,0.16734,0.15475,0.158076,0.153975,0.1511095,0.158751,0.1494975,0.1607195,0.1546905,0.1541215,0.1567465,0.153412,0.1553505,0.147843,0.152967,0.1534755,0.1585865,0.1628455,0.1542955,0.157545,0.1568805,0.154349,0.148254,0.156413,0.1559845,0.155333,0.1554585,0.151123,0.15593,0.1529095,0.166185,0.156685,0.1531245,0.15462,0.156829,0.1587525,0.157032,0.1538185,0.1503655,0.1527515,0.155106,0.155141,0.151387,0.1512055,0.1568555,0.156967,0.15718,0.162368,0.161671,0.1557625,0.161131,0.1561435,0.1583445,0.1570295,0.1558145,0.1468855,0.155483,0.151889,0.1533865,0.152437,0.1577115,0.1578615,0.1550555,0.157854,0.1593315,0.153677,0.151789,0.155931,0.1490375,0.156176,0.146677,0.1488315,0.155164
0.1803125,0.1816025,0.1762415,0.1839955,0.1896345,0.186319,0.172676,0.175943,0.1803255,0.1806385,0.182453,0.1760855,0.190535,0.182226,0.183821,0.1834085,0.174074,0.1808485,0.1750095,0.1810155,0.1875025,0.1770105,0.1793205,0.1867555,0.1838295,0.183174,0.176239,0.189712,0.180076,0.1811275,0.180563,0.184401,0.184609,0.176445,0.193623,0.182339,0.182352,0.18737,0.18596,0.181052,0.174197,0.17732,0.179188,0.181024,0.176656,0.1789815,0.183072,0.1756305,0.179444,0.16774,0.178484,0.17835,0.187891,0.1852575,0.174198,0.175839,0.1747805,0.1889775,0.181129,0.180933,0.1786135,0.1839405,0.1859415,0.185088,0.179112,0.1815985,0.176241,0.1845085,0.183201,0.1771105,0.185005,0.175041,0.1822335,0.181278,0.18867,0.191516,0.177241,0.1829975,0.184926,0.182397,0.1786205,0.178812,0.172737,0.18231,0.1768135,0.1771205,0.173069,0.1873705,0.1757825,0.1735295,0.1865915,0.1878815,0.1734925,0.17897,0.1773845,0.172508,0.1907295,0.181883,0.174124,0.177937
0.208727,0.203862,0.204443,0.2086225,0.2152835,0.208277,0.1971575,0.2035365,0.203896,0.2051845,0.2095325,0.210071,0.204262,0.2061425,0.208435,0.2095185,0.204502,0.2146015,0.202049,0.2133395,0.2128025,0.195504,0.200513,0.2202065,0.2115245,0.214936,0.1971235,0.2142355,0.201464,0.2153625,0.2093755,0.212678,0.2082975,0.207074,0.224302,0.2056455,0.201376,0.215039,0.2057465,0.203105,0.197813,0.2022875,0.2062235,0.2086255,0.2049485,0.210813,0.2045535,0.2100455,0.2111655,0.2029905,0.2061075,0.2062515,0.204392,0.2208595,0.2092375,0.2001225,0.20495,0.2136975,0.2136355,0.20098,0.2043775,0.209721,0.2085285,0.2089625,0.2036655,0.212185,0.2051635,0.2044185,0.208494,0.206352,0.2125395,0.204318,0.2122205,0.207163,0.2121825,0.217899,0.207176,0.2085485,0.2115095,0.209131,0.2001785,0.2007775,0.2000785,0.21627,0.2035405,0.201043,0.207816,0.209906,0.2004905,0.198421,0.2108385,0.2049075,0.202809,0.203101,0.2080465,0.208189,0.2106525,0.2049855,0.195674,0.2026595
0.237599,0.231136,0.2260285,0.232611,0.244543,0.24592,0.221176,0.2331095,0.224271,0.22472,0.237014,0.234832,0.229064,0.2344445,0.2332265,0.2322225,0.2265145,0.2255805,0.235287,0.2352755,0.235744,0.2217775,0.2284795,0.2425535,0.232415,0.2405605,0.225121,0.247414,0.221833,0.233352,0.2332075,0.2360615,0.241754,0.2325195,0.2501435,0.2291035,0.2352875,0.240339,0.2346135,0.23226,0.2259155,0.231784,0.2292085,0.237935,0.232703,0.2340485,0.2333755,0.2282785,0.236275,0.2183425,0.237452,0.240605,0.23537,0.2408415,0.232083,0.227227,0.2304185,0.2479815,0.235187,0.2406585,0.2295115,0.2350845,0.2397495,0.235536,0.2307235,0.2358885,0.2301265,0.2343255,0.233475,0.2312105,0.236328,0.228851,0.2407855,0.2294755,0.2415995,0.2446545,0.234395,0.2398375,0.236443,0.240453,0.228305,0.2295205,0.222622,0.237391,0.2283615,0.2292295,0.232827,0.231668,0.2367765,0.2240285,0.242882,0.243302,0.2237205,0.2260115,0.234726,0.2305255,0.234416,0.2398535,0.2228845,0.237005
0.2637,0.253372,0.2510325,0.2581505,0.27211,0.266326,0.248692,0.2558575,0.2536825,0.254256,0.2683275,0.258065,0.2592915,0.2544095,0.26135,0.2567,0.258527,0.2512355,0.262425,0.2688605,0.260469,0.2494035,0.2536065,0.269135,0.2623335,0.26841,0.2510165,0.263969,0.253121,0.261741,0.272691,0.264036,0.2643475,0.2649145,0.276025,0.252296,0.2654845,0.273493,0.2580665,0.2540925,0.253481,0.261233,0.25191,0.268899,0.2621895,0.265819,0.260533,0.2618525,0.25827,0.2391215,0.271087,0.264214,0.2586085,0.2653515,0.253644,0.268304,0.264466,0.26876,0.2631005,0.26775,0.250603,0.2582955,0.2688815,0.265239,0.2525935,0.2662455,0.254685,0.2737755,0.264255,0.265948,0.2635115,0.257438,0.256663,0.2640225,0.2711085,0.272574,0.260166,0.2709305,0.2614875,0.2671635,0.2595325,0.2518895,0.2577505,0.2567535,0.2581315,0.257489,0.2648695,0.259428,0.2612125,0.2521295,0.2746765,0.2699575,0.248823,0.2645265,0.261873,0.250599,0.2686855,0.2543915,0.2470075,0.2585135
