"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
68622.60194,69560.31595,69347.53718,68611.75341,66443.20693,67239.35965,68028.69746,70036.04907,68976.2401,69431.64703,67087.30179,69393.92044,68977.14944,67410.76796,67613.80228,67883.10251,69268.52514,68982.93641,68392.80356,66337.72864,67565.66424,68089.57309,69931.29316,66986.59471,67091.23054,67211.59954,69546.79637,67039.53059,68655.26729,66482.02517,66859.29171,67299.41123,66930.95863,69017.93307,64918.73427,67366.6888,67082.08996,67388.84036,69437.09348,66876.63823,68981.08527,68998.53096,68574.8217,67287.83402,67924.63431,67129.53743,67426.20964,67555.81352,68808.91369,70745.70609,68001.62338,66992.33442,68142.56753,66260.7225,68486.23082,67510.0422,68940.67291,65190.28284,67651.29735,68890.12644,68891.87812,67579.71475,66161.96027,69365.40396,68463.9119,68709.48759,68659.89754,68526.99349,67530.71147,68531.20974,68167.7426,69782.37027,67956.75675,67034.34784,65401.6854,66728.41064,68754.75055,67666.90445,67300.79963,67693.81154,67950.91691,67314.29767,69970.40496,68637.57953,70433.20036,67161.70862,68869.50364,67911.9916,67052.98489,69803.40576,65684.7975,67393.97694,68815.39059,68774.81563,66817.26821,70559.45248,65999.94426,68023.10396,70807.01398,68388.01287,1990
67769.44942,69184.44317,68994.13064,68419.51588,66117.57521,67085.59886,67956.29239,69427.73168,68092.64106,68756.35424,67261.42147,68898.72435,68517.84481,67004.433,67247.87917,67540.37233,68619.81694,67906.41888,67406.75234,65976.50439,67221.85036,67331.50407,69253.16824,67142.20611,66372.48643,66339.64122,69164.28299,66145.10216,67985.50934,65661.42091,66595.38161,66332.39912,66772.67723,68560.60813,64704.46433,67460.92025,67244.2802,67027.11376,69059.93736,66452.60476,68205.01661,68385.2986,67640.798,66682.43293,67045.48678,66805.05865,66977.88359,67252.07486,68444.88392,69875.4998,67637.83564,66386.42716,67363.59124,65439.08599,67166.46089,67114.19065,68640.9248,65399.11699,67686.33892,68326.74048,68043.93708,66497.26794,65619.04547,68922.69386,67699.7073,68631.78947,68083.44283,67616.32927,67006.99327,67372.97249,68295.64929,69475.20426,67691.37253,66895.67664,65662.99182,66297.07068,68083.43482,66717.82412,67964.24247,66911.87612,68008.08808,66996.82305,69328.58302,68427.85023,70096.04972,66835.11073,68447.34128,68117.71375,66235.20877,68594.53354,65290.1258,67054.81569,68366.50326,68139.8467,66377.65875,70322.80728,65672.48602,67086.82608,69889.58432,67923.9643,1990.5
66611.19486,68398.76033,68352.73651,67621.27545,65802.8687,66879.20693,67828.91701,68603.67495,66892.9408,67772.28517,66897.72386,68110.05371,67803.91536,66353.23693,66520.759,66911.54023,67805.00361,66679.45339,66228.39303,65525.54747,66468.59222,66337.40724,68125.37367,66992.91235,65401.24275,65173.68524,68473.10138,65157.52329,67027.30025,64939.79332,66053.80392,65237.26268,66458.63519,67743.85588,64074.05294,67105.66542,66975.62735,66219.85427,68298.39323,65707.92586,67315.23544,67546.93552,66365.318,65758.10079,65839.4315,66143.25338,66110.62633,66517.37788,67667.10526,68752.66836,66877.65723,65491.86605,66236.44011,64402.91051,65758.64453,66640.91452,68030.8348,65285.55084,67343.02684,67626.75221,66979.98736,65368.7115,64798.97896,68142.16705,66624.0809,68131.48458,67303.12649,66458.04041,66313.67022,66208.27323,67722.28621,68707.72021,66995.62481,66644.67139,65453.4872,65584.11869,67130.37159,65838.90821,68196.30395,65901.94559,67821.54117,66228.98415,68531.17059,67725.30914,69255.42708,66241.22114,67743.48157,67786.39893,65481.92483,67246.68804,64445.1555,66339.2882,67584.3843,67314.77672,65708.42601,69595.6469,65207.43636,66008.67599,68739.51078,67046.41546,1991
65259.57579,66873.21048,67211.71795,65764.98764,65654.55379,66901.20598,67249.14186,67286.80648,65324.88822,66545.73131,65503.50812,66578.04578,66722.01304,65292.90742,65612.12719,65936.11031,66850.45996,65225.68655,64977.32867,65141.62833,65588.04586,65280.53015,66364.4129,66410.65624,64264.92999,63608.84073,67184.2135,64036.28365,65470.2089,64371.08275,65308.27936,64129.49871,65885.23698,66251.90559,62677.3008,66281.37193,66017.94856,64516.68291,66874.26766,64919.7225,66262.39956,66667.05683,65068.5688,64614.95812,64328.67521,65360.58502,64914.30776,65575.45565,66516.37668,67762.77776,65681.89011,64198.71482,64787.34414,63543.19213,65055.30295,65879.58978,67082.45523,64860.57512,66413.09286,66801.3945,65577.02778,64340.85605,63497.61218,67115.95717,65354.2653,67019.3466,65986.70723,65296.03717,65150.63782,65075.77677,66093.0156,67406.19282,65821.53866,65976.45292,64396.28777,64632.5083,65904.91124,64756.58802,67524.68709,64725.44026,67271.1573,64794.81591,67357.03418,66359.99631,67970.91631,64917.61648,67033.20426,66735.31414,64631.93397,66006.27943,62964.5842,65234.15847,66414.5233,66499.88114,64574.36095,68320.54289,64579.55757,64933.82773,67353.91835,65665.82397,1991.5
63902.06958,65111.41673,65664.72077,63699.60028,65164.58469,66282.95507,66162.24996,65670.53538,63561.15813,65215.3902,63757.26054,64670.95348,65549.01019,64100.31278,64553.68464,64770.88487,65614.15532,63753.18509,63696.11842,64512.48359,64470.1361,64171.40694,64580.94415,65475.67571,62986.53943,62157.81498,65628.17384,62827.78889,63806.06857,63532.03226,64157.13027,62908.44073,65059.25175,64630.98201,61166.1889,65208.83392,64725.48736,62649.55505,65082.012,64053.28291,65123.09835,65433.05974,63550.1396,63239.09061,62962.80656,64247.29283,63633.08208,64390.00312,65118.17674,66586.48626,64174.32125,62759.1784,63287.59343,62694.67888,64200.59537,65062.99777,65926.07613,64142.38182,65080.84742,65644.96361,64107.60589,63381.35986,62133.60996,65852.64013,63959.23498,65700.18692,64391.2707,63996.69276,64031.81427,63842.25798,64286.64572,65943.70483,64220.63742,64895.30859,63125.34246,63443.5004,64609.52228,63693.39045,66336.54937,63285.67466,66188.07688,63103.3255,65990.04913,64718.49212,66576.8661,63395.92076,66039.44641,65257.83051,63603.0335,64793.78622,61379.0067,63833.14179,64992.42539,65469.37625,63055.59838,66946.23975,63626.77787,63679.21392,65958.69579,64209.1232,1992
62292.07704,63209.45107,63487.6574,61941.25407,64070.18843,64725.45693,64135.73049,63750.78665,61750.13075,63500.79404,61844.26841,62029.35085,64467.5031,62720.55692,63154.36718,63590.95307,63616.62743,62055.04504,62050.69959,63406.93631,63285.85144,62972.28112,63174.84935,63963.12247,61669.98208,61099.55306,63731.55187,61640.41251,62245.27402,62210.42464,62512.48728,61493.74908,63851.43655,62894.6533,59502.55527,64213.04756,63261.90085,61017.9817,62916.47059,63010.42415,63635.05659,63776.39642,61729.6982,61467.72197,61516.20837,62841.36897,61984.73042,63133.15434,63871.25396,65187.26287,62195.40435,61435.29876,61887.64354,61627.67892,62932.22398,64111.61911,64281.62423,62986.54982,63372.12037,63897.17287,62747.84763,62523.58393,60472.11049,64050.0715,62427.9126,64018.89731,62400.56577,62729.94761,62951.47227,62528.00846,62934.1442,64115.06422,62170.35941,63328.18747,61853.6444,62212.05292,63379.0302,62330.19061,64676.22908,61879.39057,64668.89226,61868.98631,64597.32182,62872.29134,65010.74706,61775.04447,64481.35331,63427.43997,62344.54544,63493.48482,60272.6684,62002.43444,63310.42598,64023.47872,60997.15641,65456.96518,62155.05341,61828.90279,64637.96009,62751.09668,1992.5
61459.41932,61846.19815,61541.33607,60987.10787,63184.74849,63420.86663,62656.95328,62777.91242,60734.36306,62296.36967,60756.94752,60358.06135,63851.24813,61925.61203,62157.9092,62962.09214,61981.50518,60761.29909,60758.22728,62306.02299,62317.12952,62002.49491,62418.60433,62580.27181,60605.08462,60428.72622,62356.52548,60909.58737,61271.03879,61267.29078,61263.87155,60491.63897,62983.5766,61915.15841,58593.52183,63417.42818,62048.40339,60079.14393,61342.44554,62280.9417,62514.32282,62323.35668,60298.374,60283.24949,60579.51732,61815.24207,60893.26118,62453.74958,62931.6076,64113.99114,60776.20229,60495.94143,60877.54913,60759.90795,61790.76858,63119.58618,63043.94587,61967.2581,62053.723,62587.28261,61873.55965,62176.51229,59220.13049,62574.53557,61404.22516,62705.4956,60870.81238,61823.28522,62180.43149,61387.05951,62265.7692,63096.0517,60584.18091,62262.73351,61036.52294,61237.93096,62471.09997,61460.65655,63191.12124,60933.2717,63401.34317,61030.44074,63601.48649,61475.20967,63599.59202,60693.22454,63209.06195,62255.86743,61384.58962,62722.81171,59811.52174,60825.94856,62232.03756,62644.71598,59432.45901,64115.52439,60968.93078,60544.49827,63653.09385,61885.28283,1993
62326.96616,61969.10526,61044.06052,62060.32299,63767.18206,63537.18855,62932.3281,63303.43956,61664.07142,62252.99101,61716.00617,60318.59005,63997.58894,62190.91206,62470.54,63525.52403,61279.39726,60661.30375,60708.63987,62825.02737,63137.54033,62330.6409,62549.14501,62173.32629,61090.58139,60801.8581,62884.2917,61380.00451,61890.01143,61609.76285,61399.34784,60929.56544,63423.98343,62646.45449,59293.59276,63634.1923,62648.13358,60397.58177,61584.6145,62656.28445,62314.25073,62135.56768,60593.7684,60658.64109,61090.69212,61887.99303,61364.06056,63105.21045,62972.20599,64088.76187,61181.76133,60950.25462,61135.97101,61045.751,62233.4445,62689.19004,62887.32976,62369.36584,62211.3084,62913.77985,62313.7728,63236.06667,59082.16419,62168.96496,61448.6387,62192.83186,60750.18149,61736.80591,62006.14,61391.94557,62806.57348,63255.09501,60831.79181,62543.9541,61467.9969,61217.1778,62873.95155,62078.35194,62149.67985,61571.03477,63401.27662,61447.52631,63193.50091,61725.40768,62340.37144,61006.91031,63120.24695,62756.90462,61421.17663,63437.01109,60994.6412,61658.76192,62737.68466,62170.44927,60092.28291,63482.82708,60915.2882,61471.32553,63574.30758,62399.16513,1993.5
62195.23948,61334.0321,60174.62004,62110.40784,63362.63302,62909.70768,62432.1534,62889.474665,61548.38058,61514.87181,61637.84863,59723.56667,62967.83501,61709.47346,61872.18799,62741.77162,60115.14905,59940.48791,59828.91327,62281.89844,62958.67782,61530.88928,61888.77734,61000.09937,60748.99348,60106.14318,62518.0466,60823.34274,61773.40502,61172.21339,60817.15092,60444.29769,62891.62365,62430.573984,59303.75715,62795.97401,62243.41519,59801.17595,61208.02356,62126.25213,61435.73461,61080.77646,60065.9841,60219.04446,60764.69642,61200.74956,61004.36617,62819.61705,61926.49335,63277.43348,60526.00918,60515.12583,60451.86916,60419.80014,61833.26668,61390.08993,61824.89533,62005.63577,61535.22501,62084.34965,61947.06689,63184.07463,58371.34155,60950.56029,60725.92293,61087.97091,59873.90813,60878.9496,61027.02792,60619.40463,62548.66609,62657.99999,60423.75901,62126.84645,61304.35865,59934.28557,62263.88196,61621.24644,60560.79064,61483.82745,62646.98784,60960.14653,62034.81814,61168.93691,60602.65247,60607.17966,62210.32853,62233.75415,60711.53579,62877.08336,61165.04049,61648.54364,62401.35768,60782.62625,60020.58749,62011.36958,60279.35574,61627.59377,62838.44854,61957.86326,1994
59372.79949,58633.6822,57382.4212,59303.79761,60118.34557,59918.89536,59511.1969,59928.86484,58612.21214,58552.69039,59035.71347,56945.58489,59440.44378,58894.82802,58854.59331,59721.30658,56949.50945,57221.0534,56842.81142,59174.67999,59930.29526,58585.70248,59311.38864,57447.30197,58070.05989,57105.28674,59771.44492,57957.8943,59162.80157,58678.39578,58024.76436,57781.03201,59799.96971,59767.00334,56722.31336,59843.88392,59219.66707,57093.24612,58279.76394,58901.49,58507.51629,57738.52411,57178.7338,57392.40689,57948.75695,58066.06183,57971.93123,60090.56995,58308.61908,60309.10487,57526.70448,57653.56139,57567.65518,57589.20516,58879.39703,58151.48624,58816.13449,59202.28011,58541.24068,58627.85581,59258.8134,60569.60284,55836.37306,57525.62964,57557.46882,57902.2531,56787.60462,58004.4298,58103.92008,57524.24036,59837.74881,59525.02339,57661.32274,59251.09544,58698.91116,56471.46443,59577.95799,58871.72679,57405.90992,59144.26741,59473.665,58258.62888,58565.11801,58325.62263,57436.36569,57804.54275,58942.52223,59261.3953,57778.15733,60003.10272,58814.34491,59000.25053,59619.68891,57403.87765,57431.71028,58662.37282,57360.48987,58807.9933,59869.96921,58931.91801,1994.5
