"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100"
0.0259911,0.0268327,0.0276319,0.0275475,0.02711255,0.02959145,0.0264253,0.02784645,0.02637395,0.0278201,0.0265371,0.0277308,0.0281831,0.02751695,0.0257245,0.0266614,0.02567895,0.02672635,0.0269165,0.0269349,0.0262832,0.0277816,0.0285113,0.02897655,0.0258727,0.0291932,0.0260816,0.02651095,0.02760475,0.027525,0.02713595,0.02588615,0.02780415,0.0279703,0.02581725,0.0271701,0.02676625,0.0265827,0.02990125,0.02589165,0.0262023,0.0258779,0.0270552,0.02795975,0.0298847,0.02888385,0.0278761,0.0272431,0.0276251,0.0250812,0.02772985,0.02745745,0.02743145,0.02650965,0.02768475,0.02695895,0.02561915,0.0273331,0.02467,0.02730595,0.0263047,0.0270879,0.0282583,0.0277818,0.02780095,0.0256536,0.02762345,0.02780075,0.0267527,0.02900885,0.028151,0.02686835,0.0274145,0.0272407,0.02644775,0.02848805,0.02807625,0.0277606,0.0275447,0.02665755,0.02522855,0.02586005,0.02815735,0.0258958,0.0247871,0.02470345,0.02526845,0.02746885,0.0274635,0.0270239,0.0260895,0.0242311,0.02736055,0.0260244,0.0293389,0.02678595,0.026877,0.0278384,0.02546565,0.0278711
0.0541416,0.05400085,0.0531716,0.0559461,0.0546573,0.0552854,0.05481275,0.0526105,0.05023915,0.05253215,0.0549876,0.056925,0.05269015,0.058025,0.0541093,0.05655075,0.05383885,0.0536776,0.05301925,0.0547605,0.0520003,0.05293335,0.05557825,0.05712625,0.05254945,0.05605845,0.05229545,0.05213305,0.0583913,0.05265305,0.0574313,0.053189,0.0542201,0.0516974,0.05685765,0.0565366,0.0541898,0.05253475,0.0572098,0.05438985,0.05339365,0.0526986,0.05571905,0.0543358,0.0552834,0.05651085,0.05669135,0.05305465,0.056981,0.05349465,0.05336635,0.0566955,0.0555088,0.0530943,0.05354515,0.054622,0.05205305,0.05558885,0.05150525,0.056533,0.05432155,0.05606005,0.05612975,0.05515255,0.0562237,0.0525779,0.05602485,0.0529155,0.0511822,0.0573775,0.0544785,0.05527755,0.0568424,0.05211695,0.0559131,0.0529825,0.05193915,0.05961155,0.05536765,0.0546021,0.05590575,0.0527831,0.0545959,0.05489245,0.05852475,0.0508459,0.05535685,0.05243605,0.0490244,0.0537011,0.05511255,0.0515708,0.0553013,0.0556093,0.0547679,0.05552715,0.05045675,0.05401515,0.0519482,0.053911
0.0815672,0.08197125,0.0797317,0.08048235,0.0830264,0.0828361,0.082682,0.0825565,0.0801493,0.0800189,0.0802891,0.08389395,0.08074125,0.08439185,0.0832937,0.08191755,0.0799514,0.08247915,0.0820416,0.08418875,0.07937065,0.07815315,0.07999515,0.0845612,0.0791234,0.08201,0.0805826,0.08465185,0.08885095,0.0826797,0.0845635,0.08183425,0.0806818,0.07738465,0.0851463,0.0830837,0.0842081,0.08211875,0.08247945,0.08159455,0.07926815,0.08237745,0.0849364,0.0836047,0.08505625,0.08075435,0.0820091,0.08335485,0.08214645,0.08216195,0.0809388,0.08349085,0.0812126,0.08250765,0.08296795,0.08256835,0.08305155,0.082552,0.0800207,0.0846959,0.08232585,0.0794853,0.08102305,0.0825394,0.08208035,0.07958385,0.0846488,0.0807592,0.07727095,0.0859248,0.07990345,0.0770716,0.0846777,0.08208835,0.08056075,0.0801786,0.08443825,0.08396485,0.08510345,0.0770263,0.08103965,0.08018565,0.08063975,0.08455395,0.0836497,0.0803536,0.07880885,0.07937935,0.0767999,0.08203245,0.0816501,0.0783626,0.08320495,0.08085825,0.08276635,0.08333305,0.0792038,0.0790272,0.0776051,0.08325335
0.109131,0.1042555,0.1089895,0.1134685,0.1119325,0.1079865,0.1113265,0.109049,0.107582,0.1100435,0.107342,0.110994,0.1081445,0.1106,0.1097025,0.10988,0.10936,0.108055,0.111992,0.108355,0.1093045,0.1101215,0.1096915,0.112665,0.106821,0.1155705,0.1094485,0.108782,0.116608,0.108274,0.1083385,0.105692,0.105249,0.108958,0.108131,0.10977,0.111452,0.1037375,0.11617,0.10622,0.105251,0.1091405,0.110873,0.108887,0.1144355,0.1146845,0.1073255,0.109637,0.1101615,0.1107005,0.110511,0.1107765,0.108528,0.1107035,0.1093075,0.1078695,0.1029985,0.1114235,0.10778,0.115524,0.109599,0.1070715,0.110145,0.113372,0.109137,0.102429,0.113546,0.109418,0.1045685,0.1159995,0.1156615,0.110459,0.109228,0.108813,0.106314,0.1053325,0.107182,0.113855,0.11056,0.1051365,0.111584,0.112659,0.1080885,0.110722,0.111188,0.104069,0.1048105,0.1104945,0.107731,0.109783,0.1039735,0.1095835,0.1101085,0.106962,0.1100675,0.1105215,0.1048405,0.1147295,0.109772,0.11047
0.137717,0.132815,0.13699,0.138131,0.139489,0.143122,0.1397985,0.136353,0.13229,0.138063,0.1386925,0.135211,0.137856,0.142641,0.139247,0.137217,0.1336425,0.138478,0.1329965,0.136447,0.1296965,0.1338305,0.1359715,0.140875,0.1339065,0.1424455,0.133632,0.1372615,0.136611,0.1369095,0.1393935,0.1354995,0.1376425,0.1411185,0.1427785,0.1379775,0.1358735,0.134819,0.142221,0.134346,0.131322,0.1344125,0.141362,0.1371375,0.141894,0.140371,0.1429015,0.1365165,0.1417555,0.136723,0.1340635,0.13828,0.1344305,0.136622,0.136438,0.142613,0.133345,0.1407805,0.128735,0.1428405,0.1354635,0.135615,0.142518,0.1447955,0.143964,0.131449,0.1347905,0.1342515,0.131006,0.144508,0.140107,0.136766,0.1386955,0.135434,0.133889,0.135338,0.1406515,0.1464,0.1384355,0.134364,0.13157,0.1395965,0.1386765,0.133235,0.140422,0.132201,0.134362,0.136195,0.132553,0.1362835,0.1389215,0.132326,0.137055,0.1391245,0.136485,0.1356005,0.1341925,0.136935,0.1358655,0.1360445
0.161394,0.164557,0.1622555,0.1622575,0.1671425,0.166519,0.16472,0.161786,0.1627985,0.159604,0.166984,0.1646165,0.168477,0.165021,0.165605,0.1663785,0.164582,0.1668115,0.1608305,0.171421,0.1607005,0.160293,0.1703535,0.167947,0.1637495,0.1733355,0.161517,0.1563025,0.178759,0.1660405,0.1680665,0.1635125,0.1696675,0.1729525,0.1667255,0.1689235,0.165331,0.1610775,0.169812,0.1589575,0.1533605,0.1618425,0.164648,0.172699,0.1647275,0.165699,0.165916,0.162569,0.1667875,0.1589345,0.1669475,0.1667945,0.165605,0.166668,0.163769,0.168986,0.1658815,0.1591465,0.156924,0.171269,0.1621735,0.163547,0.171714,0.1691395,0.1683715,0.1578665,0.166291,0.161229,0.158046,0.1669135,0.1645895,0.159945,0.1689795,0.162167,0.162439,0.1562425,0.164533,0.1649975,0.1660935,0.1643465,0.166226,0.162777,0.164898,0.165819,0.170008,0.159704,0.1608975,0.165181,0.163912,0.1623865,0.159584,0.1544695,0.166318,0.159299,0.163091,0.1635845,0.160091,0.1650085,0.1679475,0.1661305
0.194223,0.1947645,0.19378,0.1968165,0.194899,0.2028135,0.202398,0.1979145,0.187207,0.1932455,0.1932095,0.1925405,0.196752,0.1972305,0.1986,0.1988415,0.1907605,0.1924485,0.186861,0.1964025,0.179504,0.1902365,0.1970315,0.197461,0.188586,0.2091755,0.1894415,0.1843225,0.204256,0.19308,0.194923,0.189929,0.190177,0.194242,0.194611,0.197348,0.192051,0.1942035,0.1952895,0.1928275,0.189172,0.1914355,0.1992105,0.1992515,0.1911535,0.187581,0.1956245,0.1945845,0.1931545,0.189541,0.1855675,0.1900755,0.1906415,0.195921,0.1912185,0.1890905,0.192241,0.199884,0.1871925,0.201435,0.193395,0.194449,0.196945,0.2002245,0.19666,0.1820265,0.198454,0.1961005,0.181102,0.2003035,0.1966675,0.1922565,0.1973025,0.190493,0.196914,0.1829515,0.1945755,0.204502,0.197208,0.1846275,0.188932,0.192717,0.189492,0.1972305,0.1970275,0.185282,0.1897995,0.1952115,0.185613,0.19238,0.1949845,0.1823515,0.1959405,0.1947315,0.1958455,0.189727,0.1873315,0.1960575,0.1902115,0.1989675
0.222516,0.22502,0.214918,0.2175155,0.2195965,0.219829,0.2264785,0.2193765,0.2194845,0.2133775,0.215176,0.2268905,0.224048,0.224854,0.221468,0.2254765,0.2176725,0.219887,0.213738,0.2215825,0.21401,0.222385,0.219297,0.232673,0.218974,0.2329255,0.218181,0.2107885,0.2354485,0.228601,0.22538,0.2124135,0.2141375,0.223273,0.2230095,0.222135,0.2248745,0.213196,0.226139,0.2174255,0.2086475,0.2221355,0.2295865,0.229248,0.221092,0.2316175,0.228259,0.221464,0.223643,0.2208255,0.221454,0.2203405,0.2237395,0.2236155,0.217762,0.220146,0.2126145,0.2270715,0.223966,0.2303715,0.222796,0.2183275,0.2282565,0.218761,0.225158,0.2143325,0.2271985,0.2158265,0.215067,0.2349955,0.2250915,0.227379,0.2160435,0.2216685,0.222282,0.2082685,0.2222825,0.225938,0.221425,0.214711,0.2292275,0.220812,0.2208225,0.2206635,0.2297625,0.2176115,0.22,0.2198715,0.216317,0.2219505,0.215252,0.208005,0.224591,0.2181235,0.2206,0.228473,0.212407,0.224782,0.226249,0.2200175
0.256651,0.249743,0.2436635,0.2517765,0.2560475,0.259991,0.2519805,0.2500165,0.244636,0.2437775,0.244966,0.2482935,0.2423525,0.2540455,0.246967,0.2499,0.2373235,0.254462,0.2476155,0.264801,0.233365,0.2418295,0.2450115,0.267102,0.2398595,0.2643875,0.2368585,0.2318095,0.2517425,0.2485955,0.2581215,0.248909,0.241432,0.2625035,0.2448335,0.2604675,0.2505305,0.243352,0.2557765,0.2442165,0.2370375,0.2478415,0.253037,0.249543,0.241732,0.254514,0.243752,0.2555585,0.249052,0.2491145,0.2455505,0.251584,0.2437525,0.2514795,0.249862,0.2534635,0.251389,0.24857,0.2388555,0.2537675,0.2425935,0.244176,0.249689,0.261604,0.264652,0.235549,0.2451525,0.2470155,0.2428935,0.2694235,0.253262,0.254156,0.248338,0.250919,0.2432615,0.228266,0.2471945,0.25729,0.252371,0.2392225,0.2493035,0.245434,0.2433555,0.2581535,0.258445,0.236238,0.248842,0.2392845,0.2427675,0.2544895,0.2414225,0.235595,0.248659,0.246567,0.256572,0.250209,0.245621,0.2519415,0.253546,0.243451
0.285076,0.2838545,0.2650215,0.2755755,0.2814335,0.288928,0.2830135,0.2755195,0.2688275,0.279861,0.2744095,0.2695185,0.2750135,0.2866005,0.2787375,0.285558,0.281996,0.280116,0.2749435,0.2918135,0.2684125,0.2700925,0.271395,0.294488,0.275436,0.2998895,0.26904,0.252528,0.2974995,0.275751,0.279605,0.2749095,0.278393,0.2871375,0.28075,0.2873915,0.2725105,0.264424,0.2878665,0.2745925,0.2597005,0.2841155,0.281445,0.280793,0.2728185,0.2810025,0.277681,0.274084,0.2742935,0.276633,0.2737485,0.2812315,0.2762555,0.273499,0.28052,0.2749415,0.269472,0.2887695,0.2702285,0.283154,0.2774625,0.2703715,0.2830665,0.2912215,0.2795575,0.2579865,0.285702,0.2717615,0.268738,0.285578,0.273365,0.2895635,0.274375,0.2819255,0.284899,0.2645955,0.273374,0.29044,0.286349,0.27499,0.280042,0.2795995,0.2619715,0.2762145,0.300461,0.2699465,0.273517,0.270958,0.2691965,0.2799605,0.277538,0.265138,0.280249,0.279656,0.2714995,0.2800245,0.2574285,0.280477,0.2755295,0.2829285
