"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
64427.553,63309.841,64473.577,62942.878,64545.708,65386.943,63419.1,66786.871,66601.87,64643.85,63788.733,66144.881,65626.839,61095.02,64885.511,67501.417,66869.767,65369.013,65534.722,64873.041,67565.103,67179.914,65238.236,66053.228,67431.262,63764.104,66168.157,67572.901,62570.463,65347.805,64236.966,65927.977,68600.474,63849.128,67336.044,64299.623,64918.845,65425.591,64780.149,65969.65,67890.789,64870.666,67443.884,63919.762,63495.541,63763.427,65340.594,64828.409,64903.939,65974.954,66494.322,65895.683,66187.957,63822.26,64241.206,63523.964,66062.174,63921.608,66682.997,62675.502,63739.002,65524.479,61144.051,64303.773,65589.307,68057.553,63837.735,65015.181,68342.086,65049.203,63119.102,65672.029,65917.469,67472.143,67267.621,65510.814,64884.013,61905.142,65585.35,66711.495,64750.561,63561.287,66139.717,63276.288,64559.123,68075.4,66607.029,65880.241,65793.7,65268.765,66380.785,67809.668,63099.876,64250.927,64134.999,63392.015,66758.504,65086.365,65392.624,64534.183,1990
63690.461,62555.973,64058.923,62501.659,64025.604,64753.847,63106.163,65962.617,65614.88,64288.444,63372.802,65756.507,65422.927,60580.77,64219.318,66744.494,66373.713,64808.953,65117.374,64283.322,66812.857,66624.866,64548.333,65675.698,66809.69,63270.886,65550.479,67155.448,62490.947,64789.633,63986.887,65363.184,67908.945,63210.684,67317.214,63754.189,64224.137,64901.491,64307.116,65580.016,67226.157,64476.577,66623.399,63462.838,63059.52,63170.669,64800.599,64181.14,64355.12,65281.79,66067.021,65499.951,65528.299,63327.103,63852.521,63033.244,65739.681,63402.322,65830.801,62395.38,63008.764,64994.811,60833.231,63656.995,65068.247,67409.93,63392.688,64471.22,67341.32,64501.611,62605.656,64679.159,65353.598,66603.883,66450.738,64885.643,64407.25,61109.132,65280.329,65999.179,63926.692,62823.955,65589.118,62391.091,64004.932,67355.632,66231.829,65457.344,65086.293,64641.52,65690.773,67042.216,62809.806,63793.733,63542.637,62776.697,66120.005,64915.751,64434.465,64057.465,1990.5
63070.828,62049.338,63574.724,62133.404,63458.602,64219.381,62946.712,65170.894,64777.378,63904.135,62940.074,65380.1,65233.135,60278.444,63734.443,66090.193,65876.652,64399.203,64870.504,64033.228,66200.29,66136.363,63936.297,65244.698,66244.079,62851.785,65059.739,66645.113,62523.258,64348.946,63724.251,64900.796,67203.757,62603.46,67212.419,63241.703,63687.303,64516.536,64047.79,65215.326,66519.927,64213.832,65977.33,62938.744,62591.19,62668.477,64322.021,63664.114,64000.571,64673.121,65747.559,65271.468,64933.556,62827.061,63337.702,62760.272,65349.839,62834.548,64983.232,62205.949,62492.404,64443.478,60542.433,63088.696,64551.315,66965.008,63019.753,64125.305,66289.341,64009.325,62255.283,63809.836,64861.266,65933.492,65715.718,64208.854,63908.71,60361.083,65033.006,65301.988,63313.349,62223.168,65096.351,61624.802,63521.023,66688.174,65744.161,64871.81,64410.385,64171.706,65042.137,66307.707,62488.459,63400.408,63003.092,62283.998,65598.888,64852.62,63705.925,63651.624,1991
61822.265,60908.339,62377.107,61104.237,62257.015,62937.573,62046.417,63958.287,63465.51,62857.121,61778.803,64263.404,64295.323,59259.97,62592.91,64704.521,64532.452,63428.461,63953.646,63159.803,64857.283,64961.62,62662.932,64057.542,64987.992,61803.551,64007.054,65335.403,61944.203,63342.399,62597.022,63678.259,65714.461,61512.399,66180.732,62083.535,62487.874,63507.236,63203.898,64093.974,65108.952,63256.76,64774.185,61645.389,61532.262,61605.672,63144.648,62554.829,62918.31,63432.152,64749.476,64290.742,63597.004,61648.866,62107.128,61901.417,64093.18,61637.315,63384.33,61361.717,61427.497,63129.631,59546.344,61893.165,63372.624,65703.149,61837.497,63273.045,64498.499,62864.137,61278.545,62234.862,63743.689,64687.752,64374.105,62829.384,62646.948,59037.241,64000.491,63887.713,61962.406,61017.149,63967.555,60345.694,62231.354,65367.205,64402.588,63514.681,63228.986,62987.694,63728.146,64929.583,61382.999,62336.268,61807.39,61135.944,64549.516,64132.29,62412.888,62640.574,1991.5
60839.83,59669.101,61301.524,60287.377,61231.956,61869.595,61083.653,63055.686,62408.958,61816.61,60663.141,63205.132,63263.733,58332.971,61679.781,63509.086,63318.814,62691.137,62983.006,62490.464,63623.073,63779.015,61503.929,62848.108,63878.342,61014.546,62902.424,64416.995,61497.211,62391.851,61563.332,62450.545,64320.388,60516.581,65113.9009,61104.1,61360.075,62488.443,62353.234,63049.445,63735.105,62221.037,63791.137,60584.72,60559.949,60729.293,62203.985,61508.269,62047.415,62287.412,63773.46,63463.088,62527.496,60535.245,61050.109,61102.132,62861.356,60673.278,62071.058,60664.579,60250.335,61975.669,58561.399,60864.698,62258.662,64575.001,60702.504,62674.246,62854.008,61941.153,60323.643,60903.328,62685.861,63684.441,63192.794,61705.021,61496.384,57937.485,62854.251,62600.46,60775.29,59942.801,63111.589,59357.038,60874.782,64192.631,63082.486,62229.603,62309.505,61930.414,62559.468,63440.843,60316.857,61381.727,60827.662,60193.458,63692.85,63540.538,61377.06,61734.787,1992
59485.711,58153.772,59948.905,59194.945,60003.198,60337.26,59706.722,61768.997,60999.715,60323.293,59243.199,61758.689,61728.473,57296.097,60374.26,61962.595,61724.949,61570.823,61710.732,61266.842,62105.866,62350.733,60152.799,61350.571,62317.134,59882.16,61424.664,62977.386,60709.011,60984.548,60109.88,60804.734,62533.821,59233.42,63645.6255,59909.821,59953.247,60965.365,61263.784,61628.497,62084.678,60590.113,62550.425,59193.707,59416.95,59692.453,60875.275,60084.817,61036.943,60871.605,62428.852,62244.132,61217.723,59106.492,59761.549,59984.859,61063.961,59547.979,60482.306,59671.643,58768.23,60568.452,57380.57,59608.911,60986.002,63067.702,59223.127,61699.086,60925.953,60749.098,59038.431,59291.438,61340.056,62304.0611,61710.078,60328.221,59666.542,56826.941,61296.489,61133.949,59247.145,58479.45,61890.483,58304.076,59240.303,62546.261,61391.906,60684.887,61028.365,60445.56,61131.715,61809.512,59008.738,60131.734,59635.171,58872.72,62447.599,62503.897,60009.961,60363.036,1992.5
58891.088,57151.562,59257.201,58818.12,59717.97,59676.198,58964.624,61267.971,60420.136,59411.768,58507.666,60829.619,60854.482,57088.004,59643.274,61109.166,60987.013,60775.634,60955.615,60824.559,61353.837,61704.527,59482.034,60501.703,61289.74,59367.9813,60568.141,62511.237,60700.28,60257.561,59230.648,59980.051,61586.001,58544.533,63015.9665,59210.403,59114.529,60005.572,60945.037,60769.769,61215.121,59372.91,61989.3714,58543.31,58978.837,59357.221,60040.323,59279.658,60821.192,59908.155,61582.733,61704.903,60685.98,58234.173,59042.388,59490.57,60061.82,59233.228,59611.62,59307.605,57993.221,59852.415,56845.525,58915.978,60172.642,62525.969,58620.529,61364.713,59817.885,60284.746,58407.465,58416.773,60549.019,61770.8657,60859.161,59863.582,58612.903,56457.173,60393.44,60138.615,58456.938,57693.23,61447.094,57797.048,58287.154,61575.663,60404.99,59755.91,60330.426,59879.077,60321.294,60921.619,58081.744,59377.768,59115.618,58089.311,61855.651,61674.951,59076.038,59737.909,1993
57736.203,55998.807,58149.16,57939.222,58870.826,58731.167,57694.252,60219.227,59364.724,57945.28,57319.608,59374.788,59394.199,56548.582,58492.153,59640.114,59686.032,59390.579,59755.692,59902.668,60197.189,60455.993,58339.977,59181.0016,59666.064,58040.1032,59172.759,61502.035,60134.9417,58937.85,57856.747,58744.973,60319.504,57203.895,61955.4368,58124.207,57877.145,58687.681,59792.508,59425.92,60099.047,57655.186,60940.1209,57470.709,58194.767,58372.916,58743.389,58242.462,60071.526,58521.463,60208.169,60696.897,59670.126,56865.14,58031.006,58442.839,58908.676,58466.084,58358.578,58444.278,56838.667,58666.212,55871.813,57765.902,59128.876,61655.472,57478.651,60409.385,58478.612,59073.989,57120.458,56982.881,59382.125,60693.0515,59408.068,58979.786,57193.004,55704.914,59043.9512,58657.633,57164.564,56142.457,60409.945,56730.474,57091.951,60161.157,58934.572,58283.076,59011.874,58860.591,59088.025,59605.356,56760.81,58103.45,58303.488,56808.097,60796.55,59933.538,57514.775,58623.987,1993.5
56144.548,54601.776,56791.192,56696.463,57682.677,57527.5913,56152.167,58858.549,57973.324,56329.953,55700.994,57637.619,57681.98,55734.674,56900.129,57890.644,58045.5346,57584.029,58151.742,58394.0304,58642.057,58733.262,56753.597,57449.273,57673.488,56386.4852,57466.638,59999.925,58899.779,57338.817,56346.1733,57135.713,58645.841,55738.106,60460.3196,56754.8317,56419.465,56910.263,58299.544,57532.775,58445.704,55519.477,59517.3632,56160.71,57012.818,57011.255,56965.557,56667.421,58961.541,56787.568,58563.6127,59379.236,58307.679,55356.085,56558.744,57181.248,57402.347,57306.746,56823.585,57171.686,55611.079,57012.87,54693.497,56211.125,57729.513,60270.275,56117.287,58950.515,56919.57,57703.4163,55638.931,55254.815,57837.936,59043.2505,57592.536,57858.186,55497.371,54625.732,57400.9685,56811.2746,55370.276,54431.231,58962.273,55365.676,55581.41,58348.482,57269.273,56698.627,57445.46,57474.776,57555.773,58151.257,55155.154,56412.222,57178.175,55260.915,59270.483,57826.655,55659.317,57223.272,1994
53566.832,52332.949,54456.063,54493.885,55500.082,55209.4545,53655.565,56324.854,55524.143,53890.642,53119.528,54955.103,54931.418,53718.064,54438.623,55347.1405,55566.2231,54753.018,55738.134,55818.4542,56247.261,56059.349,54360.586,54836.8937,54784.932,53812.8749,54947.851,57386.755,56900.3746,54710.309,53763.9076,54545.065,55904.047,53242.116,57766.9343,54563.1603,54153.248,54169.0264,55825.7888,54803.006,55829.001,52664.49,57031.1911,53886.191,54835.485,54543.854,54230.88,54267.123,56606.366,54274.922,56105.9758,56944.277,55995.292,53030.729,54187.409,54774.713,54942.833,54937.7,54384.448,55009.996,53376.076,54391.926,52498.524,53673.418,55235.6622,57578.227,53938.164,56483.852,54448.608,55143.7394,53329.475,52638.667,55225.62,56502.4914,54927.924,55589.309,52837.313,52525.459,54724.0102,54121.9546,52881.771,51771.804,56329.3339,53008.087,53268.194,55631.896,54649.201,54119.917,54918.322,55153.84,54926.13,55802.2311,52540.199,53679.069,55229.308,52881.59,56696.942,54867.162,53078.298,55046.234,1994.5
