"run","max_gradient","converged","K","Linf_mm","CV_old","L50_mm","L95_mm","R0_thousands"
1,0.000184226,TRUE,0.0876942,1009.18,0.192127,395.542,439.7658,9906.13954533698
2,9.31293e-05,TRUE,0.0829893,1041.73,0.172111,392.384,434.2052,9854.07150971355
3,7.44392e-05,TRUE,0.0847551,1027.54,0.182507,392.038,431.8998,9806.78723559553
4,0.000319128,TRUE,0.0822156,1041.45,0.182497,391.06,429.6314,9621.15885978779
5,0.000119379,TRUE,0.0875671,1015.14,0.168156,394.491,437.1788,9728.35406472773
6,0.00075725,TRUE,0.0889689,1001.77,0.17041,394.329,437.2127,9840.38386543166
7,0.00128857,TRUE,0.0854216,1021.84,0.173012,391.331,432.5617,9639.36004473452
8,0.000988323,TRUE,0.0878611,999.48,0.181065,392.088,437.5161,10237.5744457191
9,0.000128379,TRUE,0.0897778,993.548,0.191915,392.794,436.4607,10176.4346712222
10,4.49264e-05,TRUE,0.0833788,1027.3,0.186865,394.163,437.1023,9858.01392674828
11,0.000124721,TRUE,0.0851404,1035.98,0.164365,391.206,436.6231,9655.66433645607
12,0.000742232,TRUE,0.0891799,992.833,0.193944,393.467,438.8125,9785.33387155756
13,1.67661e-05,TRUE,0.0847481,1028.25,0.16442,395.14,441.0336,9788.36779529163
14,3.73716e-05,TRUE,0.0822396,1048.4,0.175862,391.659,436.489,9337.6509938148
15,5.33794e-05,TRUE,0.0895565,994.091,0.188986,392.227,434.3248,10009.3006026188
16,0.000186788,TRUE,0.0914757,978.637,0.176552,391.804,436.1475,10314.6449070245
17,0.000318413,TRUE,0.0885622,999.502,0.168931,389.594,431.5412,10275.7291464005
18,0.00154899,TRUE,0.0882209,996.347,0.18313,394.063,438.5911,10040.9800196405
19,4.07927e-05,TRUE,0.0865482,1010.98,0.17124,390.865,433.6482,9864.4237187574
20,0.00245384,TRUE,0.0901875,990.53,0.176123,395.226,444.371,9884.3699936245
21,0.000237453,TRUE,0.0901333,993.857,0.176833,391.653,434.9813,10161.283074305
22,0.00093096,TRUE,0.0899436,996.63,0.182472,393.161,439.4001,9944.25225075259
23,1.07912e-05,TRUE,0.0887241,1005.49,0.176329,392.839,430.6032,9919.22428356415
24,0.001109,TRUE,0.0905624,986.366,0.174043,392.327,440.2091,9730.59184349732
25,0.000342754,TRUE,0.0872111,1010.53,0.170161,393.864,440.2073,10320.7323431367
26,0.000254568,TRUE,0.0854587,1016.04,0.159163,391.437,433.4355,9629.6292059901
27,0.000133092,TRUE,0.0883442,1010.25,0.16658,393.108,437.9019,9998.09646143413
28,1.40175e-05,TRUE,0.091836,985.989,0.193225,394.521,441.6216,9977.22226096759
29,0.000171936,TRUE,0.0844806,1013.37,0.167633,391.571,434.3923,9354.38035740726
30,0.000838475,TRUE,0.0851252,1017.84,0.178078,395.923,442.4058,9936.49875825218
31,0.000523991,TRUE,0.0856719,1017.29,0.16389,395.761,441.8494,9663.10206115166
32,1.49692e-05,TRUE,0.0861632,1021.85,0.169601,391.356,438.7337,9808.16028191951
33,3.13297e-05,TRUE,0.0932435,970.176,0.203128,394.957,439.2781,10374.0212157714
34,8.95969e-05,TRUE,0.0839253,1029.02,0.178817,393.41,432.4478,9814.9302478837
35,0.00225721,TRUE,0.0902548,988.343,0.165885,392.005,434.2639,9752.02271086333
36,0.000326718,TRUE,0.0882627,1003.08,0.170639,392.082,432.3004,9654.98846360836
37,0.000643493,TRUE,0.0868952,1000.44,0.185395,390.046,430.4773,9909.60730099968
38,9.45052e-05,TRUE,0.0873778,1011.07,0.164824,389.172,428.7389,9938.08872524746
39,0.00469373,TRUE,0.090339,990.429,0.18133,393.152,432.6475,9696.9821739772
40,0.000156824,TRUE,0.0899417,997.274,0.174334,393.304,435.6956,9997.89650150449
41,0.000273115,TRUE,0.0898046,1003.61,0.172754,391.872,436.1446,10165.3484005457
42,0.000597967,TRUE,0.0827043,1035.05,0.161084,393.125,438.4131,9899.10868251145
43,0.000455731,TRUE,0.0913808,974.036,0.179336,392.241,433.1135,10262.3793777399
44,0.000522832,TRUE,0.0860441,1022.42,0.179856,394.637,440.7287,9368.42245688509
45,0.000251954,TRUE,0.0847669,1031.52,0.165761,394.431,435.0615,9517.04804124877
46,4.50021e-05,TRUE,0.0843997,1026.04,0.169501,397.638,444.3588,9526.5698494006
47,0.00150262,TRUE,0.0850451,1015.89,0.175862,394.005,438.2314,9939.67894665783
48,0.000152813,TRUE,0.0848575,1021.98,0.177178,390.095,434.8691,9910.69741775812
49,4.48663e-05,TRUE,0.0865493,1011.06,0.177485,394.093,438.6632,9769.39676961363
50,0.000524563,TRUE,0.0848008,1012.39,0.172926,390.452,435.247,10267.9225591281
51,0.000210045,TRUE,0.0873771,1001.86,0.166581,394.132,437.2374,10120.0106984501
52,8.94805e-05,TRUE,0.0890735,994.705,0.176487,391.977,437.1892,9853.77589200256
53,3.52021e-05,TRUE,0.0894577,995.032,0.184972,391.165,432.4241,10004.1971607997
54,0.000180928,TRUE,0.0849314,1028.01,0.174787,389.317,434.7437,9726.31132486932
55,8.28431e-05,TRUE,0.0842507,1026.38,0.17381,393.694,438.4281,9762.95109505225
56,0.000305881,TRUE,0.0849267,1020.83,0.170553,393.426,437.0135,9711.82991232681
57,0.000874335,TRUE,0.0837347,1018.68,0.17308,395.28,437.4029,10010.8021103194
58,3.15903e-05,TRUE,0.0899145,994.255,0.18558,394.37,438.6553,9614.71484233863
59,0.0020174,TRUE,0.0853973,1026.06,0.180129,393.301,443.5885,10181.0150973428
60,4.66441e-05,TRUE,0.0845575,1019.19,0.178333,393.739,434.5788,9472.51759146471
61,5.3325e-05,TRUE,0.0813215,1047.26,0.170955,393.052,432.278,9823.47295273713
62,0.00103912,TRUE,0.0858532,1016.26,0.180608,395.008,439.3375,9850.82020261052
63,0.000660407,TRUE,0.0804538,1060.31,0.167893,391.711,437.9166,9337.74437079162
64,2.50898e-06,TRUE,0.0874183,1006.78,0.180867,393.149,436.9542,9710.37324709257
65,0.000302836,TRUE,0.087969,998.719,0.176076,394.355,439.7682,10015.9089215219
66,3.24632e-05,TRUE,0.0913439,989.442,0.179203,395.301,442.6987,10345.8422188736
67,0.000740417,TRUE,0.0883277,1004.95,0.175017,394.184,435.5309,9659.04441045227
68,0.00253245,TRUE,0.0874654,1011.32,0.170925,394.487,437.7308,9908.91365276659
69,4.65475e-05,TRUE,0.0897534,998.692,0.187671,392.136,436.5664,10404.3576273273
70,1.53839e-05,TRUE,0.0931152,978.433,0.181879,394.87,437.4617,9716.49270966656
71,0.00036025,TRUE,0.0802674,1047.39,0.181874,393.376,437.0945,9643.89160878968
72,0.000254862,TRUE,0.08896,998.35,0.195164,390.878,434.227,10166.8733171717
73,9.95812e-05,TRUE,0.0877894,999.916,0.183496,392.591,440.8655,9891.98388949331
74,0.000276017,TRUE,0.0929439,973.748,0.172144,391.176,439.2277,10250.0719084451
75,1.52592e-05,TRUE,0.0914936,987.158,0.188005,396.026,443.2573,10073.7670282913
76,0.000120455,TRUE,0.0850048,1031.22,0.177615,391.727,433.9614,9694.46128634155
77,3.6615e-05,TRUE,0.0857807,1026.72,0.166189,391.013,430.8878,9736.52931526663
78,0.0002286,TRUE,0.0817869,1045.77,0.184939,390.9,431.3204,9306.32913666321
79,0.000519003,TRUE,0.0872671,1013.81,0.156896,395.277,441.954,9626.54821762863
80,0.000613516,TRUE,0.0855964,1015.93,0.161277,390.008,434.7739,10117.5821873155
81,0.000487569,TRUE,0.0856139,1017.64,0.174766,392.066,432.1282,10076.7896117647
82,0.000905997,TRUE,0.0823456,1049.18,0.162454,389.445,431.6067,9717.07571671917
83,3.70831e-05,TRUE,0.0882544,1003.19,0.173116,393.103,439.1944,9981.01432587346
84,0.000188501,TRUE,0.0857138,1026.93,0.170428,390.108,432.9079,9659.14100137934
85,0.000409426,TRUE,0.0866316,1015.79,0.178664,395.821,443.2279,9613.36887648051
86,1.81262e-05,TRUE,0.0882003,1003.52,0.174005,393.005,440.9105,10353.9151238279
87,6.71359e-05,TRUE,0.0858754,1015.91,0.175017,392.517,435.2449,10093.9347233204
88,8.43584e-05,TRUE,0.0841679,1027.65,0.169495,393.108,439.4371,9735.84778206849
89,0.000186404,TRUE,0.0857229,1018.99,0.175392,390.677,430.4376,9956.3916420215
90,9.37923e-05,TRUE,0.0868446,1008.02,0.174142,391.518,444.7319,9935.40580350239
91,0.000380106,TRUE,0.0874643,1005.99,0.169304,393.379,439.9956,10135.5061658285
92,0.000146647,TRUE,0.0875947,1006.88,0.165042,397.262,446.5873,10564.3457292798
93,3.31152e-05,TRUE,0.0838322,1032.65,0.181864,388.912,426.4494,9524.18850461876
94,9.07159e-05,TRUE,0.084969,1035.11,0.174542,389.509,435.4825,9672.28636996572
95,0.000777066,TRUE,0.0846662,1019.53,0.171647,391.204,430.437,9714.25817332486
96,2.84146e-05,TRUE,0.0853074,1025.5,0.186502,392.232,436.9124,9673.73732173987
97,3.98334e-05,TRUE,0.0854919,1019.69,0.16887,391.931,436.3599,10112.6257864611
98,0.000601759,TRUE,0.0869115,1008.53,0.184859,391.27,432.5403,9718.33901867519
99,1.80784e-05,TRUE,0.0873157,1010.14,0.177786,393.691,437.8554,9953.70377915596
100,1.71298e-05,TRUE,0.0846737,1028.07,0.163311,392.443,438.4218,9642.34870956751
