"replist1","replist2","replist3","replist4","replist5","replist6","replist7","replist8","replist9","replist10","replist11","replist12","replist13","replist14","replist15","replist16","replist17","replist18","replist19","replist20","replist21","replist22","replist23","replist24","replist25","replist26","replist27","replist28","replist29","replist30","replist31","replist32","replist33","replist34","replist35","replist36","replist37","replist38","replist39","replist40","replist41","replist42","replist43","replist44","replist45","replist46","replist47","replist48","replist49","replist50","replist51","replist52","replist53","replist54","replist55","replist56","replist57","replist58","replist59","replist60","replist61","replist62","replist63","replist64","replist65","replist66","replist67","replist68","replist69","replist70","replist71","replist72","replist73","replist74","replist75","replist76","replist77","replist78","replist79","replist80","replist81","replist82","replist83","replist84","replist85","replist86","replist87","replist88","replist89","replist90","replist91","replist92","replist93","replist94","replist95","replist96","replist97","replist98","replist99","replist100","Label","Yr"
9906.13,9854.09,9806.78,9621.15,9728.36,9840.35,9639.37,10237.6,10176.5,9858.06,9655.7,9785.33,9788.34,9337.61,10009.3,10314.6,10275.8,10041,9864.4,9884.32,10161.3,9944.26,9919.2,9730.58,10320.7,9629.66,9998.07,9977.19,9354.42,9936.53,9663.12,9808.16,10374,9814.96,9751.99,9654.98,9909.62,9938.09,9696.99,9997.85,10165.3,9899.14,10262.4,9368.42,9517.06,9526.56,9939.68,9910.67,9769.43,10267.9,10120,9853.74,10004.2,9726.28,9762.96,9711.88,10010.8,9614.74,10181,9472.52,9823.42,9850.82,9337.71,9710.38,10015.9,10345.9,9659.04,9908.93,10404.3,9716.51,9643.92,10166.9,9892.01,10250,10073.8,9694.43,9736.54,9306.36,9626.57,10117.5,10076.8,9717.08,9981.01,9659.14,9613.41,10353.9,10094,9735.87,9956.39,9935.42,10135.5,10564.4,9524.17,9672.27,9714.23,9673.7,10112.6,9718.3,9953.71,9642.33,"Recr_Virgin",1988
9906.13,9854.09,9806.78,9621.15,9728.36,9840.35,9639.37,10237.6,10176.5,9858.06,9655.7,9785.33,9788.34,9337.61,10009.3,10314.6,10275.8,10041,9864.4,9884.32,10161.3,9944.26,9919.2,9730.58,10320.7,9629.66,9998.07,9977.19,9354.42,9936.53,9663.12,9808.16,10374,9814.96,9751.99,9654.98,9909.62,9938.09,9696.99,9997.85,10165.3,9899.14,10262.4,9368.42,9517.06,9526.56,9939.68,9910.67,9769.43,10267.9,10120,9853.74,10004.2,9726.28,9762.96,9711.88,10010.8,9614.74,10181,9472.52,9823.42,9850.82,9337.71,9710.38,10015.9,10345.9,9659.04,9908.93,10404.3,9716.51,9643.92,10166.9,9892.01,10250,10073.8,9694.43,9736.54,9306.36,9626.57,10117.5,10076.8,9717.08,9981.01,9659.14,9613.41,10353.9,10094,9735.87,9956.39,9935.42,10135.5,10564.4,9524.17,9672.27,9714.23,9673.7,10112.6,9718.3,9953.71,9642.33,"Recr_Initial",1989
18788.4,18567.1,19263,21274.1,21154.6,20081.3,19262.6,19890.9,20046,17188.7,18662.4,17509.7,18292.6,22745.1,18524.2,17429.4,19212.9,16576.9,21394.4,20378.9,21235.5,19828.1,19805.9,19500,16450.3,18307.9,17589.9,20718.3,22104.1,19103.8,17683.2,19595.9,18311.4,17247.7,21901.9,17313.1,20177.5,17446.2,19596.8,17383.2,19755,15878.3,20932.5,19786.3,20812.5,20491.1,17453.7,19736.1,22210.1,18499.8,18974,20885.5,19570.7,18510.9,20661,19774.1,20288.5,21513,19896.4,21517,20843.1,18689.3,20018.2,19035.9,19785.8,21677.6,21342.2,20457.9,18989.9,19376.3,19649.5,17935.7,19854.7,20009.4,17111.6,22135.8,17939.9,19986,20133.5,16573.8,18364.7,17660.9,19079.8,19362.1,19218.2,17269.1,17892.2,19765.3,18557.3,21605.3,19018,20788.4,18851.4,17364.1,21580.6,17791.2,19238.9,15545.3,15606.3,19675.3,"Recr_1990",1990
3525.83,4715.63,4987.49,4652.31,5326.86,6111.48,4295.31,4391.74,4454.37,5755.09,3979.8,4910.62,4383.86,5170.84,4941.03,5656.67,4669.3,4155.74,3776.34,3683.97,4442.49,3596.46,4532.48,4066.16,3542.81,3944.16,4816.27,3930.94,4609.6,3736.9,4897.9,4009.88,4504.1,4911.39,4620.82,7531.99,5047.74,4163.4,4714.77,3249.86,4601.15,3551.52,4586.7,4695.29,4970.56,3450.16,4143.08,4387.14,4554.78,5175.76,4820.87,4966.97,5090.25,4985.41,4303.33,4421.64,4426.47,4886.18,3277.41,5046.28,4117.52,3869.89,4780.76,4356.11,5115.9,3182.96,4307.41,3745.4,5374.9,4814.15,4552.57,4047.11,3659.73,3921.58,3998.1,4391.96,3942.2,6687.08,3415.27,4842.63,3489.28,3467.44,4801.45,3182.84,5266.4,4495.09,4294.9,3899.03,4123.5,4396.47,4415.9,5339,3134.09,3883.64,6274.68,4291.37,4397.72,2960.48,4936.83,5016.87,"Recr_1991",1991
7380.9,7385.52,8614.01,5841.15,6520.9,9499.28,7163.35,7327.34,6934.5,7479.76,7666.82,6397.15,7190.65,5865.62,7877.05,8229.62,7824.38,7256.13,6346.56,7794.99,7275.46,8751.99,7292,8498,7899.01,9596.23,9101.85,7668.9,6960.46,6623.86,6871.75,6715.24,9107.03,6867.41,7163.45,8181.61,7188.24,7083.52,8288.27,8757.06,6694.8,7033.05,10046.2,8259.99,8960.6,7040.37,7311.56,8120.78,7329.42,5821.96,8618.63,7950.69,8836.83,8223.36,6487.4,7788.05,6392.78,6773.73,7049.21,6685.24,7447.39,7075.52,8655.58,7982.82,7974.03,7031.63,10626.6,7257.31,6559.24,8805.96,8884.52,6778.2,7255.92,9064.82,10163,7744.96,9048.67,6468.34,8172.87,7164.91,7882.86,7966.09,7242.59,7514.17,7300.9,7624.38,7422.72,8135.51,8496,8547.44,7978.69,6153.22,9235.43,8540.11,7964.21,9150.2,6847.63,7430.95,9217.69,8028.97,"Recr_1992",1992
7219.29,7241.57,5705.51,6736.48,6198.28,6731.67,8917.48,6548.28,8517.88,4898.31,7359.48,5796.3,7293.03,6767.7,7765.6,9209,8362.29,8317.1,6705.52,6456.67,8673.07,7637.33,8567.09,8231.79,6813.47,7837.72,7960.75,6978.06,8032.29,6464.88,8910.01,7422.27,8971.14,8947.45,6740.31,5428.15,7730.19,7564.67,8323.5,6591.53,8651.14,7268.99,8088.26,5388.3,6876.86,7475.23,7697.51,7418.92,6965.59,6786.1,8016.05,6705.54,4355.26,6355.54,7651.34,7325.15,5734.39,8780.13,5704.71,8022.45,6795.4,8215.13,6843.69,6874.33,8638.8,7116.19,6325.16,6997.37,6587.62,7614.11,6910.18,7997.41,9162.33,9502.63,6594.76,5659.28,6966.03,6759.38,5979.09,8268.37,7597.72,7486.25,6474.98,9146.97,7609.59,8260.93,5889.74,6399.02,8128.41,7697.44,5653.35,7065.34,8019.29,6688.99,7619.2,7023.97,7778.32,8325.24,7258.19,6972.45,"Recr_1993",1993
5669.62,6617.78,6346.78,6006.02,7987.46,5284.89,6309,6023.17,6489.12,5528.71,4940.16,7007.7,7170.72,5742.52,5625.29,7045.87,5790.11,6555.87,6438.89,7249.26,4289.08,5007.44,6120.86,5478.05,6601.06,5716.9,5279,5884.5,4914.58,6139.47,8358.65,4825.74,5012.05,6862.12,5495.69,5848.58,5746.17,5442.95,4647.23,6192.05,5036.81,5230.66,6460.18,7624.54,5465.36,6284.17,5996.27,5071.39,4749.71,6155.4,6711.59,6157.03,6162.67,5483.57,6616.64,5244.35,7417.31,4831.67,5409.09,5264.15,6459.6,5676.84,6337.74,5900.19,6397.96,6714.38,5363.83,5555.36,5290.24,6675.41,6066.64,7102.47,6155.66,6834.53,5648.15,4713.93,5718.5,5802.48,6991.41,5458.01,7210.15,6122,4298.7,6253.53,5327.07,7103.03,6534.23,6369.74,4936.95,5599.93,5828.51,5334.85,5466.44,6188.85,5608.41,6214.54,5169.42,6361.02,6958.42,5707.76,"Recr_1994",1994
4327.57,5306.15,3514.72,3216.32,4645.94,4333.92,5338.56,4638.46,4583.18,3610.17,4699.35,3641.76,4724.67,4194.4,4668.85,3969.14,3389.42,3717.46,3636.3,4400.45,4812.03,4168.26,3876.25,5291.55,4238.47,4057.89,4406.34,4495.58,3607.16,4736.14,4323.3,4267.68,3552.22,3449.51,6354.66,4267.77,4659.47,3982.7,4382.1,5188.29,3505.49,4370.82,4501.01,3705.31,3204.22,4792.78,4792.22,5160.59,4518.52,2941.01,3029.48,4287.72,5036.55,4447.14,3449.67,2178.69,4815.46,3727.51,3440.47,4845.67,3843.75,4148.1,4124.93,4697.96,3463.71,4207.48,5587.78,3706.4,5492.72,6274.66,4899.29,4247.74,4757.34,4624.53,5337.54,3698.21,4043.46,4745.8,4284.73,4482.72,3743.27,3278.17,4059.46,3971.79,4896.28,3829.98,3696.51,4520.01,4729.34,3984.88,4247.87,4120.06,3769.25,5008.62,3613.17,4530.87,4942.37,4990.2,5176.31,3908.92,"Recr_1995",1995
8313.69,9648.74,7428.33,7647.57,7229.13,10215.9,8855.63,10391.1,7888.99,8547.92,9406.24,9040.39,8350.61,7682.05,8367.42,8651.9,7589.07,7706.63,7662.17,8885.67,8645.88,8769.42,8557.04,9176.09,8410.79,9285.22,7987.93,8334.09,9980.53,8609.14,9517.25,8507.62,7999.67,8075,9988.35,9612.02,8838.41,9656.03,8739.69,8431.05,8192.55,10262.9,8417.33,7478.25,8263.69,9571.27,7693.19,9511.5,7824.87,7806.54,8877.04,10050.4,8492.04,8956,9215.53,8628,9235.98,9334.49,8421.19,8937.46,10527,7403.78,8253.32,11241.8,8505.94,6207.82,7966.12,7394.52,7824.52,9806.75,8648.43,9537.35,9795.61,9176,8595.55,7712.33,9248.85,8379.44,9325.73,9753.26,9239.78,8525.17,9180.55,9225.1,10390.2,8769.88,9456.73,7669.11,6337.17,9507.38,9308.95,9918.42,7675.08,8962.37,8852.16,9771.08,6808.08,7767.84,9269.84,8351.81,"Recr_1996",1996
7001.25,6729.89,6539.44,7317.62,5136.3,5201.49,4618.6,6614.7,4988.67,5821.85,7310.77,4929.83,4828.94,6586.53,5749.63,5802.06,6003.12,5885.39,7246.12,6399.06,6390.59,4617.49,6329.24,7153.74,5744.38,6295.13,4771.94,5572.03,7558.77,6302.43,6464.96,6099.76,6522.65,6151.26,4997.17,7084.44,5968.98,6100,5786.34,5682.69,6055.79,4541.58,6743.16,6973.09,5536.81,7060.92,6063.74,6532.58,5932.28,7379.29,5338.49,5910.23,5135.5,6473.06,5640.53,6108.44,5539.54,6204.22,5508.45,5249.32,4721.19,5200.71,4317.64,5329.84,7264.1,6346.12,5679.73,6188.49,5930.75,5782.48,6239.73,7224.5,4536.29,5459.89,5904.46,5794.64,6573.36,5224.32,4570.51,6116.4,5409.09,5816.75,5653.53,4647.66,5728.63,4979.25,5387.07,5045.74,5545.79,6019.13,7187.75,4967.4,5550.21,4746.97,5918.05,6127.2,5851.29,5890.25,6613.08,5402.77,"Recr_1997",1997
