"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
24637.549059828,24539.7252380359,24372.3691207078,25563.146498414,26403.0662919593,25810.7118939774,25595.8094303075,25336.8540289752,25854.6598767097,26749.3474909709,25315.6210708388,26777.8270978501,25115.6091419748,25285.3992715189,26057.3822082681,24744.3115995751,24956.6459840983,25382.8086135417,25104.2110347964,25629.6664006429,25078.2535251666,24341.5133816071,25992.3380397953,25332.7507853695,25689.7705969279,26713.526693108,26296.2037821312,24783.8819726417,24983.3600807573,25060.2283566902,25261.4649767901,24280.8143790055,25328.9292846511,25314.7900437987,25225.833406151,25587.5489508166,24750.5497197833,25080.6029548547,24220.7202637104,25630.6973530488,25986.6867298909,25122.4319271521,26242.2247323148,25132.3531973555,24860.8660733067,26158.9148635816,25093.397323897,23637.527015455,26009.1398353514,25418.8938737519,23545.6264543883,25666.9096798153,24243.7428878436,25379.8821895611,26353.6468466225,24923.2154938275,24940.8777135365,25037.0662550789,25989.9584327029,25402.6484400487,25207.6341471424,25817.1472590632,25177.862669393,24049.8462869473,25401.4360291137,24975.4182431269,25875.6197826482,25811.357603954,25550.1432784957,23540.9892340283,25490.1338080779,25362.8297003112,25786.8881191725,25703.6885333533,25634.2778511413,25468.074833706,25493.6784105981,24201.6392616228,25338.0926398539,25777.4974448304,25647.7911529494,25047.0515950281,24845.2242871505,25921.3104294045,25667.2480520387,24345.9608287739,24950.4534016043,25444.7872816841,25719.4343996723,24022.2083487331,26216.9643597164,25873.1586600405,24782.0133118334,24411.3630734396,25257.8394992919,25882.6620634061,25527.2551644558,24917.4441901464,25042.4132714501,24747.5369527658,1990
24818.3541718426,24900.2148632319,24321.4260312974,25798.5909329102,26620.608399374,25868.4753607669,25687.867065654,25287.6643566815,26103.8437836775,26887.0611359907,25345.1174587336,26891.6903278339,25111.8362866638,25435.1410130043,25890.1678558032,24886.8337667738,25224.3635549022,25532.5982348477,25344.8627586604,25693.4913735121,25345.7469136194,24620.8243886982,25902.9860967117,25377.3616684164,25730.8334025444,26704.0104230206,26096.1140939624,25003.9743339907,24752.5860252874,24951.2661424426,25228.8466767264,24222.5509887667,25233.436983398,25094.5268750122,25107.8850039617,25537.6678966549,24825.8440781405,25136.9686431458,24411.6756987775,25504.3071575817,26156.3341579017,25154.7474601651,26198.988120678,25103.5097733996,24816.5833980798,26166.0447504451,25078.9641854394,23639.1231930148,25752.2623669624,25301.0817470696,23585.9800555968,25737.5339084306,24464.8240477792,25323.507718578,26493.4877500982,25044.7040692251,24934.0544355801,25457.9862200845,26281.8225311276,25463.8037138786,25347.6926865279,25731.9127174848,25099.203849395,24557.8244490427,25567.0098630161,25167.4841779978,25945.8628419883,25765.6784206594,25780.6446864703,23756.470467091,25430.6884923742,25322.8493202869,26084.906402601,26027.3140784834,25488.756842838,25587.1138735248,25495.1426934049,24525.5614899497,25319.7334006883,25724.7219333162,25752.3033528074,25114.5865115516,25263.2144912121,25799.594174326,25650.5515608344,24269.6764416382,25122.0284719796,25174.2156259058,25879.0985253119,24273.2315868111,26463.616492305,26046.8201527372,24687.4277664525,24696.2796950201,25475.6303317494,26073.1410156011,25723.1479076553,25142.2001068687,24927.502801029,24772.241576235,1990.5
24797.2292883477,24950.4911491579,24235.6593091698,25838.5844352823,26723.4347268576,25811.7101285658,25871.5153070064,25308.428367297,26016.6928628815,26864.045614049,25336.5349608634,26788.1271469918,24897.5715917726,25500.6775546276,25902.1098301086,25028.4516188675,25286.371617234,25447.8469086464,25255.7804944017,25788.2228287082,25371.3003044709,24885.1528734387,25794.962238832,25261.2799105134,25733.1144924793,26488.9725288904,25927.8583352626,25011.9526930395,24646.5231780258,24874.3904049246,25053.2171056463,24026.5740440791,25103.9288069578,25077.8781635244,24907.8954793126,25675.8822099478,24714.217179306,24932.0549311982,24591.3258187712,25264.129608907,26183.1166998562,25135.0418339825,25920.7292567657,25192.7264646323,24756.3640924265,25890.4825120795,25163.7031165088,23768.8005322962,25554.7610765106,25187.0496015519,23812.577603982,25636.6613208535,24415.4006329889,25426.7958217642,26206.3540152957,24926.5025445006,24839.3082939568,25665.4862780383,26502.0707013514,25569.2606781783,25330.0142969946,25479.5561827125,24678.5370112891,24707.3753072782,25655.8050982204,25128.0412137027,26256.0539526841,25535.5348493088,25846.4549083202,23682.9033244627,25383.5301078385,25010.4806658745,26112.4184485897,26150.8184773878,25285.0179749722,25602.8520910163,25269.7607353099,24890.3795128113,25376.7063023091,25597.9365583354,25591.4448102261,25223.5068190096,25408.5231746054,25757.6603060308,25704.5777256438,24360.9016369747,25423.4350901568,24981.2193501185,25773.9069392695,24400.08531604,26475.8919141903,26082.7064397288,24551.9310855459,24852.1823042035,25703.2061715784,26073.739785777,25705.6094491714,25052.9217616665,24922.5946902124,24698.5246775871,1991
24518.9569981024,24916.567619625,24593.3979478508,25652.9899823419,26827.9291096656,25962.2634435076,26071.9086076354,25393.161680055,26133.6738013283,26940.7409990345,25331.7319385081,26896.9427144588,24950.6893917759,25586.1511623041,25726.7926540496,25328.4315584886,25302.3963322176,25486.0127430494,25114.4316819506,25907.7164206979,25428.0021910509,25180.5115290775,25944.2474192217,25178.3772961399,25694.329337964,26396.4558120831,25814.0436749403,24881.7067170925,24733.5838119846,24726.8665101333,25048.9205435773,24489.5143388457,25014.806772904,25352.5724672112,24902.2498308047,25782.6543971785,24936.7394086718,25167.1988694574,24694.6149290235,25022.6573017591,26049.6314586733,25246.5170196383,25720.9608063083,25341.232972383,24946.3360880752,25739.6083767724,25218.8670192528,23929.4629983064,25764.204187638,25035.8739231353,23623.6805512277,25775.7146911121,24651.6673749532,25627.1075428831,26080.8756687308,25055.1802802589,24797.4795271397,25844.1461963449,26298.554875282,25759.3154868928,25401.2106057117,25309.5484406901,24433.9549741685,24752.3134292217,25458.1463027226,25080.0664639707,26182.914791552,25722.7236041512,25961.5362567514,23747.1308056894,25428.689635818,24970.0107709712,25917.3842916171,26230.7773785803,25254.1501401656,25417.0279597501,25601.2635258813,25322.8043386285,25394.7264826977,25529.9313997332,25696.3304053078,25481.3701509311,25623.4635340256,25708.4186281611,25699.618306523,24540.7952416504,25426.4413354742,24874.9679564144,25718.8233852916,24521.4464410572,26422.3596895079,26056.8878331428,24416.853641629,25002.1311214944,25832.8409535431,26125.3303896377,25770.2377001116,25138.6703223152,25069.8589051538,24535.5769525048,1991.5
24292.4698524759,24821.4453204836,24616.5574617691,25337.2868363614,26757.0727845019,25984.9733255927,26029.6082809817,25350.4000961729,26272.6434007707,26897.3773952392,25194.914210475,26926.0762091761,25042.8543120544,25599.1749654613,25555.9054539118,25516.6089281633,25259.1795234046,25371.657274578,24998.6086281006,25867.2611680034,25035.3031478358,25298.0813380121,26032.464601917,25215.2505610005,25432.357802642,26041.0740894421,25688.4143018131,24677.5903277517,24812.1604962983,24661.3195297106,24871.6515107544,24585.5533989228,24800.9377738795,25520.7447980256,24944.860315115,26141.6750170053,25077.8832614109,25439.9515232627,24719.7935619477,24835.1039787047,25790.7757004853,25176.3781537897,25519.6122483325,25583.7489003406,25028.0875023124,25550.287002936,25289.8860525073,23774.1091842488,25926.8277952601,24965.8798053394,23571.8675504046,25605.4786672695,24759.5878618504,25826.4148986896,25884.2491858689,25120.4601717003,24464.2046261066,25986.0194770471,25990.7541704461,25697.7982661392,25403.4104411386,25373.5727734954,24197.5478930983,24789.0510801288,25267.2665699377,25112.6844442106,26098.1372858767,25497.5595364263,25955.6329631222,23761.1441862981,25192.5093836626,24789.9232014889,25677.5494624558,26087.5135789085,25025.2790059729,25411.861025929,25681.9017372628,25355.0926365802,25205.5307347381,25383.2785886563,25604.3538939473,25594.9008850225,25651.7663426384,25753.4028480163,25756.0067429548,24645.7845700409,25476.2042956981,24703.9469509063,25487.3218539424,24484.0110869092,26267.0292611813,26180.3275354921,24324.2920666911,24949.7236782195,25976.5711475084,26165.5772868474,25687.9951733179,25187.2849750871,25029.3918036637,24516.16963658,1992
24228.8152077007,24632.7510556461,24646.9515534005,25200.6832070921,26821.386207268,26066.1729888293,26233.5252896142,25505.9191897166,26410.2806270582,26899.9610594684,25104.4200243863,26876.0570237321,25177.7916718267,25658.8074168481,25625.5194917384,25647.5759627238,25254.0406750204,25296.8248486652,24926.8340254073,25860.9127109645,24922.3477757195,25255.2517771946,26044.7753134417,25121.1803484297,25523.0031312836,25880.4189194499,25822.0548955638,24749.8937579915,24782.6591174136,24848.1316309798,24750.4907586158,24712.2561119826,24920.4942162921,25593.8994354549,25195.0601862265,26192.8886977244,25184.8315663161,25738.2386925252,24822.9638767663,24833.1601056189,25521.7258703326,25302.5508642844,25667.6466747012,25540.9075987561,25309.3589700974,25533.2630340978,25461.7595382508,24052.500473544,26163.5866407954,25018.5840766202,23701.4725012231,25656.0508419294,24673.4212557881,26062.7024641377,25939.1823572614,25258.4722716332,24245.6285284475,26044.9103118144,25909.5041060204,25704.7521617749,25615.1668191454,25567.5331960871,24165.3273018351,24880.5600242621,25206.2652231375,25015.138105026,26005.329985587,25548.4653028111,26016.7277595974,23922.3372126033,25090.7085018212,24841.6796191621,25573.7644995402,25792.9977287486,25119.4383156061,25270.2409307332,25774.7205969643,25722.1741222662,25138.3402785452,25531.1997736747,25997.0456879251,25759.9682926934,25663.3062666266,25742.494935046,25677.6728385284,24913.4387962752,25673.989888691,24866.1945190291,25479.3842797762,24709.7254919331,26294.7082842512,26287.4368516032,24227.6898382371,24992.3357085052,26156.0494115929,26024.8537948741,25939.9506227526,25113.0002313581,25220.4261336307,24694.3813899212,1992.5
24426.7420657866,24868.9993859678,25035.5600053527,25361.147501927,27380.2278837918,26502.9709845833,26598.7717978377,26063.7561370861,26656.4814636217,27116.7514567918,25551.8611327477,27265.777048656,25525.9547202632,25851.3132854084,26011.6959720981,26250.4718997374,25675.2903504315,25551.2351508604,25186.5650126697,26016.984374505,25224.5234637099,25572.5680144757,26120.2328126461,25410.9176516267,26132.5742208389,26322.051010903,26296.1571966342,24936.7825722015,25191.7384117334,25247.0617377854,25011.7800159275,25300.7191298344,25106.3086070577,25982.2312208283,25649.7994770384,26587.028397174,25479.3554217556,26099.4991200491,25156.7038022733,25208.1755537269,25442.8090632736,25643.7482475803,25617.8357464159,26129.1254517853,25631.0302799787,25727.7455415171,25657.8242444143,24625.2474448694,26697.2746036256,25337.2772981534,24213.1595843662,25833.1138988693,24897.5493494654,26375.2951714259,26178.4841140334,25502.1831350373,24430.6332609858,26436.4218058052,26181.028002538,26007.9029011729,25957.0980730142,25931.0789370447,24775.1581466652,25391.8978590679,25465.3766664045,25343.6713030531,26149.9934728678,26010.492176407,26300.6095519819,24378.4227892448,25401.9185100575,25120.5648241174,25745.8977057653,25933.14422029,25518.8177558857,25380.5086096003,25973.1981520358,26197.2723768669,25579.5322642299,26004.509459079,26325.9609552047,26031.6807751512,25827.6091029096,26165.5203720324,25819.0553686251,25322.5668424505,26072.9347303408,25134.1262871238,25557.6556637556,25021.8382056717,26493.4935861662,26701.5035717201,24637.0368352052,25488.9648723427,26544.0159564003,26166.1647451055,26336.1964082505,25453.3954005724,25668.8055997298,24943.3724966711,1993
25507.3038332956,25907.2642414519,26221.381135178,26511.9002300263,28472.701365037,27978.5147819377,27825.6155534695,27282.5541814915,27417.0070454914,28246.7722220306,26469.9684014444,28336.5352054997,26461.1745561765,26986.6911799273,26979.5576024399,27459.4163239678,26835.7399441079,26697.6514564191,26315.6807652759,27111.8145819186,26626.1759642018,26836.7772539164,27199.0762642622,26666.6002180882,27277.9235994452,27559.8911929472,27619.8386130363,26264.9504991723,26403.8629574973,26477.0075707333,26178.3429000002,26341.4363819815,26495.9344549805,26957.1026017731,27128.2013428463,27514.5736425875,26578.9948675086,27087.4265176184,26282.2186899126,26258.3261555336,26306.7265643345,26711.5365526946,26920.3498501774,27242.6158095784,26898.2334703915,26825.6623226564,26592.0405838342,25842.3683208936,27856.3890443129,26642.001805031,25382.2375874547,27065.4645137504,25855.9247426819,27311.3429213443,27454.8250681016,26706.4901344658,25389.0035748904,27227.9022973784,27117.7787807219,26988.0643033604,26979.5981484338,26967.6574848274,26139.8652577924,26504.9453318173,26353.9747330299,26694.6703656718,27120.4609707198,27196.2144172143,27117.034863098,25583.2580175106,26632.4459632075,26312.0959060653,26814.9391432037,27131.2916906574,26793.4613704499,26430.7642830495,26856.5672007862,27205.0551517624,26580.196098836,27157.888769375,27692.2829297801,27132.882107056,26729.0650550284,27291.8133363949,27130.2510711043,26372.6501314549,26992.4192004403,26431.2448977003,26841.1984630582,25954.9155506067,27499.6444252432,27848.0342089338,25738.5338141727,26532.1734542463,27555.1921832373,27408.4843518265,27338.3888085834,26530.2207274964,26911.0144597203,25950.7922239047,1993.5
26547.6231766016,26775.0062789812,27208.0185202502,27529.4287050516,29306.5192502349,28822.7782059495,28707.8167513196,27882.2435882465,28256.4204451043,29031.812347881,27352.0162275727,29174.5856393149,27081.9685911613,27653.8624520708,27822.3488189319,28348.8319183074,27765.5947208549,27583.648721434,27386.0880348519,27762.4989556008,27600.3490475894,27652.7072361591,27904.3628235469,27616.9976111364,27981.0204770275,28765.2389579423,28577.0398287755,27089.559358488,27316.8423876585,27299.2634415968,26995.4301018439,27111.3257900427,27323.2649980845,27950.460945879,28383.2666124191,28361.0601037671,27311.3168970816,28034.7103117507,27237.1091402525,26953.0467686769,27226.4938043235,27626.2302886616,27782.0319604842,28083.5045919974,27726.4291776754,27787.3104550433,27313.9355854971,26808.5716783475,28673.6522800399,27584.0992863173,26415.1667683886,28108.3812246035,26813.9509926894,28245.5788095538,28371.6394927996,27457.9919467345,26279.5096823154,27734.4091419074,28043.0979810508,27866.6002695443,27766.0457027328,27767.9542422363,27241.5501688422,27134.5097626077,27315.5353791084,27388.4955559202,27825.5235471947,28063.5274061179,27977.0150144328,26480.0792905778,27549.1958771915,27330.507815017,27706.4454293841,28076.6848288543,27647.3049385784,27444.7302541344,27631.8490882124,27938.5494867865,27490.4906110506,28139.9626564389,28566.2147448354,27881.2187390824,27534.1181843215,28348.7205731891,28067.8408730192,27433.734442506,27610.6772269796,27382.4580279567,27674.2939459968,26724.7892661609,28314.329753498,28580.0236749816,26778.3701737846,27660.3180700578,28392.827370102,28211.7078290715,27775.6525940745,27166.5894172179,27784.5386237729,26873.8145689892,1994
26960.5060314482,27174.3577410876,27374.8472572054,27856.1054331547,29565.7840974126,28918.1901812504,28980.4662659293,28318.4427117056,28428.862544005,29044.4117802557,27797.2466695188,29480.9139456682,27355.9458219285,27845.3501585974,27944.359410185,28737.5852540427,28122.9645619033,27986.9879635666,27465.7074792485,27972.5003323435,27772.4958088706,27874.0205381377,28399.1998381246,27607.7464108311,28123.2944730641,29124.7458739743,28842.2439907444,27405.0199331833,27662.8511248735,27688.7198127386,27375.6765324006,27286.472332439,27647.7375287901,28182.0468796458,28615.3629462114,28516.2654178846,27387.3945707955,28144.1611529836,27388.0461575517,27192.3649116297,27594.2385109295,27970.8426507338,28083.2631608235,28338.1781713128,27941.2016545537,28214.7846505243,27388.7038754283,27135.1765496588,28764.6075023204,27872.6125064469,26787.6046944083,28535.3231826726,27152.0132998824,28603.7555796138,28511.4929226993,27606.4218990381,26490.4313612837,27751.0850995589,28274.1843856223,28383.5273163585,27830.4024036875,28148.0346517673,27564.9099336639,27333.9691836649,27579.3861795874,27619.7465766481,28027.9054964018,28441.9893908463,28189.145168759,26844.7773343346,27761.6873085675,27610.0194937161,27933.5792399382,28182.6626887905,28056.0960478209,27823.5694656294,27988.1668568925,28086.0573066037,27750.192096084,28335.9325320692,28682.3031299755,28056.0546589445,27684.7238479165,28383.7045317569,28256.8060864296,27746.852674271,27655.1462043926,27327.0506610231,27999.2651299088,26931.5302335508,28440.4515333076,28883.7729823386,27046.2023690272,27992.2228624861,28614.6347473304,28547.2612680174,27728.2596747021,27151.4276654551,28146.3848187743,27389.6261333777,1994.5
