"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100"
0.4043545,0.4144405,0.428455,0.4062335,0.3772115,0.3911985,0.4043235,0.4011935,0.4026135,0.3884905,0.396188,0.3696095,0.4195405,0.4026945,0.4067925,0.4308235,0.403408,0.415716,0.417087,0.4177145,0.41027,0.42068,0.3904365,0.407916,0.387073,0.3854045,0.397438,0.410056,0.409192,0.4112185,0.4270555,0.44299,0.4084825,0.4134685,0.407638,0.4102115,0.429078,0.423178,0.419656,0.412384,0.3846645,0.4157985,0.3909255,0.4331405,0.4134805,0.391297,0.4054505,0.4313175,0.411575,0.407853,0.438717,0.4003295,0.424419,0.3978785,0.39141,0.4066185,0.4360915,0.4071475,0.389565,0.4057025,0.412296,0.4016,0.414779,0.430105,0.408115,0.402267,0.398572,0.400272,0.4026475,0.449073,0.410028,0.4157935,0.390136,0.3994655,0.3986685,0.4066515,0.4179995,0.424202,0.4055235,0.392477,0.405173,0.435016,0.4257925,0.413923,0.4029745,0.425883,0.3998085,0.401071,0.4010005,0.439381,0.388413,0.398632,0.430611,0.413145,0.4070795,0.387177,0.404692,0.422011,0.4076705,0.4294135
0.415083,0.421238,0.408979,0.4028605,0.369095,0.3974225,0.409181,0.405445,0.4022505,0.373633,0.415692,0.3730335,0.40618,0.412893,0.406354,0.418351,0.39789,0.4002505,0.410015,0.412056,0.4197785,0.4195,0.3919975,0.428304,0.393019,0.393401,0.402173,0.4325875,0.3956275,0.423836,0.4261725,0.42861,0.4264715,0.4000635,0.406065,0.389733,0.403011,0.4104535,0.4217615,0.426181,0.3954865,0.419528,0.39733,0.419808,0.420646,0.394383,0.4112775,0.45215,0.3894395,0.4205785,0.451396,0.404077,0.41834,0.395613,0.396104,0.407991,0.4230025,0.3859155,0.3954805,0.3988995,0.4150735,0.4020295,0.414146,0.4247825,0.4215685,0.416887,0.396007,0.392506,0.394278,0.4377975,0.425642,0.41907,0.4056835,0.3817675,0.4101805,0.4072,0.4092225,0.429144,0.4092625,0.4070595,0.412188,0.3993525,0.4205045,0.408697,0.395759,0.422929,0.4198705,0.4134455,0.4069245,0.430507,0.3896825,0.3979075,0.4140465,0.421738,0.4069175,0.385157,0.415185,0.421179,0.412936,0.431327
0.431443,0.4176425,0.42567,0.400321,0.374913,0.4125745,0.4023435,0.3868825,0.3894085,0.3739345,0.414943,0.390908,0.422553,0.4172415,0.385813,0.4130295,0.4055955,0.40445,0.4165565,0.40529,0.4089935,0.4139115,0.413675,0.4343155,0.38743,0.3876225,0.4020905,0.426763,0.4132295,0.421755,0.427409,0.4262535,0.4293425,0.402005,0.415361,0.4001875,0.421354,0.4103375,0.4167745,0.428898,0.3949175,0.414439,0.3866935,0.429209,0.432412,0.4042715,0.4025805,0.4292235,0.3857065,0.4336615,0.432134,0.395162,0.4239405,0.390869,0.3978915,0.4184835,0.434207,0.3903575,0.387853,0.4001075,0.400023,0.3969205,0.424541,0.412849,0.397893,0.430175,0.387034,0.411445,0.3916155,0.4269485,0.4110315,0.436483,0.3942905,0.3984765,0.4339045,0.4214785,0.407648,0.3970165,0.4153675,0.409306,0.3988095,0.4044805,0.410813,0.4038815,0.3996675,0.419373,0.4011585,0.4174655,0.400748,0.400595,0.389156,0.397824,0.417808,0.4154375,0.3983095,0.405122,0.392688,0.422405,0.405778,0.432758
0.426811,0.418506,0.4209595,0.4081645,0.3811445,0.396747,0.3908385,0.412826,0.3882115,0.369426,0.4290145,0.3875875,0.424479,0.401108,0.4006305,0.4158595,0.411287,0.4155945,0.408769,0.404641,0.4095975,0.3920575,0.40736,0.3959205,0.3995115,0.3901615,0.399536,0.428216,0.413814,0.4251465,0.426956,0.420841,0.4197555,0.405605,0.39495,0.388857,0.417841,0.39735,0.422429,0.4237965,0.413866,0.4116465,0.4115515,0.4050855,0.416692,0.4016565,0.4004695,0.437741,0.392247,0.422464,0.4402545,0.3946525,0.422449,0.390295,0.386852,0.4208535,0.4356865,0.4144165,0.399933,0.415417,0.393441,0.399304,0.42545,0.419696,0.418242,0.4058135,0.3986095,0.4180805,0.40834,0.4302115,0.4059565,0.4231465,0.413144,0.392333,0.4212405,0.3968025,0.4018345,0.3984275,0.4176495,0.4151245,0.3949735,0.402169,0.4014305,0.3938145,0.4030905,0.425061,0.406517,0.404257,0.4174165,0.415787,0.394437,0.3909515,0.424026,0.408594,0.396235,0.395608,0.396574,0.4181895,0.4095735,0.4364985
0.4165065,0.4198175,0.4165375,0.4059185,0.372915,0.3943395,0.386338,0.3796745,0.3912875,0.3816705,0.4008415,0.383927,0.4045255,0.4009545,0.405084,0.400736,0.4038945,0.406851,0.420221,0.4019775,0.410051,0.3889865,0.387933,0.398658,0.396511,0.392692,0.398045,0.4064285,0.413638,0.4092665,0.4128365,0.4133735,0.410687,0.4059415,0.3994915,0.3818985,0.419389,0.400947,0.426332,0.40636,0.409972,0.3995745,0.4157775,0.3825715,0.4008235,0.391117,0.404932,0.4186075,0.3942175,0.411955,0.432407,0.390597,0.4210175,0.3832455,0.4044235,0.4133175,0.4444585,0.4017395,0.3999835,0.396418,0.4009915,0.40264,0.420584,0.4198605,0.420193,0.3948115,0.405804,0.3931295,0.4016145,0.413581,0.412795,0.425513,0.4078335,0.4102125,0.3953785,0.397571,0.390789,0.3879475,0.414224,0.4010605,0.394448,0.4051465,0.410065,0.4101895,0.4082535,0.4150115,0.4033195,0.42178,0.4042955,0.417517,0.3978965,0.383604,0.4333415,0.400156,0.3878495,0.4007055,0.3936,0.4218735,0.398312,0.408213
0.436284,0.4303575,0.425547,0.407041,0.387564,0.387315,0.3923005,0.394769,0.3989215,0.3973275,0.418404,0.393126,0.419343,0.41305,0.412082,0.4093365,0.412161,0.403533,0.4306825,0.413517,0.4156845,0.4020195,0.4122005,0.4067365,0.401731,0.380542,0.4008375,0.4085035,0.408577,0.4173155,0.424924,0.422282,0.4184295,0.422797,0.404657,0.4158115,0.4043705,0.4042245,0.425874,0.427351,0.4359485,0.405223,0.4112645,0.4002865,0.404092,0.419672,0.4057895,0.4338575,0.401363,0.4009565,0.4373105,0.40619,0.4303685,0.412298,0.4105855,0.4062645,0.4497245,0.410556,0.4054985,0.392752,0.416133,0.4073795,0.4167855,0.4273845,0.426686,0.407947,0.4203435,0.399908,0.413552,0.426807,0.413535,0.4181305,0.4124085,0.3957375,0.40617,0.430136,0.4108625,0.4067585,0.419903,0.4008895,0.396589,0.4270945,0.4202685,0.408394,0.401604,0.4119845,0.4213755,0.406574,0.397575,0.4296005,0.407522,0.4014025,0.4339775,0.4101625,0.393457,0.401396,0.412651,0.4287235,0.417865,0.4271075
0.4255745,0.4379775,0.4212965,0.40333,0.3718615,0.3813035,0.396982,0.3998385,0.39878,0.3961555,0.41632,0.378975,0.4361405,0.407741,0.4171595,0.4045605,0.4050925,0.390559,0.416141,0.4086255,0.414973,0.4089325,0.411652,0.4055695,0.403565,0.3817785,0.393469,0.405943,0.4133635,0.4027835,0.420459,0.4157225,0.427183,0.413522,0.400627,0.3970405,0.4113955,0.4033205,0.4141365,0.4294795,0.4112605,0.4174825,0.4012445,0.402323,0.402602,0.412611,0.4215685,0.428646,0.4038195,0.415036,0.424219,0.396409,0.431702,0.392067,0.399206,0.4065615,0.442133,0.418851,0.4129975,0.3993125,0.4182225,0.4163685,0.4168415,0.4335,0.4186035,0.406811,0.418491,0.405075,0.401099,0.4164515,0.41248,0.425657,0.417673,0.3995935,0.40533,0.406859,0.4077085,0.4141955,0.41499,0.4134445,0.4110355,0.416275,0.415198,0.4108345,0.4124735,0.401711,0.420233,0.4108425,0.409059,0.4287235,0.406926,0.41118,0.434013,0.422617,0.3835595,0.3984175,0.437371,0.423241,0.4169015,0.414524
0.419226,0.434467,0.4221935,0.4013365,0.3714225,0.3993295,0.3911865,0.388296,0.4097365,0.3975365,0.4146805,0.3867715,0.4064035,0.407349,0.4169325,0.398513,0.401503,0.4028935,0.4105055,0.395536,0.4216015,0.4122905,0.404727,0.3919085,0.39991,0.3756635,0.3861145,0.415022,0.413488,0.4188555,0.402529,0.420868,0.413266,0.4045575,0.3790695,0.417418,0.410694,0.4141175,0.422563,0.4425655,0.4207845,0.4255345,0.3936485,0.4197815,0.3918685,0.407426,0.415701,0.4156775,0.389947,0.3976615,0.429016,0.401712,0.4283855,0.401444,0.395717,0.398196,0.4177415,0.4136785,0.4080255,0.402647,0.412973,0.41061,0.426607,0.4266735,0.4024385,0.402604,0.4102105,0.393152,0.385802,0.425718,0.4107805,0.419168,0.408757,0.38561,0.3901905,0.41245,0.403839,0.4032455,0.405631,0.3885135,0.3994525,0.413192,0.419294,0.4046225,0.394553,0.4111795,0.4293695,0.4256515,0.400901,0.433403,0.396083,0.401974,0.4348265,0.4067515,0.397947,0.3920565,0.408759,0.4266355,0.41683,0.4210595
0.43299,0.4068525,0.4177355,0.415022,0.383647,0.404305,0.4036285,0.386472,0.407937,0.4112695,0.411551,0.3780665,0.413181,0.413181,0.4258815,0.4117975,0.397119,0.3867385,0.422976,0.402761,0.401176,0.4030545,0.403825,0.4180635,0.4122885,0.3903275,0.389616,0.4042675,0.4056365,0.427947,0.401093,0.409311,0.41882,0.420073,0.3781915,0.424604,0.4210915,0.4180455,0.414518,0.4239025,0.422006,0.401323,0.3947205,0.4169285,0.417385,0.39805,0.4128285,0.42121,0.396483,0.421978,0.431774,0.4106335,0.4329195,0.400143,0.39561,0.4005705,0.4286705,0.41519,0.407935,0.4083005,0.4128195,0.413074,0.4167665,0.4081585,0.425837,0.407884,0.4192125,0.387389,0.3837105,0.4345185,0.420185,0.39533,0.3948715,0.404844,0.405349,0.4108975,0.408244,0.4096695,0.4198615,0.4092585,0.4024445,0.413572,0.4278515,0.407209,0.3854945,0.4144095,0.42148,0.4196125,0.4123375,0.432321,0.396395,0.4186565,0.4137015,0.408092,0.41071,0.383644,0.4171365,0.420186,0.405523,0.426846
0.434778,0.422254,0.4358215,0.406567,0.376081,0.412136,0.412635,0.381738,0.399676,0.3999485,0.4065235,0.378812,0.4088575,0.400826,0.416921,0.4346475,0.395717,0.39916,0.416093,0.431891,0.399896,0.4108945,0.4032275,0.394315,0.4113675,0.402106,0.394775,0.421202,0.405241,0.427502,0.407123,0.4159955,0.43043,0.3943875,0.395906,0.423778,0.437842,0.415683,0.4084015,0.417728,0.4151355,0.411009,0.383695,0.423023,0.4172425,0.402764,0.419334,0.414011,0.3960455,0.4118115,0.420612,0.4118605,0.4262415,0.4123155,0.4067385,0.4001155,0.4200355,0.4233415,0.407389,0.4112895,0.3789895,0.4145235,0.426821,0.4138235,0.398317,0.415324,0.399761,0.3952435,0.3712615,0.4477835,0.425768,0.4330275,0.4050485,0.398029,0.4103445,0.41527,0.392333,0.417401,0.4229795,0.4074935,0.3989505,0.4057335,0.417225,0.408831,0.377295,0.4249795,0.40928,0.4097,0.411608,0.423608,0.39933,0.4223295,0.4212985,0.419524,0.3959195,0.399689,0.396582,0.4147135,0.404576,0.426261
