"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
11400.7156402469,11490.5758834218,10947.6548143739,11667.8316689414,12107.8845512216,11599.1035736053,11508.7178344666,11970.537824505,11684.3194711122,11988.2567364315,11084.2397264746,12560.4074474272,11420.3453975586,11425.8662782353,11329.7538706809,11058.1818924974,11414.1121568786,11954.5605846474,11082.2824470131,11491.9389149272,11149.1844197146,11495.4141567164,11836.0121962695,11335.5529235801,11858.1684414593,11953.975878047,11767.247849827,11527.5947631623,11297.0058264856,11071.995450114,11486.1450178557,11645.3581972753,11667.2242966902,11915.9365091904,11857.5060176772,11468.8012490588,11419.1672967073,11671.4968879839,10933.9102241963,11277.0512633145,11888.09670422,10732.1573348753,11548.1306147231,10995.9369854454,11523.7882122375,11470.5353874746,11353.1066490568,11025.0714617503,11845.3030827865,11448.8768373544,10634.520045632,11093.1444861852,10858.5406347876,11800.72753127,11747.3390957067,11190.6480155192,10883.7666055503,11201.8167781701,12429.8465195284,11302.1963453458,11526.9533118882,11502.0248532501,11527.9175128674,11016.1882537527,11359.8375603423,11499.9242475643,11573.2061666322,12133.0381697987,11160.1711891447,10819.2214328598,11259.7000681806,11652.7147161798,11859.5032607133,11488.5401922585,11437.0938112337,11105.572744797,11539.6994107171,10818.3981544847,11728.4518581926,11056.1215482748,11300.2464294394,11803.4379751285,11021.6672846556,11212.3501548564,11366.3271420022,11292.5587316526,11534.6493183987,11453.8172344357,11713.0293140588,11072.4524195494,12281.2779768538,11468.390194299,11446.1407409454,11176.0548763681,11420.355491329,12420.0144021765,11379.6169529867,11386.587860285,11084.8726450127,10867.0711504464,1990
11728.8826063437,11748.0479999328,11235.5838954899,11869.036756845,12261.0307344277,11647.6513792441,11653.4223492528,11750.8584044641,11921.7294709738,12271.2920537021,11283.223906918,12530.7448333474,11482.0932629284,11356.8889298294,11466.1370561552,11240.1204912927,11549.4313633188,12340.0162719363,11673.2363117946,11517.1755827273,11236.5733223709,11454.3350638651,11997.6590704749,11421.6422733732,11861.4393211253,12049.9189006324,11849.482077081,11502.4832251013,11328.4381180259,11148.6110437255,11384.7080236894,11686.4930360052,11583.7574326606,11807.0661275119,11942.867519482,11713.4975855668,11436.1717067162,11749.7909740388,11054.2579196869,11396.0114287887,12015.0332427249,10839.6536006393,11671.7353119083,11239.0980664379,11470.1581859519,11595.7148283273,11442.4842708782,10949.3357394587,11927.8889510485,11418.6926693854,10977.3126325158,11234.2801712336,11143.9246184754,12076.7226013206,12109.2799426771,11431.627744104,11090.5545569784,11660.6258061127,12807.8483077045,11573.1404808755,11668.840911054,11893.213008716,11589.5823346086,11370.1599180885,11532.4325546486,11647.7783356528,11790.0882051474,12172.9420360753,11585.9083697734,11092.8393962422,11374.4168896455,11704.4223965192,12276.7367750977,12035.0432222335,11532.4223671192,11378.4099220784,11537.7515568838,11054.4017205868,11873.5557106478,11209.6705436007,11326.1171349134,12026.0911558339,11269.7520146162,11505.169266833,11387.3207295445,11141.7397997995,11438.9883636415,11294.5437418392,11983.6539060922,11344.9115390896,12480.8122086731,11583.1551381265,11736.6100068835,11421.2830047861,11733.2942483318,12603.5583482969,11437.4017895203,11349.6561282019,11283.9206646819,11037.7365017056,1990.5
11420.8321786719,11462.796310721,11184.8587492827,11708.0674629763,12221.6356774897,11599.2089546958,11586.4664391009,11403.7004871029,11620.7374343564,12362.0479919147,11158.0122298055,12149.0007073826,11164.1720252783,11061.5744283785,11365.2564591559,11363.0304649394,11515.5587783834,12268.3647411563,11808.3419067381,11521.4262804264,11244.444592125,11261.9475970962,11821.1351177284,11164.1882937492,11603.8231945717,11777.5746024086,11711.4568583951,11299.6198944955,10969.926197659,11027.6451524319,10989.1000868939,11164.0690501578,11321.6022803757,11433.3920029712,11554.5922442552,11617.8798772669,11234.9551341227,11233.2991483127,10937.5261225543,11172.9518635746,11763.3044059425,10768.1830160117,11539.5850467236,11246.6686204959,11147.4337791652,11423.0461674638,11270.7939738779,10701.2016101776,11705.9085010779,11238.9380069672,11003.9463239769,11123.3535943682,10956.0904407025,11908.624645188,12005.7615846492,11289.7175161832,10994.0145961246,11689.5201094835,12763.1565256079,11566.550918856,11350.9234766947,11775.6466816122,11248.6912875837,11279.7144557442,11441.302458814,11345.0790107974,11792.5323235057,11865.4021914541,11693.482011653,11016.1721524495,11216.0859472457,11426.8582230688,12085.509679698,12127.4109011117,11416.912599395,11276.8942733735,11057.88248433,11151.0554723424,11878.0721852852,11083.1338799265,11227.0757814196,11884.0935543039,11112.9247982674,11544.6732901876,11313.7701145565,10810.2370494708,11225.0116046969,11053.8071402741,11797.6439584353,11098.7108843032,12186.8908821755,11489.4819266264,11476.7663524943,11264.4693880328,11692.1565910705,12417.5424489395,11354.4445016264,11124.2162739865,11223.7481020142,10947.9563364755,1991
11466.0247835652,11577.1084401019,11416.9316947032,11925.3153869272,12435.0313090818,11657.1855236863,11823.5677935915,11374.5834373373,11770.1699701201,12549.3986126208,11271.2841949133,12141.1236279035,11308.4293252177,11276.6706190048,11612.7129475208,11662.6057131987,11767.5907458097,12281.7474259913,12024.3783612296,11761.7916536176,11531.4467543349,11426.4272978888,11781.1446744251,11156.2406423282,11698.6690648269,11837.8639682735,11723.6338990264,11332.090865552,11050.4472597774,11143.1352374835,11139.0011649461,11205.5181584031,11271.0794698351,11508.3248894948,11429.483116689,11832.5607246097,11413.6972240446,11324.8022417466,11199.2581392117,11293.5010329777,11821.1677446933,11135.6033369327,11585.7307935787,11572.7867880765,11228.6409771218,11555.803577464,11367.8483571052,10775.6430754421,11753.4945021463,11218.906038968,11083.1187876434,11401.9284234107,11185.6230519262,11880.0369290473,12099.9159045312,11434.0204468197,11410.930179671,12129.8294480214,12802.4698605551,11875.0196121797,11499.9433407417,11716.5034329689,11192.9581974095,11617.5721873761,11576.1104527168,11399.7217093075,12043.5091886928,11920.3008812828,12025.9885190691,11190.4325277768,11339.1509775433,11412.8535828972,12142.956910015,12544.5525740733,11476.7400929518,11544.6050812734,11284.9056979923,11562.4799984643,11869.7195336536,11269.812996008,11389.6903306132,12171.0202820393,11565.2923370108,11776.713076292,11451.8008276924,10975.1894312172,11338.5099855868,10979.7698919392,11904.1451740597,11376.2126936891,12237.3605388769,11736.5941759293,11558.38758585,11495.5568574381,11930.9507007913,12287.7514176763,11559.8310290405,11282.5449745822,11370.8559067597,11168.247284703,1991.5
11097.4466924554,11458.3355768098,11103.2480752744,11817.1857032081,12309.9534829024,11539.8714560238,11704.1383636099,11285.8040247697,11677.8156639922,12429.3470787975,11053.0817408115,12011.9455827715,11193.7986033944,11375.7269850737,11471.3931122889,11688.7748170542,11725.3746442101,11928.5944415939,11747.8718560696,11787.4541305848,11522.8161356202,11527.3652891532,11533.682866161,11054.2833454101,11441.0314967628,11599.8605267303,11472.1791049623,11252.2495103804,10891.4126227646,10923.218054492,11143.7713252193,10916.6401604738,11077.320393087,11323.3552015156,11131.0611934031,11788.2449268328,11490.7866335665,11230.7904975485,11172.2785726194,11012.7143668806,11649.5180370286,11133.8376033105,11429.8238923587,11478.8663562552,11074.7527445993,11368.0089533887,11243.3696185597,10583.3448659568,11603.5260965599,11099.6165359586,10844.8083856017,11312.4367645695,11096.81890438,11516.1225693283,11760.6306090102,11203.3428832901,11280.1307129904,12163.0962729031,12382.2534078657,11684.1610245605,11371.6080483814,11379.9908108461,10951.6302155296,11646.7346528628,11485.3541299598,11238.7307789861,11927.9315493897,11563.5355698527,11900.3133396808,11057.8387512209,11174.8438076299,11199.6884974473,11837.7405059884,12298.0253381306,11138.1164330124,11464.9142098355,11184.2341274221,11505.2545369762,11600.2537056796,11142.3047927421,11402.2111018465,12014.229639446,11729.1694870337,11593.1517907655,11586.6713987481,10893.9442387691,11395.8356986927,10834.201215624,11668.9208188171,11281.2574926774,12096.8974655344,11796.6501530478,11211.0008157334,11348.6690918044,11857.2252464938,12007.4319619236,11587.0461856213,11407.935455362,11130.1847398272,11084.801945701,1992
11015.747495427,11555.4132264807,11168.263110245,11815.408638785,12238.2495073761,11559.1562305624,11988.9480344918,11526.0858617765,12043.3423356265,12416.4168333141,11188.8843180846,12050.8136445822,11306.2794842793,11724.8964758097,11725.4316381829,11892.2616711893,11734.6551514371,11811.2378447105,11615.4753392186,11996.4547770969,11567.3733444423,11770.8814880211,11634.8768600089,11224.8913781993,11434.9716209426,11628.1748999276,11529.2460430894,11387.5434597379,11032.3100145399,11124.503124286,11359.1042150172,11181.3342714621,11226.6368381626,11641.3442964204,11219.5370397379,11991.5939796687,11576.2416086412,11632.7030839541,11430.6732661821,11121.4342528517,11733.0670375895,11480.3725131839,11684.8306195393,11597.2485524752,11406.2451324369,11403.2522348078,11568.9432467059,10884.8525007841,11831.9309564593,11144.249592942,10953.4356402267,11629.4058422901,11320.7878680707,11749.9826009893,11744.8171065448,11342.6053753106,11316.8768724719,12279.5767916573,12196.6085941835,11869.1930555615,11706.0697631496,11452.0924153981,10785.0102262187,11784.3189472261,11677.0977479844,11354.2721029168,12078.2075751636,11488.056164781,12026.5955556771,11182.7559535252,11435.9919395896,11183.4321647666,11920.3668953156,12173.9397138985,11078.5479884593,11562.421535202,11653.0931028991,11990.9062255064,11462.1669623422,11333.498632325,11702.1514306503,12134.6566545523,12135.7735402906,11743.2903847598,11776.7975664735,11277.675143645,11761.5274325333,10965.8314700031,11831.8496797506,11660.0625615169,12150.9647766646,11995.9689884365,11155.1205193568,11539.1385715835,12134.4030104521,11872.1568075098,11887.6204707892,11546.6984661664,11395.6401781981,11282.747163736,1992.5
10452.501930731,11278.3873358162,11089.0758045865,11270.2039203535,12002.9131088333,11594.2572320665,11874.8137920338,11573.754041943,11952.2220796085,12171.0280170592,11147.7435357631,11989.9131120359,11125.544214322,11586.0258663069,11490.4057857345,11962.4495231619,11426.2871451688,11457.1011162496,11191.9799854681,11863.3640960911,11419.1162824131,11775.8601224502,11562.0289791553,11222.741223564,11244.8927815633,11475.8742464032,11425.4714384882,11148.9141157777,10912.0633650601,10939.7210168178,11193.3437670076,11370.8080452906,11063.8811593822,11657.8169052471,11086.4766140258,11826.6554634818,11443.312666799,11614.7025035724,11246.0650277837,10908.8542931614,11356.0312085475,11385.6852362703,11366.1748676275,11587.4945007635,11327.8175991439,11122.7856767605,11462.0033826104,10953.1619840175,11905.8128505514,11021.1446557874,10729.5971810155,11513.5632917363,11242.3076787176,11691.3155970519,11453.9266409247,11210.184435817,10882.6179103744,11934.8026160443,11646.8113113075,11650.1369832321,11570.3198215135,11315.8030539139,10600.0002289442,11535.1604295477,11420.4629709187,11169.4328450211,11691.080700784,11318.3349564978,11780.5458202324,11005.2566034586,11432.8588359948,11006.0722405379,11503.4304726701,11621.1617482791,10911.8001611758,11147.7429508895,11672.6825037974,12025.5966822311,11336.2354043233,11233.6938334538,11700.0723391169,11804.4608891426,11928.0082371991,11626.067284307,11603.8527893075,11189.2525821948,11702.1458419777,10906.4563937379,11481.3263412277,11431.3498870784,11806.0967378434,11846.6637798977,10809.491670779,11407.7776770892,11983.3595907315,11606.25875135,11894.4247354593,11547.6996729267,11378.9194980301,10965.0214311872,1993
10618.8111015984,11273.8760545612,11300.0817693049,11113.4063684425,12058.3439581457,11927.4858813071,12136.6906083407,11691.3440008267,12064.9027171603,12161.0481438422,11248.8423142699,12167.7071623191,11406.2849549311,11865.7213604994,11583.2556112709,12086.3208998605,11442.2554806289,11334.2885303313,11206.8734559886,11903.3589627261,11396.2735526758,11911.0533964428,11794.3832613741,11607.1646460665,11456.9000047468,11493.289674433,11714.7745922985,11247.8265267772,11196.8689134442,11275.9397906747,11269.2305159287,11715.1106673268,11315.9946990365,11845.6511333029,11468.9478364777,12063.0151017292,11536.3166537772,11983.3414158568,11363.101190515,11259.9587897866,11120.4593152769,11600.5196612158,11318.9610319151,12003.1806744051,11758.655488261,11264.4192156522,11674.4020840746,11210.1497971504,12127.064628622,11299.8261755804,10878.008275353,11615.50557728,11315.4261186142,11921.33300382,11681.7523240316,11523.474190103,10875.5865125458,11859.1067259692,11483.3068679966,11663.7824305135,11835.4289009883,11580.3816801903,10776.5408540389,11662.2097431781,11254.5099188429,11567.9363271156,11642.6064370698,11467.1943229787,11705.3741325419,11110.5942010192,11574.0261080383,11173.6425090688,11408.7082522068,11554.6082710067,11294.4749968105,11337.2499566781,11966.1144767888,12205.2010648744,11315.610524674,11493.7479844071,11944.2367120153,11953.0575642128,11973.0294054234,11845.0166371259,11552.0990866714,11421.3655487355,11880.3070722348,11171.4613817018,11455.8015085421,11497.1571911018,11788.5347369823,12101.5606646682,10907.6615547158,11531.4399180189,12156.03195692,11656.6039689261,12086.3581694281,11647.3455478985,11649.5163771328,11132.4488499497,1993.5
10730.5929499511,11120.7580237298,11396.2292440145,11087.553057239,12291.3751339891,12197.1884712765,12250.0072938165,11648.7899926544,12023.7315120839,12175.8992041443,11329.3787763926,12347.5274058537,11534.3417192186,11891.0311699987,11542.9840666332,12201.2432183987,11583.2413061828,11332.9656521201,11348.1855689556,11758.5699745306,11390.7398873398,11850.753877021,11806.0305812178,11797.121822948,11629.0682862608,11653.8186718437,11979.8397033342,11285.6454649355,11249.8528824897,11415.2187065512,11271.3598420207,11773.8139513498,11478.0861138111,11843.9650293679,11877.236170872,12135.4048757766,11698.8484779399,12113.2108497766,11339.0027898977,11397.5619958258,10870.5803085027,11693.2959255182,11167.1439243667,12125.3895255144,11976.9035369713,11427.2103868129,11632.6811810723,11358.3097805734,12267.8969798418,11578.3911238401,10987.6039774778,11566.9318938689,11216.5735593382,11946.8079012101,11815.4611057833,11484.8621921627,10865.5980116443,11734.6403172917,11498.5765954724,11585.3803862354,11863.203746933,11711.4967318041,11218.5117747154,11589.9135682484,11166.9252889373,11606.3904755848,11378.6068007206,11751.5825907536,11684.7631246282,11212.6515157456,11526.2569530432,11559.4273248998,11230.8147020516,11389.3526959513,11700.2016184421,11401.7580558738,11840.3705545009,12180.6328839355,11610.5793885462,11763.2959730583,12179.769636087,11874.5272580886,11829.4151488753,11936.9867113133,11481.6976911699,11537.1166056842,11891.9144231327,11520.1951227079,11252.7171211074,11282.2571106378,11800.3960723185,12192.97920075,10940.830431031,11703.1835044102,12174.640545697,11669.1347966593,12137.3203579962,11654.8015415522,11735.4485903195,11280.2348163786,1994
11979.6030942389,12038.9282452467,12401.0951785058,12185.7880104511,13344.2251778948,13285.8517901952,13290.1919304433,12757.5697216326,12796.7394164362,12968.0791568167,12498.7365602732,13406.6629757911,12553.1217190055,12816.2533239398,12504.4553801343,13298.7346191336,12633.8814194862,12423.1215691845,12302.1904410332,12540.6074707471,12324.124734968,12686.491561569,12863.5636660634,12667.7584724892,12683.038979863,12785.907052925,13079.3543089434,12417.0609069365,12368.1843513116,12637.7875243515,12397.6118688167,12638.1334830506,12642.0013401645,12776.9592831673,13043.5137843346,13010.9147730005,12599.5779004718,12982.7618567948,12310.2313317919,12538.8905628272,11841.6788987025,12743.5487064194,12275.3898715581,13196.3761936297,13054.7754519018,12563.8190835999,12397.6320188664,12453.6894129053,13168.7420121957,12725.1057734165,12133.3443448804,12599.6285118933,12109.9831218978,12887.4503321055,12802.430230391,12422.7155761688,11803.3592567581,12624.053861889,12501.4598312225,12695.416702275,12675.8693978196,12718.5177985804,12455.0708806683,12507.8937266281,12144.8547382236,12700.7132497414,12266.5065725953,12992.5528923039,12596.40155942,12265.8265210802,12467.8476685049,12684.4910911926,12273.1002984729,12336.4108746256,12956.6429904829,12460.168672632,12687.2824578451,13030.5510847326,12656.9659766649,12932.6396630148,13184.5275284666,12760.1139599107,12539.8703088844,12837.0830653919,12458.8433644461,12625.8066125789,12680.6724359232,12434.0537336064,12376.7471315228,12085.5672282526,12733.5078796877,13242.1244994962,12047.3787566296,12789.8459189021,13125.9909149456,12666.9398420901,12919.8326674655,12447.1093232472,12877.3490481994,12476.6973468198,1994.5
