"replist1","replist2","replist3","replist4","replist5","replist6","replist7","replist8","replist9","replist10","replist11","replist12","replist13","replist14","replist15","replist16","replist17","replist18","replist19","replist20","replist21","replist22","replist23","replist24","replist25","replist26","replist27","replist28","replist29","replist30","replist31","replist32","replist33","replist34","replist35","replist36","replist37","replist38","replist39","replist40","replist41","replist42","replist43","replist44","replist45","replist46","replist47","replist48","replist49","replist50","replist51","replist52","replist53","replist54","replist55","replist56","replist57","replist58","replist59","replist60","replist61","replist62","replist63","replist64","replist65","replist66","replist67","replist68","replist69","replist70","replist71","replist72","replist73","replist74","replist75","replist76","replist77","replist78","replist79","replist80","replist81","replist82","replist83","replist84","replist85","replist86","replist87","replist88","replist89","replist90","replist91","replist92","replist93","replist94","replist95","replist96","replist97","replist98","replist99","replist100","Label","Yr"
10995.6,10766.4,9227.68,9876.98,10401,10893.2,9602.79,12010.7,10209.9,10327.7,9234.52,11317.5,11335.1,9315.27,8484.85,9615.47,11775.2,11214.5,9686.42,10508.5,8967.12,11985.5,9397.65,10000.3,12240.6,10012.6,9320.38,11350.5,8840.06,9085.16,9661.24,11706.2,10206.2,11866.2,10032.6,9387.39,11117.9,10943.5,10547.6,9399.1,10131.4,8252.41,9365.02,9744.45,10734.3,9894.57,10476.8,11710.5,9615.92,9103.65,10071.2,8927.75,8750.8,11015.5,9535.69,10841.3,9125.29,9306.08,13185.7,9015.62,10121.7,9786.61,9576.33,9938.6,9441.66,11299.2,10728.1,11674.1,9022.46,11307,7909.79,10302.1,10137.7,10815.6,9776.12,9620.4,10247.1,9674.11,9910.86,8206.49,8528.07,12470,9692,8059.46,8402.74,11000.6,10602.7,8771.18,10913.2,10703.6,11018.6,9102.08,10569.4,10147.5,9200.38,13005,9521.48,10758.9,9304.59,9635.31,"Recr_Virgin",1988
10995.6,10766.4,9227.68,9876.98,10401,10893.2,9602.79,12010.7,10209.9,10327.7,9234.52,11317.5,11335.1,9315.27,8484.85,9615.47,11775.2,11214.5,9686.42,10508.5,8967.12,11985.5,9397.65,10000.3,12240.6,10012.6,9320.38,11350.5,8840.06,9085.16,9661.24,11706.2,10206.2,11866.2,10032.6,9387.39,11117.9,10943.5,10547.6,9399.1,10131.4,8252.41,9365.02,9744.45,10734.3,9894.57,10476.8,11710.5,9615.92,9103.65,10071.2,8927.75,8750.8,11015.5,9535.69,10841.3,9125.29,9306.08,13185.7,9015.62,10121.7,9786.61,9576.33,9938.6,9441.66,11299.2,10728.1,11674.1,9022.46,11307,7909.79,10302.1,10137.7,10815.6,9776.12,9620.4,10247.1,9674.11,9910.86,8206.49,8528.07,12470,9692,8059.46,8402.74,11000.6,10602.7,8771.18,10913.2,10703.6,11018.6,9102.08,10569.4,10147.5,9200.38,13005,9521.48,10758.9,9304.59,9635.31,"Recr_Initial",1989
18741.7,19110.1,19410.3,20427.6,18190.2,18655.1,18627,19302.9,17482.2,17840.9,19341.8,18146.6,16671.6,17739.6,18782.5,19308.9,19578.8,20470.2,19248,18144,19490.3,18226.4,18022.2,18053.3,17734.1,20684,18986.9,19565,19329.4,19261.2,19945.9,17793.7,19394.5,19411.4,19675.7,17947.3,17779.6,17297.1,19218.3,17969.9,20004.6,18521.8,21189.1,17398.7,19048.2,18454.5,17288.3,18837.4,18623.5,18789.8,19638.8,19799.4,18953.9,18128.1,18445.7,18357.2,18989.7,17967.7,19114.7,19911.6,17337.6,17490.3,19865.1,17613.5,19984.5,18951.9,18950.3,19355.2,18490.7,19218.5,19890.2,18831.1,21020.9,20379.1,18302.1,18171.8,17541.1,17707.9,18556.3,19090.4,18265.7,17734.8,17667.3,19243.6,20474.6,19152.2,17147.6,18301,21257.4,17723.8,18123.5,17628.6,19771.5,19143.1,18209.5,19167.9,16383.3,17577.2,19573.7,18580.6,"Recr_1990",1990
4085.45,5777.05,3785.3,4368.2,4484.49,3075.79,3808.95,4112.1,4553.52,4434.08,4109.84,4974.86,4897.5,4525.58,3892.99,4452.78,5422.64,4489.08,4486.42,5463.42,5024.34,4056.43,5167.44,3715.75,3934.96,4703.27,5180.63,3952.39,4423.34,3989.15,3917.35,4653.37,4005.75,4517.24,4152.81,4431.35,4373.63,4375.55,3767.37,3771.84,4713.94,4501.93,4107.53,3109.69,4095.23,5009.66,4624.59,4174.68,4594.04,4583.21,4198.38,4712.97,5083.7,4518.54,4680.4,4473.57,5709.15,3304.95,4705.02,4889.34,4445.55,5510.16,4790.63,4823.45,4086.49,3071.57,4137.99,4242.8,4794.36,4406.27,4325.76,4796.47,3838.44,3743.78,4830.13,4567.87,5158.19,3105.78,4528.73,3935.89,3704.82,4694.72,5384.74,4112.19,4307.79,4139.44,4501.35,4349.45,3639.86,4647.46,4340.7,4215.02,4070.93,3873.65,4039.54,4788.91,3677.51,4322.72,3720.22,5056.45,"Recr_1991",1991
7741.02,7835.74,6871.68,6799.39,7274.51,7471.08,6571.08,7680.08,7269.71,6889.95,6796.58,7304.39,7284.73,7885.37,7084.92,6942.05,6895.72,7280.9,7668.01,7277.34,7393.99,7995.49,7912.17,8073.2,7843.57,6303.66,7301.87,7754.45,6934.45,7384.9,8372.41,7146.89,7890.89,8603.23,7311.14,5648.62,7965,6530.78,7313.92,7818.34,7186.58,7799.99,8113.5,7375.35,7421.07,6940.23,7813.09,8077.66,7752.86,7455.11,7154.15,6020.3,6739.79,7114.9,7789.6,8113.4,8317.12,8694.39,7397.18,6868.86,7961.63,6390.4,7824.01,8503.61,7812.54,8225.79,6475.62,8233.02,7882.63,7886.58,6261.6,7321.38,7415.6,7583.35,6928.56,7302.85,7111.48,8219.54,8789.02,7233.55,7406.4,7140.55,7333.22,7374.6,8432.33,6428.91,7725.11,8434.87,7440.27,7735.21,7872.64,7088.85,7937.73,7137.96,7170.8,6960.71,8331.45,8502.58,7255.67,8122.95,"Recr_1992",1992
7098.71,6890.51,8024.5,7711.57,6189.93,5595.23,6294.26,5945.14,7121.84,7830.55,7137.38,7436.43,7299.78,7986.1,6829.68,6800.58,7530.15,6103.58,7778.33,6275.15,8209.08,7236.07,7014.99,7088.02,7379.07,6331.34,7372.39,7529.85,7253.08,5692.69,7370.28,7536.98,7417.81,6147.25,6493.55,6868.93,6842.96,7550.59,7726.94,7958.96,8220.97,7574.81,8124.05,5824.89,6552,6813.08,6730.25,7014.77,7171.67,7432.25,7301.22,6453.98,8373.4,7333.8,7173.84,6850.39,7497.93,7045.97,6418.42,7302.37,7593.01,7719.68,6554.97,7519.31,6850.02,7269.58,7618.56,6449.06,7634.54,7010.29,7161.21,9069.06,7324.06,6913.12,6875.92,8603.58,8863.01,7737.02,6088.09,6954.08,7242.27,7914.61,7499.55,8019.75,7370.98,7222.27,7302.86,6341.92,6908.76,8115.81,7445.75,6818.37,8218.27,7429.6,5822.59,8157.01,8425.74,6830.6,8069.98,6535.05,"Recr_1993",1993
5480.2,6652.94,6182.9,5771.61,6537.88,6609.38,6518.23,6200.74,5994.95,5830.81,5964.77,6068.91,6998.31,5341.46,6774.29,5816.65,6518.21,6745.75,5683.86,5431.73,5142.04,6595.55,6706.88,5872.5,4762.89,6087.94,5540.24,6219.29,6581.31,6930.01,5616.78,6285.73,5963.18,5925.35,5794.4,6701.7,5298.64,6232.53,6408.32,6481.14,5054.29,5780.72,6104.56,6266.42,6153,6779.1,7132.85,5897.37,6017.34,6444.03,6275.64,7035.62,6190.96,6022.09,4919.6,5477.01,5912.33,6187.55,5779.55,5131.47,5788.55,6334.95,5641.38,6122.57,5935.77,5383,6099.49,6067.96,5814.63,6156.15,6360.21,4624.02,5802.01,6660.99,6254.51,4984.6,4694.06,5344.94,5621.77,6140.66,6289.02,5996.01,5557.53,6027.73,5539.38,5229.48,6144.9,6359.37,5894.22,5688.69,6640.01,6270.38,5841.58,5681.82,7005.12,5569.41,6523.67,7580.41,6060.01,5815.57,"Recr_1994",1994
4051.56,4053.69,4749.09,4081,3619.04,4304.82,4144.9,4592.37,4481.26,4678.27,4529.58,4065.28,3958.26,4297.56,4477.42,4156.46,3630,3811.51,3425.29,4778.81,4554.37,3531.74,4483.45,4732.46,3839.23,4152.25,4244.13,3299.66,3824.06,3699.41,4137.04,4361.56,5375.36,5399.82,4282.29,4805.02,4405.47,4507.6,4413.35,4876.9,4545.9,3781.4,3736.54,4650.56,4606.79,4597.29,4270.11,4080.8,3649.27,4635.46,3749.66,4700.74,4584.59,3551.53,3887.8,3927.78,4436.76,4339.91,4632.73,4156.09,4936.24,3935.66,4955.6,4107.68,4096.74,4100.87,5385.4,4706.52,3500.02,4247.82,4580.41,4043.36,4352.64,3894.47,4192.2,4131.3,3772.57,4002.37,4473.48,5138.84,4050.57,4620.09,4934.06,3619.85,4093.11,4073.98,5246.47,5175.77,3935.13,4167.29,3693.28,4835.56,3397.3,4637.73,4762.51,3237.57,4598.68,4244.33,4187.27,4449.2,"Recr_1995",1995
10810.1,9421.67,8235.65,9283.24,8292.71,8978.16,9220.02,8421.68,8072.32,8613.66,8895.82,8374.74,7552.94,9156.83,8854.74,9783.84,7531.72,8257.32,9734.08,10630.9,9044.38,9153.6,7283.78,8872.55,9440.39,8756.29,8146.82,10041.5,7980.66,9472.73,9150.49,7978.51,7706.17,8753.38,7383.17,9181.03,9961.22,10376.2,8202.9,8923.55,8894.93,8402.85,7963.65,8724.09,9489.47,7851.9,9832.99,8194.56,10094.4,7961.51,9034.01,7538.92,8565.56,8354.46,9537.71,8744.26,9180.74,8799.11,8795.15,9350.77,8544.33,9314.75,7837.25,8411.25,8506.02,9555.11,8741.86,8246.1,7376.5,8294.09,10025.7,8645.38,8431.81,8972.35,8563.14,8545.25,9110.37,9072.5,8686.49,8890.55,7700.15,8550.18,8916.54,7184.02,8080.38,9737.53,7979.1,8946.16,10113.1,9311.51,9827.55,7343.47,9219.57,8805.07,7915.13,9138.57,8193.55,8802.93,8429.87,10444.6,"Recr_1996",1996
5189.08,6255.85,6419.2,4831.93,5928.17,5821.75,5888.23,5890.59,5450.46,5806.36,5099.87,6417.38,6391.27,6238.95,6329.36,6386.54,6456.6,6903.94,6535.88,6453.27,5633.56,7136.76,7359.23,5887.13,6209.22,5720.61,6342.39,4913.61,5988.18,6956.87,5638.42,6133.18,6078.52,5929.02,5835.09,5731.45,6409.93,6090.96,5623.6,5849.42,5379.56,6145,6769.28,6002.01,5854.17,5913.46,4892.02,6844.73,5989.39,5513.26,5437.06,5328.49,6620.69,5526.62,7076.25,6915.02,5102.57,6141.95,6384.95,6350.66,5308.47,5277.49,5994.79,6567.06,5629.31,6327.7,5939.61,5270.93,5719.14,6602.24,4609.87,6085.62,6930.61,6932.7,6441.85,5887.07,5931.1,5078.28,5870.45,5327.48,6789.53,6081.39,4871.96,6847.46,6027.92,6805.88,6248.78,5806.71,6088.23,5833.84,6497.21,6809.85,5957.6,5339.43,6021.68,5870.54,6570,5607.11,6948.28,6603.52,"Recr_1997",1997
