"run","max_gradient","converged","K","Linf_mm","CV_old","L50_mm","L95_mm","R0_thousands"
1,0.00736195,TRUE,0.0871664,1049.92,0.192642,395,405,9159.89504836077
2,0.000506528,TRUE,0.0901759,1022.96,0.204309,395,405,9765.09918057391
3,0.000967142,TRUE,0.0742561,1164.69,0.152287,395,405,8378.38119504635
4,0.00337877,TRUE,0.0872319,1041.14,0.183284,395,405,11303.9782470062
5,0.00126903,TRUE,0.0829155,1087.91,0.183875,395,405,9309.02836348181
6,1.97657e-05,TRUE,0.0823792,1086.09,0.130532,395,405,11028.3002728873
7,0.000335475,TRUE,0.0956971,970.468,0.192934,395,405,8920.16746945149
8,0.00123409,TRUE,0.104017,938.031,0.181975,395,405,9053.98254394192
9,0.00128801,TRUE,0.0867292,1044.75,0.214065,395,405,8573.66007200661
10,0.00541992,TRUE,0.0864621,1046.33,0.19803,395,405,8921.14874184213
11,6.36949e-05,TRUE,0.0960894,981.146,0.19939,395,405,8879.67290246691
12,0.0020583,TRUE,0.0706798,1224.22,0.153697,395,405,8561.40850006535
13,0.000204954,TRUE,0.0922558,1007.45,0.186115,395,405,9488.91923022476
14,0.000923641,TRUE,0.0844359,1056.34,0.156668,395,405,10245.2555065912
15,0.00359567,TRUE,0.0985805,964.72,0.166017,395,405,8957.89011497298
16,0.00108132,TRUE,0.0787247,1130.64,0.146861,395,405,10040.7792020483
17,0.000207533,TRUE,0.0862846,1052.23,0.169451,395,405,9798.35702408345
18,0.000220735,TRUE,0.0788453,1112.86,0.170091,395,405,12230.1561942261
19,0.000138221,TRUE,0.0925919,1009.31,0.179781,395,405,10924.7922088717
20,8.54252e-05,TRUE,0.090539,1018.58,0.202952,395,405,9295.6330096079
21,0.000411501,TRUE,0.0831192,1078.19,0.149194,395,405,8626.72308571073
22,0.000189451,TRUE,0.0804993,1099.75,0.209429,395,405,8944.82113807974
23,0.000974547,TRUE,0.0976633,967.037,0.178447,395,405,8002.58585252876
24,0.000147383,TRUE,0.0806611,1110.87,0.161789,395,405,8957.53180653461
25,4.60202e-05,TRUE,0.0759999,1144.62,0.154847,395,405,9248.90088312075
26,0.00160144,TRUE,0.0862862,1054.1,0.178121,395,405,9423.48258108455
27,0.00442587,TRUE,0.103372,944.995,0.221385,395,405,10941.0822823539
28,0.00405228,TRUE,0.0908267,1022.14,0.194276,395,405,9519.52279544358
29,0.00043864,TRUE,0.103441,940.404,0.180035,395,405,9291.82258126514
30,3.32912e-05,TRUE,0.0782547,1122.69,0.158485,395,405,11452.1183430829
31,8.86383e-05,TRUE,0.0926637,1007.54,0.162903,395,405,8907.24259941612
32,0.00112392,TRUE,0.095704,981.072,0.199569,395,405,8809.00700219059
33,0.00221793,TRUE,0.0860127,1052.1,0.183397,395,405,8955.47181112766
34,0.00576774,TRUE,0.0973477,971.659,0.189583,395,405,9901.48475371239
35,0.00505474,TRUE,0.088573,1036.33,0.178913,395,405,11074.9380365081
36,8.00807e-05,TRUE,0.0778489,1135.91,0.143568,395,405,12205.7203258513
37,0.00141868,TRUE,0.0908408,1024.34,0.208129,395,405,9684.77167067052
38,0.000566419,TRUE,0.100649,955.034,0.229088,395,405,9365.42504131097
39,0.000587647,TRUE,0.0930259,1005.72,0.172311,395,405,10278.8123275984
40,0.00101967,TRUE,0.0898272,1020.1,0.188082,395,405,10020.3168911295
41,0.000611616,TRUE,0.0965129,968.27,0.199013,395,405,11177.4093719887
42,0.00078673,TRUE,0.0984421,965.48,0.219455,395,405,10880.3098623523
43,0.00169756,TRUE,0.0907302,1020.79,0.182941,395,405,9811.2993954411
44,0.00171882,TRUE,0.0815548,1088.87,0.184134,395,405,9974.72826716457
45,0.0028326,TRUE,0.081971,1109.83,0.170933,395,405,10451.8053161666
46,0.00208457,TRUE,0.0983219,958.218,0.185991,395,405,8295.6785369803
47,0.00362191,TRUE,0.0922791,1014.22,0.185309,395,405,11113.5459596984
48,0.0011911,TRUE,0.0840944,1081.05,0.154456,395,405,9811.88809106552
49,0.000603272,TRUE,0.0879397,1040.54,0.157934,395,405,9460.58973542682
50,0.00186453,TRUE,0.0720062,1214.64,0.109529,395,405,11321.3997846475
51,0.000196777,TRUE,0.0838656,1065.81,0.156453,395,405,9165.02602612753
52,0.000717616,TRUE,0.0785975,1124.13,0.144086,395,405,9575.56672225312
53,9.60388e-05,TRUE,0.091982,1013.84,0.176251,395,405,11043.088100885
54,0.000179961,TRUE,0.0884413,1034.25,0.164718,395,405,11277.3323129127
55,5.89353e-05,TRUE,0.0941589,1000.22,0.175975,395,405,9613.94569591752
56,0.00217035,TRUE,0.0902418,1024.38,0.168906,395,405,9280.40066540846
57,7.83235e-06,TRUE,0.101415,953.128,0.186283,395,405,9100.91284398681
58,9.80298e-05,TRUE,0.0816661,1095.52,0.210997,395,405,8428.29688216868
59,0.000201062,TRUE,0.0854118,1051.76,0.189425,395,405,11823.3302699133
60,0.0125959,TRUE,0.0686167,1255.31,0.143704,395,405,12473.3543988158
61,4.68773e-05,TRUE,0.0909852,1020.64,0.175369,395,405,10095.650838089
62,2.82122e-05,TRUE,0.101116,935.145,0.195866,395,405,9155.77402288927
63,1.16531e-05,TRUE,0.0969603,978.768,0.183466,395,405,10246.1776210813
64,0.00121572,TRUE,0.0723827,1199.25,0.16876,395,405,10171.9580249013
65,0.00160117,TRUE,0.0818484,1094.65,0.157774,395,405,12424.0575875039
66,0.000891225,TRUE,0.0973164,979.365,0.192178,395,405,12157.6028251908
67,0.000797139,TRUE,0.0885999,1052.57,0.161689,395,405,9681.18896799324
68,0.000219671,TRUE,0.0849036,1061.73,0.187078,395,405,10331.471488161
69,0.0055607,TRUE,0.070116,1217.39,0.135391,395,405,10788.5428198633
70,0.00469957,TRUE,0.0774109,1148.85,0.175015,395,405,9491.48158431915
71,0.000177606,TRUE,0.103714,941.192,0.195195,395,405,8770.50792604621
72,0.000193946,TRUE,0.0867126,1049.74,0.15615,395,405,7981.32726062304
