"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100"
0.02475575,0.0248167,0.02679745,0.02633925,0.02447715,0.0266017,0.02376665,0.02553005,0.0241577,0.0253456,0.02496665,0.022263,0.02513765,0.0228849,0.02466435,0.0252796,0.0257834,0.02505305,0.02559905,0.02598305,0.02685025,0.02411365,0.0260466,0.02547415,0.02596965,0.02530815,0.025569,0.0237206,0.0238786,0.0248268,0.0272625,0.0243419,0.02654755,0.0259095,0.02498835,0.0248976,0.0262958,0.0268916,0.0245767,0.02510475,0.02520895,0.0267666,0.02427215,0.0260676,0.0271525,0.02394925,0.0267104,0.0261704,0.02606845,0.0274949,0.02317805,0.02399565,0.0250173,0.02703215,0.0276489,0.0256833,0.0257532,0.0249075,0.02601665,0.0276325,0.024117,0.023753,0.02610645,0.02394835,0.0274452,0.02404585,0.0240137,0.02566165,0.0269674,0.02451925,0.0246132,0.0252344,0.02527135,0.0237365,0.0264532,0.0259442,0.0261966,0.0259741,0.02476715,0.02636475,0.0257217,0.0267684,0.02631535,0.02489165,0.0250728,0.0256293,0.0252426,0.02504135,0.0267218,0.0259105,0.02626605,0.0263205,0.02511995,0.02567285,0.0249839,0.02458575,0.02753475,0.0268835,0.0261424,0.02601
0.05120545,0.0507678,0.0505616,0.0503557,0.05148305,0.05184815,0.0487605,0.04955255,0.0463768,0.0499479,0.05066115,0.0500948,0.0527891,0.0477795,0.05083535,0.0505356,0.0540917,0.04900885,0.05305995,0.0536107,0.0508818,0.05005155,0.05025665,0.0521782,0.05235,0.0507195,0.05005025,0.05014435,0.04849685,0.05171275,0.0528485,0.0515027,0.05337835,0.05077475,0.0518294,0.0506109,0.0506767,0.05570045,0.0500858,0.05040135,0.05178455,0.0515419,0.04967145,0.05248765,0.05196265,0.0510261,0.05037715,0.0542305,0.05048945,0.05167355,0.05190215,0.04868425,0.051896,0.05194835,0.0513573,0.0499853,0.05352225,0.0503697,0.04927935,0.05246645,0.05107655,0.04810255,0.0530047,0.0521443,0.05267065,0.0483682,0.053218,0.05243295,0.0514854,0.05048405,0.0513041,0.0534745,0.0503712,0.04753665,0.0510854,0.0504063,0.052843,0.0510491,0.0516067,0.04992285,0.05014025,0.05372465,0.05398815,0.04881085,0.0510093,0.0540763,0.04940555,0.05203845,0.0522518,0.05249915,0.05257855,0.05130695,0.05145585,0.04921985,0.0500662,0.0518627,0.05146525,0.05058325,0.0507029,0.05070275
0.0770488,0.07529325,0.07956365,0.07720245,0.07821945,0.0804192,0.0803653,0.07391005,0.0785506,0.07803955,0.0752482,0.0738917,0.08002335,0.07319045,0.0768855,0.07599395,0.08081015,0.07771905,0.0831304,0.07609645,0.07384765,0.07544855,0.07503175,0.07623495,0.07912995,0.0802794,0.0773801,0.0791217,0.0725967,0.0749703,0.07563995,0.07505335,0.07802675,0.0771295,0.07464475,0.07702035,0.07606675,0.0822619,0.07277525,0.0759814,0.07973505,0.07823715,0.0754382,0.0776049,0.07945795,0.0738002,0.0795508,0.0827634,0.0786487,0.0813032,0.07550905,0.07509825,0.0781089,0.07383855,0.0748185,0.075658,0.07713655,0.07565765,0.0749056,0.08024855,0.0752103,0.07651675,0.0794228,0.077781,0.0762771,0.07593935,0.07460355,0.078486,0.0797213,0.0742035,0.07821095,0.07780455,0.07566365,0.07935215,0.0786272,0.07726965,0.0732084,0.07791575,0.077035,0.07456915,0.0779299,0.0805301,0.0821433,0.07446305,0.07951995,0.07824635,0.07477875,0.0802964,0.07476565,0.07617175,0.07683445,0.078359,0.0764901,0.0771018,0.07756345,0.0783225,0.07590235,0.074513,0.08080555,0.0774239
0.0995988,0.0980672,0.101895,0.1032635,0.1023955,0.10452,0.1038085,0.0997485,0.102297,0.10002845,0.102774,0.10001355,0.1079825,0.0981607,0.09953825,0.105587,0.105998,0.09965955,0.102163,0.1059555,0.0966461,0.101638,0.1007285,0.10545,0.1083975,0.10033755,0.1014466,0.1036005,0.0983122,0.103534,0.1028395,0.1041395,0.105022,0.1072515,0.1026435,0.09790245,0.101201,0.107392,0.098126,0.1026165,0.10064965,0.0990076,0.101984,0.1038755,0.1059045,0.1003845,0.105726,0.106295,0.1036725,0.105412,0.10017755,0.0995211,0.1044695,0.102602,0.1033065,0.1038,0.104057,0.0999129,0.1003155,0.110104,0.09819365,0.10067185,0.1044315,0.102969,0.1058905,0.1005724,0.10179245,0.106124,0.1026115,0.09888485,0.1023185,0.106209,0.09703495,0.1029055,0.104072,0.1050425,0.103889,0.0996121,0.105116,0.097943,0.1053385,0.1072805,0.1060755,0.0998811,0.1031785,0.0983686,0.1010915,0.10773,0.105276,0.103882,0.1051645,0.10139385,0.09978755,0.101516,0.1008665,0.1063315,0.103327,0.0995202,0.1046375,0.09979945
0.1283855,0.129414,0.126252,0.1288205,0.1283565,0.137245,0.1332395,0.1281735,0.125184,0.129881,0.125814,0.1257585,0.1325535,0.1225145,0.1304215,0.1244495,0.131345,0.1305045,0.131806,0.1363835,0.12492,0.1279985,0.1295675,0.127918,0.130314,0.1274125,0.1278595,0.13017,0.1250995,0.128483,0.1295025,0.125549,0.1367015,0.1322415,0.127601,0.125152,0.127783,0.1339655,0.124471,0.128382,0.1297635,0.1277125,0.1218805,0.127953,0.126196,0.1293105,0.131821,0.1330675,0.1310285,0.1367395,0.132015,0.1238,0.133437,0.134172,0.13388,0.1281305,0.134503,0.1269845,0.122438,0.1340805,0.123775,0.125743,0.1272045,0.12158,0.1294305,0.125227,0.126827,0.13394,0.133633,0.1280075,0.1287965,0.135483,0.122667,0.1299785,0.126531,0.130738,0.129701,0.1279215,0.127354,0.1273195,0.1352385,0.130243,0.137983,0.1278185,0.1297095,0.129212,0.1344345,0.12787,0.1337915,0.1305015,0.1295725,0.1284455,0.123973,0.130159,0.1264975,0.1284435,0.1256855,0.130572,0.127827,0.1307735
0.1521165,0.152073,0.1576665,0.15347,0.157559,0.1586245,0.1551765,0.1540865,0.1505775,0.15164,0.157417,0.151397,0.165061,0.151247,0.155323,0.1572765,0.158781,0.147696,0.1568785,0.1638,0.1445485,0.1547245,0.1623465,0.1502965,0.159027,0.156931,0.1571925,0.155145,0.14951,0.1536105,0.149761,0.152725,0.1596435,0.1526305,0.1512685,0.1515545,0.1525805,0.1590245,0.148796,0.153811,0.157372,0.157072,0.151295,0.159267,0.1525635,0.151662,0.1606595,0.1660175,0.1532215,0.1573595,0.1564935,0.148211,0.1637765,0.1615565,0.1557985,0.153598,0.1580505,0.159663,0.1515035,0.163284,0.1471575,0.1531875,0.1618085,0.155507,0.1567265,0.148966,0.154489,0.1605015,0.153264,0.151813,0.156065,0.1547805,0.1438825,0.157372,0.153762,0.158512,0.162928,0.154475,0.158779,0.153157,0.157443,0.1587735,0.1642785,0.1457495,0.15735,0.1541795,0.1559895,0.1545975,0.1624375,0.1539535,0.1529885,0.1595595,0.1545485,0.159588,0.1513175,0.152911,0.1559625,0.1482625,0.16012,0.1513675
0.179892,0.1806765,0.1779325,0.1785675,0.1901035,0.185528,0.1921325,0.179896,0.1775875,0.1817705,0.177908,0.1756625,0.1922595,0.178319,0.172666,0.1851655,0.185425,0.1812675,0.179039,0.185148,0.179171,0.179119,0.1799555,0.1813915,0.185541,0.1776855,0.1774915,0.177206,0.175272,0.182354,0.176906,0.1780905,0.1899955,0.184198,0.178575,0.175588,0.180231,0.1770775,0.169782,0.1852565,0.179404,0.1810295,0.175502,0.177921,0.182688,0.177071,0.180616,0.1914385,0.1793775,0.191396,0.176766,0.169978,0.1838055,0.1843125,0.184242,0.187276,0.180986,0.1788215,0.1738845,0.1881055,0.17924,0.1775195,0.182585,0.1777995,0.178394,0.1766795,0.1769175,0.185896,0.187148,0.1725645,0.1879995,0.1798925,0.1737575,0.184022,0.182049,0.1901265,0.19016,0.1809845,0.185679,0.175143,0.190859,0.19041,0.19047,0.18222,0.181311,0.176456,0.184882,0.1780935,0.1871565,0.185921,0.1811475,0.1885535,0.1754275,0.179571,0.1736805,0.180751,0.180661,0.1863,0.1854075,0.1819525
0.203221,0.2064285,0.2059785,0.2134545,0.2114045,0.2109105,0.2182355,0.1991705,0.2069375,0.1981295,0.200486,0.199475,0.220176,0.2020065,0.2028505,0.207548,0.215529,0.1997465,0.21144,0.2114565,0.2042225,0.202801,0.2070835,0.214069,0.2061945,0.2074745,0.201885,0.2120755,0.202356,0.210488,0.2063395,0.2008815,0.218545,0.2126245,0.2063145,0.2079805,0.2125855,0.2194155,0.193864,0.208871,0.208293,0.205414,0.2051465,0.204941,0.202681,0.207164,0.216376,0.2122115,0.21211,0.213806,0.207914,0.201819,0.217279,0.209263,0.2087355,0.2060895,0.209181,0.2071095,0.2016915,0.208582,0.19846,0.208162,0.2120645,0.2092465,0.2149675,0.2049585,0.204308,0.212764,0.206526,0.1996355,0.206815,0.21789,0.2036495,0.204734,0.2052675,0.2142795,0.21517,0.209425,0.214935,0.2092055,0.2189855,0.209265,0.2158465,0.208244,0.215966,0.2068465,0.2085815,0.2061535,0.218364,0.2032225,0.210717,0.210434,0.2065665,0.2083995,0.213973,0.208516,0.2062555,0.2050185,0.2105995,0.20491
0.237756,0.226201,0.231441,0.239623,0.2341175,0.235507,0.2349895,0.231873,0.2256485,0.2340975,0.2241135,0.22669,0.2488825,0.2303405,0.229002,0.240858,0.2415155,0.227759,0.228811,0.2378125,0.235615,0.2301765,0.236661,0.2366775,0.2329995,0.2362515,0.2343275,0.2312115,0.232765,0.2285505,0.233918,0.2386855,0.240734,0.2379555,0.228165,0.239492,0.236317,0.2443195,0.221541,0.231879,0.234523,0.238158,0.238055,0.230645,0.236639,0.2231195,0.245996,0.2355755,0.2303985,0.243819,0.228969,0.2223325,0.2422465,0.2377845,0.234126,0.2328105,0.2326685,0.2373075,0.224227,0.2337065,0.227205,0.2292175,0.2337805,0.227171,0.2376725,0.232423,0.2305375,0.2350485,0.2327575,0.2252395,0.2343405,0.234512,0.2248615,0.2305665,0.2348075,0.238283,0.2429665,0.2323215,0.2396815,0.2301695,0.2503075,0.2512325,0.241528,0.2383085,0.243948,0.222563,0.2357805,0.2337335,0.242234,0.238498,0.2423155,0.235496,0.225926,0.2294465,0.2271255,0.236319,0.2367875,0.2363455,0.240965,0.230895
0.256067,0.2548855,0.256988,0.26393,0.2735485,0.2580615,0.2655295,0.2536875,0.2464555,0.2592915,0.263866,0.249325,0.272192,0.2544735,0.2589595,0.2772105,0.277047,0.2607805,0.2603215,0.261194,0.2585205,0.262033,0.255825,0.269139,0.2599045,0.2600065,0.2545105,0.259763,0.2550195,0.262887,0.2605575,0.2670175,0.275703,0.250255,0.260633,0.2606565,0.265284,0.2746015,0.248348,0.2565795,0.2621755,0.2617525,0.2599255,0.254389,0.252649,0.256017,0.2750615,0.2705725,0.263923,0.260061,0.256931,0.246804,0.2792075,0.25592,0.2558825,0.2557585,0.2661905,0.2641795,0.2520805,0.2764025,0.2634855,0.260842,0.2661525,0.2602645,0.2726325,0.256818,0.262597,0.261947,0.2643015,0.2491775,0.2712935,0.2592675,0.2433055,0.2559275,0.263811,0.261555,0.2757215,0.2598275,0.2629745,0.2501175,0.2766015,0.2728525,0.2824605,0.2590645,0.272792,0.2559865,0.26072,0.2703815,0.269841,0.2593875,0.2621075,0.262678,0.2515785,0.2487345,0.252358,0.270074,0.2607345,0.254913,0.2600975,0.256698
