"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
58337.4757971941,55109.7243767653,56256.0901485268,55648.6601258142,54194.0203609591,55839.6304789128,54664.9178655447,57215.8706105368,58024.9436367293,54192.4035466851,58736.6901856653,56048.4314358178,53510.3894996958,57178.8318973392,56616.0254847227,55978.7631623159,54731.0757131102,54953.6456135534,55105.0383331204,53775.125086475,57246.100089593,56443.8884604836,54604.6650594223,55763.9022326123,57176.2426958372,57902.1907693817,55992.8564283813,55249.8678903913,57755.9231075528,56055.7141265377,56077.471750657,55649.6472995775,53583.5140294811,53738.2832136994,56332.8677171035,57597.4571130805,56923.5569216212,52425.0035707263,58714.8052018313,56309.7030229219,55457.0802219132,57272.3839703974,57393.7189782677,55797.7118803813,55624.2888766848,58042.391470153,53349.8318814281,55487.0481583528,54120.8274145925,53519.9336093951,55843.5333843415,57642.0688648032,55210.6096480971,57592.264777945,53658.0200255205,56030.216922747,54281.5964755486,56094.7715744405,56085.524833282,54390.4923513901,57062.0121272303,56854.5510352389,53579.0838710779,57412.3404757001,52874.5350408658,58532.7912173564,55606.1332039186,55926.3008556734,55885.6394129493,56864.9153835572,56656.1458942672,56561.5060961909,58672.4264538233,57842.2482654444,54096.677523967,55063.0934236293,56137.9568854006,57169.0346542864,54862.0468601848,57663.6966012026,53435.190658348,52247.4076961426,52306.324641682,57673.1379293673,55191.4381050761,55689.7177693783,58179.6631034824,55418.3693701183,54470.5766342546,54593.6650662731,53371.3868216095,55808.4573278044,57477.7048437722,58297.023914085,54322.0971777583,56108.7376288294,55996.4145658414,56708.1186400531,53928.8864168101,56701.6897355472,1990
57808.1850214265,54408.9110246737,55527.846928251,54940.7463725193,53599.4346498289,55318.655937551,54101.8631312996,56370.3473212625,57207.2277686579,53433.8175753513,58123.2840855787,55666.976069883,53123.1059975801,56321.2574037803,55888.7069624333,55219.662309169,54121.2752821727,54348.4896395526,54550.3259426438,53158.0166207466,56604.2898548568,55662.1454965754,53944.6171894635,55032.5916385525,56168.1777916784,57461.5724497585,55028.8791670298,54359.9364338263,56821.0661798993,55059.1342917276,55559.2453369977,54898.760408028,53114.6543552544,53370.1160171609,55984.0351638005,57038.8278232602,56225.7681131955,51999.1004992208,57912.9574353598,55396.2026960676,54973.9034352789,56644.2119556889,56699.8813080505,55086.6989976048,54954.808912645,57270.6524789239,52642.8059891152,54983.1867589127,53540.9595245591,52760.742306892,55152.7869514277,57254.2366186802,54529.4801635125,57084.9614313036,53016.8321109553,55327.0430799533,53501.9482017447,55077.2739616873,55412.5499131863,53736.0457668543,56209.2167880643,56051.8110036602,53119.8698279647,56778.7239529132,52162.9065361621,57753.7349015276,55011.1743795424,55174.8457326125,55382.5657570949,56177.5523136374,56002.7678350677,55959.096497775,58045.8430464966,57331.0329995329,53600.6158810386,54376.9026784253,55464.2746323962,56423.8389991629,54328.0405433053,56958.8205948383,52623.8838401848,51767.6928892722,51733.446410944,56797.534991487,54290.0353925431,55116.5311471084,57208.7517620022,54841.1199971047,54002.5296710674,54103.8958904216,52811.9627280354,55081.5794000054,56890.3983091934,57588.9955682639,53739.2068384363,55632.1995038067,55419.1434758629,55853.4245049091,53488.962596561,55922.1099209439,1990.5
57298.6729067776,53945.0512015169,55011.3051505659,54371.413783611,53211.5902655389,54785.0990875893,53661.0287508703,55647.4703101113,56492.0221364664,52823.4472775965,57546.1834574731,55416.1029180888,52880.1146455457,55588.8051896466,55407.6822222576,54573.6228511354,53824.506916785,53882.6628284177,54223.4508251136,52698.9706881515,56063.1953740657,54934.9308418022,53429.3124395264,54323.3713329522,55457.8220282898,57145.0612222613,54323.0837809684,53672.1631089923,55955.8592005828,54205.7120489761,55292.4085712696,54387.6234344457,52747.8354919694,53141.530650675,55659.1669713118,56623.4612316133,55693.3957199904,51579.4520853794,57250.7250301482,54694.0099840112,54702.3671158476,56170.3611779639,55975.3011072522,54462.0499029229,54595.1761796217,56561.7922821842,52155.205311075,54613.2167744305,53183.1289526213,52142.139310494,54590.0149104577,57041.3934564283,54048.6706166845,56651.3109503368,52555.8003933141,54857.3492431678,52865.6702428618,54107.3297848724,54939.4331025579,53207.3297731693,55525.4905785864,55338.6618651246,52802.1587093385,56350.7054599203,51575.7791237899,57238.8458021335,54545.2409457483,54585.6858834302,54981.5561231499,55594.0746393414,55481.580095012,55520.046321713,57559.5940633439,56925.3585052166,53302.5887759041,53877.8247630519,55085.8658591474,56040.2416434933,53916.7219462152,56509.5228161489,51935.4194890365,51356.4854186961,51294.3880661517,56077.5427871217,53580.9108936543,54649.8309275998,56428.2192231913,54473.380591093,53601.2300868019,53797.041967576,52301.8956582426,54438.8822349006,56372.4489289905,57057.5867970431,53273.6429890939,55252.5034158494,54951.0324174844,55025.6823587766,53312.8531262408,55263.6555195329,1991
55942.568525639,52781.357246571,53736.6222393183,53212.1348773874,52107.9663044176,53532.7578848825,52503.0142582724,54307.3414031999,55084.8901531989,51605.6963231677,56135.0860847185,54348.0861837638,51955.9392608246,54218.343226486,54163.9006224414,53261.4929787049,52677.7679927851,52799.5596318486,53110.3244478748,51447.5143799475,54758.0131015915,53533.2579587427,52186.1293401953,52927.5113219755,53975.997790339,55956.5371941952,53036.0860608568,52204.0562748498,54402.4525702088,52793.3304311384,54161.141664949,53128.1420115853,51644.6208922062,52212.9896724317,54500.3678693564,55465.9796910634,54497.7189903542,50393.46540311,55758.1221744951,53271.784925759,53653.8039460932,54879.5486552932,54487.85984625,53128.7601141998,53506.0776673303,55087.6272921295,51031.0425132249,53511.0740185656,52158.9424579571,50978.2897533357,53307.9286363847,55979.8811422542,52803.7635000657,55355.3482123413,51421.8746999547,53708.0271515784,51558.3201972827,52504.633682327,53867.4065406041,52030.7433381873,54115.8517183942,53968.1381554503,51787.6730390766,55097.8913024049,50398.3924679014,56136.7942250895,53302.6950631806,53336.8704968335,53920.1732802461,54192.5995501237,54226.8956616648,54259.0375336578,56221.713517691,55800.7375374359,52237.7434223348,52701.4766116308,54008.8151968954,54934.7625698218,52686.4089801775,55321.5076404942,50635.4432996453,50351.0151828005,50175.6827311468,54660.5416375633,52178.1618305208,53406.8408259322,54876.9933551147,53426.1424035152,52520.212677194,52765.9359275801,51081.9921718417,53032.7454012796,55053.4869596898,55848.446098116,52142.7668508992,54028.1431069037,53827.6275235426,53597.3158384667,52392.8417875743,53901.1372035435,1991.5
54867.8919483906,51689.3835342528,52668.6950138852,52110.4128909568,51214.9742976961,52506.6411608253,51480.6817198172,53210.4752860838,53960.7449409309,50512.4190916733,54976.0133259352,53442.7913846638,51097.3689684699,53030.2345917844,53282.2076197085,52206.04819877,51856.7065291274,51986.7934372595,52193.3107016037,50481.0784183866,53529.8435419712,52309.5953071808,51143.2456767092,51646.3641278258,52765.4705249887,54954.1746115105,52098.7875554221,50971.7436262517,53082.8766170043,51648.3543641255,53181.1683687239,52070.894565157,50627.8574960878,51374.5885753399,53443.7103065519,54444.0979371699,53463.2262348316,49400.686766795,54439.0032983981,51999.1580360689,52712.9367806605,53814.978858441,53241.2588961136,52159.5042864649,52532.7654913576,53759.0374567223,50067.223001346,52512.9285876686,51345.6654310874,50241.8256314968,52219.8715818876,55010.7409705433,51783.8850627054,54119.1384701447,50635.1700441409,52910.6397569612,50486.456876548,51051.8305398923,52784.112292746,51102.5542650059,52857.4397429226,52671.7672083602,50905.0297068898,53977.2816300181,49441.3485094994,55305.0003433532,52184.546194804,52150.5098863508,52946.4515803619,52914.2666931189,53002.2220292747,53277.3857291147,54918.514326162,54857.4678108864,51285.6876233246,51803.5360155476,53008.6699783634,53991.37598139,51589.4235551234,54374.8320617666,49579.4405081904,49511.1741901969,49288.313098758,53402.4224206159,51028.8337773758,52305.991704648,53740.6689082172,52507.376283486,51660.7753876128,51871.0025150198,50049.6351726751,51708.0289235136,53986.944006744,54853.4667941739,51137.5257172332,53053.3826054796,52967.8861828612,52421.624910511,51674.7094120072,52838.5885729438,1992
52912.6305485749,50097.6546786232,50753.9206537882,50410.7630395277,49681.305212793,50749.2353393813,49682.5596228108,51453.0321139606,52019.0998955267,48735.0593521754,53143.1004764598,51761.8573598397,49573.018202441,51224.9352937715,51735.0059491107,50456.7143222314,50233.8285816135,50375.5474985141,50500.7112639645,48991.3967772359,51589.8662234374,50456.4997199564,49404.8616840744,49760.8605616062,50960.9999444169,53147.1823761083,50554.707039196,49029.8503121998,51207.3759981195,49969.8309271111,51408.2260797335,50456.5895299627,49002.2134373426,49880.2619957667,51733.3196101164,52701.5976805916,51683.3328588227,47794.0836797164,52568.4885673711,50158.4307463034,51088.1728307747,51975.8541723141,51348.7882448267,50663.8709571325,50805.9226125713,51891.078339306,48452.0360071439,50963.3226431966,49848.0624649226,48760.0357900647,50553.6948150446,53205.9020606181,50059.2061814538,52235.7806177103,49209.2255433628,51315.4090915918,48920.8784234278,49080.3332702061,51027.5761830549,49581.709751777,51048.0866834818,50718.5500370124,49297.3502812151,52170.7044089413,47953.0529641603,53683.942187162,50540.2182819145,50338.6877977307,51353.9699396578,51025.2986827896,51103.667756768,51615.4011761249,52945.5976916656,52940.0335888807,49636.8686330272,50237.9188669832,51447.3682214683,52395.3174953633,49852.6843933849,52650.4424020333,47868.4768756504,48111.2628583497,47723.3061270935,51476.3030232667,49302.7313544898,50629.1145603364,51958.3571271597,50775.1798722428,50132.5220013095,50449.4803018425,48465.3453305525,49621.9172728955,52252.3126512213,53124.3420505861,49497.8335414564,51359.3265021758,51549.8617007137,50772.269230231,50195.6074670826,51171.189160223,1992.5
51377.2280932019,48697.3469928522,49266.6818216343,48841.8845585238,48256.8571310236,49529.1126658014,48158.8865939345,50072.3817459098,50380.3591494522,47268.311141696,51483.3079331786,50323.4364436701,48354.6403130131,49760.2193284463,50400.2594891733,49065.8016630946,49019.5001193518,49038.5996398277,49071.5207753287,47932.8817836239,49935.541125987,48857.0043941857,48032.8643057057,48328.8240046278,49606.8399591727,51595.5942354551,49316.6046571159,47454.6811816933,49642.2802339688,48751.9668774471,49922.5254604682,48988.8219190912,47663.4072435789,48708.4292965146,50437.2030354258,51193.5327358796,50184.6248751285,46406.8274762643,51003.9144698742,48556.1696041213,49631.6152045021,50418.1044556207,49817.8633351093,49276.9693765338,49446.0199316456,50281.086104231,46997.5166467107,49533.0707447241,48648.2829826471,47746.5874763525,49090.8907567638,51442.9303282822,48653.7553478387,50683.4243135276,48035.9744936619,50149.4654945411,47713.5927249459,47565.292936166,49748.6792635346,48283.4469715951,49601.8426546325,48953.7301307777,48169.8955270797,50457.8246180185,46793.1849670474,52330.0159972993,49338.0838965252,48703.0674419563,49972.9905992306,49508.3049773649,49726.2300914714,50116.5911696766,51263.4206494241,51365.524298217,48113.7891736012,49065.7960374318,50057.6997858445,51099.4343930803,48364.6274527239,51158.9026646125,46479.6085718917,46962.8044096905,46565.1205855697,49868.545220323,47871.867492236,49169.9459219116,50418.234551894,49430.5689984779,48917.9994361288,49171.2873333431,47245.8236240577,47908.8696704566,50805.5051705802,51731.7986684288,48145.9671172728,49927.0867275375,50447.8976814053,49269.2673295519,49058.5390205802,49711.8240015782,1993
49472.6710236876,47011.7816939191,47480.7035584359,46956.0165041212,46524.1553530604,47959.3292528233,46305.3832999454,48247.6239403413,48508.6196019107,45486.3204629399,49304.6950703877,48463.2697885257,46726.0451177933,47884.1438497922,48748.518155709,47212.8586531181,47435.3543844572,47396.0671793862,47454.9434497048,46455.1413138041,47846.985211341,46952.260116511,46279.5412010597,46547.3918790006,47823.9387849131,49669.1465353971,47653.5434420674,45541.5061017133,47812.248492927,46988.061183326,47943.0251256084,47136.5726797285,45884.7732557297,47001.282654759,48622.0421159029,49328.9342503172,48352.4794826879,44843.2493858536,49001.8935954725,46675.2187655919,47893.8738296178,48503.0258670212,47885.4245768058,47632.5893926711,47621.5584182198,48346.3491334109,45266.6696733177,47814.9656618606,47114.7723694431,46345.049386234,47449.1221492379,49262.1850869687,46848.1108657117,48694.8512707392,46398.6641170946,48392.3536355611,46098.4964293512,45868.0435603007,48010.4543776941,46790.5460433213,47838.0012699885,46915.2181777613,46479.650017386,48434.1629995474,45157.2629366935,50422.1914439323,47752.7276857809,46644.9744608382,48312.9035685322,47649.2855898627,47961.4169225791,48282.5027845439,49200.6490872489,49411.7746817231,46250.2986663455,47533.386495573,48150.3606936498,49474.5045429611,46538.1395724124,49154.6226162645,44789.9025478132,45460.0524729781,45081.7876782163,47893.2210481628,46204.0112040056,47542.3109067924,48522.8586685251,47677.9652638401,47193.2204927421,47434.1658957891,45743.281032161,45980.7545614555,49034.2869275811,49939.3376043128,46471.2133448483,48075.5363032425,48800.4981255154,47648.4445956995,47539.3312792037,47940.7244903054,1993.5
48200.1589872811,45760.9762985389,46456.202389657,45702.0105748529,45453.9321379032,47200.1299941372,45043.5494845899,47175.0098995456,47236.9293333332,44393.4897992089,47647.1474424416,47239.3427989158,45640.6696342897,46535.1991973476,47793.8724555226,45825.8275925108,46401.7019083382,46380.3541525474,46428.8411161711,45678.7598017999,46532.0516327293,45787.5036413989,45108.3632876051,45329.0625771251,47121.4271218191,48430.1356420057,46759.0998540624,44391.2234846718,46638.7717501944,45870.1206841668,46546.4529757428,45696.4675101322,44727.8816635231,46007.2152752393,47408.6343338446,48015.5633420136,47128.1984030335,43934.4708054446,47678.2449979869,45502.037274349,46731.6647573872,47392.2062052834,46655.0249542957,46706.0061956118,46548.7707781704,47049.8487138031,43956.6096976484,46710.5832124435,46147.0696554695,45421.9886175987,46179.8570285476,47778.0800288309,45679.0147952866,47267.2401131954,45567.6963589463,47120.823809359,45226.9090825439,44838.3115522886,46919.5311365993,46070.3258904468,46564.2734844631,45595.6572971392,45431.1180705164,47112.7516354109,44033.8325730975,49028.8931222379,46626.6095741351,45219.7693435455,47061.2160257461,46386.7138338624,46919.4907837624,47035.875159189,47769.910818295,48106.0143945094,44761.423692632,46621.6830708552,46808.4887338522,48513.2762593466,45183.2296836554,47792.5370961631,43695.4560595731,44630.1487842601,44278.3272598681,46603.3917456278,45109.2210305913,46419.7185269301,47187.0289705891,46543.6213094859,45977.4021916348,46092.6119588999,44757.4103027762,44730.2882301432,47938.6314804056,48689.2997934607,45417.6918607559,46700.8521951635,47841.0643106386,46699.3330869055,46484.3141166301,46872.5381427841,1994
46128.7100992998,43695.8708390653,44711.8260016437,43941.2839012691,43694.09445443,45456.7162408636,43105.6136159142,45255.1548821834,45413.5347775193,42632.6569201602,45397.6791120274,45553.8404050719,43930.655811116,44586.3097043583,45895.5740846632,43986.7472823504,44630.7948363535,44520.7593643821,44557.7138052116,44248.5307940431,44540.4133556841,44032.8671802682,43279.0831404123,43775.8136196134,45808.3436772074,46361.0983709981,45138.8360049489,42604.1032574115,44853.1045709913,44093.731901447,44440.4377076965,43798.9821388728,42890.5569656479,44282.7531787508,45577.3297723542,45937.3640299996,45212.2888967144,42303.8817653226,45626.7320140125,43661.8196349944,44826.5414904855,45453.5366854153,44875.9378620427,45193.5070831372,44849.4604044916,45076.8913482184,42053.0878674262,44980.1702008688,44402.2384656875,43634.9032453737,44303.8421769314,45603.0312528494,43819.5981675084,45239.3729266691,43923.5027147532,45127.5254906472,43400.1992794976,43232.3850908629,45277.2401935639,44741.5959222181,44697.1882480631,43799.0225542866,43700.6423818009,45275.7416653541,42410.0778804676,46762.3275333124,44816.0296756005,43266.480887606,45168.924139914,44437.6424753404,45195.1057415488,45167.2676831725,45562.439452553,46144.1998856812,42750.0662674325,45189.9810397004,44777.822991644,46720.3785918022,43356.2315267582,45619.9342755622,41973.8847259293,43198.1266876195,42782.8439355667,44597.0961150048,43405.4202724973,44489.8413410433,45043.9151392353,44867.7477358175,44056.7506902542,44138.3354415104,43244.3255597742,43040.2818797759,46048.9014512836,46563.4997770844,43708.3017826471,44615.3106995205,46081.7785402769,45263.0239009427,44946.0638199824,44964.5129680598,1994.5
