"run","max_gradient","converged","K","Linf_mm","CV_old","L50_mm","L95_mm","R0_thousands"
1,1.54737e-05,TRUE,0.0987807,1003.78,0.100619,395,405,9984.20876154019
2,0.000485902,TRUE,0.0975215,1012.19,0.0921949,395,405,9871.62737708747
3,0.00188072,TRUE,0.0958066,1023.42,0.0924241,395,405,9830.94162991904
4,0.000172393,TRUE,0.0973886,1012.43,0.100347,395,405,9586.68082458403
5,0.000183218,TRUE,0.0983565,1006.98,0.0970716,395,405,9593.01012236676
6,0.000332099,TRUE,0.0992917,999.539,0.100696,395,405,9581.12216187379
7,0.000387716,TRUE,0.0973393,1012.03,0.0909896,395,405,9928.75131111791
8,0.000177855,TRUE,0.101949,984.808,0.0956943,395,405,10127.5022779095
9,1.38375e-05,TRUE,0.0984489,1006.1,0.091719,395,405,9988.20324388802
10,0.000686939,TRUE,0.0992341,1001.22,0.0930509,395,405,10042.285431893
11,9.00164e-05,TRUE,0.100297,996.397,0.097941,395,405,9748.80507430798
12,0.00158233,TRUE,0.0975844,1009.44,0.0906772,395,405,10074.5729618905
13,8.81905e-05,TRUE,0.0990834,1003.86,0.0944144,395,405,9805.21827515802
14,2.67986e-05,TRUE,0.0986767,1005.74,0.0906555,395,405,9943.35730832304
15,4.22398e-05,TRUE,0.0993275,1000.81,0.10157,395,405,9877.65090677727
16,3.29331e-05,TRUE,0.10013,998.192,0.100365,395,405,9830.94162991904
17,0.000274728,TRUE,0.0973901,1014.77,0.0944048,395,405,9909.80549512764
18,5.68642e-06,TRUE,0.0984876,1006.1,0.0922508,395,405,9957.08861383016
19,0.00351784,TRUE,0.0972828,1016.44,0.0942404,395,405,9918.52996216582
20,0.000385754,TRUE,0.0968828,1019.92,0.0981934,395,405,9472.61231711425
21,5.89598e-05,TRUE,0.096996,1014.44,0.103404,395,405,9656.34025661655
22,0.00135678,TRUE,0.0968873,1017.24,0.0969029,395,405,9891.88497014901
23,5.2722e-05,TRUE,0.0996857,997.941,0.0955726,395,405,10123.654558157
24,0.000336047,TRUE,0.0968346,1016.54,0.0925728,395,405,9550.22506296786
25,0.000269334,TRUE,0.0986677,1004.08,0.10205,395,405,10076.8903801646
26,0.000397642,TRUE,0.0975806,1012.27,0.0947692,395,405,9670.64222103943
27,7.96135e-05,TRUE,0.0992169,1003.05,0.094148,395,405,10181.1169080029
28,0.00261034,TRUE,0.0980276,1008.11,0.104215,395,405,9815.12654845165
29,7.09251e-05,TRUE,0.0976323,1009.61,0.0962098,395,405,9893.96248412409
30,0.000106329,TRUE,0.0983109,1008,0.0918138,395,405,9728.2567816735
31,5.54498e-05,TRUE,0.0973739,1010.86,0.0996936,395,405,9505.53937726471
32,0.000364342,TRUE,0.0992288,1001.26,0.0949874,395,405,10067.6239042474
33,2.52703e-05,TRUE,0.0976651,1009.79,0.0937085,395,405,9473.74909879784
34,0.000226762,TRUE,0.0996342,999.613,0.0923277,395,405,9999.89628077607
35,0.000328988,TRUE,0.0981398,1008.51,0.0929515,395,405,9399.85929942693
36,7.22553e-05,TRUE,0.0992199,1003.45,0.100856,395,405,9640.70964961092
37,0.00348119,TRUE,0.0978392,1009.25,0.0983986,395,405,9692.42566321934
38,0.000115063,TRUE,0.0978121,1009.79,0.0935523,395,405,9715.2296477151
39,0.000579206,TRUE,0.0977147,1007.43,0.103732,395,405,9893.56673353978
40,0.000635377,TRUE,0.0977567,1011.33,0.0952268,395,405,9799.82688787409
41,0.000123324,TRUE,0.0982516,1008.78,0.0910001,395,405,10269.9763490121
42,0.000113333,TRUE,0.0986859,1006.04,0.0997935,395,405,10133.4792672919
43,5.57498e-05,TRUE,0.0978563,1015.09,0.110418,395,405,9968.94460219458
