"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
301934.273041825,298478.355523123,295544.708527151,290288.980307098,293879.525879258,293116.103823849,288686.003514791,298332.946590377,301488.172815359,296931.272511389,294390.943993762,293687.24085265,297896.166276278,289244.550648856,295911.65757188,294001.605199517,295117.216990548,296138.217461599,293080.594677097,291212.781217196,298892.31863603,296500.289184925,297777.313831485,284233.399578687,305495.330608837,282316.27917522,296415.623694532,297168.543524488,271832.936548486,301396.901389124,288993.635004566,296512.161261337,301045.732757331,295087.998173489,284461.453995574,283872.725490574,290140.549663072,291408.109979766,284785.247087036,296695.670516455,302786.508568197,298772.230431949,293809.721696729,288548.412036563,288694.381347553,289915.044473559,294178.409943954,294492.081581416,291965.111481369,299142.147836321,294736.288009597,287890.099318253,291673.139246663,294896.006745319,294088.484052695,290003.50908754,295054.567513845,285879.012110858,309154.37829081,284416.488498804,298312.825596476,297783.424232229,287114.971597658,289314.807863748,291978.833080931,304817.081501208,289592.561724078,298040.87668523,307573.078503311,285349.315453929,295463.254197659,300201.536972338,292772.090826563,292553.65326773,300740.192088099,297141.790304424,293525.155105991,287466.480451271,289891.091128058,298003.19277685,296519.141663674,297365.672002921,293217.414796004,294498.729953549,290872.934610633,303891.089086558,298371.907756682,294680.995970138,294272.052586765,292864.022527292,300661.521623683,313449.817414347,287274.889561617,296561.413537929,289038.081574519,292566.309668968,300225.048720607,288919.981908818,297863.676692416,289132.887910213,1990
298880.175431705,295042.128032254,292667.152597795,287603.221766823,291031.541149345,289826.156383735,285997.382431625,295326.126594154,298270.106696211,294142.877574279,291759.904315349,291122.950373039,295180.30185291,286064.098519054,292845.993492711,290942.148938407,292098.767214006,293171.472790458,290435.071029561,288261.973757375,295859.344615612,293459.649796266,294567.870705341,281616.831807116,302569.902164783,279474.031118002,293561.88471158,294543.177678554,269637.854753876,298440.031373918,286390.88846067,293793.624259238,297772.4765534,292051.694778736,282692.326055173,281157.401441612,287201.586614812,288570.477947181,281575.72608029,293862.683823801,300029.672248112,296145.485244627,290771.190596191,285966.990000741,285618.472664681,287083.821444253,291391.401495618,291504.303347614,288857.45679502,296308.048401686,291807.157991211,285177.374138239,288509.01726016,292075.289770758,291403.159421449,287097.107751969,292625.456943046,283276.81457558,306143.488301154,281993.248983714,295344.162528375,295004.516029582,284271.647345202,286317.676905047,289056.710178421,301508.670919002,286677.996602955,295082.50563802,304236.484936439,282309.434705314,292491.189268524,296753.250786646,290164.485307354,289207.418257955,297894.314323446,294257.00883061,290685.880146721,284568.519129881,287415.508179944,294989.421578412,293362.741611615,294412.432840729,290259.48128621,291403.86194308,288530.646663854,301031.430713013,295965.804940316,292210.507859873,291438.338634118,289901.961022174,297847.455215085,310302.374643978,284659.99289547,293912.182924883,285965.387834982,289676.344749545,297251.279864992,286406.890510157,294779.097158956,286534.293401936,1990.5
294474.915508385,290766.74789265,288450.930333436,283475.355283155,286814.759688059,285479.861387646,282351.931029015,290492.861371857,293705.568297682,290072.897145259,287552.092588119,287364.66971887,291399.865937792,282361.282265758,288683.127350712,286698.506026792,288054.247063397,289061.453832904,286678.587581162,284228.597622771,291790.744008133,289646.327948447,290034.635237463,277748.529102043,298133.463717267,275435.875710077,289446.068434535,290740.153103485,266497.828678356,294283.245675027,282685.328832632,290164.625916003,293411.51063254,287581.221339549,279592.792891137,277265.544598143,283327.25545053,284575.631733139,277821.44925231,289830.62336065,295594.642238783,292271.992517887,286496.496477898,282276.481654114,281418.644796148,283006.573579669,287196.661530617,287309.311132972,285223.154461503,292069.002928923,287757.765234318,281481.800942458,284494.47079697,287995.278163191,287216.80114452,283277.932598247,288909.773299097,279058.489874962,301802.237683609,278311.679440077,291104.997499595,290983.201314787,280293.330752207,282195.109988592,284690.596705732,297503.193928262,282715.575640398,290717.474245387,299434.428683732,278197.765975791,288580.746884949,292046.960777477,286048.731441164,284985.753869053,293531.851254586,290081.031151881,286457.775295817,280548.268974664,283821.643112139,290874.992957502,289161.78327618,290203.218782441,286055.935882112,287157.542216011,284827.127722087,296897.334142357,291879.594071921,288347.727248586,287099.639386949,285829.356156042,293430.466245779,305639.978783963,280932.923919261,289912.189803952,281860.408016498,285528.769245762,293131.131822562,282827.389298589,290657.581073598,282514.723176255,1991
287640.220131515,284477.591834357,282331.849930331,277085.572485807,280668.121660092,278783.841637278,276487.994510616,284164.546798541,287390.09094462,284326.023034634,281237.302981167,281283.801809506,285840.307494055,276096.014362218,281992.394397934,279945.000926341,281487.164999642,282896.18784534,281005.298624855,277823.157269804,285432.585124846,283889.990354878,283333.040937154,271846.178484246,291613.964786548,269401.572338175,283757.639152556,284396.026628989,261326.004956394,288367.547885834,276394.525953148,284213.365595394,286777.324693752,281815.899892257,273955.794112554,271240.294081585,277264.323138116,278688.333686675,272241.779047968,283483.517648706,289150.272905174,286416.747226132,280062.925395103,276269.785281013,275693.498030759,277059.802946604,280608.231904987,281264.559562958,278994.906648545,285764.682224538,281853.743262904,275236.714870713,278013.988585139,281907.150944384,281032.640243412,277484.892456333,282951.10290878,272777.454994564,294954.083849094,272398.109387182,285113.677460435,284526.695207224,274325.357573221,275980.271101832,278313.515571257,290839.05617895,276275.909704213,284514.189999272,292501.186538569,271911.354298507,282715.955270567,284678.029464861,279847.171229932,278768.369249173,286940.176892614,283814.273066476,280190.884225665,274177.262554055,278126.363121872,284539.767442395,282253.236312752,283905.824805987,279823.49882859,280794.505127855,278409.19797019,290684.017347587,285426.200945363,282580.816576169,281322.083049667,279492.929708575,286793.727290587,299192.002351707,274918.390465744,283621.921691592,275695.042189594,278977.200149082,287374.732783406,277265.22155195,284340.343741648,276722.480537006,1991.5
280322.179253173,276445.718032453,275157.083169912,270173.187775246,273227.749949133,271825.281673451,269428.457990761,277055.163251781,280249.938424348,277319.993551665,273807.552899797,274208.457647656,278933.675357192,268511.791535959,274888.234587901,272290.517548838,274024.8505381,275975.506931561,274198.565537814,271178.487922279,278329.300722905,276694.329592782,275837.499320555,264733.29946365,284139.948714112,262681.654073914,276225.271546064,278097.61429563,254938.085750741,281346.290506853,269289.271239224,277067.008391598,279136.627306618,274560.975753584,267376.374079792,264008.330790852,270160.306587518,271686.485353191,264961.180615928,276080.754936301,281511.183802049,279336.897516891,272741.298515247,269743.791644753,268365.294231858,269954.154787539,273572.565977135,274067.654083768,271801.373257494,278169.015422933,274809.155935078,268497.464086492,270720.079828046,274707.430376116,274137.773955245,270398.354211016,276150.457861646,265806.222550286,287481.805607296,265836.205189244,277206.552818693,277159.642538112,266989.577849957,268810.272895311,270787.898241291,283477.017319292,269139.802125714,277876.224910784,284741.811411128,264773.668054983,275580.664065939,276927.353252421,272524.614728873,271748.431407949,279306.967351215,277045.491889949,273510.917169565,266400.04683599,271160.962871624,276883.89454255,274411.134484748,276559.567857759,272858.910122963,273096.56206688,270639.463749246,283374.784087589,277799.297571986,275787.386920195,274904.878582089,272523.688656914,279140.089029054,290701.991891905,267956.833990787,276222.400310468,268888.248455906,271848.261190302,280571.136275303,270977.053087277,277183.58486676,269972.388026374,1992
270819.129506155,267394.449868214,266553.203322939,261811.397786292,264014.239340086,262640.588881561,260723.973582213,267716.12048205,270901.469625069,268503.647752339,264955.633805006,265536.037139011,270093.907133937,259839.994599236,265756.476629065,262920.109250267,264622.265472129,267369.19239018,266058.211396462,262096.985411768,269559.273839448,268151.367087266,267053.151758756,256227.535849909,274882.390700956,254293.546358174,267217.052529728,268614.727375798,246713.985897069,272098.581620318,260475.798438735,267800.532394353,269619.802998516,265972.697830002,258853.009457653,255626.375131021,261447.810802315,262634.040315891,256469.32847571,267040.546249391,272437.342678008,270187.446270958,263740.630607354,261164.382706055,259794.445473025,261811.040143091,264887.538362064,265094.91759896,263384.89973426,269188.877414644,266371.683197952,260068.802376107,261873.639342772,265840.156439774,265636.544292309,261814.682035591,266891.468541318,257373.050877639,278155.709968511,257641.113570503,268090.676998531,268428.01174068,258683.549230565,260335.882941444,262535.162233712,274143.913149284,259966.634572658,269328.749410823,275281.183429122,255956.697217464,267015.177576396,267693.452969438,263869.560562577,262486.290704247,270168.65117485,268313.177468383,263813.971587341,257713.011607726,262477.666181191,268400.751935003,264934.54676708,267237.368873215,264024.255889729,264224.569555828,261770.463872345,273788.773106329,268763.469422025,267564.5171179,266639.75050705,263319.376129548,270025.295150913,281228.292450745,259881.441032456,267549.43514649,260545.915180088,262943.713021662,271836.376539907,263407.625371182,268520.902411579,261134.715623633,1992.5
261575.48451725,257151.157697935,257397.653363411,253177.614523885,255281.476036441,253614.216661394,251764.47784803,258614.705597764,261548.251687054,259575.628715836,255831.613756889,256427.427763359,261290.336929351,250932.075341475,256226.676570609,253807.132417971,255677.753399566,257987.43909963,256643.278638995,253295.948716241,260084.749562271,259544.943366017,257845.791476499,247248.327136599,265225.153477939,246003.261418528,257876.582475319,259815.029067924,239180.114331778,263017.149666594,251407.83220645,258772.833012121,260267.154362557,257168.161820734,250472.317874676,246678.133852887,251883.23819261,253384.528659426,248486.119045174,257666.285702347,262818.659294358,260582.087269856,254391.168218109,252284.49892097,250643.260589053,253420.894613964,255808.430702862,255487.884118515,254870.439474328,259238.014516506,257089.078148298,251276.529843343,253023.28946538,256244.924607325,256104.667762224,253017.701668119,257621.392875285,248689.617473491,267949.477274972,249090.713843725,258421.040841421,259606.602646311,249893.523286071,251097.619649457,252851.038541924,264882.666810199,250954.178674369,260525.598224711,265188.292361775,247114.90476418,258358.899040523,258352.5099292,254392.643720267,253549.562897915,260969.189046194,259478.203996262,254305.036695614,249051.789655933,253193.253149167,259212.28204103,255556.595510479,258078.907125441,255580.470794897,254391.318534769,252327.498852037,264277.312671459,259653.446340316,258419.284234706,257758.982119065,254448.435858428,260447.795262169,270978.312829653,250283.710197358,258332.062766516,251565.493413204,253491.545333817,262913.764448632,254826.239964249,259158.011054009,252378.488851387,1993
250744.684025701,246710.304290013,246753.19300762,242759.279351308,244713.441621411,243467.572809522,241228.469984589,247847.36106471,250607.009655276,248759.590109065,245585.46740531,245921.031352211,250727.786665121,240871.658102781,245793.760398004,243021.562209337,244848.081103408,247654.114343999,246157.172388615,243550.893285304,249307.472029346,248955.516112733,247360.79275359,237073.121724509,254113.193387398,235430.041920039,246999.590020611,249500.611998445,230491.054549386,252295.931916311,241056.638197791,248606.775736943,249779.801452919,246087.887770532,241113.112295259,236918.79840661,241254.906652112,243634.443635597,237907.5609851,247434.985026983,252584.674600236,250026.173014437,243901.175551366,242123.181443497,240388.647265286,242917.980051563,245951.170685609,245491.211854769,244766.645417733,248440.513736188,246399.18684142,241089.92868176,242700.238493932,245134.048065956,246111.35394813,242745.873413162,248041.647485812,238602.583036518,256430.668556663,239166.842779604,247230.681677136,249514.858972033,239593.067775804,240588.80723569,242675.477467625,254613.153265768,240102.106887708,250234.127845948,253945.738154662,235987.220484696,247223.086121961,246854.842640366,244122.014505433,243318.314401953,250302.811172604,249153.593400314,243737.507465006,239093.598470486,242764.101857117,248918.725704201,244771.704874202,246329.688250022,245464.040234088,243324.684967974,242025.623756224,253742.622934431,248972.63569685,247340.728705279,246938.243801059,244089.507508122,250060.965470479,259015.74424863,239804.869267336,247998.411074577,241752.329877732,242697.389882121,252917.091107276,243852.651431429,248076.55321539,242155.423878166,1993.5
239299.478202035,235623.660961626,235812.300669489,231795.204980391,233933.382863968,232866.713798952,230430.722447019,237080.209688844,239493.172498865,237556.978869724,234313.086731186,235042.18571027,239744.276457222,230817.334352212,234433.426716147,231659.218996582,233415.765101224,236541.363657369,235058.259928106,232761.286466266,237903.11881883,237663.959838959,235943.484773756,226200.021600298,242176.919135387,224492.982054509,235565.045309065,238847.188357834,220406.286689973,241406.448425513,230790.778512342,237687.040928727,238510.835609986,235153.393921134,231132.533665703,226256.429303247,230454.586382696,232665.99294676,227358.90921533,236043.168962661,240879.293579626,237941.246465503,233189.859692509,231915.728260131,229525.493385958,232152.705504343,234697.203799926,233870.258344229,234625.12905377,236550.64439144,235312.978256107,230847.186861361,232036.212233901,234112.12232299,234973.279647896,232718.01567001,237218.513933283,228274.765678972,244771.448053552,228592.597232179,236480.780182434,238254.997361293,229171.713314418,229368.923723125,231802.923923681,243862.732440003,229448.577363322,239363.110425038,242124.03549088,225839.683393397,235850.707304968,234911.896648618,233470.908699538,232104.783141715,239135.193186454,239044.482738049,232604.196928808,228274.397371755,232148.174710633,237360.555477693,232539.048749183,234774.611931451,234769.228384158,232609.162931084,230792.693641714,242200.921359308,238017.132802994,236528.230723191,236018.634539469,233116.268521265,239248.761853547,247065.08235663,229181.435203559,236892.875350292,231213.924325722,231703.130001679,241895.66994884,232611.241531866,236177.09752929,231481.164737872,1994
226373.795221959,223283.180647722,223394.392103013,220030.815331527,222217.902950927,220088.905916839,218224.217555058,224451.867251721,226964.155374995,225062.843676778,221536.852186432,222703.100947228,226761.990789516,218905.380743724,221939.806467435,219306.352171258,221221.694506711,223489.117673003,223639.428770299,220585.787515319,226018.376373234,225152.20228668,223816.154132884,214186.462601705,228930.69737936,212121.705911595,223255.775349589,226688.142145633,210649.799736804,228722.610479606,218379.825793272,225251.169299735,225340.494249934,222338.293148755,219057.671941396,214451.724271672,218822.559105159,220014.373464481,215611.322854393,223671.354741964,228109.979505625,224895.552778709,220691.586617531,220208.673278075,217531.202532118,219914.849645346,221804.973004457,221525.051104646,222472.022043529,223970.908622013,223400.549048523,218953.197129402,220272.230979725,221903.753393654,222852.158270468,220543.585801777,224989.644922634,215981.011754378,232336.052829621,217292.948094647,224226.551784468,225555.488682523,216904.699295121,216662.195618024,218993.564415298,231107.2399922,217694.270269406,227466.934920306,229046.891988557,213471.194298085,223354.680693781,221780.477449701,221173.846745149,220079.354195457,226500.682333524,227014.619123573,219568.184211218,215712.250516243,219757.569077788,224482.668205595,220143.687874136,221402.170093838,222099.027684334,220645.921873352,218724.847659416,229319.10007001,225527.576767973,223879.434299902,223648.802285481,221025.980344541,226152.647836724,234196.50319382,216500.23995037,223722.625065472,219935.610672921,219559.972680198,229449.989897592,220449.325790693,223245.287607097,220402.833129846,1994.5
