"run","max_gradient","converged","K","Linf_mm","CV_old","L50_mm","L95_mm","R0_thousands"
1,0.000829306,TRUE,0.0946534,1008.52,0.219007,395,405,9916.44728956205
2,8.41275e-05,TRUE,0.0915133,1021.64,0.196827,395,405,9900.89068244947
3,0.00125172,TRUE,0.0900924,1032.92,0.20976,395,405,9617.31116583396
4,0.00035848,TRUE,0.0880497,1042.02,0.209248,395,405,9442.72610727303
5,0.00156177,TRUE,0.0945831,1006.85,0.185201,395,405,9800.80691956364
6,0.000270801,TRUE,0.09629,994.152,0.199178,395,405,9908.3191357831
7,0.00011328,TRUE,0.0931962,1010.05,0.193839,395,405,9651.70632552581
8,0.000482118,TRUE,0.0955406,989.483,0.20536,395,405,10271.2088201208
9,0.000517127,TRUE,0.0970346,987.996,0.211288,395,405,10220.3897598283
10,0.000115812,TRUE,0.0904832,1023.12,0.212665,395,405,9816.79526180151
11,8.57946e-06,TRUE,0.0896826,1043.47,0.185989,395,405,9426.9699147565
12,4.28837e-05,TRUE,0.0966426,996.615,0.215446,395,405,9676.73664518071
13,3.89894e-05,TRUE,0.0935903,1012.87,0.18594,395,405,9827.10831022931
14,0.000439,TRUE,0.0890657,1047.5,0.200071,395,405,9198.44751106344
15,0.000950732,TRUE,0.100619,972.467,0.212426,395,405,10089.8979568382
16,0.00178999,TRUE,0.0953463,995.033,0.191436,395,405,9998.59637875502
17,0.00011551,TRUE,0.0954668,995.849,0.192144,395,405,10055.5500013529
18,0.00274279,TRUE,0.0955138,998.649,0.202649,395,405,9911.88677280812
19,1.03087e-05,TRUE,0.0942853,1005.52,0.189455,395,405,9776.13997952453
20,0.00269165,TRUE,0.095897,996.353,0.191312,395,405,9834.77644489504
21,6.39131e-05,TRUE,0.0959928,993.392,0.196954,395,405,10120.0106984501
22,4.4139e-05,TRUE,0.0986397,983.64,0.206468,395,405,9968.64553834251
23,0.00133308,TRUE,0.0978207,990.03,0.200414,395,405,9976.12482687887
24,7.25414e-05,TRUE,0.0971652,987.222,0.193771,395,405,9622.40969174187
25,5.98085e-06,TRUE,0.0918749,1015.51,0.190296,395,405,10262.5846273799
26,0.000484224,TRUE,0.0906631,1023.35,0.17357,395,405,9413.68725365337
27,8.66804e-05,TRUE,0.0927454,1015.07,0.185596,395,405,9893.17099878519
28,0.000286335,TRUE,0.0987145,988.405,0.220382,395,405,9798.06307778194
29,0.00312981,TRUE,0.0922128,1009.46,0.190663,395,405,9156.78121342625
30,0.000505035,TRUE,0.0952315,998.608,0.207111,395,405,10083.8458338825
31,6.53758e-05,TRUE,0.0930884,1011.6,0.184608,395,405,9656.53338535297
32,2.35907e-06,TRUE,0.0937523,1017.65,0.196805,395,405,9615.964836516
33,0.000561977,TRUE,0.10002,971.04,0.220486,395,405,10350.0848838702
34,1.3927e-05,TRUE,0.0902022,1028.06,0.206347,395,405,9720.38008417348
35,3.88854e-05,TRUE,0.0961825,988.449,0.185766,395,405,9699.21273638206
36,5.83716e-05,TRUE,0.0936192,1007.29,0.191116,395,405,9506.29985083344
37,0.00119003,TRUE,0.0940156,999.638,0.208661,395,405,9788.2699121031
38,2.69606e-05,TRUE,0.0966557,994.389,0.193547,395,405,9811.10317141543
39,0.000249114,TRUE,0.0962873,996.746,0.197349,395,405,9517.99979363971
40,0.000119889,TRUE,0.0976099,987.669,0.19765,395,405,10064.5034245364
41,1.4247e-05,TRUE,0.094708,1004.5,0.195953,395,405,10120.8203316909
42,0.000139061,TRUE,0.0920952,1021.08,0.184812,395,405,9839.69506266945
43,0.00101162,TRUE,0.0996105,969.733,0.197386,395,405,10238.291101013
44,0.0002887,TRUE,0.0920845,1025.15,0.199926,395,405,9296.56261938857
45,0.000391894,TRUE,0.0934463,1014.94,0.188471,395,405,9539.24861681167
46,8.78762e-05,TRUE,0.0916113,1014.95,0.191244,395,405,9730.49453806541
47,0.000844292,TRUE,0.0923464,1012.17,0.196661,395,405,9826.32217301039
48,0.000102165,TRUE,0.0932931,1007.02,0.201759,395,405,9901.583769055
49,0.000910659,TRUE,0.0932856,1004.19,0.204516,395,405,9840.28546208502
50,5.63045e-05,TRUE,0.0916525,1014.7,0.190816,395,405,10070.2418267777
51,3.62307e-05,TRUE,0.093589,1003.45,0.187045,395,405,10019.2147168922
52,9.12549e-05,TRUE,0.0965433,987.408,0.198616,395,405,9847.6684444539
53,0.000162902,TRUE,0.0940865,1006.82,0.203669,395,405,9727.57582753245
54,1.416e-06,TRUE,0.094713,1009.72,0.19716,395,405,9668.51491376318
55,9.42792e-05,TRUE,0.0916514,1016.58,0.205218,395,405,9763.04872505136
56,0.000480487,TRUE,0.0919591,1019.75,0.196958,395,405,9581.12216187379
57,3.16233e-05,TRUE,0.0923071,1005.45,0.190198,395,405,10071.8531943759
58,0.00285667,TRUE,0.0971469,993.042,0.206048,395,405,9529.04707958742
59,2.8287e-05,TRUE,0.0913225,1026.33,0.200008,395,405,10123.5533221175
60,6.05501e-05,TRUE,0.0930138,1010.05,0.208755,395,405,9440.64893602664
61,0.000198792,TRUE,0.0882253,1043.86,0.19458,395,405,9701.44381187528
62,0.000122542,TRUE,0.0939952,1005.19,0.200792,395,405,9953.50470707109
63,0.000170034,TRUE,0.0875675,1051.1,0.1987,395,405,9201.29947182296
64,4.56306e-05,TRUE,0.095416,995.913,0.205889,395,405,9750.46251204882
65,0.000114021,TRUE,0.0968689,986.303,0.202783,395,405,10006.6985227471
66,4.19312e-05,TRUE,0.09784,988.541,0.203329,395,405,10295.168639021
67,0.000674638,TRUE,0.0961361,1000.16,0.196776,395,405,9609.62039362036
68,5.08981e-05,TRUE,0.0953297,1000.63,0.19496,395,405,9997.0967017768
69,0.00140315,TRUE,0.0950675,1001.23,0.208566,395,405,10285.495727481
70,0.00246101,TRUE,0.0985719,986.336,0.200476,395,405,9585.33878321367
71,6.96591e-05,TRUE,0.0888906,1039.79,0.205762,395,405,9543.25594271026
72,0.00329162,TRUE,0.096397,994.971,0.216755,395,405,10060.4784282195
73,0.000226727,TRUE,0.0957278,991.284,0.207992,395,405,9931.92901994377
74,5.50999e-05,TRUE,0.0993489,973.427,0.188137,395,405,10170.2289390135
75,0.00505959,TRUE,0.097149,994.027,0.202738,395,405,10009.7009826504
76,0.000276851,TRUE,0.0906149,1033.09,0.199861,395,405,9566.18726355076
77,0.00124114,TRUE,0.0919708,1029.66,0.190656,395,405,9468.53996943539
78,0.000450779,TRUE,0.0911236,1026.63,0.212586,395,405,9302.70037595423
79,0.00727917,TRUE,0.0948785,1006.49,0.175628,395,405,9622.98705364407
80,1.52471e-05,TRUE,0.093312,1009.43,0.182265,395,405,9988.00348182076
81,4.69767e-05,TRUE,0.0896814,1034.19,0.193561,395,405,9735.84778206849
82,0.000722057,TRUE,0.0901114,1043.07,0.189543,395,405,9459.92751732325
83,0.000220258,TRUE,0.0932961,1008.86,0.195147,395,405,9838.31760178518
84,0.00240684,TRUE,0.0931955,1017.98,0.189313,395,405,9652.57501818569
85,0.000119452,TRUE,0.0939464,1007.61,0.202352,395,405,9646.59227651598
86,0.000502646,TRUE,0.0946914,999.059,0.2044,395,405,10280.9711048509
87,0.00126687,TRUE,0.0908165,1019.01,0.196899,395,405,10020.0162861319
88,4.31291e-06,TRUE,0.0911638,1022,0.192219,395,405,9704.74286357832
89,0.000763493,TRUE,0.0910385,1026.28,0.194266,395,405,9649.29370053512
90,0.000513721,TRUE,0.0920136,1014.16,0.196863,395,405,9807.0814436257
91,0.00316122,TRUE,0.0953428,998.568,0.18595,395,405,10139.4597841386
92,0.00207966,TRUE,0.0959911,998.115,0.18781,395,405,10607.5363087234
93,0.000252144,TRUE,0.0927641,1014.4,0.209162,395,405,9447.54312582306
94,5.25295e-06,TRUE,0.0923823,1026.67,0.198821,395,405,9558.91972324557
95,0.00101799,TRUE,0.0948472,996.637,0.193558,395,405,9801.78704926127
96,9.76439e-05,TRUE,0.0918306,1024.73,0.208869,395,405,9501.26284683645
97,6.94586e-05,TRUE,0.0925902,1017.14,0.193422,395,405,9934.21362633802
98,0.000553444,TRUE,0.0931449,1008.69,0.202982,395,405,9637.23961878008
99,0.000793197,TRUE,0.0913954,1022.6,0.199892,395,405,9805.31632783103
100,4.54382e-05,TRUE,0.090699,1025.59,0.182526,395,405,9567.33527490168
