"run","max_gradient","converged","K","Linf_mm","CV_old","L50_mm","L95_mm","R0_thousands"
1,0.000270827,TRUE,0.098901,1001.89,0.0706112,398.658,449.449,12342.4522329757
2,0.000837453,TRUE,0.102736,974.325,0.067833,397.945,447.7264,11158.6470889744
3,0.000350817,TRUE,0.100201,989.911,0.0813881,400.817,455.8067,11332.0469038071
4,0.000855074,TRUE,0.100665,989.92,0.0682361,401.697,455.5049,10976.8084125463
5,2.56616e-05,TRUE,0.0963735,1015.64,0.0689093,399.395,449.5918,11234.7844628682
6,0.00424759,TRUE,0.0966368,1013.75,0.0617066,400.535,451.0786,10887.6021125911
7,8.31917e-05,TRUE,0.0960535,1021.24,0.0683239,399.365,447.4074,10784.3361085256
8,0.000125722,TRUE,0.097809,1010.12,0.0726283,400.495,451.5882,8670.65834004797
9,0.000752782,TRUE,0.0933067,1037.2,0.0387592,400.147,451.3521,9207.46640816205
10,0.000169888,TRUE,0.094912,1030.21,0.0657815,398.829,450.5327,10694.7687603808
11,0.00269996,TRUE,0.10038,992.507,0.0607366,397.508,446.3057,10082.9383285958
12,0.000579474,TRUE,0.0978452,1005.89,0.0770247,400.281,450.9565,9633.67449970883
13,0.00155147,TRUE,0.101666,978.566,0.0647424,398.53,444.7674,8337.76104934508
14,0.00386772,TRUE,0.102305,978.393,0.0731731,397.678,445.0174,10501.8845395693
15,0.000353455,TRUE,0.0971914,1012.8,0.0697291,397.117,441.9727,10580.6273553372
16,0.00128226,TRUE,0.0985394,1003.88,0.0689403,397.011,446.9376,9343.8158776586
17,9.75615e-06,TRUE,0.101458,988.053,0.0799353,399.049,444.4187,10471.7873410796
18,0.00137419,TRUE,0.100641,985.22,0.0797717,402.421,453.9732,8300.32541796625
19,0.00781263,TRUE,0.0979458,1005.01,0.0606903,395.218,436.4383,10271.722393401
20,0.00394208,TRUE,0.0933901,1039.66,0.0799278,399.709,452.8426,9374.79515062609
21,0.00223725,TRUE,0.0982013,1004.25,0.0732694,398.049,449.2793,9396.00614706437
22,0.00321087,TRUE,0.101217,982.305,0.0826606,400.289,450.6282,10387.7239656015
23,8.67195e-05,TRUE,0.102548,979.268,0.0719955,399.977,450.6005,10255.5058864335
24,8.78453e-05,TRUE,0.100316,990.314,0.073868,402.002,457.132,8689.40720354549
25,0.00180163,TRUE,0.0945187,1033.4,0.066703,398.718,444.9575,10193.6473864642
26,0.000617314,TRUE,0.0973304,1008.48,0.0590803,401.688,456.2769,10490.2339150233
27,0.000586188,TRUE,0.10372,969.615,0.072153,400.298,449.7975,9134.46590301556
28,0.00381306,TRUE,0.101757,981.358,0.0688426,401.097,453.9038,13087.8552626693
29,0.000783176,TRUE,0.0976185,1009.37,0.0655554,401.028,452.2085,10516.5974745761
30,0.00037922,TRUE,0.0966148,1017.49,0.0764607,398.931,445.8097,8331.42675828307
31,0.00408633,TRUE,0.0938801,1036.55,0.0652126,402.713,452.4307,9317.8761424567
32,0.00092964,TRUE,0.0988643,998.915,0.0619652,397.238,444.7937,9836.25177200854
33,0.00504244,TRUE,0.101295,985.538,0.0667738,401.397,450.9785,10373.8137374219
34,0.00685502,TRUE,0.102086,976.725,0.0749028,395.33,443.5781,10488.7653850747
35,0.000191451,TRUE,0.103066,973.266,0.0806023,398.672,449.3141,9837.43219304501
36,0.000229054,TRUE,0.101664,978.976,0.0706934,396.906,445.4319,11238.3801691787
37,0.00494797,TRUE,0.0996358,995.89,0.0773198,395.007,436.7006,9076.37352229996
38,0.000294023,TRUE,0.101582,978.557,0.0660122,399.021,447.9086,11065.749651645
39,0.000110321,TRUE,0.0977883,1006.01,0.0586913,399.2,446.8044,10425.499925483
40,0.00228164,TRUE,0.102245,976.18,0.0704941,398.517,449.1568,11320.7205210385
41,0.000172835,TRUE,0.10157,981.498,0.0566453,400.695,451.1853,10589.4129215477
42,0.00339426,TRUE,0.0941226,1036.12,0.0651498,398.701,451.3036,9505.25421536084
43,0.00181853,TRUE,0.104022,967.398,0.0783479,400.487,455.0725,9736.04250097132
44,0.00550297,TRUE,0.100075,992.961,0.0854178,399.289,448.9787,9963.96137580391
45,0.00368399,TRUE,0.0980599,1005.68,0.077687,398.558,446.3142,8963.53536381209
46,0.00196768,TRUE,0.0985709,1003.75,0.0697902,400.469,453.4563,10653.6730606371
