"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
22205.9586377295,23268.5493418927,23839.0562887742,23588.059434243,23039.8274880538,23139.8382104704,23891.0834115664,21604.5696719885,25314.4861226216,21004.5369186913,23226.8503936282,24063.7886803418,23089.0663157906,23594.7394114219,22651.4912107442,22696.8682049994,23809.9483868157,24604.4942579702,24830.8875004391,21509.0360492299,24528.2487732885,22268.4648133149,24406.8778619592,22911.8631512231,23831.3517359828,24348.9966277832,23121.0470932981,22761.8005014751,23088.9195503283,23865.2171366077,22277.8040194372,23949.5055044376,25690.9758406258,25707.1968211705,24014.9199029849,23958.9344460528,22838.4368920591,24171.0025734683,23759.7352477281,21961.9961921671,24915.7230366089,23633.2836586063,24639.7165522332,22669.4422359707,23907.1300229024,24320.3164132543,24275.519403849,23740.6622878848,23739.3882543095,23142.3619534916,24411.3242781161,23477.6590231197,24271.5578569605,23408.7391166411,23358.3464312205,23965.7567403243,23416.5936952924,23133.8526640555,23595.583470105,24073.9745814385,23035.3238422234,23262.0666166164,22809.1950708869,23205.3740929392,22578.599403035,23442.0385001741,23379.8405207219,23605.4308079033,24452.0816207267,23330.2394387341,23486.9491899686,23620.1493952083,22591.8677001032,23330.0775937104,23267.750196007,24141.9100356711,24919.7115362821,23056.1792864578,24098.0932010066,23331.7698039132,22647.9983579884,23106.890355221,23308.0131739741,24419.866399727,25242.5720946001,24188.837518097,24455.757207219,21798.4491242248,22645.2818380154,21187.1800872319,24596.9995370859,24521.1184065064,24083.3973918162,23698.6287151763,22451.7765741554,23703.0046875475,22850.2565924717,24948.6238306904,23426.238632835,23995.2490999993,1990
22000.35716794,23135.4565479015,23973.3683575345,23744.6407335562,23063.7511382397,23149.0766906595,23785.8027527346,21707.6267774998,25041.7235951647,20917.4268406679,23017.0199808555,24248.712718649,22952.246616522,23369.470634091,22866.101675347,22649.8592559044,23574.3604799038,24273.3082692184,24927.8221068669,21422.2440314514,24421.171982031,22202.0291109459,24180.1375506214,22771.0918203364,23761.9612121908,24302.8449229116,23009.9975001975,22846.5913281897,22944.9977157806,23590.7444359959,22316.2928608566,23761.5699834242,25633.1227480137,25331.07314998,24266.5701236944,23775.4308020939,23019.4323778414,24201.6539623876,23477.8774450104,21955.2749982564,24820.1876306604,23621.6438780492,24622.5733394005,22617.762452943,23967.5311597092,24214.0157795602,24066.823670157,23581.5856557696,23631.1779724992,23353.5750508053,24111.5364989003,23370.8100204856,24181.2482570998,23348.3543276754,23316.9844169384,23848.8522476332,23260.2578080933,23097.2932962454,23548.8752868145,24192.9233503361,22744.2206832504,23451.9037591295,22663.3503909176,22948.900789214,22673.289512285,23663.9184869156,23334.1917210951,23487.7001885983,24710.6621131619,23314.7238919819,23570.5045865151,23476.9500719194,22517.3428356828,23136.9435053841,23198.5148191995,23961.2468754574,24914.3618661624,22828.9931404587,24034.5278002887,23327.1022136809,22614.3630208309,23228.3117868881,23281.3716982775,24165.6606865314,24975.8429710205,24448.7618143475,24238.9743704678,21770.695767449,22416.1534800616,21312.8599313433,24280.7655817803,24435.1861963741,24234.8565728544,23678.215772286,22230.0153331577,23642.3972756549,23013.2500815045,24813.055687406,23433.9878527892,23773.8717522184,1990.5
22085.3776750685,23087.336048065,23992.7391666905,23895.9793468626,23369.9974082078,23330.2288556685,23679.1735825093,21975.3480123993,24953.0280430084,21127.3046786944,23093.21006933,24508.4274373447,22962.5347831314,23382.9972336791,23170.6717223956,22659.5321526616,23662.8193900262,24287.0007975189,25019.9746559923,21437.1782995982,24513.64650724,22298.1697631384,24116.4327727766,22945.5515396301,24018.3981054409,24318.0213558021,23146.7392349705,23014.4237884294,22878.316678504,23546.0199307598,22379.5655142065,23627.0289296873,25549.3707412937,25254.5283224615,24529.9906268447,23663.2756388875,23376.391200119,24194.3288969838,23422.8228102023,21803.5516957554,24740.1388011689,23526.3843265214,24709.7237389057,22530.3303058324,24166.1294728786,24196.8529596691,23944.3725117585,23697.3114845404,23876.7651369354,23496.0587323311,24055.8876923521,23308.8478010862,24303.8260976195,23273.0842515453,23573.0853950205,23941.9391054378,23269.3287692097,23198.4040951908,23534.6938918853,24310.9241704313,22695.1333995841,23751.8322668735,22541.8878439279,22974.3012014135,22906.7410254,23864.2501907621,23527.6252458257,23566.2296841834,24838.4864649801,23486.124837313,23729.8255005061,23580.3966672574,22693.3407728516,23041.3357637848,23326.7749934583,23744.497375307,25133.8532541904,22898.585486965,23917.7957157417,23324.1899563884,22736.5258614407,23437.3364599423,23320.1660571682,24152.1994590099,24855.2457096619,24603.2998608358,24019.2295569292,21877.3965045238,22341.5912246445,21679.6703818838,24278.7902495343,24440.2151569552,24531.102891179,23511.1496639314,22060.9686023097,23947.3264221225,23304.8685855734,25138.4383710005,23487.5366523035,23673.30046446,1991
22062.7138114408,23047.5266856151,23850.5571113754,24003.5195191184,23293.5261912693,23297.7552541849,23684.3817110144,22080.5492796036,24680.0319824212,21169.6890660846,23047.3968256672,24558.4617226637,22853.8739331885,23501.0777056004,23232.312776178,22624.8330473811,23675.4160770739,24153.9605714449,25098.4627127414,21445.5952036851,24576.3708875883,22261.770382813,24203.9153879038,22971.6057922674,23846.3566831868,24213.8506278182,23248.6272089199,22968.7798149134,22837.8246088775,23349.733318372,22433.638616524,23447.7430822038,25596.5168747097,25127.8087596241,24574.4380057549,23656.1419802766,23309.5110705907,24157.0694451873,23322.6724856472,21620.0683066324,24763.263902597,23309.7349758252,24752.1978398615,22427.2608990573,24169.6743512731,23987.2828380118,23579.0284406079,23542.1818958947,23903.1240483456,23239.1241044281,23822.8584482219,22983.692451619,23878.673657924,22953.6158462555,23548.1878651437,23761.3495633467,23370.1886077399,23263.5685905656,23450.6175434764,24159.9972985399,22571.4748671819,23797.5145120448,22515.9793839025,22744.3949144975,22761.1225023149,23825.6751754045,23564.650407829,23478.6635698349,24812.4145145074,23595.8060647636,23712.9725333379,23488.5936066136,22484.6961327283,22987.5657566228,23164.3864406419,23526.113221589,25134.2056156745,22854.587256198,23653.2477078915,23341.1256294178,22615.7222212866,23568.8546874656,23193.7511907173,23782.1641662117,24817.0494288307,24773.1921642914,23793.1323406245,21825.1847771508,22392.0538062884,21883.3955645514,24183.0712841887,24363.069578748,24562.2980587897,23573.3138184581,21889.8759193154,23922.1124334525,23414.0597971063,24990.6230303565,23482.2092316653,23472.7944796068,1991.5
22176.4842224551,23085.2286697497,23851.250312253,24135.9483599762,23423.0448163348,23288.0938984249,23639.3176065467,22125.8573794706,24280.0188858216,21217.1553956956,23220.5694287674,24570.2086887341,22852.0356573458,23667.3887013112,23220.2901472308,22897.8614829823,23739.3619588734,24096.2324249106,24993.6802652452,21404.5491679962,24742.9732919198,22319.0570440092,24336.6202674635,23169.4389330025,23984.0502597783,24371.0480655504,23252.498517509,22933.7882111247,22813.0427783625,23404.6101198962,22679.7760380179,23441.4971769711,25698.8641986568,25285.5430617458,24573.9897288616,23854.6289430513,23031.7208385903,24066.1472495877,23476.9115032522,21633.7130665419,24876.1213232878,23314.1626911633,24883.9517848582,22576.8873027483,24389.7587346649,24090.6562039424,23528.9265721418,23515.9672668884,23933.7806977499,23445.0777930259,23743.843967959,22930.1897141238,23752.04067184,22948.6929402944,23707.4093409672,23808.6609525497,23465.7488970184,23599.9085452888,23482.7386784047,24036.755317032,22690.5560684403,23939.2849609251,22674.5889135354,22800.1486105535,22591.1875164908,23941.7060303711,23628.8573138616,23581.880993691,24790.7649054936,23677.5911054289,23860.8884462075,23491.710107734,22662.23468808,23094.1719928839,23119.1748148924,23667.7000080302,25373.9754078815,22885.651038289,23463.9325551333,23378.611173595,22933.4822144146,23893.8594064966,23544.3343292523,23691.3388266824,24718.8120184827,24876.0457822635,23646.5341821078,21819.2783863614,22473.4865626144,22009.1507010673,24132.0520980188,24460.2593879004,24607.0727592122,23741.3568164757,21945.3791075209,24040.660236155,23482.3060257727,24827.0902433776,23515.4253314713,23593.6515650746,1992
22461.7473552637,23083.0157083468,23762.7441369839,24244.6346561729,23460.9313320568,23265.0695516135,23722.2678916628,22172.9860678336,24190.148573807,21317.8275775244,23256.7302400997,24869.7629065124,23069.9404281177,24018.4494803982,23447.0117183675,22978.6330290334,23967.8935618784,24105.3590597133,25130.0153917828,21625.2392450831,24919.4160240316,22465.3882564206,24648.650032681,23280.3379374912,24152.6670860746,24500.9128588082,23432.7840980168,22854.2143418547,22944.272721985,23439.4701279189,22646.6286675589,23603.3483166274,25874.8037905453,25380.6591865796,24784.1452267206,24045.1454764983,23128.4898659409,24280.1856514126,23618.7183116833,21712.7385301438,25068.5576107503,23262.1318210121,25133.1672498471,22804.1479463229,24785.9809750109,24136.6218412783,23613.1212121411,23640.251893205,23937.7604730482,23654.6391604268,23746.7880123148,22966.0344986941,23868.620875118,22776.1241009929,23965.1940346546,23934.8985916635,23598.433327741,24011.9670733381,23529.3598565292,24261.4301150555,22852.5049899357,23968.9499547586,22845.2613729407,22899.3142157198,22749.6612876986,24153.0993639026,23886.7491807156,23776.4837221829,24911.5196631939,23790.2814841948,24021.3572272298,23445.8439814182,22924.7679718208,23290.5466469509,23380.521473323,23505.9994275721,25481.223123875,23026.7995180248,23575.4876835809,23405.485181356,23335.9056071326,24119.9196586502,23622.6508589456,23774.2751850592,24855.1295114232,25048.4823418994,23750.0196728737,21658.9564260268,22710.2218846079,21992.6192183548,24259.489027933,24551.7398469096,24715.3948474799,23917.9768353588,21999.4628977654,24073.8315959236,23486.62600613,24700.7186510341,23723.0462463588,23689.7165420636,1992.5
23114.9660965958,23711.8079680309,24557.780761795,24687.6978413828,23941.4605482629,23756.3962498897,24303.1396766973,22776.051791807,24779.0459084866,21854.0099132581,23780.0366984354,25612.3203076421,23694.4938475201,24627.8551526187,24090.3225949774,23523.3221554247,24667.1994272795,24561.3230025957,25640.6061543614,22213.6915072155,25441.6423340468,23056.9531930679,25213.0038450971,23913.2248333107,24828.779732319,25217.9998820611,24015.2790830419,23520.829960613,23665.6894894442,24096.9291692962,23236.4257523386,24473.3528325361,26530.2581300954,26090.7400053758,25317.9901426831,24743.8701746524,23755.0532167334,24927.9165450368,24176.6390445389,22451.173745321,25704.4078424294,23759.8178523058,25826.0284641654,23367.6094965309,25421.2586051724,24873.2703474511,24181.5812069634,24013.619254209,24557.3438077523,24088.8956437646,24357.603637763,23420.7547413642,24575.2380998804,23307.3500842533,24468.6727369375,24673.537867031,24230.4224220681,24898.9232701752,23973.0668045836,24911.9562324376,23608.0767850393,24345.534894238,23621.8563015946,23361.9640511872,23389.1107004226,24850.3428069267,24446.8902886453,24414.9903476489,25386.9769037161,24443.6690220139,24763.1542880662,23981.1241696271,23481.1277979436,23844.1668819178,23979.7065454579,24099.9466694093,26317.2521481706,23716.7056584059,24089.7596605934,23973.9725045923,24119.4316264671,24806.0089833342,24167.0218103294,24274.6275307248,25559.0582465627,25632.3399324448,24406.4193558106,22015.6300336718,23300.6451027652,22716.6163133549,24868.0194397362,25312.9621966405,25420.7146737814,24655.3261311666,22445.6826610463,24557.2651579196,24201.698015349,25049.4570724841,24435.0724704627,24357.0675130605,1993
23716.8139806949,24258.9469321333,25182.477077442,25089.5909588013,24457.6427356564,24123.2193843218,24618.2557194543,23148.2665460722,25347.9268097346,22146.6674158723,24214.4642398417,26087.5041526516,24245.1989958425,25281.9874799552,24526.5520913358,24107.9679332752,25378.7523850354,24981.4679444088,26294.4737206311,22588.0970969494,25999.9245662417,23557.8939535362,25560.6445645515,24408.8062493828,25323.1108913287,25893.5291270081,24577.4829738404,24216.0396610934,24059.2743796579,24755.8962939772,23843.6670026864,25266.1107597126,27079.023768603,26613.2354457658,25676.887026418,25103.1234903852,24266.1023283026,25518.6812962095,24715.1270576641,23012.4677430389,26452.3002944869,24324.4720318638,26434.8025227639,23871.2095226373,25912.6192862704,25485.5180434817,24893.6332892464,24684.3935924992,25083.9469488397,24383.3371469426,25138.8267531097,23845.8482222339,24955.3845813914,23736.326252295,24855.6756481896,25311.1967294823,24799.4711208655,25523.6274263674,24560.635779461,25652.8602451032,24281.5750347948,24868.6714340701,24168.5664102644,23925.4067945497,23838.9498542518,25488.7763213268,24750.7738293737,25103.5935423745,25666.1887718081,25017.5905489228,25202.3932807479,24337.6223759488,23966.9431255887,24243.186478967,24501.2522006329,24548.2510125403,26773.3137428389,24217.145280534,24371.3460353649,24314.6606075226,24581.2963056245,25462.4004335815,24755.7075436333,24708.9265328225,26192.5072482233,26207.850717777,25027.8359520427,22504.2855273964,23726.7399166934,23202.9770169046,25427.7843112605,25910.5595586249,25955.5602899903,25350.7770225365,22935.0369644309,24988.6459332829,24738.6409876638,25444.2346592546,25169.2009910972,24950.055283288,1993.5
24315.1498441765,24973.152946102,25787.0242071882,25534.7673759197,24822.697427859,24408.4085442291,24952.1282369158,23767.9969708727,25890.0974135642,22607.3487021361,24784.4330936165,26660.0804708686,24737.4347575903,25763.5467376766,24852.7363664653,24344.6380944767,25894.4923356818,25322.835602258,26611.8828099542,22847.5738940549,26275.390102659,24021.2366418706,25943.7800067706,24722.7110806886,25621.8092781436,26439.7797017771,24902.8062741629,24612.0280164124,24644.6198739659,25499.6261402695,24507.6821893187,25926.4250098235,27488.4837291059,26986.083057808,26178.9191849448,25674.1091678379,24723.0953345372,25922.4487707933,25204.0690065804,23537.3209047499,26869.0542588544,24645.99130867,27002.6914465975,24447.0855837738,26427.2430198751,25993.980556178,25632.4861319033,25058.8203747172,25491.7447975679,24721.8310035972,25738.3227731641,24524.3404166783,25486.0534612767,24089.6064336271,25102.3696866153,25721.1113948519,25264.1988865769,26077.4296187003,25116.9463923768,26238.8726465392,24840.5307015919,25365.9915513872,24585.5251655396,24412.0552544378,24270.6382713606,25938.4279484855,24981.0462181124,25474.3423024098,25783.2996884423,25442.4199593656,25699.2253087523,24783.5406989807,24201.0366317521,24699.0637137973,24869.7997810093,24991.7900557868,27632.8056280424,24704.1748206856,24953.7132789026,24683.9045462835,25039.9688968844,25877.6586831668,25196.9628491736,24965.3805823362,26490.2710187721,26604.5656260464,25666.3940016348,22860.1817044199,24197.8968181293,23864.9165317069,25792.4642501056,26330.290211633,26347.5376240619,25788.5366922231,23380.7577358768,25170.9354854618,25320.9288514379,25952.402690135,25836.9823836198,25522.79077753,1994
24324.8291655473,24900.2750992182,25926.721265784,25516.2352637872,24659.1772971135,24271.779736189,25002.7787827303,23933.5074545388,26080.6814898469,22788.8173617972,24654.1361132417,26567.8427104261,24851.972041222,25856.1683078987,24818.5005094419,24229.1640210453,25781.6856176548,25199.7090138816,26484.1400900836,22833.9829465359,25985.9806662602,24080.5303786802,25818.1042819139,24641.7062728857,25667.8231891199,26408.4600043986,24940.3915167325,24684.4126580023,24681.4007182126,25544.4022435023,24647.9267955532,25869.2491716328,27482.376334477,26841.7698967339,26228.2013615135,25559.1303608868,24684.0926013726,26118.8968185942,25255.2225034492,23623.601601737,26988.2061355293,24620.7407472647,26915.3518474966,24625.392614221,26470.5317994524,25965.7511121039,25823.9930908328,25168.5682076247,25461.6655762436,24816.0165214327,25915.4556154404,24585.6641281172,25601.9166051239,24088.2376222598,24836.4575815024,25586.2914568983,25303.589189312,26095.6194770679,25300.4158875843,26236.6343006753,24797.4202684962,25549.3542752036,24616.2500090058,24181.3943318941,24305.9691236462,25813.5760886838,24970.3237894656,25607.5443068481,25758.3324439324,25325.0129297978,25547.5834388407,24825.811703487,24231.0068238331,24733.7271106425,24935.7002928597,24974.4595728362,27703.9170561767,24733.6079966986,24916.5967489818,24597.2350229501,24972.6840531687,25496.8602803111,25143.8725754803,24968.6994080839,26395.8543209893,26580.7184617932,25763.0124806737,22971.9631127195,24098.039688073,24001.5199233236,25851.2120773044,26563.6723787569,26273.4090752022,25848.2823923226,23325.4325620312,25108.025921193,25155.3429107239,25816.3787073097,25969.8499904262,25404.0794640458,1994.5
