"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
18297.3194931851,19699.1608107015,20388.5312743017,20580.6410431193,19802.6066561263,19821.2464346912,19228.0276665559,18903.8191729873,19969.2522664364,17663.6669465895,18280.1682595685,21195.5827150585,19079.6667983344,19596.6901162975,19882.3212649326,19155.8806729647,19547.8084444494,20010.2303800601,21563.5319686826,17970.162298629,21013.7961734774,19003.9178045231,20228.2716613451,19860.8749522856,19979.4675994289,19652.7115122327,19579.0475476861,20023.4400512504,18740.2252236413,18426.1574751762,19194.2524772635,20510.3932800467,21665.2541389348,20037.5676856026,21124.3412392748,19205.3145431448,19830.486282358,20927.766020845,20483.4953161158,18450.3249265222,19681.6984129164,19157.0301527001,21137.9129817204,19575.1319845124,20608.6700809173,19990.8674782866,20127.2374233955,19552.1070871314,20341.7972335796,20425.8783655819,19692.9876119939,20270.1759361733,19809.1995637211,19261.7176620779,20277.946423642,19999.9805765316,18711.927720966,19024.6381878267,19461.3241976085,20248.3160265228,19565.3543155181,20241.7047493205,19423.3224043985,19082.9529908267,19910.6349725642,20254.7487982859,19246.4102000797,19582.2696723473,21233.9782955568,19358.4918166085,20224.1508385956,19546.4620415506,19072.8593627548,18918.8092151318,20045.150795551,19811.6422595507,20562.7002354979,18826.0716298971,19645.4660030457,19669.5379987178,19239.9772043657,19813.1733133155,20114.5912652692,19912.56775916,20567.2623080662,21164.9542624253,19785.3682520806,19287.9789063382,18768.7274101013,18583.963658751,20249.1839024631,21209.5122258043,20516.9540167548,19473.5034148995,18203.0192148451,19664.5916472633,20575.9809842516,20156.5089457149,20225.8559026217,19778.0719592108,1990
18299.7888288001,19460.6036988184,20242.9003042153,20398.2091479782,19565.0876442494,19657.9991933988,19097.479064999,18931.4405607142,19723.7371585853,17703.1663318007,18385.0267386856,21084.1141142859,18937.497640914,19301.9591112139,19906.0622800079,19050.2065217549,19500.7382769258,19686.4143752941,21331.0622680993,17984.6495191766,20758.4599676481,18780.1046478928,20020.5771766357,19707.7006756258,19838.331212489,19612.6151946707,19471.5979780315,19988.3934001653,18527.6221395918,18334.5583594197,19139.1551816431,20203.6354213823,21263.9451510945,19806.1066176587,21073.6922593271,19092.0317627044,19818.3135486453,20645.0896693348,20126.9111711261,18462.3656575162,19706.4392486884,19086.0125473873,21099.4799804688,19281.6975887475,20595.9462365648,19821.5101562684,19798.7480297444,19316.296523285,19980.4777505355,20401.053578077,19626.1616439552,19810.3262445416,19560.6419937959,18916.9440897746,20064.381959622,19835.0453671461,18647.3411302594,19056.1002924554,19403.9528909584,20275.6782347605,19283.5600534734,20229.2872331189,19173.5443006255,18987.4157329258,19761.6997217257,20330.0329061775,19222.7725124005,19535.7597706646,21418.4136663756,19367.5591494408,20129.4783771831,19435.9044856167,18935.7262940367,18711.9269660552,19884.2696176916,19438.0441673463,20455.555149849,18798.2533555869,19468.3052977226,19611.9529836858,19088.1392115992,19933.8234192523,19932.1074740705,19646.0930133246,20278.7921978864,21277.7406017805,19627.3180350873,18900.4014045825,18663.9723537828,18680.3333304309,19756.9450761179,20887.8461294569,20471.0009026402,19607.4668589277,17947.5836442272,19599.741146811,20366.6954595275,19896.0304276209,20053.8890513513,19477.65221825,1990.5
18771.6419891686,19529.5745540968,20230.5743660822,20436.6847827894,19681.8623777578,19753.8166329989,19158.2998061708,19262.470087859,19684.7157405799,18156.9458140396,18884.3620898701,21207.6080278343,18991.1460525903,19482.8285298102,20099.0954452176,19334.3916433174,19991.2411891921,19885.7655537949,21287.0341519644,18249.6876101584,20881.206996064,18915.5333032154,20174.5478016633,19947.5211776572,20109.9382369733,19846.7154966171,19753.4648858306,20159.9331885267,18665.2894917537,18699.7106766279,19269.7264324202,20087.9192483492,21114.5399071721,20155.9355851762,21078.7082424536,19282.9512142573,20110.5585950177,20550.8935379391,20095.309185546,18594.4555215932,19930.3466167298,19185.9373169159,21395.9677191079,19184.0885982373,20863.8718398963,19981.9112367514,19704.0475761908,19494.6457266548,20001.1506925505,20572.3126645377,19886.2273304078,19543.4508755258,19630.5007554796,18857.0265908061,20323.884162001,20081.1678611694,19004.6787243519,19330.6000763677,19613.2451556139,20431.8326331216,19353.3556042719,20542.115790873,19235.2977563617,19285.6611854552,19898.7831866563,20593.0377757369,19469.8018184207,19706.7844205722,21608.4681372885,19632.8735878322,20308.8545299249,19662.9850260467,19201.5703026814,18769.7359283795,20018.5501084612,19367.1876392909,20729.010662141,19115.9656207521,19380.3176206352,19780.9321286221,19284.9518797902,20380.2558388219,20026.4849305782,19728.1895523341,20265.3011333673,21397.056540689,19661.2416032261,18819.9601003514,18976.6718863286,19107.7168393096,19631.2845179405,20886.6414641006,20688.9736931446,19946.0372777412,18079.6539807496,19965.9895770742,20475.000205326,20135.1569785624,20097.0189174376,19425.4816960296,1991
18888.9716769361,19360.3737232949,19903.8866470291,20264.4523910564,19372.9649524812,19467.3151483692,19059.6704168323,19154.9923576911,19416.1826167316,18177.8002674863,18957.7703049146,20952.4210301052,18840.0816510291,19540.0001691311,19868.6207789783,19338.4604604813,20109.1345087097,19752.5539643033,21118.2402529931,18313.6927039469,20778.1402662476,18749.5373213768,20197.5419204674,19814.7122944842,19892.3538804242,19798.1644006624,19803.8991422239,19854.2067493635,18568.6001074161,18726.2056323963,19125.448985344,19918.7756827291,20892.1411748138,20272.3463688182,20694.4813096688,19270.7437121494,19778.1927560935,20238.1806800662,19824.2215773922,18496.8266714169,20024.5098731491,18996.5993142654,21371.7530031426,18929.1251781268,20783.7196245019,19771.9091654923,19476.1002074253,19288.4253947773,19681.4361345099,20220.7013078206,19728.0097232797,19001.9453836138,19169.387847432,18538.2788265559,20159.3726479402,20009.1182344853,19163.2319179721,19360.1888586738,19524.9672513016,20176.5370453086,19211.0880047285,20401.143960976,19173.1348415122,19092.9335289366,19544.8110312408,20405.6359626807,19383.1080715653,19497.1495745069,21373.989221683,19610.338856395,20042.3830383476,19507.9734245635,18990.6772097868,18680.1068508844,19706.5113859136,19085.8091407822,20542.647664532,19159.0295765407,19157.5256199916,19688.561252509,19132.3074554247,20522.8401638603,19807.1065789004,19336.1710947161,20156.2607397282,21327.9647386184,19552.0389966131,18489.1283981641,19108.0776046434,19105.7790482821,19315.2323755521,20668.4669430089,20466.2807525289,20102.4155875021,18047.4127120686,19807.4840244172,20178.8721994929,19778.6839660194,19874.6087168054,19155.3109281767,1991.5
19348.3627719932,19490.3710452379,20041.8639308143,20309.1315064576,19505.5046418056,19410.58672402,19184.3483225733,19201.5654302643,19353.4343742568,18302.9416063784,19350.9190162772,20908.25418448,19043.4560836221,19982.0983511397,19784.3134535834,19825.8813736737,20485.9264041288,19950.2533467183,21036.0038607424,18618.3842272928,20931.9910141795,18890.9374549109,20481.1998523309,20011.3153151142,20122.3073277168,20130.797052494,20021.8507413404,19783.3817173198,18739.9091314997,19196.6537560782,19394.6571465468,20146.9354677387,21119.7603254451,20730.0956377532,20478.3155974793,19708.2113478826,19507.0795313028,20191.4090252632,19980.4463080255,18775.9977092267,20526.3015776051,19223.0005653083,21569.5899185619,19159.3174291569,21047.5284106592,20107.6787460151,19716.2004929266,19452.2185262652,19718.777786779,20406.8846327374,19873.5777765786,18942.6354819522,19143.7207647258,18779.8365476283,20367.4442049586,20374.4757160125,19595.3680684712,19803.6761989498,19777.2224480795,20177.3937163031,19533.1689093904,20513.338308674,19492.3082665711,19253.6166065883,19427.1092340406,20565.1187640055,19535.1133661226,19636.7638267076,21247.3851878423,19832.9202072462,20135.1813623396,19614.1982662255,19288.6793588851,18998.2807085703,19723.9935529176,19288.0358922971,20757.6631530983,19464.1542313195,19258.6362802452,19853.0601263725,19530.7532196196,20973.8121128212,20167.4647530731,19411.6774702754,20250.9730960883,21440.72723686,19667.0810299961,18472.7899211733,19458.3510646905,19266.2125484482,19390.3478583862,20817.5175022663,20443.0354230198,20540.299119216,18451.330012464,19883.4768707137,20161.234196593,19584.8257771728,19906.7284590288,19454.5992744775,1992
19801.1080811709,19600.704033112,20164.408264601,20461.3284631674,19598.4750496566,19433.6956455165,19416.8820089399,19206.1735256384,19763.6964976317,18395.2188406557,19567.6708059558,21109.759921911,19474.6697626491,20441.0493559017,19990.4141234975,20037.2204893829,20854.4617559997,20105.833439611,21291.5606875236,19046.8918019691,21112.7427127478,19117.2319686492,20843.3777953149,20145.1498006797,20385.3826256164,20484.2677754249,20315.7490457129,19821.1951001503,18945.1961463316,19536.7100739783,19489.5622849218,20774.0895482612,21382.0870685797,21074.2841978242,20592.2178338619,20066.960652752,19554.104546151,20449.31419262,20198.6913810797,19123.6221479801,21106.9030329582,19418.6190079887,21818.7129510723,19497.8603619121,21472.941764587,20342.9454064913,20282.6551054775,19710.0876025634,19833.0410182868,20562.4804829239,20199.3980329104,19141.6793431748,19357.6561071147,18938.6913329066,20535.473436606,20769.2490558173,19916.6813322999,20318.8286581804,20029.00989522,20536.9895797546,19902.9495983179,20498.5246621297,19865.267624265,19450.6538158171,19605.0263627126,20761.5088854837,19827.0500519474,19997.8824947763,21302.7674852572,20063.146076268,20177.9216841268,19794.0338945562,19586.8867743769,19382.1550287121,20047.0539361496,19335.287161929,20823.5892423148,19847.7493698245,19789.0485741443,19944.4089567118,19900.7674999664,21253.6835755538,20373.7058717048,19641.8680198644,20619.4672065225,21756.4512802152,20184.5797946388,18473.8709116041,19802.726747917,19316.9535337181,19708.7039477226,21058.733825515,20566.8995133638,20870.5354945962,18769.262721758,19942.1679169275,20102.5200015667,19487.2134360529,20237.9535682733,19849.7900112066,1992.5
21097.538460603,20760.9995600785,21584.221307982,21445.4377444448,20588.8571519395,20393.7932519627,20526.8728086406,20211.0597035117,21226.906088181,19259.0971454793,20680.766628375,22238.5413988209,20651.0133839253,21671.4844031606,21039.4177743811,21071.8281495421,22253.1844439396,21135.4588904815,22365.7495713626,20181.9010374857,22052.5105889935,20289.6573954183,21945.5026301753,21202.0964112462,21571.2436470762,21803.4251462751,21302.3324262585,21110.0300439991,20227.7163716907,20880.7619387744,20643.2150222186,22380.0084130712,22597.4564096021,22441.4216609421,21569.0496487178,21379.4065582912,20715.0185404798,21705.7562511004,21329.6776704155,20443.2131659093,22484.582471596,20581.972453745,22999.9075047986,20683.4436997528,22565.0450632164,21768.0619031531,21612.4436703693,20842.4852875195,21068.2548704308,21548.261417168,21726.506205956,20360.8584304779,20642.4509050032,20200.723255703,21346.1381984075,22060.9843208218,21021.7203838639,21630.376558135,21237.2714794687,21851.8399216608,21244.6229583682,21286.7956782131,21315.9898858617,20551.7417020426,20729.0025444013,21965.2364526263,20785.2008920534,21327.4087144911,22031.1655853377,21178.0706754307,21285.3490074443,20973.5930607427,20660.2506457045,20573.7780362863,21313.7331775348,20672.6447541789,22025.1030449508,20952.301337643,21011.1674696032,20933.788178247,20994.1808594334,22293.0291553247,21536.2210206723,20941.6003154125,21943.7906368061,22864.7128149085,21586.0418414567,19461.6582171343,20839.2622157612,20491.4463257563,21044.7036865761,22347.0840795862,21735.0402671225,22102.1651772081,19924.9594392773,20930.025972058,21308.7386353233,20513.8500652832,21600.6470669819,21283.622918906,1993
21757.2410128717,21352.4334913455,22292.5453477083,21942.7354008391,21073.8541380124,20827.8459580636,20956.8288231139,20654.5410732611,22152.4301511842,19561.9801336584,21180.1854582557,22710.9974375151,21199.9226434433,22291.4548325194,21524.4428424278,21532.3094804512,23083.9814014592,21588.6517237351,23112.0321456651,20577.7747995216,22552.0304079538,20865.4089131932,22358.9621768759,21688.2012484276,22097.9408803727,22542.1944695636,21776.9210450155,21878.0890728403,20848.2375385644,21637.6996422087,21237.1359289645,23342.7154037551,23119.5037567601,23171.1880799018,22069.5693584517,21903.0028933611,21376.3873961394,22430.1521630102,21948.920770588,21070.1531042255,23257.1093765221,21217.8460461507,23650.4424325966,21277.8721402797,23038.5099559654,22510.3093954048,22483.8017039181,21611.1926491148,21677.4413396963,21951.5890732221,22834.9713600529,21064.1030175295,21235.8341817275,20876.4101043343,21623.633089838,22719.9208477434,21513.7215281033,22145.746324779,22012.7455155752,22665.1738390619,21953.4378064809,21713.7990916116,22056.2783113558,21224.3423066524,21230.2676032428,22587.7742562449,21072.0074281029,22118.2433316834,22290.9378686365,21696.7257614866,21719.7164760014,21537.2036006346,21153.3547906837,21087.0288250054,21975.0277734081,21433.1559549921,22502.1161849394,21398.2418909536,21556.315248547,21287.1301665378,21359.4654086872,22771.1309703072,22167.4363289819,21668.4982663115,22722.9038481075,23444.7900242539,22472.2487577827,20049.9262655672,21235.8678834987,20988.6604345268,21759.4339855509,22981.6493247298,22318.2975612739,22734.9156582437,20594.3975288677,21425.089739531,21911.5944092188,21156.4461808228,22427.3180124759,22061.1285979639,1993.5
22211.9239669511,21899.6738712996,22746.6589708554,22258.5583535538,21310.8473733257,21099.0074007978,21219.3349768698,21225.0901784528,22735.0178918409,19924.5840491598,21568.1213802725,23016.9526222533,21499.8326354704,22546.5114279046,21768.5439023698,21557.9612258571,23382.8304662766,21761.0497044536,23290.4134773666,20674.5856263474,22607.6491606044,21239.0972021701,22516.8794191222,21983.1602060344,22312.578091923,22957.7281230558,21972.1555858944,22255.5744254178,21469.190640327,22239.9369062688,21672.1532244411,23773.605581365,23245.5328761459,23430.9880755812,22441.605414474,22338.7193109117,21883.4324016924,22762.9476594742,22351.5713220391,21502.7380646332,23428.0915540469,21516.4342263041,24028.8257140012,21759.0595354198,23252.7871814816,22937.6405254003,22968.3731017318,22022.8710663737,21981.5505903367,22235.2865951348,23488.793056922,21729.5725859714,21757.9965035372,21382.252858771,21742.3475631108,23019.4778699063,21773.292849638,22319.2153322847,22629.2042172339,23123.2576651514,22392.7337684493,22026.6259487704,22386.9574799839,21729.3210490457,21533.4102273164,22776.6717290827,21148.9095151987,22436.8572426463,22336.7138115943,21972.4278562958,22026.1004694699,21930.8783413766,21339.4256086253,21428.3844674015,22302.1181879749,21990.2085284802,23015.7691719479,21623.2804726303,21987.6669380768,21556.3535906048,21582.5018602596,22830.8404040282,22510.4179340226,22120.583158881,22958.4371505367,23518.2731422842,23047.2235004352,20452.0934950218,21473.2451991067,21420.4279910232,22091.1225218637,23190.6582167792,22636.0126661272,23007.0527373423,21090.032757189,21581.2520702596,22323.9867807516,21745.9760062743,22978.8585601819,22547.217449774,1994
21608.6760853205,21308.1151673594,22130.4639796414,21667.5474489069,20654.8864165764,20533.8918806406,20734.0959926846,20861.3246905682,22311.7451072453,19627.816475561,20896.4590225633,22290.0926075084,21031.3270835797,21847.2386099246,21208.0309191018,20798.9827324879,22460.8116471355,21025.3983780424,22516.22411943,20069.8118751397,21694.6264510113,20744.1964117623,21736.6582182063,21448.49875219,21756.5030194915,22308.1793195115,21471.1853656936,21666.9146615445,21017.5577192182,21670.3459002008,21103.243371498,22962.3683309106,22424.747318928,22593.9086895632,21866.2803082883,21630.5561159426,21318.14339896,22166.9136450209,21811.7716570163,21063.8943062807,22703.367316798,20964.821670303,23257.0638409009,21352.6370161497,22544.4445433803,22220.9539428919,22456.3465779684,21538.2037594936,21344.1560452594,21699.592087586,22936.6689264776,21250.6174820595,21332.3541557812,20979.6618323955,21013.5682029444,22340.1233453117,21188.8738906523,21571.9001546985,22239.5503687587,22505.4325010295,21753.3261025447,21524.6968475747,21677.2465886169,21111.7112818849,20974.2940509151,21871.4306557729,20553.5777515484,21877.1613216755,21852.0222175197,21360.195726325,21262.0345673892,21346.4850705639,20782.174009244,20940.7966320946,21720.9705806731,21384.2188572037,22315.9848237167,21034.2171111221,21464.7073077269,20994.6329965701,20906.2240125338,21778.4678304244,21842.5598174877,21644.1358818502,22251.0878940833,22692.3749103308,22571.6577526608,20139.0252532715,20782.2306039369,20896.6144174776,21483.8166217372,22549.5776526144,21982.4199088399,22379.6715910603,20664.6207610548,20938.9418964143,21492.2822352048,21201.1496613999,22439.9771000212,21880.0450338854,1994.5
