"replist1","replist2","replist3","replist4","replist5","replist6","replist7","replist8","replist9","replist10","replist11","replist12","replist13","replist14","replist15","replist16","replist17","replist18","replist19","replist20","replist21","replist22","replist23","replist24","replist25","replist26","replist27","replist28","replist29","replist30","replist31","replist32","replist33","replist34","replist35","replist36","replist37","replist38","replist39","replist40","replist41","replist42","replist43","replist44","replist45","replist46","replist47","replist48","replist49","replist50","replist51","replist52","replist53","replist54","replist55","replist56","replist57","replist58","replist59","replist60","replist61","replist62","replist63","replist64","replist65","replist66","replist67","replist68","replist69","replist70","replist71","replist72","replist73","replist74","replist75","replist76","replist77","replist78","replist79","replist80","replist81","replist82","replist83","replist84","replist85","replist86","replist87","replist88","replist89","replist90","replist91","replist92","replist93","replist94","replist95","replist96","replist97","replist98","replist99","replist100","Label","Yr"
7756.75,9992.81,9643.98,11118.5,10755.6,10101.7,9956.4,9118.93,8838.96,9865.31,8048.53,10543.5,8289.62,8820.85,10714.1,10618.5,9394.03,10554.4,11229,8304.81,11481.5,9555.53,9467.33,10350.8,10063.4,8920.29,8465.79,10461.1,9116.12,7935.67,10375.9,10798.1,11961.7,8800.66,10596.5,9187.2,10157.8,12482.8,10057.5,9375.71,8077.83,9238.58,8884.77,10369.7,10927.4,9244.11,11050.3,8823.5,10620.5,9676.42,8834.76,10152.6,9448.25,10368.5,11627.4,10489.2,10128.9,9244.86,8443.92,9675.75,9892.54,10425.8,10292.5,8605.33,10312.8,8941.73,9924.48,9627.81,9677.12,8368.47,9328.6,10361.4,9881.94,8560.49,9954.17,10447.8,10063.4,8565.77,9318.06,9598.66,9059.16,9255.17,10118.4,10016,9118.56,9118.74,9840.85,11585,9362.82,8638.44,10299.9,11361.2,9491.53,8854.47,9228.09,8876.29,10670.2,9486.67,9557.72,9370.22,"Recr_Virgin",1988
7756.75,9992.81,9643.98,11118.5,10755.6,10101.7,9956.4,9118.93,8838.96,9865.31,8048.53,10543.5,8289.62,8820.85,10714.1,10618.5,9394.03,10554.4,11229,8304.81,11481.5,9555.53,9467.33,10350.8,10063.4,8920.29,8465.79,10461.1,9116.12,7935.67,10375.9,10798.1,11961.7,8800.66,10596.5,9187.2,10157.8,12482.8,10057.5,9375.71,8077.83,9238.58,8884.77,10369.7,10927.4,9244.11,11050.3,8823.5,10620.5,9676.42,8834.76,10152.6,9448.25,10368.5,11627.4,10489.2,10128.9,9244.86,8443.92,9675.75,9892.54,10425.8,10292.5,8605.33,10312.8,8941.73,9924.48,9627.81,9677.12,8368.47,9328.6,10361.4,9881.94,8560.49,9954.17,10447.8,10063.4,8565.77,9318.06,9598.66,9059.16,9255.17,10118.4,10016,9118.56,9118.74,9840.85,11585,9362.82,8638.44,10299.9,11361.2,9491.53,8854.47,9228.09,8876.29,10670.2,9486.67,9557.72,9370.22,"Recr_Initial",1989
19035.5,19154,19056.6,19560.2,17596,17980.8,17610.1,17920.9,20800.2,17248.8,17988.5,18645.2,18845.1,18117.1,18354.1,16824.4,19067.6,16832.6,18696.4,17898.1,17218.7,19722.5,18128.6,18094.8,18751.1,19607,17147.5,20212.7,19152.9,18049.1,18226,21334.2,17380.2,18695.5,18442.2,17526.6,19591.1,18982.9,18510.9,19396.9,17793,18447.1,19120.9,19045.1,18380.7,18949.7,19783.1,19318.9,18528.5,18770.6,21222.5,20594.9,19691.4,18361.4,15652.1,18080.7,16431.4,18173.4,19424.2,20488.7,19094.8,17571.5,19883.5,18902.2,18508.2,18401.6,17160.5,20238.4,16434.6,17523.4,17355.8,19305.6,17716.8,18395.1,20206.9,19914.5,17299.5,16686.3,19250.9,17162.6,16632.1,17075.5,19274.9,19804,18945.2,18289.2,21589.2,19330.8,17379.9,18669.2,19330.7,19455.1,19573.8,17929.1,19051.5,18271.1,18516.7,19887.5,21717.6,18950.5,"Recr_1990",1990
4240.6,3967.22,3775.24,3642.95,3827.31,4440.96,4195.93,5812.75,4690.6,4884.19,3461.63,3706.54,3516.47,3651.65,4697.01,3021.23,3600.79,3607.86,4712.86,3178.16,4340.09,3279.34,3123.18,5358.41,3684.28,4174.66,5146.51,4209.88,4673.04,4995.24,4006.09,4080.1,3261.1,4040.28,4956.53,4657.8,4797.79,4651.53,4868.19,4490.83,3887.29,3774.29,4770.75,4659.04,3852.55,3802.1,4724.99,4389.57,3750.33,3996.82,4925.76,4392.79,3929.17,5355.22,5332.74,5311.45,4701.1,2924.36,5393.68,3840.6,4785.92,4686.54,4028.02,5286.55,4004.71,3595.81,3886.2,3602.96,5520.5,4242.57,4133.98,4255.29,4222.5,3506.43,3517.73,4439.69,4392.64,4449.61,4018.24,4665.7,4591.74,4073.55,3959.3,4272.59,4292.01,3682.04,4531.92,4444.34,3967.54,3523.46,3469.58,3346.84,4069.56,4712.61,4456.94,3759.56,3960.33,3828.5,3918.86,4601.83,"Recr_1991",1991
7535.33,7787.05,6728.31,8391.7,7870.86,7830.97,8520.47,7795.51,6857.44,7406.94,7770.68,8957.61,8366.83,6156.69,8621.88,7559.56,8266.31,8179.28,6887.78,8665.97,6778.83,7367.55,8300.67,7569.37,8716.97,7107.06,8059.89,6928.03,6208.26,7744.43,7094.99,6198.11,7523.38,7189.14,7338.01,7681.81,7459.9,6268.03,8112.89,7487.26,7408.22,7428.51,7347.46,7130.68,7486.87,7487.21,8041.99,7292.76,8063.26,8549.27,6424.83,6767.9,7709.43,8071.44,7401.01,7763.82,7586.33,7255.81,7352.09,8132.58,6882.52,6697.03,7197.44,7635.61,8491.49,7580.22,7274.19,7702.96,9004.88,6961.82,8297.25,6451.73,7316.1,7570.21,8017.22,6049.92,7291.24,7180.15,8525.55,7670.52,6536.95,6923.4,7192.4,8152.33,7648.04,7239.78,7980.24,8264.37,7650.6,7095.18,6318.74,6704.19,6764.25,7787.42,8057.73,7276.12,7845.31,7735.54,7082.33,8103.1,"Recr_1992",1992
7147.64,6547.08,6803.81,6422.33,7487.22,7788.8,7184.64,6357.74,8020.45,8117.29,7286.79,6552.47,7356.27,8281.33,6435.13,7709.24,7459.07,7798.94,7766.78,6936.14,8496.39,6110.18,7520.01,7540.27,7088.74,6778.87,7575.46,7645.94,6943.91,6205.17,7093.9,7903.14,7226.18,7710.34,7352.73,6628,6583.77,6267.96,7467.21,6829.33,7870.84,8468.59,7163.57,7485.64,7667.57,7733.13,6151.13,7064.38,6971.23,8838.74,7396.52,7556.53,5965.24,7741.41,7851.61,8180.01,6239.65,7087.4,6162.73,6320.89,6422.63,7552.51,7682.28,7818.81,7361.97,7413.07,7427.65,6249.7,7614.4,7052.16,7364.47,8288.03,7408.54,7253.21,7612.28,6919.7,6731.37,7338.97,7730.41,7157.11,6639.77,9465.88,6573.76,6959.63,6235.82,7806.96,7398.05,7712.7,8060.67,6973.43,8427.61,7581.65,6311.12,5705.04,6978.6,7144.23,7193.32,7317.22,6940.87,5903.42,"Recr_1993",1993
5812.71,6148.78,6411.53,6616.74,6207.35,5642.56,5184.75,5667.21,5146.87,5653.03,5602.7,5542.61,5788.93,5246.39,5891.71,5699.9,7515.63,5890.79,6135.66,7231.27,6880.28,6626.91,5968.84,6542.36,5369.15,5868.21,5569.94,6372.47,5555.84,6008.79,4179.09,6075.35,7015.24,5846.17,6623.71,6015.48,6200.19,5561.64,6072.18,5886.18,4468.34,6134.94,5884.8,6352,5710.85,5798.72,5196.82,5633.24,5815.09,5561.88,5493.78,5331.28,5605.49,5307.37,7152.36,5789.58,6775.72,5397.2,6673.29,5186.86,6966.84,6352.98,4753.11,6289.61,6966.19,5824.2,6065.06,6056.08,6117.66,6324.56,6080.78,5372.06,6786.75,5911.14,5857.78,6650.48,5688.05,6337.22,6147.09,5712.14,7375.55,5538.36,6467.62,6105.58,6787.89,5195.46,6600.68,5863.42,6544.7,6165.43,5968.71,6380.89,6573.52,6933.96,5830.28,6405.16,7246.48,6065.77,5399.64,5002.39,"Recr_1994",1994
4561.68,5034.72,3737.76,4160.67,3914.62,4110.53,4000.38,4370.92,4247.25,3771.48,4690.85,3376.77,4352.75,4373.99,3575.88,4283.23,3855.78,4373.2,4858.45,4488.77,4776.69,4796.85,3908.54,3677.47,4121.29,4665.73,3668.54,4022.61,5038.88,4290,4273.12,5326.2,4326.83,3483.68,3876.55,4203.67,3923.86,3963.3,3775.95,4256.5,3736.44,4387.55,4742.17,3852.79,4284.18,4175.7,3756.52,4549.14,3789.49,4190.52,4150.07,3937.56,4185.9,4481.3,4284.23,4620.96,4557.57,4698.7,6054.04,3962.82,4163.28,4110.22,4129.24,3894.88,3323.74,3078.33,4919.94,3741.27,4520.22,5469.39,3628.18,4224.26,4326.57,4837.43,4308.81,5218.17,4569.23,3456.94,4444.75,5322,4213.81,2793.9,4902.76,3828.22,4543.72,3370.46,4497.04,3554.76,3993.47,4297.68,4432.27,4115.23,3432.99,3707.46,4654.47,4924.11,4493.09,4660.44,4761.18,4519.32,"Recr_1995",1995
8672.82,8194.7,9933.66,7715.72,9055.23,8221.78,8421.73,8821.37,8167.95,8921.52,9743.98,8133.57,7842.03,9746.1,8552.13,8712.98,7326.47,9695.67,10604.8,9536.71,8308.97,9750.69,7477.17,9447.29,8256.1,8106.97,8017.99,8891.6,9052.8,9533.1,9187.42,9734.75,8106.3,10429.3,9979.51,9079.4,8570.17,9534.45,10656.4,9059.41,9940.96,7588.17,8493.57,8776.25,8888.54,9552.64,9286.51,7102.54,9040.7,6730.1,9474.24,8709.64,9014.61,9318.54,6446.07,7392.96,9609.8,7800.08,8365.56,9569.12,7160.4,8878.83,9392.23,8001.47,7164.26,9311.35,9060.45,8715.03,8436.16,7451.97,9209.14,9352.22,8735.95,7956.65,9858.79,7501.59,8910.95,8900.08,8876.18,8652.12,9035.87,9412.54,9629.81,8835.82,9853.03,10799.3,7989.17,9052.31,9454.94,8608.05,8785.85,9827.82,9041.75,9909.76,8725.38,9184.16,8376.22,9591.1,7767.2,10445.3,"Recr_1996",1996
5969.57,5761.98,5561.9,5733.53,4692.29,5689.92,6820.77,6364.74,6608.1,6956.56,6925.82,6428.17,5229.76,5226.08,8189.5,5757.66,6697.82,5265.6,6300.38,5877.37,5173.48,6070.41,7443.93,6804.56,5217.3,6881.91,6733.62,6122.67,6132.13,4978.23,6810.12,5624.5,5638.55,5795.7,5976.67,5824.98,6555.07,6219.37,6029.04,5329.58,4840.55,6042.6,5655.55,5519.16,5742.7,5035.72,4959.14,7297.69,6004.34,5845.6,6910.92,6170.17,5857.79,7091.11,5921.46,5907.66,5870.33,5619,6007.61,6218.75,5647.07,5618.55,5750.47,6371.73,6826.16,6082.16,6317.16,5019.92,7543.8,6156.55,6644.94,6556.91,5117.8,6882.92,5061.19,6219.05,5826.05,5882.14,5951.91,6530.34,5905.27,5529.19,4844.36,6620.52,5348.13,6314.41,4945.44,5723.33,6631.35,5981.85,6279.08,6955.32,6005.49,6687.19,5539.09,5963.51,7238.94,5572.39,6586.85,4916.3,"Recr_1997",1997
