"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
288054.047058595,289975.518126053,293140.796632299,283294.611728913,276636.525104665,276802.141279995,292235.480226472,289765.654707707,290082.510380066,290307.802213556,280013.873469773,293047.275976306,288301.004335128,287008.903368021,283834.737417539,282415.611191505,291111.705470052,289987.033162336,294873.330648729,281446.958013414,281200.817429809,291828.289405458,290976.145330971,278344.627816972,288947.830757246,283650.644058493,294338.462526665,283876.927392753,289050.221019693,284965.950904733,279174.435180921,290464.755365058,277647.561812214,290235.82417845,272756.15956148,281187.356975691,282827.375238277,280997.162437629,286007.712684455,283762.931791637,298212.91289779,292704.89693737,297083.564153342,286640.986785877,287109.478615089,281288.611762077,285086.291976248,283283.132258249,282088.616413504,301088.198291026,288417.574312397,285134.748688243,290305.33196498,280417.375819993,291181.716243858,290471.134523572,284946.583144622,270189.245976733,284234.032657448,288525.198106932,288790.478186176,284880.906798046,278608.591736657,286788.737492938,296031.993941809,283000.023040928,295142.37343022,290008.393132545,286788.382603711,293413.511561812,277890.195376669,286869.309079033,287588.219715638,278493.278073297,277655.650442503,277265.62537965,282848.035137782,283166.795088706,283705.872845013,286318.286728697,281680.639359915,291263.058190537,295818.551831524,285555.429556886,292702.603076018,289729.618223418,284247.673318439,282161.449430458,293307.407533879,296340.143014617,281460.293481135,281860.880804543,291139.874076449,289838.139497258,285642.763485958,291424.09876044,283168.978206109,291221.94823722,296771.950477706,283333.416919164,1990
285391.263170421,287541.507620267,290641.993386255,281190.440916515,273906.404039368,274486.832983614,289467.387552589,286713.70062939,287302.253675156,287513.418064759,277760.124701289,290522.83366686,285826.975735764,284479.735270649,281343.485332398,279941.02045831,288363.69660114,286788.194945246,291873.968007166,279071.01327908,278811.554548139,288772.842867401,288384.030873062,276371.542958941,285997.728674563,280839.431349247,291645.503657724,280666.05858306,286434.055051641,281734.454325495,276635.006111861,287297.733613034,275294.362761033,287584.479505735,270251.233560541,279056.222362856,280559.60550981,278551.854952475,283639.019982416,281293.788191427,294958.125770096,289775.874601607,294409.340312147,283994.935835954,284408.519711219,278869.025397743,282740.24002403,280997.602318236,279889.555405929,297967.348582285,285907.092497729,282609.202568762,287602.175087809,277599.326951144,288038.127370393,287539.239940942,282763.374046097,268008.668278099,281782.527397299,285516.428076184,286082.097816637,281747.584002761,275893.185702234,284301.18629644,293316.006425297,280638.918440085,292545.67259358,287132.532892522,284225.076261754,290237.618505425,276117.301953715,284491.96659601,285003.54631576,275886.152880375,275558.575886588,274663.321169372,280264.991166517,280126.294516094,281528.819464202,283418.556343262,279417.414963611,288741.928495491,293177.878168574,283092.710681445,290598.723288211,286851.912832388,282042.928773464,279986.497165599,290246.23105604,293238.494824895,278819.863230518,279484.227002026,288442.868292506,287154.111530862,282781.69170824,289176.953308959,280222.568478544,288322.965502093,294095.624506511,280769.131924454,1990.5
281059.529940107,283724.444397799,286678.267056555,277506.069091203,270148.489404564,270909.441682843,285409.574300619,282558.972306913,283118.165102171,283090.035001366,273829.027317382,286190.33383879,281912.57117601,280073.393741192,276997.086741462,276116.472154381,284266.982902604,282400.756610525,287329.471910622,275321.041115234,274521.580340035,284122.128554401,284112.393864778,272953.574405081,281408.430369803,276288.04649402,287434.92064268,276387.157400186,282457.286241663,277477.046898424,272852.008956204,282316.168248744,271671.624472759,283445.443987204,266286.003871015,275349.700037311,276772.596702382,274593.572738092,279966.738246908,277126.029543021,290350.662592895,285379.767329115,289999.798219788,279709.259134242,280095.831715075,274793.304889565,278411.720401945,276635.110301043,276155.088193458,293142.219302739,281766.284469607,278277.003005842,283024.766727089,273242.102267947,283283.453943747,283202.694358147,279225.453078174,264487.145003112,277900.064688672,281524.080667079,281867.95482838,277197.032106376,271964.813784615,280344.874453493,288674.846739822,276974.671699121,288412.466885397,282470.384351714,280125.551339724,285805.88222707,272638.74337632,280450.702548603,280871.07798019,272246.549856826,271907.195273143,270747.253254023,276129.639020517,276151.410599518,277967.989735144,279039.119496022,275959.68708952,284316.82748828,289064.389903129,279204.346635889,286750.866354891,282504.048965702,278201.144866905,276024.822915021,285881.188435502,288615.9677318,274338.009294319,275503.197945229,283954.809263187,282747.374008236,278734.856959435,285289.238535654,276138.48921275,283895.311303367,289832.296421421,276839.235994241,1991
274693.226624263,277843.783950207,281153.215247413,271598.770262731,264951.649863885,265959.665493753,279675.480307907,276554.514130381,277189.487974312,277080.462003702,267688.947161861,280307.606992418,276464.824163898,274327.599091737,271099.629322262,270485.330697818,278468.785195342,276041.13825117,281033.628634487,269637.985651669,268832.793291749,277878.342049889,278294.58904328,267785.06110229,275365.762214418,270353.555215869,281067.051723963,270579.358448119,276151.391855685,271876.469104101,267545.82327368,275858.973647461,266490.798900873,277149.418366326,260011.445110403,270009.907060455,270844.7929446,268651.664939302,274071.686787786,271487.388838049,283870.042648152,279551.648195367,283826.859144791,273981.325789493,273659.522078135,269283.018741177,272149.813805515,271205.182888079,270761.442476999,287171.15045084,275794.84123882,272186.172031576,277054.987052129,267237.822155127,277389.312616966,277131.152465358,273679.361399928,259374.609011993,272063.01852347,275595.581463014,275790.851258451,270782.08692509,265948.751947179,274516.960800415,282498.362649064,271347.743676865,282117.821859726,276665.294275986,273896.88113399,279744.707870505,267177.71661892,274798.169478002,275015.621328836,267252.605358254,265849.036305587,265201.191388739,270506.837616426,269832.145843348,272829.80166395,273406.9114702,271094.151593083,278258.681204602,283267.4744332,273472.58380271,281214.980494365,276163.084121495,272818.046812852,270370.509069636,279993.838165436,282246.67766637,268484.172276861,269755.556611297,277901.285346508,277088.684294678,273028.018326841,279308.85652595,270382.221110959,277630.745124002,283746.075797423,271175.846838173,1991.5
267423.76746125,270553.862703617,274301.737148348,264255.250866771,258698.356878398,259266.833586704,272814.871078231,268915.936004634,269469.468773673,270007.236528566,260309.310798786,272978.46567239,269404.154557982,267465.299991342,264388.756485092,263554.112257165,271456.176932774,268701.500475383,273685.384450267,263328.769404656,261985.910892737,270711.77361725,270837.939874134,261537.059215057,267919.259184877,263154.365759352,273829.276659079,263123.578301288,268333.524458548,264513.126829095,260542.523545695,268284.309368654,260263.273986176,269761.060197333,252893.954402648,263263.050638451,263842.329505277,261116.033717714,266651.1859878,264752.026356933,276478.719917647,272124.767264707,275986.903728839,266857.918171481,266693.041009587,262268.271532928,265169.28650849,264050.421373922,263490.598159416,279521.403566948,268490.594888684,264581.249314956,269524.940167532,260332.651128911,270030.354980554,270302.43887952,267331.864851175,253203.268069148,264963.466777254,268562.46828226,268265.085886104,263290.336311654,259084.153663599,267725.808734185,274710.256335049,264833.566605955,274526.660384095,268912.893953214,266855.344062244,272215.439657078,260177.815432881,267958.901858297,267661.885161374,260636.628130309,258613.325990597,258348.453092712,263688.298260851,262976.202970228,266284.977585363,265792.088185944,264477.051441582,270337.621188096,275798.134738564,266426.473916209,274397.759085784,268796.366666133,266214.319521481,263200.934944763,272356.289074956,274779.052794164,261201.972450517,262664.823518906,270448.17798155,270162.103299448,265875.008402327,272599.329745194,263355.753017234,270251.975322841,276499.21061401,264289.723638031,1992
258179.226429444,261957.351382043,266149.741433075,255977.599976113,250898.720872199,251338.378508516,264071.543116845,259622.876206681,260843.757327072,260943.256000908,251782.481518175,263063.90020766,260975.593947401,259218.776255314,255802.062910008,254895.532284776,262678.824426024,260203.956304059,264691.442298303,255886.267257803,254326.931883141,262210.217951683,262306.271669849,253520.50410658,259289.558550594,254586.133365509,265110.312616681,254520.369061955,259755.7335258,255808.351565385,252072.245717055,259644.313644048,252361.008290243,261308.304570444,243929.096810108,254969.237713825,255418.341474956,252417.86588674,257899.059755374,256435.805223003,267486.126800411,263629.722305835,266994.308180196,257729.05251734,257953.563087465,254073.250998099,256501.529502551,255624.81596396,255484.59798455,270539.63735102,259141.016689751,256401.137895205,261079.263699909,252270.055351342,261345.842635634,261688.759150682,258839.650602481,245580.397290361,256145.178835776,259621.410995093,260184.477362539,255011.884808488,250418.430561301,258780.775770967,265195.416324269,256526.14607695,265258.733874869,259944.849190778,258497.499029519,263799.862122687,252193.296059641,259052.538275788,258895.748581896,252517.201141298,249846.333817445,249928.446645778,255598.911314967,254285.202562811,257826.509751409,257062.675527716,256512.449265448,261603.904740235,267069.428271477,257770.087801224,265795.21735647,260306.098649866,257803.800221344,254348.939624989,263708.874727663,265459.033594645,252882.658509791,253641.29622316,261620.318654503,262197.152216337,257075.338374385,264139.520599617,254682.173349291,261015.009142756,267879.247054037,255405.874939966,1992.5
249120.48208554,252390.711565784,256365.203609905,247146.000519664,242286.790238711,242975.312816784,254867.858128566,250761.217514244,251636.248858718,251498.011116226,242323.513662671,253265.708317976,252254.33013366,250368.74297215,246650.631971684,246495.812887878,253272.32059922,250550.980028391,254675.610497139,246723.381876328,245240.862697766,252901.020685188,253383.399096873,244462.945058215,249262.893295922,244896.674773256,255341.262240855,245214.443506809,250225.179579327,246305.017954303,243205.789599069,249982.356961062,243792.778070028,251964.306242903,234717.600049487,245903.153806668,245712.041370274,243313.298534076,248675.414775969,247412.346068067,258051.844211775,253888.772397115,257065.013445734,248706.8981447,248462.970027003,245503.733083549,247231.549777435,246888.629743975,246645.986298489,260995.390357869,249411.407667197,246990.944310056,251303.309905762,243129.59716217,251413.587145826,251787.46230215,250334.876641965,236688.098309082,246819.37648858,250108.591125666,250957.554236865,245996.468905087,241069.486454498,249490.099083882,255507.564840709,247697.630686985,255614.106754638,250422.018034231,249501.549365053,253816.625362959,243939.701180869,250298.22312281,249236.734559942,243858.275838506,240750.428499302,241115.207809445,246309.385925751,245226.441988228,248780.284810045,247421.456286126,247529.736279046,252209.643813063,258285.212815192,248101.863682158,256640.966945116,251136.48114316,248895.098049515,245028.974199169,253977.269087583,256206.020222802,244082.059266677,244361.971853614,252163.522487758,252932.590267437,247048.352156866,254969.188274314,245619.125089758,251370.111078145,258679.943910048,246164.203205063,1993
239818.503607564,242856.081373606,246110.694224245,237997.678032786,233228.17037392,233903.322163858,245609.991769341,241260.759297717,242305.561340941,241720.236937113,233162.797724215,243056.425161468,243129.620901817,240553.583634078,237036.869542178,237607.694858074,242863.46076311,240346.645466552,244655.601079203,238095.134590917,236022.182805652,243871.329179361,243219.724518166,235204.714512446,239619.264104157,235347.056721761,245280.303645306,235940.818070097,240920.359956067,236767.329641391,233873.983091573,239912.947260959,234778.889571144,242427.545224731,224717.034662591,236887.556702006,236889.490220815,233614.785658352,238937.565994679,237785.026871089,247681.771865559,243760.948092085,247262.06419844,239182.789679709,238745.58953671,235916.210615174,237618.125505568,237563.110566326,237454.270391781,250664.193714201,240363.154635149,237807.235721529,241920.541920041,233910.24165749,241384.875039822,241993.91110317,241055.567606038,228351.978191925,237053.10236416,240590.27524634,241242.178334188,236775.033425281,231366.502933747,239772.064959407,245072.573178513,237490.496904539,245756.819337864,240130.419242841,239785.908390041,243810.761224779,234915.099656838,240516.61243005,239269.592897647,234243.616224514,231669.452458371,231719.603331662,237291.961778777,236505.00588503,238882.393937869,237463.792125694,237906.47793147,242235.675439692,248394.502584848,238592.103197027,246305.752868106,241270.816251866,239694.79466853,236104.786653679,243992.357246752,247181.031079089,234863.001985125,235061.389394887,242610.318210439,243776.21012276,237976.18851015,245546.679049258,235685.999147569,241773.083538702,248421.980917969,236767.54010486,1993.5
229793.107599821,232568.721894969,235368.928701714,227873.783251013,223755.92498747,224253.627577784,235111.157321133,231426.075699197,231903.22815396,231654.393705202,223068.923428202,232330.989614295,233041.361205345,230582.860241192,227058.468059509,227064.007393554,232400.001555477,229918.51070154,233447.294666499,228455.020814068,226065.605368768,232869.025472371,232870.729716917,225254.650748559,229185.401998884,224714.813515842,234519.576652624,225539.94648202,231134.7703911,226408.247913408,223610.886722889,228985.153160162,224889.14921407,232090.366184264,214936.454659415,227052.488337377,227113.813005373,222903.844244668,228577.086715562,227937.364211937,236990.717920511,232728.953923005,236377.679847757,228484.158912291,228444.157808173,226490.152163055,227678.529608352,227646.072646564,227240.027085076,239786.806274525,229500.025873555,227739.02863178,231050.694085992,223729.682020869,231038.730372856,231487.77082498,230371.112779938,219235.867455254,226540.088283166,230057.293239423,230901.425849889,227054.219185971,221066.627978481,229341.95964181,234368.086623307,227146.362846382,234731.738891157,229463.113178163,229441.281942941,233573.624342959,225581.422772579,230612.226808289,228984.908920361,223934.94366871,222474.019998683,220841.282388169,227000.375781741,226287.84013666,228408.589940079,227411.644541907,228045.492831382,231518.767540186,238082.388245825,228183.232942023,235670.008664101,230757.970145647,229905.257889279,226256.409377427,233376.424356392,236258.774736236,225009.067381731,225021.857213753,232643.090699661,232819.747540819,227939.029792289,234972.651780845,225755.453707456,231592.726704391,238058.903052296,227023.112862873,1994
217833.92441945,221204.765012876,223244.155564124,216250.626469965,212441.139590033,212808.683029368,223223.069097248,219739.791546238,220213.14819189,219552.187747323,211821.545154211,220212.842936067,220667.811539728,218707.607451494,215479.442969053,215593.053078952,220079.127728496,218377.360552643,220948.002466088,216939.799508373,214401.627795398,221481.679015816,221991.637221948,213152.335338097,217735.58510962,212868.795531603,222691.020647282,213425.812843514,219214.819215807,214747.017116459,211692.459206605,217015.978148397,213827.38414366,220925.736892155,203416.209685104,216009.643140716,215684.184362308,211403.387514186,216488.025855075,216233.481235533,224834.0547256,220311.838333107,224078.384301571,216486.576160749,216313.341468528,215250.311753826,215947.577238644,216324.199952826,215098.304518728,227693.857933072,217331.960638364,215868.45511995,219137.708549211,212209.29546394,218832.144232296,219176.22832632,218410.103715595,208275.199904741,214885.168666427,217998.821454854,218917.804910671,215343.415117864,209767.956631504,216790.374162094,221891.973788274,215243.395365939,222247.161212729,217327.770426769,217575.343084233,221065.297996789,214673.021091957,218713.318938805,217267.182075439,212388.912238634,211146.418578798,208850.805177007,215050.368877176,214598.20415532,216600.216162454,215819.770716889,216337.395432137,220042.656782543,225615.153739366,216325.437731386,223442.720595088,218526.287648571,218104.583126076,214863.308739619,221274.383309972,224584.177417707,213990.392835663,213740.672891657,221109.957127644,220174.210456729,216192.332419743,222504.633509194,214208.217482296,219750.684606358,226157.947418839,215343.055858896,1994.5
