"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100"
0.0243611,0.02452185,0.02532035,0.0249943,0.02741645,0.0261218,0.0256466,0.0256606,0.0240482,0.02565515,0.02569535,0.02452365,0.0244447,0.0253687,0.02579315,0.02491355,0.0251846,0.026015,0.0248751,0.02464715,0.02657415,0.02646505,0.02497415,0.02554465,0.0249833,0.02647775,0.0245009,0.02634565,0.02321905,0.0256482,0.0262757,0.02475995,0.02624605,0.0247579,0.02634225,0.024554,0.0246648,0.0258249,0.02471785,0.02470955,0.0249531,0.02615265,0.0223603,0.0249484,0.02455715,0.02628675,0.0248631,0.02603445,0.0246928,0.0249984,0.0240949,0.02485645,0.02556745,0.0262876,0.02506835,0.02529205,0.0241239,0.02790255,0.02536175,0.02542315,0.02515035,0.02657125,0.0257179,0.025706,0.0237117,0.026163,0.0233436,0.02582285,0.02416675,0.0246657,0.02533035,0.02641025,0.02617255,0.02740345,0.02506635,0.02642545,0.0272794,0.02553545,0.0264771,0.02518765,0.025218,0.02435795,0.0236599,0.0256306,0.02396125,0.0261524,0.024685,0.02520135,0.0243815,0.02430415,0.02737905,0.0240216,0.0258568,0.0264074,0.0261089,0.0247819,0.0260939,0.02382225,0.0230498,0.02518365
0.0513114,0.0502191,0.04776145,0.05203035,0.0518921,0.05365755,0.04918815,0.05077215,0.04954745,0.0493263,0.05363565,0.0473372,0.0492419,0.0483207,0.050375,0.0510232,0.04977595,0.0505713,0.0493687,0.05135565,0.05175845,0.0503864,0.0486225,0.05144185,0.04934645,0.0494652,0.0499472,0.050865,0.05209835,0.05056825,0.05202155,0.04930535,0.0504013,0.05091035,0.0545399,0.05049655,0.05223,0.05257265,0.05251085,0.04975905,0.04935165,0.0507875,0.04927545,0.04885245,0.05013415,0.05226455,0.05168435,0.05091285,0.05205875,0.0482766,0.049973,0.05230835,0.0499325,0.0525673,0.04957065,0.04930395,0.0494117,0.0537747,0.05192375,0.0505884,0.05173005,0.05417465,0.05136895,0.0511229,0.0495616,0.05070945,0.0504124,0.0507665,0.05117265,0.04933775,0.05250275,0.05026355,0.0515161,0.0504685,0.05576055,0.0516584,0.0510665,0.05205215,0.0499955,0.04950265,0.04945405,0.0507,0.04897035,0.0502338,0.0485677,0.0511095,0.05029675,0.05153045,0.0498879,0.0494193,0.05075545,0.05025865,0.0509392,0.049993,0.0495973,0.05017995,0.05122525,0.04981785,0.04784825,0.04913535
0.0771394,0.0753892,0.07197645,0.07466435,0.07868365,0.07688605,0.0736799,0.07516245,0.07231455,0.07684105,0.078775,0.07636965,0.0756373,0.0729741,0.07769755,0.07722685,0.07455595,0.0739807,0.07599535,0.07573235,0.07556535,0.0745624,0.0729369,0.0795206,0.0770415,0.0793991,0.07422085,0.07769725,0.075245,0.0783441,0.0780214,0.07278765,0.07773505,0.073823,0.08270385,0.08008615,0.07980545,0.07802615,0.075579,0.0773587,0.0728722,0.07527715,0.07317365,0.0756138,0.0766798,0.075612,0.07676535,0.07705185,0.07643115,0.07321575,0.07839125,0.07537065,0.07570995,0.0774062,0.07706955,0.0791231,0.07472645,0.0826304,0.07864985,0.07788045,0.07363135,0.07734135,0.0787497,0.07862455,0.07675355,0.0763043,0.07463145,0.0779666,0.07538615,0.07462555,0.0765099,0.07721395,0.0768403,0.07728955,0.08312045,0.0789552,0.0786816,0.077832,0.07821985,0.0773514,0.07676385,0.0751634,0.07171175,0.07822455,0.075001,0.0729388,0.0768181,0.0795116,0.07552565,0.0753028,0.0760808,0.07834675,0.07612075,0.0732327,0.07795925,0.07543605,0.0769593,0.07569795,0.07192515,0.07940985
0.1009245,0.09897565,0.0998641,0.104255,0.106363,0.1046085,0.09862605,0.09789575,0.099763,0.09822515,0.1057025,0.0993416,0.09824765,0.1011065,0.103243,0.1045575,0.10012245,0.10062725,0.1012736,0.0994041,0.105533,0.09990255,0.10165335,0.1031305,0.10144,0.104663,0.102922,0.10322,0.0976163,0.103775,0.1054125,0.1023785,0.1056735,0.10152,0.111789,0.102111,0.1002153,0.1076195,0.1036365,0.1036235,0.09875245,0.1033445,0.09780455,0.1025525,0.1026085,0.10122335,0.1022245,0.10422,0.102299,0.0998615,0.0998725,0.09964355,0.1008456,0.103853,0.102672,0.09998255,0.10233605,0.104605,0.10597,0.102224,0.102711,0.103782,0.1043235,0.101371,0.10129705,0.105774,0.0985957,0.1044545,0.1010665,0.09781555,0.1029455,0.1024685,0.103292,0.1095235,0.1032355,0.1075685,0.1040165,0.1007704,0.102629,0.104408,0.103844,0.10337,0.0956046,0.103123,0.098839,0.1019755,0.09879995,0.100585,0.1008465,0.0982237,0.1051105,0.1037785,0.09925455,0.09819,0.09927905,0.097532,0.10281565,0.10027785,0.0983991,0.101959
0.1295045,0.12166,0.121774,0.1298935,0.130474,0.1316925,0.126178,0.1268815,0.1242995,0.1262795,0.1317065,0.121563,0.1272025,0.1288,0.1255775,0.1264885,0.124872,0.1245165,0.1278365,0.1290375,0.131211,0.1216585,0.1184615,0.134495,0.123,0.130136,0.124246,0.1317805,0.126828,0.128427,0.132345,0.126718,0.1240995,0.12324,0.1387105,0.1253655,0.1270665,0.1304725,0.131411,0.128408,0.123514,0.125594,0.1224615,0.126793,0.130016,0.1266185,0.130184,0.1292735,0.129741,0.12229,0.127803,0.1274185,0.127295,0.1287745,0.1295845,0.126381,0.12677,0.1326755,0.1294095,0.127524,0.1278275,0.1290255,0.1290705,0.130167,0.1259755,0.1271765,0.123934,0.130886,0.126277,0.122572,0.129419,0.127517,0.126247,0.1347365,0.131711,0.133861,0.1332725,0.1321395,0.127141,0.131111,0.126613,0.1236455,0.1211675,0.126322,0.1227715,0.1306205,0.1281715,0.129201,0.1264865,0.120879,0.131364,0.128752,0.124979,0.1265075,0.131872,0.1249655,0.127456,0.124833,0.12228,0.131368
0.1543635,0.1543905,0.146846,0.156533,0.157107,0.1554465,0.1510965,0.1520365,0.153353,0.1514715,0.15867,0.1488315,0.15012,0.151508,0.152008,0.1514055,0.148478,0.14888,0.1518555,0.153306,0.1568555,0.1472325,0.1516855,0.1600255,0.1561,0.1565845,0.1537885,0.165422,0.153702,0.1562925,0.152486,0.1501495,0.157327,0.147577,0.1592255,0.1532415,0.152949,0.155801,0.1522315,0.1538755,0.1466235,0.1515275,0.151862,0.1576705,0.161553,0.152587,0.1564175,0.156121,0.152405,0.1469735,0.1549095,0.154797,0.1536045,0.153518,0.149969,0.1547535,0.151642,0.164689,0.1555165,0.152235,0.1530355,0.1554985,0.1574845,0.155687,0.152395,0.1488265,0.1515645,0.1532035,0.153615,0.15012,0.1498895,0.155451,0.155829,0.155756,0.160939,0.159954,0.154593,0.159674,0.154832,0.1574405,0.1553085,0.154831,0.1455285,0.153855,0.151083,0.1525575,0.151572,0.156238,0.1565325,0.1538165,0.1562125,0.1581085,0.152681,0.150252,0.154511,0.147894,0.1546835,0.145623,0.146974,0.153936
0.1785845,0.1798015,0.1748375,0.1824185,0.188091,0.1848,0.1716055,0.174268,0.1784715,0.178514,0.180923,0.174408,0.1885645,0.180621,0.182055,0.1818295,0.1729605,0.1793345,0.173022,0.179447,0.1856385,0.176068,0.177664,0.184799,0.182134,0.181575,0.174814,0.1875375,0.178963,0.1791375,0.178868,0.183304,0.1830335,0.174279,0.191928,0.180727,0.181022,0.1863595,0.1845995,0.1794155,0.1728085,0.175718,0.1773645,0.1800845,0.1753475,0.177031,0.1818275,0.174926,0.1772365,0.166349,0.1768245,0.1771335,0.18583,0.1830425,0.1729,0.1746265,0.173379,0.187346,0.179861,0.1799625,0.1768575,0.1825195,0.184556,0.183542,0.177502,0.179816,0.1748995,0.1822775,0.181482,0.1757375,0.183514,0.1735705,0.1810025,0.179747,0.1870995,0.189498,0.176027,0.18142,0.1834675,0.1814535,0.1767285,0.177741,0.171197,0.1804445,0.175932,0.1762445,0.172162,0.1857265,0.1743805,0.1722315,0.184756,0.1865285,0.17246,0.1771845,0.1758315,0.1712475,0.188955,0.180653,0.1719865,0.1765895
0.206705,0.201792,0.2027805,0.2067965,0.213525,0.206673,0.195964,0.201581,0.2017365,0.2027355,0.2078345,0.208041,0.202126,0.204333,0.2064335,0.2077005,0.2032495,0.212809,0.199714,0.21146,0.2106505,0.194514,0.1986765,0.217862,0.2095695,0.213025,0.195534,0.2117225,0.200292,0.2129515,0.207402,0.211452,0.2065265,0.204517,0.222362,0.2038645,0.1999395,0.2139705,0.204262,0.201278,0.1962485,0.2004525,0.20413,0.2076195,0.20345,0.2084865,0.2032005,0.209337,0.2085315,0.201298,0.204173,0.204925,0.2021095,0.2182275,0.2076485,0.198797,0.20332,0.2118695,0.2122015,0.1999675,0.2023755,0.208171,0.20704,0.207217,0.201807,0.210055,0.203569,0.2019,0.2066045,0.204815,0.210853,0.202633,0.2108345,0.2054515,0.210453,0.2155205,0.2058035,0.206773,0.2098795,0.208122,0.1980365,0.1995925,0.1982715,0.213994,0.202563,0.20008,0.206755,0.208103,0.198909,0.1969845,0.208813,0.2034605,0.201653,0.2010435,0.206235,0.206675,0.2086805,0.203634,0.1932315,0.2011525
0.235212,0.2287775,0.2242105,0.230549,0.2425315,0.244157,0.219927,0.2309115,0.221871,0.222026,0.235173,0.232585,0.2266945,0.2324185,0.231022,0.230212,0.22523,0.223721,0.232503,0.233189,0.233293,0.2207345,0.2263735,0.239961,0.2302685,0.2384415,0.2233255,0.244444,0.2206715,0.230664,0.231036,0.23477,0.2397685,0.2296545,0.2480555,0.2271665,0.233658,0.2393065,0.2329965,0.23021,0.224181,0.2297215,0.2269365,0.2369035,0.231053,0.231458,0.231971,0.227706,0.2333085,0.2165515,0.235218,0.2391435,0.232746,0.23799,0.2303605,0.225852,0.228601,0.245879,0.2336945,0.239594,0.2273,0.2334365,0.238185,0.2336465,0.228599,0.2334735,0.2283335,0.2313735,0.2314185,0.229592,0.2344965,0.227102,0.239275,0.227677,0.2397205,0.241991,0.23294,0.2378435,0.2347055,0.23941,0.225927,0.2282845,0.220591,0.2348365,0.2273375,0.228264,0.2317305,0.2297545,0.2349045,0.2225095,0.240599,0.2416565,0.2225415,0.223728,0.2326935,0.2289025,0.2322715,0.2383595,0.2200515,0.2352915
0.261074,0.2507115,0.2490515,0.255866,0.2698525,0.2646015,0.2473915,0.2535405,0.250946,0.2511115,0.2664495,0.255649,0.2566165,0.2523335,0.2589225,0.2545325,0.2572305,0.2492735,0.259287,0.2665175,0.2577145,0.2483695,0.251318,0.266223,0.259922,0.2661865,0.2490055,0.260705,0.251987,0.2587245,0.270173,0.2627195,0.262263,0.261619,0.273904,0.2503065,0.263685,0.2725825,0.256471,0.2519285,0.2515715,0.259007,0.2494525,0.267913,0.260459,0.262854,0.2591765,0.261471,0.255018,0.2372045,0.2686275,0.2628185,0.2557505,0.2622765,0.251824,0.2669385,0.2623645,0.266524,0.2616235,0.266796,0.248327,0.2565705,0.267364,0.263284,0.250274,0.263557,0.252701,0.2702195,0.262059,0.264256,0.261589,0.2556435,0.2551705,0.262124,0.269146,0.2696635,0.2586575,0.268739,0.2597725,0.2662635,0.2568535,0.2507485,0.2554075,0.2540015,0.2571235,0.2566355,0.2637855,0.25741,0.259166,0.250581,0.272181,0.2682065,0.247643,0.2618685,0.259633,0.2489405,0.266301,0.25293,0.2437985,0.256692
