"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100","Yr"
68899.1299581557,69748.0156267275,69501.881270989,68944.2640475654,66523.8376431069,67604.570610324,68401.0544469808,70513.1694546279,69499.0509877872,69661.6527322442,67465.3042493445,69518.0372137075,69300.2909258491,67874.5550059535,67964.2041759106,68136.2976154011,69008.0224096289,69243.723787306,68937.3344829669,66154.1660174306,67040.2419586713,68068.6623790849,70701.0853922699,67299.8586722689,67699.5532311262,67207.1798046666,69715.6194642512,67035.8287196764,68673.9945701434,66564.1223146948,67256.226236487,67188.2703050024,67226.0289057015,69801.3627858868,65142.0831242929,67521.4432395874,67070.2999013496,67686.4717075785,69692.2465214489,67167.4644776939,69232.7423937248,69522.0791491192,68851.6363558767,67625.3971680863,67681.2857371802,67782.5851818061,67415.6493627061,67223.4927332263,69901.1381030864,70843.8056957189,68107.068138721,67227.4224113643,68609.7981954729,66625.9298657411,68848.0170719612,68102.7570741871,68745.4712314237,65254.7017528543,68407.7873733208,68929.606117602,68880.9886585966,67646.071992895,66305.2198278774,69795.1912308171,68689.1244823005,68863.1460955249,68224.9129276051,68584.9579906179,67958.5603142621,68907.0336335892,68346.6497527707,70163.9345468977,68184.1039401392,66828.3282372053,65714.6624454623,66881.6127921056,68932.9387886376,67721.811702701,67670.581006508,67635.6539741237,68216.7861909459,67592.4245929038,69977.0466743801,69082.1748555121,69867.2483132536,67503.4813450115,68307.4677028315,67966.7705243874,66978.4400152846,69578.6902377725,65820.2169069354,67218.8793986959,68743.6601579917,69532.6399874839,67320.4292929203,70809.7352779005,66519.3587672324,68011.1968440066,71258.5245897317,68627.5992926434,1990
68070.6886693494,69417.5378993422,69203.8440982842,68795.348883266,66293.6353977697,67528.8228560735,68422.1283511947,69944.2750165955,68595.6463937389,68990.4305658626,67743.8903389217,69078.9958573958,68848.9844275361,67530.1006903664,67670.6262626954,67883.5492091215,68406.2763506732,68172.9502150371,67957.5831997682,65858.9020792972,66781.833094593,67381.5487787527,70039.3423018226,67532.5776441211,67046.99190505,66384.485830877,69430.9159589964,66208.0769076125,68031.756654184,65779.8446749445,67029.1979281788,66284.707522061,67127.6047959106,69359.1663294326,64982.9457823951,67688.5846236427,67342.7817651462,67369.648864298,69402.0691572416,66778.5288787858,68513.4652282736,68963.5309507511,67940.0536666068,67065.9612541293,66820.9898277021,67505.1612641977,66996.7193075579,66958.537326949,69560.134725843,70011.2960127879,67803.3866471614,66658.7222845956,67834.9384079562,65812.8946374943,67546.3253675349,67827.6858647557,68534.1740868767,65493.87481779,68584.3705118788,68448.4070161633,68047.7564759285,66584.2424607384,65794.0588917452,69403.0366165518,67961.6208513726,68824.5575330232,67735.0205923689,67704.4956689262,67469.9597575033,67802.5862480941,68494.1107571528,69842.2089627787,68006.5561858835,66739.0888016992,66026.9080253943,66501.6938629721,68304.1974191633,66838.1015153717,68480.8114075644,66956.5948908464,68356.3015785264,67374.9305961224,69405.4673135307,68941.4987555448,69570.5159035965,67244.2805359277,67924.1793524591,68296.5232539771,66214.472729763,68416.861858787,65533.3711697414,66959.9847684081,68339.8747291118,68912.7694531283,66980.4182099878,70642.7726363396,66264.5660926499,67148.5168337886,70387.9882204908,68232.963956143,1990.5
66862.0180914392,68532.9793778998,68483.8818031323,67855.991319427,65958.4338104768,67309.2107630221,68261.4419285324,69033.2850453206,67291.1131085437,67961.6483861247,67197.4959304901,68223.749228264,68090.6052686641,66813.7217909346,66850.691463225,67158.3232688493,67548.7077406954,66909.1982605611,66719.3281676188,65399.5780773295,65950.1561146051,66323.4524463277,68800.317637596,67313.3178775164,65985.9948753992,65159.6537953742,68642.1489242311,65153.7716122327,67021.8349536885,65068.9165491821,66426.2985148014,65173.1650561292,66763.0743858375,68410.2783546432,64239.1718992396,67220.3543627574,66960.7109556933,66455.1254060923,68514.9034511965,65970.1998722934,67579.1897355272,68050.8437141118,66566.0204506404,66066.2666719576,65555.7083246417,66765.1888002033,66045.144234803,66190.1491052553,68660.8068636674,68834.4308938499,66943.7162935292,65708.602457189,66636.1763986627,64726.2858202534,66171.6406471586,67285.152729324,67830.7681620792,65339.4324997542,68102.1610194434,67696.4064264618,66951.5811445385,65475.1111699549,64889.5796442695,68550.7043968803,66827.1191668768,68212.399413678,66890.2133856249,66489.5040570519,66740.0589363726,66597.8661830511,67751.2702329244,69008.0936145694,67182.16291974,66446.9027967543,65713.5227321287,65714.4846589385,67295.6849804825,65944.2878766495,68567.9945506368,65858.9177440347,68077.1337893249,66482.0518552394,68543.6466435501,68090.0122291303,68671.5053111442,66597.4211573352,67221.8471288927,67796.856633153,65462.6066542564,67039.3242706927,64540.3058607246,66149.4045455148,67512.2326889252,68059.816124527,66197.0432915037,69791.375798202,65736.9167687457,66038.2518680823,69154.4810936394,67241.6457890387,1991
65590.4957329401,67041.4351724937,67387.5103854959,66011.3256208821,65950.1563228251,67458.6767631199,67725.7391950835,67747.3266156389,65757.2511669104,66777.9048780916,65791.6259175388,66697.7362751066,67028.5479727172,65765.676460029,66039.8342912214,66271.8734332077,66706.7312475344,65513.4853255871,65518.9883591428,65110.6305769656,65183.8901789313,65385.198377714,67041.3710016925,66804.7092274245,64944.0088301064,63615.9350557305,67424.4192243295,64115.7979492592,65509.762262298,64605.2218351381,65746.4932579725,64159.3228929101,66246.1298862444,66917.5777614181,62869.5739683558,66457.0635919309,66081.7530414427,64768.9319916568,67166.1199483072,65282.0057716359,66619.0878886458,67275.2199315019,65413.9816960397,64996.8605811626,64131.4698387463,66066.1656718548,64932.9133157263,65307.2958795462,67559.8967837182,67955.067800945,65816.9829850362,64455.6749467927,65218.3333375791,64025.7612577368,65550.4670758732,66619.621023516,66995.0930274324,64961.0293569198,67258.9013404278,66996.2949687605,65591.5483337217,64501.6848583676,63660.155786859,67606.6443492557,65626.1915918876,67149.065160681,65651.8916002974,65418.4191919259,65608.0954359493,65561.6943670293,66115.5541472394,67711.5528499633,66087.6706218268,65808.178004582,64679.644738794,64825.3003929572,66130.0694933164,64958.9452954743,67919.1539874381,64804.1394149811,67580.6000740518,65099.9732872625,67433.7642626681,66776.9043844819,67455.3248260821,65304.1287137527,66586.9197562908,66805.7235677307,64695.457753885,65937.0423255306,63104.5787664465,65137.6635837249,66391.0955604782,67311.3993725057,65135.9866044671,68590.6883753476,65196.5922024444,65086.0369831331,67855.2152361846,65933.863648719,1991.5
64191.9401931318,65236.5022573273,65743.4425591989,63943.7687312505,65344.6254685379,66652.7563723433,66510.2900903688,66068.2721338612,63949.3165060688,65407.4121357566,63945.9105439965,64722.7079235835,65889.8660021112,64524.7909831581,64885.3209664762,65049.6276651124,65376.5451664377,63999.2998022219,64141.9047113229,64385.659150758,63994.5545515596,64214.1922326084,65292.7994628131,65771.0285519127,63588.3026791874,62207.0375565111,65784.8176332783,62853.5126311449,63858.4494778298,63695.2191436287,64506.3462840812,62887.9625250809,65349.6103795405,65226.033253349,61319.8739493057,65352.2768491601,64702.7589178564,62919.8058239863,65266.8560084509,64358.6906848798,65407.482596106,65917.6697699063,63772.4019410947,63551.3918980461,62750.9679051273,64850.6142264592,63598.5735976913,64123.721525917,66106.2464507865,66712.8648134277,64223.3642170823,63000.098540463,63700.9680518226,63097.6065150184,64597.6767424402,65740.6431456748,65743.2452542975,64197.3121150715,65789.9489023285,65724.8390402298,64124.5702874301,63531.3178150951,62257.9220087774,66249.5270350278,64196.5078049595,65770.485499426,63998.0173794451,64089.0316380473,64508.1440647961,64250.4772915752,64376.5344094356,66243.9122054625,64364.7429768198,64674.6306949367,63380.0759241402,63596.9329169424,64827.3324990524,63847.6317471924,66618.2689044459,63297.2989592615,66383.9646251493,63387.394148783,66027.275649103,65050.6830228363,66057.5869504361,63761.2196065266,65545.078897488,65215.6988320739,63644.7444895787,64680.4230600493,61488.8750624832,63655.0634744337,64937.5034547234,66192.6904056119,63487.0484476934,67147.509259289,64139.1172394825,63732.361667832,66413.6732146224,64439.5086991536,1992
62666.6131603856,63398.2092772988,63600.5790717222,62260.1374861862,64330.6592274747,65102.6121468611,64486.6361346912,64207.3674452657,62203.5856974852,63746.5976418517,62103.8653675928,62107.393474165,64868.3682707738,63206.7950731104,63580.6652857789,63998.1882267089,63431.3990511708,62356.8773423516,62541.0829175399,63344.0794464668,62924.7275891124,63137.3713791194,63969.0265906814,64285.91148294,62378.8528470459,61256.1626243251,63968.7894905842,61787.4597267916,62380.5489636642,62428.0002546518,62905.6079999124,61554.8883527777,64198.5787888317,63541.2454361628,59739.9994130928,64471.0963301657,63331.9737593619,61391.9989878468,63174.2652551796,63412.9754081072,63995.1872183946,64316.5888900946,62044.0980176858,61854.6083053666,61417.4246260727,63508.4242895371,62039.4485790708,62951.3518786849,64957.1163770648,65407.4367410381,62318.76426101,61748.7493191536,62366.5831767348,62129.680706749,63381.6811250835,64912.9894181197,64199.7524809736,63084.980641772,64165.4099691018,64062.3282637704,62829.4017855845,62744.3220239121,60691.1503841679,64510.5897371093,62750.7167779025,64173.9237167661,62093.3080964811,62936.4036263636,63498.9830707348,63035.1091887015,63142.4936095915,64462.9749017919,62383.0692420126,63149.5888990211,62191.8304930063,62458.1033304714,63691.5603527939,62575.0463159037,65002.0463983362,62040.7727752062,64921.3051320339,62288.7584605799,64732.0154342897,63297.0833000728,64589.9141605863,62187.1263474081,64042.8084760939,63487.4538336901,62454.8422867411,63517.1809267474,60553.4072659722,61920.8749442957,63316.6860060908,64773.8690543122,61473.6614141768,65772.2549522948,62724.4023069409,61951.0113275314,65220.5218607563,63117.9695748467,1992.5
61989.2743369913,62162.7934197791,61787.8980386311,61514.3750018772,63546.019557108,63910.4562864739,63224.3172697724,63499.4961418099,61404.9900400473,62714.6253408048,61282.495568684,60632.2483338044,64386.7871765454,62597.6070568842,62641.4981936304,63433.0179235323,61884.2442801955,61210.5651182201,61347.5619546931,62352.4010690744,61993.9582081266,62199.01199391,63362.4728405918,62935.7248486451,61389.2485832125,60707.6816150461,62769.302437995,61102.8662961745,61612.7177944316,61634.5536998101,61781.9567060578,60689.6487783835,63469.5231434339,62819.0137073377,59035.5751890869,63737.4620861705,62158.5846610026,60631.506639514,61662.9280374697,62750.9981934423,62953.1569110556,62931.4995260559,60694.0859548091,60809.5736677785,60614.4041317975,62570.5344801417,61076.7275662644,62460.8730416275,64099.7033133677,64378.3479797075,61052.7135666099,60965.3701518418,61459.3400052748,61285.6102065661,62353.0450805236,63906.6318221828,62991.1827281591,62185.9069476484,62880.6288840904,62911.9245172698,62127.9215845021,62575.4091311603,59559.9593424948,63107.2109678898,61799.806208653,62975.5165668039,60655.9261580357,62080.3791701155,62837.6423122862,61962.3062947629,62691.8739395776,63717.616428113,60928.4712688901,62283.541511974,61473.1640810689,61576.8964060816,62924.2905492549,61852.0914847131,63530.5611283767,61152.1859010449,63803.3148372935,61517.7778407119,63771.791638705,62011.6274894569,63203.6897851861,61257.7564050887,62887.9825455069,62462.8106173764,61596.6339130923,62826.0764054929,60188.8736284644,60873.7547077605,62418.4590582939,63469.906690031,60033.0277632227,64428.2112014944,61605.613318429,60828.1093301765,64279.2188355804,62334.5725239908,1993
63108.6631412705,62476.6740303519,61487.5686360173,62802.2794488853,64419.2092480692,64282.9391291534,63720.6210991373,64233.9240694756,62607.2037887951,62828.4864157143,62578.2417854646,60778.4291791591,64615.0793846621,63070.1395462813,63234.6475453117,64260.8171397108,61422.3785993519,61299.1741111905,61516.1506925129,63053.534538358,63086.9078035064,62788.9816136897,63642.8845535583,62700.9699316948,62182.0266692352,61251.065223235,63572.9846116902,61861.9726045919,62443.1148550888,62224.3224206464,62131.8008017934,61358.3786906223,64113.4972523966,63816.1973344688,60003.9275953336,64146.6109421371,63012.9373166329,61164.5757756332,62258.3428799683,63373.3268034947,62967.9908725303,63003.3583011082,61386.1669738076,61450.4197890384,61393.8519755141,62873.4232701438,61834.7314057141,63298.0816965468,64366.841917709,64587.3659980778,61721.6248900121,61617.6881398002,61910.8528199345,61831.8856801153,62994.6628746425,63660.3172200748,63095.9786246097,62766.736721666,63358.5548760632,63560.1388330178,62732.7745168358,63801.1502394322,59675.8745376369,62896.1112392501,62054.270306622,62680.6072056048,60744.4403139859,62213.9820153049,62773.122617784,62229.2828506519,63414.11966892,64017.6249978574,61501.7775433702,62778.4689395044,62098.9655348123,61724.7071291974,63522.3647319659,62713.0287327229,62635.9328788664,62177.0207684366,64024.0558959942,62182.6698318637,63543.110157853,62567.7496728997,62072.3419817864,61729.1435904938,62937.8290063095,63326.0646811243,61841.9355429024,63836.4781357381,61734.4726553036,62048.1007118333,63090.3731748372,63156.4227871693,61063.1339523964,63987.5121073916,61784.5108526174,62099.7588331195,64447.2690366392,63146.7737542704,1993.5
62619.652811043,61604.0062618037,60411.6318781956,62492.2316625671,63641.2464983474,63315.072056093,62919.950000253,63348.7620945855,62108.1780366589,61754.4104424543,62078.6194593418,59978.5876365486,63211.6704900683,62259.7014061412,62303.8329006212,63111.349635987,60041.7071995744,60294.4719269211,60305.3440638046,62191.9833313437,62641.2691069298,61698.0833467166,62646.1589986023,61259.5353655891,61449.0788191429,60224.8344483373,62852.2012069822,61082.5657000341,62035.4254818906,61507.8823800575,61271.2841827497,60566.9519486662,63213.2534539795,63149.354161976,59658.3034586765,62947.2227930693,62345.5284165485,60295.9523998805,61643.8179558775,62482.3964515489,61785.4190872478,61606.9365838995,60458.9526241225,60683.1454981207,60759.5073520239,61803.7403052977,61196.1598893646,62700.5961314278,62840.2646909638,63497.997342637,60719.0354010616,60864.8717230249,60970.4458488109,60832.1879029742,62268.6872430057,62012.8021552427,61792.1367699676,62192.1627527572,62341.6916083668,62315.0947324521,62083.6252507621,63389.4551057467,58707.9080433182,61367.0092193237,61061.0456767174,61292.0565227825,59644.0258968682,61076.8688541795,61473.7280003465,61113.3104014464,62752.6429974969,63021.8300054938,60746.7164797163,62095.3898871143,61681.7213000147,60031.5801427768,62594.0411956628,61903.6751999588,60793.4554968006,61807.1147815122,62884.0149987687,61365.0601933821,62125.2118122615,61684.1298537771,60229.7354977891,61084.3361044751,61793.5549436148,62404.2572090116,60923.9574501424,62887.1563034698,61510.7748288738,61723.8613777825,62470.1010248062,61475.6033221178,60674.8167501693,62255.2830903367,60860.3173435903,61876.9467955233,63368.6276362258,62382.318268027,1994
59711.6515669155,58867.2170455261,57578.8764430169,59618.5387589689,60272.9612120001,60227.7982621564,59877.9215285801,60263.057921545,59042.6992410934,58712.011635362,59343.5317901773,57124.2059269119,59609.1553334635,59317.8319029547,59195.7563618765,60026.6575017682,56819.0056300827,57500.3408519989,57201.2532794262,59065.4553416943,59594.7463123496,58686.1105012468,59979.1690427298,57613.7172652955,58615.1166520451,57134.3230619027,60042.2828778103,58161.3660910119,59319.6969732012,58930.1488975241,58404.2067583545,57859.187529338,60004.2704647831,60308.5922615274,56968.5304526324,59936.4785014489,59287.4886294553,57500.6340471433,58619.0598623403,59123.2119776316,58775.700741414,58144.8444313575,57416.7363654345,57763.5845217941,57874.4582592039,58550.9534972176,58060.8118221486,59918.3036395245,59005.8442461492,60469.2780407267,57644.2375714643,57897.0792062856,57962.8133958356,57859.8735751543,59274.5021525109,58662.5973693995,58771.1095419386,59307.7040504756,59225.1113431592,58745.8295235831,59324.6468338096,60727.4962531071,56067.5857052552,57876.0755834355,57799.7485180881,58014.5647763183,56548.6867554969,58140.5826312619,58435.0989144732,57884.580462626,59923.1450568476,59737.5175021444,57897.5035781152,59098.4366954364,58980.3920394425,56506.2894513266,59861.458922685,59074.282626401,57573.0462646362,59419.2859403589,59615.549022946,58611.4652383778,58581.90654927,58743.9191295429,57101.4954763102,58204.9820893479,58541.8759561427,59300.3523224254,57888.3736423681,59924.4288821008,59044.1853608182,58994.132565914,59652.8812383879,57976.4615930052,57960.854781834,58873.7966455413,57840.3783487058,58937.0518701606,60275.8503743714,59262.6529486431,1994.5
