"replist1","replist2","replist3","replist4","replist5","replist6","replist7","replist8","replist9","replist10","replist11","replist12","replist13","replist14","replist15","replist16","replist17","replist18","replist19","replist20","replist21","replist22","replist23","replist24","replist25","replist26","replist27","replist28","replist29","replist30","replist31","replist32","replist33","replist34","replist35","replist36","replist37","replist38","replist39","replist40","replist41","replist42","replist43","replist44","replist45","replist46","replist47","replist48","replist49","replist50","replist51","replist52","replist53","replist54","replist55","replist56","replist57","replist58","replist59","replist60","replist61","replist62","replist63","replist64","replist65","replist66","replist67","replist68","replist69","replist70","replist71","replist72","replist73","replist74","replist75","replist76","replist77","replist78","replist79","replist80","replist81","replist82","replist83","replist84","replist85","replist86","replist87","replist88","replist89","replist90","replist91","replist92","replist93","replist94","replist95","replist96","replist97","replist98","replist99","replist100","Label","Yr"
9796.77,9757.28,9750.4,9491.97,9357.26,9438.98,9913.15,10070.2,9850.57,9913.47,9569.29,9958.32,9751.41,9747.27,9686.25,9602.82,9755.46,9841.62,9869.13,9333.34,9458.72,9796.49,9944.98,9311.53,9871.96,9542.91,10015.5,9622.32,9807.55,9679.87,9436.21,9987.94,9378.08,9911.91,9235.1,9518.31,9591.56,9481.77,9700.93,9584.17,10141.3,9913.7,9886.67,9655.68,9598.43,9498.52,9575.16,9499.67,9670.3,10312.9,9750.08,9603.01,9766.82,9440.21,9935.35,9939.74,9522.23,9030.64,9771.81,9840.15,9706.81,9665.11,9372.42,9727.19,9979.21,9546.21,9808.78,9797.91,9737.3,9906.4,9291.73,9720.51,9612.21,9349.08,9310.02,9357.19,9507.91,9611.39,9559.79,9736.49,9535.25,9782.46,10008.5,9676.08,9685.31,9779.7,9516.62,9659.45,9792.31,10010,9329.58,9603.82,9857.17,9824.07,9584.34,9850.99,9630.95,9871.89,10178.2,9650.97,"Recr_Virgin",1988
9796.77,9757.28,9750.4,9491.97,9357.26,9438.98,9913.15,10070.2,9850.57,9913.47,9569.29,9958.32,9751.41,9747.27,9686.25,9602.82,9755.46,9841.62,9869.13,9333.34,9458.72,9796.49,9944.98,9311.53,9871.96,9542.91,10015.5,9622.32,9807.55,9679.87,9436.21,9987.94,9378.08,9911.91,9235.1,9518.31,9591.56,9481.77,9700.93,9584.17,10141.3,9913.7,9886.67,9655.68,9598.43,9498.52,9575.16,9499.67,9670.3,10312.9,9750.08,9603.01,9766.82,9440.21,9935.35,9939.74,9522.23,9030.64,9771.81,9840.15,9706.81,9665.11,9372.42,9727.19,9979.21,9546.21,9808.78,9797.91,9737.3,9906.4,9291.73,9720.51,9612.21,9349.08,9310.02,9357.19,9507.91,9611.39,9559.79,9736.49,9535.25,9782.46,10008.5,9676.08,9685.31,9779.7,9516.62,9659.45,9792.31,10010,9329.58,9603.82,9857.17,9824.07,9584.34,9850.99,9630.95,9871.89,10178.2,9650.97,"Recr_Initial",1989
21024.3,18638.4,17239.9,22073.8,20643,19549,20288.5,20505.6,21628.1,17995.9,22163.5,19075.5,18075.2,19484.9,19141.4,19218.3,16314.5,17885.6,17655.8,19177.8,20757.4,18070,18601,16831,19212.4,18281.2,20415.1,19087.4,20311.7,19497.5,18935.6,19180.1,20095,21561.8,20971.4,17977.2,19625.2,19110.3,19873.8,19288.1,17310.8,17736.8,18520.1,19158.4,19521,18391.9,20053.6,20542.6,18066.3,18177.8,18883.5,19069.5,18548.4,18266.8,19506.7,15600,17267.4,19636.4,19034.7,19339.3,19847.3,21403.5,17250.4,16606.5,18133.6,17056.2,17062.7,17465.5,16797.7,17603.1,19943.6,19938.8,19265.4,20534,19343,16839.5,19047.7,19497.6,14455.9,20158.4,18796.2,18611.1,16146.8,19113.7,13159.1,19361.8,17635.9,19951.1,18195.1,19349,21228.1,21239.3,20075.1,16063.5,20481.5,15138.2,18009.2,21630.2,17782.3,19618.7,"Recr_1990",1990
4431.41,4919.07,5080.07,4031.26,3283.16,4846.72,3987.77,4145.24,2895.73,4649.84,4579.4,3982.86,3351.91,4605.08,4177.1,4713.93,4010.27,4620.76,4185.26,4111.45,3992.67,4074.4,5136.5,2969.02,4318.54,3735.6,4885.08,4728.68,4996.44,5929.93,5316.63,4995.48,3538.53,4077.85,4599.68,4986.88,4081.16,4500.78,4068.49,3077.32,4739.96,3298.07,3969.39,4301.07,4535.06,3532.97,3178.62,4926.95,2437.3,4751.53,4045.55,4049.82,3868.38,4469.91,4488.94,4686.67,5325.17,4705.08,4296.51,2742.76,5157.16,5681.82,5091.85,3902.65,3355.29,4123.52,3850.1,5166.03,4848.7,4069.44,4767.65,3525.67,4636.13,4034.72,5370.44,3363.68,6367.01,5081.53,5024.18,6234.66,4193.57,4825.73,3188.64,4719.57,5433.86,4406.82,3946.68,4108.07,3931.46,4462.88,5327.53,4371.12,4466.43,3817.92,4608.05,4835.97,4196.45,3431.01,4516.8,3965.46,"Recr_1991",1991
7033.46,8182.93,6841.51,7714.94,6898.46,8129.8,6927.14,7122.65,7658.13,8012.14,6742.51,7012.52,8630.23,6457.26,8476.38,7465.86,6632,7371.84,5971.36,6197.7,7125.78,6690.43,7711.5,9269.37,7864.03,8143.72,9144.94,7452.82,7949.68,6338.67,7814.49,7558.29,8242.18,6596.45,8451.76,7140.82,7872.58,7300.33,7499.95,8042.4,8080.32,6995.25,8490.77,6786.35,7141.78,9024.82,8756.64,7094.23,9148.99,6512.19,7105.94,5748.15,8975.66,7988.42,7949.42,6491.59,6945.61,8936.24,8381.66,8435.78,8052.68,6434.82,7836.76,8588.48,6997.95,6432.21,7358.81,6961.43,8922.58,6605.71,6815.32,8744.31,7587.47,7968.31,8597.26,8704.61,5408.32,7371.83,7203.32,5896.06,6760.99,8151.98,6432.84,6801.76,5104.03,7602,6752.87,7923.53,6057.97,8139.21,8239.7,7475.33,7145.44,8817.1,7253.64,6555.05,7643.36,7521.13,7518.53,7907.03,"Recr_1992",1992
6019.91,8316.32,8739.75,7692.75,7017.67,5627.57,7585.59,8511.3,8236.28,6737.79,8477.23,8548.06,7374.99,7980.94,7413.58,7817.83,7799.94,7345.55,7435.39,6779.56,6503.09,6471.11,5239.64,6828.61,7670.74,8722.03,6310.17,8175.49,7606.45,7314.35,7516.43,7554.08,7250.05,7122.06,8634.27,6920.17,5726.86,7500.05,9148.05,7177.79,7124.9,8469.66,6450.34,6054.19,7306.89,6716.63,8912.33,6086.69,6600.05,9078.91,6874.5,6175.09,8387.51,7127.18,8742.45,8282.17,5963.77,6327.35,6511.21,7067.49,7708.95,7101.25,7941.43,8287.3,8019.71,8466.52,7609.92,6839.47,5353.22,6790.22,6900.47,8402.97,7128.21,7889,7972.45,9423.88,8121.64,7286.77,8252.73,8249.99,8382.59,7810.33,6745.25,8955.86,6581.78,9642.17,7515.38,7852,5556.12,7264.1,6424.9,7287.13,6859.47,7376.98,6492.8,8265.32,7663.16,5774.26,6704.02,5645.11,"Recr_1993",1993
9858.72,4712.16,5643.3,7279.97,6413.36,6258.74,4588.13,6268.82,5995.31,4711.17,7760.07,6280.42,5937.02,7124.58,5617.83,6190.18,6097.26,7165.91,6541.06,7177.86,7836.89,6225,7643.04,6199.45,6598.5,8094.67,5446.4,6313.31,6827.11,6823.06,5944.95,7880.74,5611.71,4347.02,7887.31,7363.72,5245.52,6271.69,7502.22,6205.72,4979.81,5854.73,4763.54,6203.03,6286.93,6041.56,5830.15,5455.5,6590.9,4837.26,7571.43,7633.55,6225.44,6172.04,6134.73,5593.69,4438.74,7418.02,8504.99,6137.12,7642.93,5555.87,5688.9,7102.75,7061.1,7417.17,5824.29,5392.84,7581.45,5593.21,6554.37,5394.68,7861.27,6212.71,6925.97,7226.64,5121.57,6230.48,7207.99,7441.56,3660.16,5815.73,6108.07,6892.97,6579.09,7040.17,6595.45,6251.84,6557.29,5701.16,6815.44,4852.4,5449.98,5880.38,5927.08,5794.43,5953.9,5581.01,5763.28,5170.48,"Recr_1994",1994
4497.67,4506.29,4158.01,4866.99,3971.18,4191.05,4252.34,4364.01,4769.52,4458.01,4773.24,4475.52,4256.34,3333.01,4241.59,2910.68,5167.88,4356.97,4829.84,3076.89,4470.78,4630.01,3162.84,4160.66,5702.31,3433.73,4088.31,4708.81,4874.99,3858.56,4786.92,4862.35,4299.51,3809.02,5074.12,3704.31,4389.75,4008.15,4406.86,4035.63,4694.38,4111.81,4842.98,5460.48,4185.2,4666.79,4620.86,4802.32,4560.24,3658.13,3627.77,4718.31,3547.95,3774.24,3178.83,4524.56,3915.93,5409.54,4983.01,3820.72,4086.28,4211.18,5275.06,3551.66,3693.64,4541.27,3144.02,2914.38,3732.43,3704.42,3863.55,3823.39,5888.45,3688.99,4971.85,4417.36,5542.36,4969.46,4667.11,4761.22,4077.61,3450.21,4235.45,3445.31,4158.04,5034.34,3902.22,5011.96,5046.23,3422.21,5184.69,4780.8,3639.7,2717.87,4070.6,4220.58,4304.49,3798.73,4283.27,4231.28,"Recr_1995",1995
9244.32,9235.05,8817.25,8460.31,9977.35,8285.13,7465.74,8297.13,8102.64,9422.96,8983.6,8604.91,8522.62,9932.86,8200.26,8948.8,11043.3,7576.19,7871.02,9791.27,7277.97,9121.28,8102.42,9082.28,8970.05,8815.1,7371.95,10172.4,8544.97,10239.1,10020.4,10154,9081.38,8221.87,8945.79,8573.53,7350.81,8691.01,7479.81,7715.4,7835.42,9244.44,9045.87,9201.64,7999.45,8465.63,6780.77,9462.83,8509.32,7786.99,8599.3,8622.41,10625.9,8588.46,8271.21,9267.41,7519.19,7751.17,7783.94,8997.95,7184.96,9842.11,8187.37,9600.53,8172.57,9959.53,10776.8,10039.8,7925.23,10180.9,8541.83,8796.46,9182.35,8029.4,9069.36,8251.85,8522.98,9512.14,8351.14,9154.66,8263.05,8136.58,7399.19,8256.92,7342.35,9405.27,9255.51,9623.38,9805.49,10202,8575.87,9246.46,7691.49,8952.94,8779.61,7568.33,10921.8,8269.68,8290.46,8570.13,"Recr_1996",1996
6030.9,5850.79,5280.25,5402.97,6832.85,8443.32,6796.64,6906.59,5722.5,6241.83,6742.81,6592.33,5636.28,6268.09,6095.8,6338.83,4880.63,7766.68,6773.07,6520.66,5833.33,5896.51,5633.66,7046.77,5925.4,6473.23,5446.56,5574.76,5028.27,7100.52,7002.87,6733.91,5997.83,4778.55,7001.72,4911.24,5923.26,6200.58,7083.59,6199.18,6098.68,4726.85,5844.46,7279.32,6031.34,6496.86,5635.23,7065.07,7032.97,4803.96,5729.31,7278.27,5840.74,5778.36,5391.37,6640.93,5933,5731.91,5919.72,6029.92,5875.43,4406,5761.54,5105.8,6034.51,8051.31,5719.72,6652.89,5720.43,7151.08,5926.75,5352.4,5861.53,5272.13,4975.62,5693.17,5936.96,5805.27,5037.3,4504.92,5887.56,6059.37,5142.1,6474.46,7848.61,4319.23,5648.49,6095.48,4966.28,5461.68,6889.84,5657.26,5653.47,4394.41,5997.1,5827.66,5336.29,6660.61,5440.25,6792.91,"Recr_1997",1997
