"replist1","replist2","replist3","replist4","replist5","replist6","replist7","replist8","replist9","replist10","replist11","replist12","replist13","replist14","replist15","replist16","replist17","replist18","replist19","replist20","replist21","replist22","replist23","replist24","replist25","replist26","replist27","replist28","replist29","replist30","replist31","replist32","replist33","replist34","replist35","replist36","replist37","replist38","replist39","replist40","replist41","replist42","replist43","replist44","replist45","replist46","replist47","replist48","replist49","replist50","replist51","replist52","replist53","replist54","replist55","replist56","replist57","replist58","replist59","replist60","replist61","replist62","replist63","replist64","replist65","replist66","replist67","replist68","replist69","replist70","replist71","replist72","replist73","replist74","replist75","replist76","replist77","replist78","replist79","replist80","replist81","replist82","replist83","replist84","replist85","replist86","replist87","replist88","replist89","replist90","replist91","replist92","replist93","replist94","replist95","replist96","replist97","replist98","replist99","replist100","Label","Yr"
9771.71,9859.14,9582.46,9439.81,9690.18,9778.71,9620.06,10226,10154.1,9723.3,9400.64,9589.05,9700.32,9141.98,10085.1,9950.22,10051.2,9822,9761.05,9681.74,10051.8,9887.85,9949.31,9523.68,10124.7,9389.81,9812.1,9692.79,9107.17,9943.68,9495.87,9586.87,10220.1,9646.57,9624.75,9495.76,9797.28,9835.75,9483.69,9979.36,10094.1,9750.97,10181.1,9179.81,9443.38,9560.81,9726.35,9892.35,9710.74,10031.1,9920.2,9768.95,9688.96,9658.89,9678.48,9488.47,9970.8,9428.35,9997.72,9373.31,9656.97,9817.94,9111.59,9677.31,9886.84,10130.4,9531.67,9889.74,10239.9,9469.5,9452.48,10030.9,9799.08,10111.5,9859.5,9527.94,9426.28,9293.16,9501.15,9963.59,9696.95,9449.22,9756.5,9646.17,9500.62,10214.9,9963.14,9654.46,9648.5,9695.08,10037.9,10412.2,9482.14,9526.38,9764.12,9462.08,9856.49,9612.72,9720.77,9485.7,"Recr_Virgin",1988
9771.71,9859.14,9582.46,9439.81,9690.18,9778.71,9620.06,10226,10154.1,9723.3,9400.64,9589.05,9700.32,9141.98,10085.1,9950.22,10051.2,9822,9761.05,9681.74,10051.8,9887.85,9949.31,9523.68,10124.7,9389.81,9812.1,9692.79,9107.17,9943.68,9495.87,9586.87,10220.1,9646.57,9624.75,9495.76,9797.28,9835.75,9483.69,9979.36,10094.1,9750.97,10181.1,9179.81,9443.38,9560.81,9726.35,9892.35,9710.74,10031.1,9920.2,9768.95,9688.96,9658.89,9678.48,9488.47,9970.8,9428.35,9997.72,9373.31,9656.97,9817.94,9111.59,9677.31,9886.84,10130.4,9531.67,9889.74,10239.9,9469.5,9452.48,10030.9,9799.08,10111.5,9859.5,9527.94,9426.28,9293.16,9501.15,9963.59,9696.95,9449.22,9756.5,9646.17,9500.62,10214.9,9963.14,9654.46,9648.5,9695.08,10037.9,10412.2,9482.14,9526.38,9764.12,9462.08,9856.49,9612.72,9720.77,9485.7,"Recr_Initial",1989
18525.8,18553.4,18817.8,21006.9,21107.3,19777.6,19163.4,19803.7,19959.7,16993.1,18325,16938.9,18146.4,22089.9,18464.4,17099.7,18982.8,16273.4,20995.6,20013.7,21105,19759.1,19775.3,19232,16346.6,17975.7,17457,20386.2,21801.3,18955.1,17520.4,19171.4,18185.4,16949.4,21830.2,17106.4,19891.9,17268.8,19247.7,17228.1,19575.1,15601,20571.5,19495.3,20588.3,20451,17308.2,19640.8,22194.1,18202.2,18614.6,20709.2,19221.1,18255.5,20676.5,19340,20036.4,21294.1,19654.4,21226.4,20360.8,18591.9,19861.4,18924.2,19674.1,21412.1,21029.7,20296.7,18787.6,19123.9,19167.6,17705.3,19738.6,19826.6,16986,21802.3,17372,19906.9,19692,16235.8,17859.8,17299,18845,19127.2,19134.1,17183.5,17721.2,19498.6,18199.7,21361.4,18826.3,20535.2,18744.6,17205.5,21420.1,17591.2,18870.4,15349.5,15232.6,19489.6,"Recr_1990",1990
3502.75,4749.02,4891.43,4636.13,5385.87,6103.32,4304.4,4413.48,4469.87,5748.88,3938.94,4788.99,4404.94,5056.86,4962.41,5589.05,4658.8,4108.63,3717.34,3655.41,4440.01,3609.74,4509.46,4060.78,3549.65,3909.07,4822.09,3929.94,4503.61,3727.81,4880.69,3949.03,4521.66,4867.74,4638.6,7500.11,5009.58,4149.73,4686.29,3251.32,4601.38,3526.6,4390.18,4677.71,4946.64,3459.86,4145.65,4418.98,4627.42,5142.3,4762.71,4998.11,5039.01,4953.93,4346.44,4359.35,4436.48,4874,3263.86,5014.4,4056.08,3879.71,4793.11,4360.63,5113.8,3171.96,4280.74,3744.13,5334.57,4813.54,4416.53,4009.41,3669.57,3922.64,3999.57,4379.05,3866.03,6648.7,3371.12,4777.95,3426.27,3489.18,4765.94,3164.8,5293.82,4515.06,4279.41,3880.65,4081.74,4410.42,4415.39,5309.65,3174.63,3872.5,6283.12,4281.9,4351.9,2951.3,4891.81,5024.47,"Recr_1991",1991
7381.17,7471.52,8539.79,5862.1,6623.78,9510.65,7244.6,7421.86,7021.71,7530.51,7662.52,6297.7,7266.58,5784.34,7969.39,8157.43,7855.05,7286.4,6312.05,7854.6,7345.35,8869.48,7383.34,8539.99,7998.92,9619.8,9174.28,7676.14,7042.38,6653.84,6924.76,6685.93,9216.08,6914.95,7259.94,8207.25,7189.43,7115.53,8300.92,8803.71,6724.07,7029.76,10052.5,8309.19,9030.57,7122.32,7375.57,8220.98,7461.47,5829.57,8525.44,8022.65,8836.31,8250.02,6614.57,7755.89,6507.87,6811.29,7084.28,6712.18,7395.87,7144.08,8835.75,8049.63,8040.51,7115.44,10672.2,7302.59,6599.29,8860.04,8825.5,6787.2,7342.26,9132.7,10261.7,7760.26,8954.47,6545.18,8181.59,7126.7,7816.77,7943.49,7280.79,7529.48,7421.33,7705.21,7465.78,8169.31,8523.96,8582.14,8047.85,6185.77,9363.73,8584.24,8047.07,9230.14,6834.42,7479.24,9253.85,8111.91,"Recr_1992",1992
7284.1,7416.7,5715.03,6828.65,6346.14,6807.04,9102.11,6680.57,8704.15,4971.54,7446.46,5794.85,7412.65,6779.76,7936.08,9325.62,8511.17,8405,6720.46,6561.66,8858.14,7835.49,8762.17,8355.94,6899.49,7991.84,8098.49,7064.31,8242.67,6570.83,9087.51,7452.19,9178.28,9082.68,6916,5501.4,7814.75,7665.43,8413.88,6712.96,8780.14,7326.51,8178.79,5486.98,6971.41,7645,7853.16,7609.5,7230.04,6882.57,8063.54,6831.3,4389.94,6442.93,7900.61,7353.41,5874,8911.57,5783.29,8122.14,6809.49,8395.45,7000.61,6994.69,8808.01,7260.67,6405.3,7104.94,6698.24,7749.56,6949.44,8155.65,9363.94,9662.16,6729.94,5727.76,6966.13,6927.69,6041.56,8322.43,7604.21,7534.25,6524.74,9163.86,7848.6,8436.45,6023.5,6482.2,8205.78,7799.53,5779.9,7127.19,8228.55,6791.22,7794.35,7193.98,7821.25,8443.42,7362.33,7112.96,"Recr_1993",1993
5793.69,6859.77,6420.69,6155.01,8260.63,5390.39,6501.95,6186.39,6696.92,5690.98,5053.89,7060.93,7394.43,5793.61,5786.41,7168.58,5916.72,6680.09,6505.59,7446.73,4476.89,5175.29,6320.79,5635.74,6803.84,5880.85,5422.83,6034.76,5082.66,6288.67,8613.28,4917.98,5174.03,7041.96,5699.28,6023.15,5833.97,5563.01,4748.13,6377.7,5173.15,5314.57,6599.48,7840.22,5597.76,6492.11,6203.28,5219.23,4960.93,6310.68,6829.74,6338.68,6279.2,5637.04,6856.74,5339.89,7662.4,4947.6,5536.04,5442.85,6533.72,5834.32,6561.08,6064.13,6607.97,6858.38,5491.15,5707.36,5430.4,6886.07,6178.35,7334.93,6376.53,7031.05,5839.35,4821.77,5771.74,6007.82,7156.26,5549.67,7315.63,6216,4377.08,6373.32,5529.34,7309.41,6720.04,6490.53,5046.69,5759.71,5980.32,5429.94,5685.34,6355.96,5805.23,6392.86,5264.1,6513.4,7142.43,5880.77,"Recr_1994",1994
4483.39,5546.93,3585.43,3331.52,4850.31,4460.6,5550.03,4821.56,4804.91,3783.21,4874.58,3689.78,4922.81,4283.05,4842.36,4154.69,3501.41,3821.42,3716.19,4627.57,5011,4348.02,4044.58,5503.69,4414.32,4211.79,4567.41,4619.61,3764.88,4893.76,4486.59,4368.31,3699.7,3577.1,6652.72,4447.47,4799.91,4113.26,4522.89,5390.75,3625.47,4481.98,4651.79,3863.38,3302.77,5004.21,4979.99,5360.14,4738,3049.73,3112.93,4459.95,5182.44,4619,3629.14,2243.23,5007.07,3856.39,3548.45,5014.1,3942.25,4307.42,4311.39,4880.62,3597.79,4332.42,5787.88,3825.54,5680.23,6567.08,5036.46,4423.88,4955.57,4790.89,5552.68,3823.04,4117.78,5004.06,4412.59,4594.62,3844.05,3293.85,4179.66,4091.59,5130.81,3977.18,3838.73,4649.12,4868.79,4153.84,4389.79,4226.07,3959.42,5194.78,3805.11,4713.46,5038.2,5168.03,5369.57,4065.65,"Recr_1995",1995
8745.14,10154.1,7639.51,8024.72,7603.22,10572.8,9329.84,10849.2,8271.39,8948.08,9823.53,9234.14,8730.25,7951.22,8732.62,9094.17,7919.3,7996.13,7888.53,9313.55,9069.99,9167.62,8979.09,9654.02,8821.94,9740.35,8355.68,8653.79,10515.2,9003.49,9950.19,8813.87,8390.16,8492.46,10550.5,10130.8,9229.31,10094.1,9108.87,8830.04,8553.69,10626.2,8813.88,7824.69,8582.72,10180.1,8099.7,9959.8,8266.14,8183.44,9245.04,10557.5,8831.05,9322.88,9737.41,8996.47,9687.73,9747.21,8758.04,9345.04,10814.4,7747.94,8730.97,11782.8,8939,6443.75,8309.81,7679.05,8160.25,10302.7,8971.5,9974.68,10264.1,9567.69,9015.37,8052.42,9524.87,8862.91,9708.11,10066.3,9592.8,8777.81,9544.42,9578.82,10963.2,9256.39,9908.55,7971.03,6611.32,9979.53,9692.87,10129.4,8125.65,9380.5,9304.42,10284.4,7016.12,8110.41,9731.02,8752.85,"Recr_1996",1996
7404.66,7080.6,6792.06,7776.54,5446.91,5441.83,4901.13,6971.13,5263.79,6140.86,7693.53,5106.14,5087.04,6925.31,6030.29,6153.53,6343.54,6139.44,7554.3,6744.96,6748.34,4858.98,6538.29,7594.79,6065.15,6698.61,5037.76,5828.97,8009.76,6586.82,6775.52,6336.07,6883.85,6488.93,5314.72,7554.1,6269.57,6397.44,6079.75,6014.2,6379.94,4765.65,7121.33,7355.34,5798.25,7523.6,6422.33,6891.65,6317.37,7806.6,5601.7,6239.19,5421.82,6768.3,5954.16,6424.85,5865.61,6538.17,5781.95,5557.77,4926.04,5495.44,4598.45,5645.02,7689.13,6618.39,5961.67,6494.13,6228.1,6110.56,6527.81,7622.35,4802.13,5740.04,6235.79,6088.22,6832.17,5546.48,4797.42,6349.83,5666.73,6038.19,5976.44,4859.61,6116.14,5266.42,5643.81,5287.48,5848.28,6371.71,7544.24,5141.3,5903.66,4994.72,6246.93,6518.34,6106.16,6247.25,7015.74,5697.33,"Recr_1997",1997
